"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.8655555555556,"Up",6.166e+09,-4.691e+09,1.475e+09,-5.19e+08,-2.5e+08,-8.7e+07,-1.82e+08,9.55e+08,9.55e+08,-3.04e+08,6.51e+08,-1.75e+08,4.76e+08,4.76e+08,4.76e+08,4.76e+08,5.34e+08,5.34e+08,1.894e+09,1.894e+09,9.45e+08,3.841e+09,1.3479e+10,7.5e+08,2.65e+08,2.04e+08,6.1e+07,1.4494e+10,1.8335e+10,4.134e+09,3.448e+09,6.86e+08,1.09e+08,4.243e+09,3e+07,4.119e+09,1.44e+09,4.149e+09,8.392e+09,1.508e+09,9.644e+09,-1.209e+09,9.943e+09,9.943e+09,1.8335e+10,4.76e+08,1.82e+08,-2e+06,2.58e+08,9.14e+08,-8.07e+08,-8.07e+08,-8.5e+07,-1e+06,-8.6e+07,2.1e+07,2.1e+07,2.1e+07,1.137e+09,1.39e+08,7.63e+08,0.23922,0.15488,0.0772,0.04787,0.02596,1.60294,0.90526,0.84401,0.00758,0.56159,0.55725,7.27466,11.73077,0.90019,0.10028,52.2673020265788,0.0395,0.05373,0.17857,-0.34741,-0.41361
"2","2010_Q3",30.33625,"Down",6.139e+09,-4.648e+09,1.491e+09,-4.87e+08,-2.65e+08,-3e+07,-1.92e+08,1.004e+09,1.004e+09,-3.22e+08,6.82e+08,-1.65e+08,5.17e+08,5.17e+08,5.17e+08,5.17e+08,6.4e+07,6.4e+07,1.776e+09,1.776e+09,9.31e+08,3.228e+09,1.4126e+10,7.5e+08,2.64e+08,2.04e+08,6e+07,1.514e+10,1.8368e+10,3.813e+09,3.196e+09,6.17e+08,1.99e+08,4.012e+09,2.9e+07,3.934e+09,1.507e+09,3.963e+09,7.975e+09,1.509e+09,1.0064e+10,-1.18e+09,1.0393e+10,1.0393e+10,1.8368e+10,5.17e+08,1.92e+08,2.8e+07,-4.13e+08,3.24e+08,-7.97e+08,-7.97e+08,-8.5e+07,9e+07,3e+06,-4.7e+08,-4.7e+08,-4.7e+08,1.196e+09,2.28e+08,1.51e+08,0.24287,0.16354,0.08422,0.04975,0.02815,0.29207,0.80459,0.76734,0.01241,0.60996,0.6051,7.2428,12.26168,0.17815,0.10028,28.342561080842,0.04136,0.01037,0.16441,0.13712,0.16335
"3","2010_Q4",30.70421875,"Up",5.851e+09,-4.423e+09,1.428e+09,-5.12e+08,-2.71e+08,-5.4e+07,-1.87e+08,9.13e+08,9.13e+08,-3.45e+08,5.68e+08,-1.5e+08,4.18e+08,4.18e+08,4.18e+08,4.18e+08,5.1e+07,5.1e+07,1.81e+09,1.81e+09,9.88e+08,3.309e+09,1.506e+10,7.63e+08,2.66e+08,2.04e+08,6.2e+07,1.6089e+10,1.9398e+10,4.248e+09,3.571e+09,6.77e+08,2.29e+08,4.477e+09,2.28e+08,3.947e+09,1.504e+09,4.175e+09,8.652e+09,1.509e+09,1.0389e+10,-1.152e+09,1.0746e+10,1.0746e+10,1.9398e+10,4.18e+08,1.87e+08,-2.9e+07,3.89e+08,9.65e+08,-1.112e+09,-1.113e+09,-9.3e+07,2.28e+08,1.35e+08,-1.3e+07,-1.3e+07,-1.3e+07,1.1e+09,4.57e+08,5.27e+08,0.24406,0.15604,0.07144,0.0389,0.02155,1.26077,0.73911,0.80514,0.02356,0.49316,0.48895,6.90302,12.67815,0.62176,0.10972,14.0034604053158,0.03373,0.03479,0.22249,0.36909,0.44469
"4","2011_Q1",37.9629032258064,"Up",6.936e+09,-5.045e+09,1.891e+09,-4.9e+08,-2.84e+08,-2e+07,-1.86e+08,1.398e+09,1.398e+09,-3.45e+08,1.053e+09,-2.54e+08,7.99e+08,7.99e+08,7.99e+08,7.99e+08,2.67e+08,2.67e+08,2e+09,2e+09,7.73e+08,3.538e+09,1.5905e+10,8.7e+08,2.67e+08,2.04e+08,6.3e+07,1.7042e+10,2.058e+10,4.348e+09,3.47e+09,8.78e+08,2.29e+08,4.577e+09,5.27e+08,4.299e+09,1.546e+09,4.826e+09,9.403e+09,1.511e+09,1.109e+10,-1.424e+09,1.1177e+10,1.1177e+10,2.058e+10,7.99e+08,1.86e+08,6e+07,-4.1e+07,1.004e+09,-9.96e+08,-9.92e+08,-9.3e+07,3e+08,2.04e+08,2.16e+08,2.16e+08,2.16e+08,1.584e+09,7.56e+08,8.01e+08,0.27264,0.20156,0.1152,0.07149,0.03882,1.0025,0.773,0.84128,0.03673,0.94266,0.93636,8.18311,13.18664,0.94502,0.10972,7,0.05495,0.04935,0.1164,0.30871,0.34979
"5","2011_Q2",39.3493650793651,"Up",6.871e+09,-4.959e+09,1.912e+09,-5.46e+08,-3.21e+08,-3.7e+07,-1.88e+08,1.366e+09,1.366e+09,-3.15e+08,1.051e+09,-2.7e+08,7.81e+08,7.81e+08,7.81e+08,7.81e+08,3.01e+08,3.01e+08,2.243e+09,2.243e+09,1.235e+09,4.356e+09,1.653e+10,8.54e+08,2.68e+08,2.04e+08,6.4e+07,1.7652e+10,2.2008e+10,5.097e+09,4.202e+09,8.95e+08,2.29e+08,5.326e+09,5.26e+08,4.392e+09,1.512e+09,4.918e+09,1.0244e+10,1.52e+09,1.1743e+10,-1.499e+09,1.1764e+10,1.1764e+10,2.2008e+10,7.81e+08,1.88e+08,-9.6e+07,8.6e+07,9.59e+08,-8.08e+08,-8.06e+08,-9.3e+07,-1e+06,-1.19e+08,3.4e+07,3.4e+07,3.4e+07,1.554e+09,7.55e+08,1.102e+09,0.27827,0.19881,0.11367,0.06639,0.03549,1.41101,0.81787,0.87079,0.03431,0.92121,0.91441,8.10451,13.87591,1.29983,0.1097,5.08217986489475,0.05168,0.06516,0.11908,0.29215,0.33236
"6","2011_Q3",33.56609375,"Down",7.774e+09,-6.024e+09,1.75e+09,-4.65e+08,-2.53e+08,-2.2e+07,-1.9e+08,1.284e+09,1.284e+09,-3.25e+08,9.59e+08,-2.33e+08,7.26e+08,7.26e+08,7.26e+08,7.26e+08,4.19e+08,4.19e+08,2.301e+09,2.301e+09,1.284e+09,4.609e+09,1.7238e+10,8.51e+08,2.68e+08,2.04e+08,6.4e+07,1.8357e+10,2.2966e+10,5.108e+09,4.18e+09,9.28e+08,3.64e+08,5.472e+09,8.45e+08,4.285e+09,1.538e+09,5.13e+09,1.0602e+10,1.523e+09,1.2368e+10,-1.527e+09,1.2364e+10,1.2364e+10,2.2966e+10,7.26e+08,1.9e+08,4000000.00000003,-2.64e+08,6.56e+08,-8.97e+08,-8.93e+08,-9.4e+07,4.54e+08,3.55e+08,1.18e+08,1.18e+08,1.18e+08,1.474e+09,1.209e+09,5.46e+08,0.22511,0.16517,0.09339,0.05872,0.03161,0.75207,0.84229,0.85749,0.05264,0.85654,0.85022,9.17178,14.58707,0.64417,0.1109,6,0.04592,0.03057,0.12948,0.53596,0.61526
"7","2011_Q4",33.1855555555556,"Down",7.945e+09,-6.01e+09,1.935e+09,-4.58e+08,-2.49e+08,-1.7e+07,-1.92e+08,1.477e+09,1.477e+09,-3.45e+08,1.132e+09,-2.73e+08,8.59e+08,8.59e+08,8.59e+08,8.59e+08,9.2e+08,9.2e+08,2.124e+09,2.124e+09,1.258e+09,4.883e+09,1.8125e+10,9.18e+08,2.68e+08,2.04e+08,6.4e+07,1.9311e+10,2.4194e+10,5.498e+09,4.349e+09,1.149e+09,3.64e+08,5.862e+09,8.44e+08,4.325e+09,1.588e+09,5.169e+09,1.1031e+10,1.524e+09,1.3131e+10,-1.492e+09,1.3163e+10,1.3163e+10,2.4194e+10,8.59e+08,1.92e+08,4.2e+07,5.65e+08,1.658e+09,-1.063e+09,-1.061e+09,-9.3e+07,-1e+06,-9.6e+07,5.01e+08,5.01e+08,5.01e+08,1.669e+09,1.208e+09,1.444e+09,0.24355,0.1859,0.10812,0.06526,0.0355,1.68102,0.83299,0.83803,0.04993,1.01333,1.00585,9.37242,15.5279,1.70343,0.10971,7,0.05092,0.07724,0.10827,0.17256,0.19499
"8","2012_Q1",37.8961290322581,"Up",8.124e+09,-5.968e+09,2.156e+09,-5.55e+08,-3.45e+08,-1.6e+07,-1.94e+08,1.599e+09,1.599e+09,-3.35e+08,1.264e+09,-2.59e+08,1.005e+09,1.005e+09,1.005e+09,1.005e+09,1.202e+09,1.202e+09,2.29e+09,2.29e+09,1.001e+09,5.083e+09,1.9162e+10,9.2e+08,2.64e+08,2.04e+08,6e+07,2.0346e+10,2.5429e+10,5.585e+09,4.317e+09,1.268e+09,3.64e+08,5.949e+09,8.43e+08,5.316e+09,1.44e+09,6.159e+09,1.2108e+10,1.528e+09,1.4031e+10,-2.238e+09,1.3321e+10,1.3321e+10,2.5429e+10,1.005e+09,1.94e+08,-7.6e+07,9.3e+07,1.216e+09,-8.37e+08,-8.33e+08,-9.3e+07,5.96046447753906e-08,-1.01e+08,2.82e+08,2.82e+08,2.82e+08,1.793e+09,1.207e+09,1.308e+09,0.26539,0.19682,0.12371,0.07544,0.03952,1.30149,0.85443,0.90894,0.04747,1.18556,1.17902,9.58358,15.71429,1.543,0.10971,6,0.05533,0.06591,0.09254,0.00278999999999999,0.00312999999999997
"9","2012_Q2",34.8001587301587,"Down",7.533e+09,-5.363e+09,2.17e+09,-5.02e+08,-2.84e+08,-2.8e+07,-1.9e+08,1.668e+09,1.668e+09,-3.16e+08,1.352e+09,-3.37e+08,1.015e+09,1.015e+09,1.015e+09,1.015e+09,1.045e+09,1.045e+09,2.146e+09,2.146e+09,1.432e+09,5.253e+09,2.0061e+10,9.35e+08,2.62e+08,2.04e+08,5.8e+07,2.1258e+10,2.6511e+10,5.724e+09,4.397e+09,1.327e+09,3.64e+08,6.088e+09,8.42e+08,5.461e+09,1.507e+09,6.303e+09,1.2391e+10,1.548e+09,1.4879e+10,-2.307e+09,1.412e+10,1.412e+10,2.6511e+10,1.015e+09,1.9e+08,1.9e+07,-1.77e+08,1.047e+09,-1.067e+09,-1.064e+09,-9.3e+07,-1e+06,-1.4e+08,-1.57e+08,-1.57e+08,-1.57e+08,1.858e+09,1.206e+09,9.51e+08,0.28807,0.22143,0.13474,0.07188,0.03829,0.93695,0.86284,0.87755,0.04549,1.19736,1.18908,8.8864,16.65684,1.12186,0.10971,7,0.0533,0.04575,0.09163,0.08665,0.09652
"10","2012_Q3",36.7849206349206,"Up",7.515e+09,-5.892e+09,1.623e+09,-4.43e+08,-2.47e+08,-1.8e+07,-1.78e+08,1.18e+09,1.18e+09,-3.4e+08,8.4e+08,-2.05e+08,6.35e+08,6.35e+08,6.35e+08,6.35e+08,9.96e+08,9.96e+08,2.143e+09,2.143e+09,1.195e+09,4.884e+09,2.1167e+10,9.28e+08,2.62e+08,2.04e+08,5.8e+07,2.2357e+10,2.7241e+10,5.899e+09,4.542e+09,1.357e+09,3.64e+08,6.263e+09,8.41e+08,5.473e+09,1.617e+09,6.314e+09,1.2577e+10,1.566e+09,1.5354e+10,-2.256e+09,1.4664e+10,1.4664e+10,2.7241e+10,6.35e+08,1.78e+08,1.14e+08,3.9e+08,1.317e+09,-1.229e+09,-1.224e+09,-1.02e+08,-999999.999999985,-1.42e+08,-4.9e+07,-4.9e+07,-4.9e+07,1.358e+09,1.205e+09,7.24e+08,0.21597,0.15702,0.0845,0.0433,0.02331,1.14016,0.77982,0.85768,0.04423,0.74891,0.74583,8.86307,17.29449,0.85387,0.1203,5,0.03453,0.03392,0.16063,0.1539,0.17712
