"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.6298412698413,"Up",115617000,-70078000,45539000,-30215000,-15723000,-14492000,15324000,403000,403000,403000,15727000,507000,16234000,-4347000,11887000,11887000,11887000,11887000,92566000,87711000,41832000,41832000,24116000,5215000,3778000,158514000,258367000,411502000,-153135000,10643000,4815000,5828000,406971000,565485000,20957000,8309000,6976000,35747000,35747000,56704000,131038000,47610000,83428000,131038000,187742000,1346000,381723000,377743000,377743000,565485000,11887000,15723000,-4722000,5827000,28715000,1499000,1659000,1659000,-160000,-160000,-54000,6645000,-266427846.170753,35360000,35360000,35360000,31047000,0,42720000,0.39388,0.13254,0.10281,0.03147,0.02102,3.59384,2.79546,0.49701,0,0.13107,0.13107,1.27487,4.16526,0.47106,21.0485410837215,0.02336,0.08397,-2.98148,-6.04059
"2","2010_Q3",12.29015625,"Down",127411000,-73332000,54079000,-34072000,-15379000,-18693000,20007000,416000,416000,416000,20423000,2026000,22449000,-5796000,16653000,16653000,16653000,16653000,152301000,116271000,42592000,42592000,24929000,4526000,5129000,219822000,237244000,400924000,-163680000,11107000,4815000,6292000,351290000,571112000,15316000,8467000,6849000,36725000,36725000,52041000,126743000,44358000,82385000,126743000,178784000,1346000,396563000,392328000,392328000,571112000,16653000,15379000,-4321000,-8491000,19220000,7770000,7770000,7770000,1.86264514923096e-09,1.86264514923096e-09,-458000,11153000,-1813000,28560000,28560000,28560000,35386000,0,40461000,0.42445,0.15703,0.1307,0.04245,0.02916,2.42965,4.22402,0.4557,0,0.18363,0.18363,1.40492,4.32608,0.44615,14.2491894909564,0.03558,0.07795,-4.30399,-7.61239
"3","2010_Q4",13.201875,"Up",127245000,-74271000,52974000,-31864000,-15139000,-16725000,21110000,347000,347000,347000,21457000,7951000,29408000,-11111000,18297000,18297000,18297000,18297000,195429000,169979000,45138000,45138000,23940000,4768000,4351000,264507000,227193000,381898000,-154705000,11250000,4815000,6435000,330587000,595094000,112127000,12833000,6792000,37026000,37026000,149153000,125318000,43400000,81918000,125318000,274471000,1346000,322357000,320623000,320623000,595094000,18297000,15139000,-8509000,48000,24975000,6815000,6210000,6210000,605000,605000,-143000,30548000,-1815000,53708000,53708000,53708000,36249000,0,54223000,0.41631,0.1659,0.14379,0.05707,0.03075,2.96349,1.77339,0.85606,0,0.20176,0.20176,1.40309,3.53541,0.5979,9.69967579638256,0.0451,0.12159,-5.39129,-9.25765
"4","2011_Q1",14.0885483870968,"Up",129243000,-76776000,52467000,-30776000,-15708000,-15068000,21691000,258000,258000,258000,21949000,2833000,24782000,-9403000,15379000,15379000,15379000,15379000,129420000,121120000,41619000,41619000,22747000,6570000,1725000,193786000,220452000,386188000,-165736000,11403000,4815000,6588000,312249000,506035000,17736000,10972000,6764000,31164000,31164000,48900000,122948000,40917000,82031000,122948000,171848000,1346000,335922000,334187000,334187000,506035000,15379000,15708000,-4205000,-1185000,25697000,-8986000,6010000,6010000,-14996000,-14996000,438000,19760000,-94316000,-48859000,-48859000,-48859000,37399000,-8.88178419700125e-16,36631000,0.40596,0.16783,0.11899,0.04602,0.03039,2.38188,3.9629,0.51423,3.30872245021211e-24,0.16958,0.16958,1.42512,3.68498,0.40392,7,0.23996,0.08013,-3.46052,-5.96653
"5","2011_Q2",14.228253968254,"Up",127692000,-81348000,46344000,-28339000,-12378000,-15961000,18005000,237000,237000,237000,18242000,3868000,22110000,-7231000,14879000,14879000,14879000,14879000,145732000,145732000,46610000,46610000,30504000,11946000,4742000,222846000,227832000,395891000,-168059000,11395000,4815000,6580000,312496000,535342000,27704000,17562000,7234000,34247000,34247000,61951000,126139000,45874000,80265000,126139000,188090000,1346000,348987000,347252000,347252000,535342000,14879000,12531000,-327000,-3141000,23942000,-14763000,8667000,8667000,-23430000,-23430000,8000,670000,-61317709.0944608,24612000,24612000,24612000,30536000,0,19863000,0.36294,0.141,0.11652,0.04285,0.02779,1.33497,3.59713,0.54165,0,0.16407,0.16407,1.40802,3.82904,0.21902,5.75016210180872,0.03143,0.04196,-4.77247,-8.09397
"6","2011_Q3",12.644375,"Down",137192000,-84036000,53156000,-32132000,-13664000,-18468000,21024000,209000,209000,209000,21233000,11662000,32895000,-10362000,22533000,22533000,22533000,22533000,153967000,151417000,46887000,46887000,39283000,12728000,11581000,240137000,236840000,395773000,-158933000,12872000,4815000,8057000,314206000,554343000,22824000,15470000,7354000,34115000,34115000,56939000,129433000,52148000,77285000,129433000,186372000,1346000,369706000,367971000,367971000,554343000,22533000,13829000,-5670000,-12855000,17837000,-15086000,22226000,22226000,-37312000,-37312000,-1477000,-10338000,-1814000,5684999.99999999,5684999.99999999,5684999.99999999,34853000,2.8421709430404e-14,17274000,0.38746,0.15325,0.16424,0.06124,0.04065,0.76661,4.21744,0.50649,2.64697796016969e-23,0.24846,0.24846,1.51277,4.0575,0.19048,5.55016210180872,0.04895,0.03473,-4.41761,-7.32339
"7","2011_Q4",11.8915873015873,"Down",132529000,-81869000,50660000,-32327000,-14900000,-17427000,18333000,174000,174000,174000,18507000,6799000,25306000,-9908000,15398000,15398000,15398000,15398000,152447000,141122000,44419000,44419000,35541000,12698000,6587000,232407000,245498000,407327000,-161829000,13129000,4815000,8314000,311771000,544178000,25451000,16568000,8883000,32053000,32053000,57504000,134737000,56869000,77868000,134737000,192241000,1346000,383315000,351937000,351937000,544178000,15398000,15066000,-2789000,2440000,30115000,-12040000,18492000,18492000,-30532000,-30532000,-257000,-9722000,-30688000,-10295000,-10295000,-10295000,33399000,0,33707000,0.38226,0.13833,0.11619,0.04375,0.0283,2.18905,4.04158,0.54624,0,0.17086,0.17086,1.47055,3.90512,0.37402,6,0.03536,0.06926,-4.56442,-8.31544
"8","2012_Q1",12.6108064516129,"Up",131210000,-81379000,49831000,-32769000,-16284000,-16485000,17062000,153000,153000,153000,17215000,9804000,27019000,-9897000,17122000,17122000,17122000,17122000,139770000,139770000,44198000,44198000,29467000,12820000,1932000,213435000,248441000,409710000,-161269000,13221000,4815000,8406000,312231000,525666000,16173000,9088000,7085000,29490000,29490000,45663000,139232000,57661000,81571000,139232000,184895000,1496000,398706000,340771000,340771000,525666000,17122000,16450000,-8454000,2068000,27186000,-11350000,23633000,23633000,-34983000,-34983000,-92000.0000000001,2458000,-30996000,-1352000,-1352000,-1352000,33512000,0,34127000,0.37978,0.13004,0.13049,0.05024,0.03257,1.99317,4.67413,0.54258,4.2351647362715e-22,0.19652,0.19637,1.50601,3.91133,0.39171,7,0.04301,0.0711,-4.17074,-8.19189
"9","2012_Q2",12.107619047619,"Down",134833000,-84701000,50132000,-30568000,-13939000,-16629000,19564000,142000,142000,142000,19706000,4214000,23920000,-7332000,16588000,16588000,16588000,16588000,172312000,172312000,50119000,50119000,30773000,11931000,3631000,253204000,233647000,402028000,-168381000,13272000,4815000,8457000,297463000,550667000,29816000,11297000,8028000,30063000,30063000,59879000,134263000,55417000,78846000,134263000,194142000,2398000,413558000,356525000,356525000,550667000,16588000,14105000,-6366000,4035000,28362000,4206000,8186000,8186000,-3980000,-3980000,-51000,4180000,-18850499.9145552,32542000,32542000,32542000,33669000,0,49242000,0.37181,0.1451,0.12303,0.04653,0.03012,2.96853,4.22859,0.54454,0,0.19182,0.19105,1.55921,4.12287,0.56944,8,0.0338,0.10033,-5.11782,-8.80761
"10","2012_Q3",11.708253968254,"Down",139710000,-84073000,55637000,-32434000,-13995000,-18439000,23203000,167000,167000,167000,23370000,3546000,26916000,-8688000,18228000,18228000,18228000,18228000,210739000,210739000,49825000,49825000,30469000,9538000,5673000,291033000,226530000,402855000,-176325000,13118000,4815000,8303000,260689000,551722000,20637000,12561000,8076000,30467000,30467000,51104000,130060000,52291000,77769000,130060000,181164000,3127000,430049000,370558000,370558000,551722000,18228000,14161000,-4264000,-12817000,15308000,-3582000,6470000,6470000,-10052000,-10052000,154000,27872000,-4753000,38427000,38427000,38427000,37364000,3.63797880709171e-12,29653000,0.39823,0.16608,0.13047,0.04919,0.03304,1.62678,5.69492,0.4889,6.7762635780344e-21,0.21085,0.21005,1.61606,4.28634,0.343,6,0.03988,0.05923,-5.64016,-9.0824
