"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.00296875,"Up",33946000,-24411000,9535000,-11077000,-10764000,-1542000,-2224000,-638000,-644000,-1586000,-3766000,-4626000,1332000,-3294000,-3294000,-3294000,-3294000,7213381.91700914,7213382.45361843,73526722.6156904,73526722.6156904,19427995.9135304,6643530.79865598,5900093.66339134,106811631.244886,12550654.4204311,128663313.112429,50656571.7466773,223127.789886189,141213967.53286,248025598.777746,19219017.4517725,19664857.0580142,21367186.6752514,-138924.707062013,-122106.015551313,62056588.8793882,83423775.5546395,404617800.919939,-2000.03527823543,-240687093.216322,673115.554768407,164601823.223107,164601823.223107,248025598.777746,-3294000,1150000,-1015000,-8062000,-11221000,-667000,-433000,9220000,9873000,-1781000,-1781000,81000,-1700000,-392000,0,-10453000,0.28089,-0.04543,-0.09704,0.0150602113196424,0.010998017544142,3.17335,4.85260367867362,0.510481495041466,0.270430926877365,-0.15098,-0.14965,1.5559,7.2535609362435,-0.47911,0.0125227096785965,-0.0459794745326862,-866.989669245532,627.177406317623
"2","2011_Q1",6.65338709677419,"Down",34222000,-21833000,12389000,-12245000,-12245000,144000,-263000,-742000,-743000,479000,-119000,-918000,464000,-454000,-454000,-454000,-454000,2767000,2767000,20293000,20293000,34942000,4601000,2527000,62603000,14740000,135336000,50089000,1064000,150076000,212679000,19208000,19208000,19516000,785000,785000,30241000,49757000,399477000,-2000,-238178000,1625000,162922000,162922000,212679000,-454000,1095000,272000,5965000,6878000,-1325000,-1325000,-4503000,-4503000,1050000,1050000,125000,1175000,1239000,29764000,5415000,0.36202,0.00421,-0.01327,-0.00279,-0.00213,-11.92731,3.20778,0.3054,0.13995,-0.02061,-0.02053,1.55357,7.39614,0.24582,-0.00235,0.02799,21.78935,187.47917
"3","2011_Q2",7.24539682539683,"Up",39058000,-23987000,15071000,-12329000,-12329000,2742000,-3e+05,-718000,-728000,418000,2442000,1668000,-5e+05,1168000,1168000,1168000,1168000,835289.360996953,835289.182127191,7786842.46143652,7786842.46143652,42298418.0288232,4073906.40044801,1676552.11220289,54994456.2517047,15532365.1931896,136274645.62919,49678059.4177742,1266624.07003794,151807010.82238,206801467.074085,19875160.8494092,19790047.6473286,19746021.1082495,1017308.23568734,1011702.00518377,24247220.3735373,43993241.4817868,398392149.693354,-1999.98824058819,-237714802.261226,2132878.14841053,162808225.592298,162808225.592298,206801467.074085,1168000,939000,1217000,-2911000,413000,-1464000,-1464000,3499000,3499000,2448000,2448000,17000,2465000,3681000,0,-194000,0.38586,0.0702,0.0299,-0.00835007043988081,-0.00628600584804733,-0.1661,2.82801127377546,0.268849501652845,0.114076357707545,0.0534,0.0531,1.78554,7.47467718791883,-0.00887,-0.00699590322619882,0.0234806581775621,283.852890581844,-2.97023543920767
"4","2011_Q3",7.651875,"Up",28338000,-17303000,11035000,-11931000,-11931000,-896000,-264000,-693000,-709000,429000,-1160000,-1160000,349000,-811000,-811000,-811000,-811000,1655000,1655000,17793000,17793000,44483000,4351000,2166000,68282000,15410000,134531000,49424000,1143000,149941000,218223000,20363000,20363000,20654000,896000,896000,31566000,52220000,401459000,-2000,-237821000,2367000,166003000,166003000,218223000,-811000,1057000,1653000,-2304000,-405000.000000001,-631000,-631000,-2826000,-2706000,-3742000,-3742000,165000,-3577000,161000,30961000,-3123000,0.38941,-0.03162,-0.02862,-0.00489,-0.00372,3.8508,3.30599,0.31457,0.14188,-0.03706,-0.03671,1.295,7.58605,-0.14272,-0.0041,-0.01578,182.02484,-32.70759
"5","2011_Q4",7.41619047619048,"Down",42040000,-26043000,15997000,-12824000,-12824000,3173000,-1417000,-715000,-720000,-702000,1756000,1537000,-530000,1007000,1007000,1007000,1007000,1677000,1677000,28435000,28435000,45178000,4822000,2827000,80112000,14731000,133722000,49091000,1055000,148453000,228565000,19429000,19429000,20134000,832000,832000,40600000,60734000,402131000,-2000,-236814000,2516000,167831000,167831000,228565000,1007000,1360000,1246000,-12504000,-8891000,-362000,-362000,9281000,9312000,59000,59000,-37000,22000,4533000,40473000,-7803000,0.38052,0.07548,0.02395,0.006,0.00441,-7.74876,3.97894,0.36188,0.17707,0.04599,0.04548,1.91992,7.66467,-0.35635,0.00482,-0.03731,8.55857,12.22691
"6","2012_Q1",8.26274193548387,"Up",36339000,-22090000,14249000,-13409000,-13409000,840000,-681000,-763000,-732000,82000,159000,159000,3369000,3528000,3528000,3528000,3528000,2400000,2400000,22718000,22718000,47137000,4742000,2472000,76997000,14019000,136711000,48758000,1298000,150730000,227727000,16344000,16090000,17017000,1139000,1139000,38536000,55553000,402718000,-2000,-233286000,2744000,172174000,172174000,227727000,3528000,1326000,-2474000,1436000,3816000,-297000,-297000,-2694000,-2695000,824000.000000004,824000.000000004,-101000,723000.000000004,2166000,38070000,-64000.0000000009,0.39211,0.02312,0.09709,0.02049,0.01549,-0.0181399999999998,4.52471,0.32266,0.16717,0.16109,0.15943,1.65926,7.86157,-0.00291999999999998,0.01669,-0.000300000000000002,16.46814,42.46429
"7","2012_Q2",9.14952380952381,"Up",46419000,-27803000,18616000,-13887000,-13775000,4729000,-440000,-730000,-730000,290000,4289000,4289000,-1699000,2590000,2590000,2590000,2590000,41644000,41644000,29815000,29815000,45472000,3467000,1197000,120398000,14882000,135088000,48426000,1321000,149970000,270368000,15476000,15402000,16137000,1186000,1186000,16456000,32593000,465787000,-2000,-230696000,2686000,237775000,237775000,270368000,2590000,1103000,1697000,-4871000,519000,-1606000,-1606000,-22385000,40279000,39192000,39192000,52000,39244000,5832000,15931000,1054000,0.40104,0.10188,0.0558,0.01089,0.00958,0.40695,7.46099,0.13707,0.05892,0.10067,0.09948,1.8042,9.24175,0.04097,0.01016,0.00414,-4.40895,-5.4373
"8","2012_Q3",9.26952380952381,"Up",31915000,-19449000,12466000,-14457000,-13319000,-1991000,-777000,-582000,-582000,-195000,-2768000,-2768000,859999.999999999,-1908000,-1908000,-1908000,-1908000,43423000,43423000,19676000,19676000,53039000,4895000,2301000,121033000,15182000,135254000,48093000,1228000,150436000,271469000,16284000,16284000,16338000,1115000,1115000,18774000,35112000,466515000,-2000,-232604000,2448000,236357000,236357000,271469000,-1908000,1090000,404000,1564000,1150000,-1149000,-1149000,1528000,1872999.99999999,1874000,1874000,-95000,1779000,-901000.000000001,17713000,-1346000,0.3906,-0.06238,-0.05978,-0.00807,-0.00703,0.70545,7.40807,0.14855,0.06525,-0.06179,-0.06107,1.03363,7.65488,-0.04359,-0.00748,-0.00527,28.53496,12.91311
"9","2012_Q4",8.46096774193548,"Down",48742000,-30283000,18459000,-16762000,-16347000,1697000,-192000,-713000,-713000,521000,1505000,1343000,-617000,726000,726000,726000,726000,14287000,14287000,33932000,33932000,65038000,5008000,2246000,118265000,16159000,176713000,81107000,1747000,192872000,311137000,23355000,23355000,49371000,1780000,1780000,18108000,67479000,470954000,-2000,-231878000,4584000,243658000,243658000,311137000,726000,1899000,1333000,-14119000,-10161000,-849000,-40977000,21875000,21997000,-29141000,-29141000,5000,-29136000,3596000,42344000,-10755000,0.37871,0.03482,0.01489,0.00298,0.00233,-14.81405,2.39543,0.27694,0.13609,0.02311,0.02283,1.55162,7.75642,-0.34237,0.00252,-0.03737,7.80228,16.53329
"10","2013_Q1",8.0435,"Down",18247000,-12224000,6023000,-12869000,-12505000,-6846000,-189000,-442000,-442000,253000,-7035000,-7190000,4920000,-2270000,544000,544000,544000,5111000,5111000,30925000,30925000,60664000,7842000,4846000,104542000,17508000,198736000,89562000,2062000,216244000,320786000,22178000,22178000,26237000,10114000,2e+06,46543000,72780000,473631000,-2000,-231334000,5711000,248006000,248006000,320786000,544000,1861000,-3144000,5790000,5051000,-1861000,-12060000,-4100000,-1908000,-8917000,-8917000,-259000,-9176000,-4985000,40488000,-5976000,0.33008,-0.37518,0.02981,0.00219,0.0017,-10.98529,3.98453,0.29346,0.12621,0.01728,0.01787,0.57949,7.87624,-0.18979,0.00182,-0.02001,-7.09668999999999,-5.16754
