"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",301.60380952381,"Down",635000,-602000,33000,-5554000,-4017000,-1537000,-5521000,-169000,-5690000,-5690000,-16000,-5706000,-5706000,-5706000,-5706000,-178088058.187774,-178088058.187774,-34635316.1997866,-34635316.1997866,1818784.79553116,7055854.00756116,7055854.00756116,-203848735.584468,7394910.30804525,-7981039.77931512,-7981039.77931512,-586129.471269873,-204434865.055738,36660649.6931389,41817229.4091775,-5156579.71603872,-28324029.445889,1276860.91936341,138738.64140579,1138122.27795762,9613481.16554708,-38503.4721625857,902194.837018868,-940698.309181454,-159897577.404043,-150284096.238495,48484835.6300852,-102635655.389008,-54150768.8172427,-54150768.8172427,-204434865.055738,-5706000,44000,586000,-1086000,-6162000,-371000,1296000,0,-4866000,-4866000,-4866000,-5477000,0,-6918000,0.05197,-8.69449,-8.98583,-10.8991719267161,-5.47189359461928,1.21241,-4.77158199869231,-0.655116029324043,-4.74388810558327,-11.88041,-11.88041,1.32213,-102.211651866091,-14.40391,-7.82714835434924,-15.0204264657095,-14.483380073408
"2","2015_Q3",234.72875,"Down",610000,-550000,60000,-5903000,-4453000,-1450000,-5843000,50000,-5793000,-5793000,-15000,-5808000,-5808000,-5808000,-5808000,-69180529.093887,-69180529.093887,-13832158.0998933,-13832158.0998933,1739392.39776558,3428427.00378058,3428427.00378058,-77844867.7922342,3925455.15402262,-3645519.88965756,-3645519.88965756,279935.264365063,-77564932.5278691,17364824.8465694,18766614.7045888,-1401789.85801936,-14187014.7229445,869930.459681706,141369.320702895,728561.138978811,4047740.58277354,119748.263918707,466097.418509434,-346349.154590727,-74874288.7020213,-70826548.1192477,74720917.8150426,-81459327.6945039,-6738384.40862137,-6738384.40862137,-77564932.5278691,-5808000,80000,558000,-707000,-5877000,20000,20000,66000,-5791000,-5791000,-5791000,-5763000,0,-6435000,0.09836,-9.57869,-9.52131,-4.82372596335807,-2.56269679730964,1.10795,2.48529400065385,-0.696253014662021,-2.30839905279163,-11.9747,-11.9747,1.25767,-9.86129593304528,-13.26743,-3.61793917717462,-4.49443323285474,-4.31421003670398
"3","2015_Q4",221.81921875,"Down",1165000,-1078000,87000,-6392000,-5129000,-1263000,-6305000,-65000,-6370000,-6370000,-24000,-6394000,-6394000,-6394000,-6394000,-8161176.36462901,-8161176.36462901,-2425052.69996443,-2425052.69996443,2035797.46592186,1682809.00126019,1682809.00126019,-6867622.59741139,2054151.71800754,-957839.963219187,-957839.963219187,1096311.75478835,-5771310.84262304,7264608.28218981,6715538.23486293,549070.04732688,-5175004.90764816,685310.153227235,166456.440234298,518853.712992937,2774913.52759118,231916.087972902,242699.139503145,-10783.0515302423,-24373429.5673404,-21598516.0397492,88868305.9383475,-73041109.2315013,15827205.1971262,15827205.1971262,-5771310.84262304,-6394000,124000,494000,-223000,-5999000,-81000,-81000,46000,-6034000,-6034000,-6034000,-6181000,0,-6461000,0.07468,-5.41202,-5.48841,-1.56602198778602,-0.955078932436546,1.01048,5.44477800021795,-0.36570100488734,-0.802633017597211,-13.15773,-13.15773,2.39737,33.7098313556516,-13.29561,-1.29950305905821,0.824595589048418,0.821913321098673
"4","2016_Q1",249.477868852459,"Up",1336000,-1302000,34000,-7539000,-5852000,-1687000,-7505000,-4000,-7509000,-7509000,2000,-7507000,-7507000,-7507000,-7507000,17869000,17869000,2146000,2146000,2534000,1227000,1227000,23776000,1328000,470000,470000,1798000,25574000,3695000,2474000,1221000,0,648000,199000,449000,4343000,311000,171000,140000,311000,4654000,94909000,-73989000,20920000,20920000,25574000,-7507000,190000,646000,-471000,-7142000,-152000,-152000,24999.9999999995,-7269000,-7269000,-7269000,-7315000,2.3283064365387e-10,-7940000,0.02545,-5.61751,-5.61901,-0.35884,-0.29354,1.05768,5.47456,0.22247,0,-15.41013,-15.41013,2.7425,42.9439,-16.29898,-0.35359,2.44279,2.38095
"5","2016_Q2",213.18359375,"Down",2061000,-1568000,493000,-6908000,-5213000,-1695000,-6415000,-489000,-6904000,-6904000,-18000,-6922000,-6922000,-6922000,-6922000,21809000,21809000,2441000,2441000,3060000,1469000,1469000,28779000,1294000,1026000,1026000,2320000,31099000,3991000,2852000,1139000,2626000,683000,224000,459000,7300000,370000,190000,180000,7885000,15185000,96825000,-80911000,15914000,15914000,31099000,-6922000,163000,860000,-1038000,-6937000,-129000,-129000,11006000,3940000,3940000,3940000,-6252000,10141000,-7401000,0.2392,-3.11257,-3.35856,-0.43496,-0.22258,1.0692,3.94233,0.95419,0.32609,-14.04194,-14.04194,4.18094,32.28308,-15.01364,-0.26195,1.86628,1.81886
"6","2016_Q3",157.72765625,"Down",817000,-732000,85000,-8673000,-5599000,-3074000,-8588000,-517000,-9105000,-9105000,-12000,-9117000,-9117000,-9117000,-9117000,15686000,15686000,1187000,1187000,3415000,1792000,1792000,22080000,1451000,1107000,1107000,2558000,24638000,5108000,4239000,869000,3963000,764000,253000,511000,9835000,409000,225000,184000,6753000,16588000,98078000,-90028000,8050000,8050000,24638000,-9117000,164000,946000,1431000,-6576000,-266000,-266000,719000.000000002,-6123000,-6123000,-6123000,-8424000,10307000,-7247000,0.10404,-10.51163,-11.15912,-1.13255,-0.37004,0.79489,2.24504,2.06062,0.41834,-18.3758,-18.3758,1.64671,16.22521,-14.60672,-0.48583,0.63853,0.62634
"7","2016_Q4",90.9831746031746,"Down",1400000,-1110000,290000,-7693000,-5725000,-1968000,-7403000,-508000,-7911000,-7911000,-9000,-7920000,-7920000,-7920000,-7920000,12399000,12399000,944000,944000,3425000,1604000,1604000,18372000,1346000,1101000,1101000,2447000,20819000,4381000,3445000,936000,5299000,816000,271000,545000,10496000,441000,215000,226000,5621000,16117000,102650000,-97948000,4702000,4702000,20819000,-7920000,176000,1083000,-26000,-6687000,-13000,-13000,3413000,-3287000,-3287000,-3287000,-7227000,10479000,-7257000,0.20714,-5.28786,-5.65714,-1.68439,-0.38042,0.91629,1.75038,3.42769,0.50334,-15.51738,-15.51738,2.74297,9.21246,-14.21839,-0.50698,0.26567,0.25935
"8","2017_Q1",56.4822580645161,"Down",1591000,-1723000,-132000,-7903000,-5612000,-2291000,-8035000,-545000,-8580000,-8580000,36000,-8544000,-8544000,-8544000,-8544000,23678000,23678000,1254000,1254000,3264000,1139000,1139000,29335000,1258000,1170000,1170000,2428000,31763000,4443000,3424000,1019000,7495000,460000,54000,406000,12398000,587000,284000,303000,11105000,23503000,114752000,-106492000,8260000,8260000,31763000,-8544000,193000,1171000,633000,-6547000,-29000,-29000.0000000001,18645000,12069000,12069000,12069000,-7842000,18013000,-7274000,-0.0829700000000001,-5.05028,-5.37021,-1.03438,-0.26899,0.85136,2.36611,2.8454,0.56711,-14.02937,-14.02937,2.61244,13.56303,-11.94401,-0.31809,0.72239,0.70504
"9","2017_Q2",38.7504761904762,"Down",2499000,-1450000,1049000,-6704000,-5274000,-1430000,-5655000,-731000,-6386000,-6386000,-14000,-6400000,-6400000,-6400000,-6400000,17128000,17128000,1401000,1401000,3047000,1361000,1361000,22937000,1117000,1220000,1220000,2337000,25274000,3692000,2986000,706000,8386000,757000,132000,625000,12835000,605000,333000,272000,9097000,21932000,116245000,-112903000,3342000,3342000,25274000,-6400000,180000,837000,-646000,-6029000,-10000,-10000,-490000,-6529000,-6529000,-6529000,-5475000,16878000,-6117000,0.41977,-2.26291,-2.56102,-1.91502,-0.25322,0.95578,1.78707,6.56254,0.6678,-9.72334,-9.72334,3.79666,5.0774,-9.29338,-0.30732,0.04566,0.04421
"10","2017_Q3",37.5130158730159,"Down",2007000,-1266000,741000,-6108000,-4723000,-1385000,-5367000,-633000,-6e+06,-6313000,4000,-6309000,-6309000,-6309000,-6309000,16255000,16255000,1114000,1114000,3415000,1259000,1259000,22043000,1068000,1210000,1210000,2278000,24321000,3632000,2910000,722000,7441000,740000,219000,521000,11813000,568000,283000,285000,9105000,20918000,122615000,-119212000,3403000,3403000,24321000,-6309000,177000,1216000,-251000,-5167000,-12000,-12000,4320000,-859000,-859000,-859000,-5190000,15978000,-5457000,0.36921,-2.67414,-3.1435,-1.85395,-0.25941,0.86495,1.866,6.14693,0.65696,-9.15912,-9.15912,2.91367,4.94032,-7.92222,-0.31626,0.05337,0.05161
