"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","loans_mortgages","equity_securities","real_estate_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.8130158730159,"Up",1.034e+09,6.94e+08,3.21e+08,1.9e+07,-2.5e+07,4.4e+07,-3.04e+08,-2.04e+08,-2.62e+08,2.64e+08,-1.17e+08,-1.8e+07,-9.9e+07,1.47e+08,1.47e+08,-5.9e+07,8.8e+07,8.8e+07,1.06e+08,1.06e+08,14256913589.5928,13052104093.0653,549126839.641054,282679608.834934,373003048.049731,35654673.7541717,-496345223.894371,2142553545.9801,7036277197.23451,22975053782.6672,18020180396.9611,2121655563.79336,-531984561.830045,532656891.562619,-350894160.927403,19791614129.5596,1225222540.77709,2274513480.03665,-439112691.402667,3060623329.41107,3183439653.10762,22975053782.6672,8.8e+07,4.7e+07,3e+07,2.28e+08,3.93e+08,-3.07e+08,4e+06,-3.03e+08,-1.5e+07,-6.8e+07,4.3e+07,-4e+07,5e+07,5e+07,5e+07,3.11e+08,0,0.25532,0.10251,0.0297403630209228,0.00415700817625848,6.11653312401684,0.110977752482135,0.94643,0.93722,9.23214,26.7740001200744,0.13393,0.00501486773211604,0.14151,7.73153690941445,10.8233695297822
"2","2010_Q3",14.29046875,"Up",1.052e+09,6.85e+08,3.28e+08,3.9e+07,-1.5e+07,5.4e+07,-3.02e+08,-2.07e+08,-2.79e+08,2.64e+08,-1.06e+08,-1.8e+07,-8.8e+07,1.58e+08,1.58e+08,-5.8e+07,1e+08,1e+08,1.08e+08,1.08e+08,1.9916e+10,1.8334e+10,7.58e+08,4.38e+08,3.86e+08,1.011e+09,6.39e+08,1.323e+09,7.637e+09,3.0526e+10,2.1151e+10,2.209e+09,2.77e+08,8.51e+08,1.607e+09,2.6095e+10,1.299e+09,2.376e+09,6.1e+08,4.285e+09,4.431e+09,3.0526e+10,1e+08,5e+07,1.07e+08,-1.89e+08,6.8e+07,-1.33e+08,-2.71e+08,-4.04e+08,-1.6e+07,-7.2e+07,2.41e+08,1.77e+08,-1.59e+08,-1.59e+08,-1.59e+08,3.14e+08,3.06e+09,0.25095,0.10266,0.02437,0.00354,5.88919,0.10024,0.98004,0.96601,9.54628,38.88385,0.14519,0.0041,0.14815,6.52548,7.76136
"3","2010_Q4",15.401875,"Up",1.255e+09,8.48e+08,3.76e+08,3.1e+07,-4e+06,3.5e+07,-4.46e+08,-2.22e+08,-2.66e+08,3.21e+08,-1.13e+08,-2.1e+07,-9.2e+07,2.08e+08,2.08e+08,-8.2e+07,1.26e+08,1.26e+08,1.32e+08,1.32e+08,2.1583e+10,1.9839e+10,7.59e+08,5.81e+08,4.04e+08,1.14e+09,7.73e+08,1.154e+09,7.989e+09,3.2639e+10,2.2296e+10,2.271e+09,4.46e+08,9.54e+08,1.943e+09,2.791e+10,1.298e+09,2.464e+09,8.15e+08,4.577e+09,4.729e+09,3.2639e+10,1.26e+08,4.4e+07,3.8e+07,1.12e+08,3.2e+08,-7.46e+08,7.9e+07,-6.67e+08,-1.5e+07,-3.4e+07,4.27e+08,4.76e+08,1.29e+08,1.29e+08,1.29e+08,3.65e+08,3.225e+09,0.25578,0.10518,0.02791,0.00404,5.90188,0.09881,1.21996,1.20548,11.59889,42.30129,0.13863,0.00457,0.11364,5.71233,6.49533
"4","2011_Q1",16.6617741935484,"Up",1.156e+09,7.74e+08,3.6e+08,2.2e+07,-2.6e+07,4.8e+07,-4.05e+08,-1.54e+08,-2.79e+08,3.18e+08,-1.37e+08,-2.1e+07,-1.16e+08,1.81e+08,1.81e+08,-6.9e+07,1.12e+08,1.12e+08,1.36e+08,1.36e+08,2.1571e+10,1.9721e+10,7.32e+08,6.9e+08,4.28e+08,1.099e+09,5.35e+08,1.244e+09,8.005e+09,3.2454e+10,2.2502e+10,2.323e+09,3.2e+08,9.52e+08,1.737e+09,2.7834e+10,1.271e+09,2.523e+09,6.76e+08,4.47e+09,4.62e+09,3.2454e+10,1.12e+08,6.1e+07,6.6e+07,-1.56e+08,8.3e+07,-2.75e+08,-56000000.0000001,-3.31e+08,-1.7e+07,-8.6e+07,3.12e+08,2.07e+08,-4.1e+07,-4.1e+07,-4.1e+07,3.79e+08,3.275e+09,0.27509,0.11765,0.02944,0.00419,6.02468,0.10091,1.2782,1.26394,10.86466,42.01128,0.15977,0.00476,0.125,5.74142,6.84277
"5","2011_Q2",17.3425396825397,"Up",1.039e+09,7.09e+08,3.25e+08,5e+06,-3.3e+07,3.8e+07,-3.41e+08,-2.03e+08,-2.8e+08,2.15e+08,-1.13e+08,-2.1e+07,-9.2e+07,1.02e+08,1.02e+08,-4.8e+07,5.4e+07,5.4e+07,8.8e+07,8.8e+07,2.2038e+10,2.0027e+10,8.09e+08,7.43e+08,4.59e+08,1.499e+09,5.2e+08,1.228e+09,7.663e+09,3.2948e+10,2.28e+10,2.388e+09,2.28e+08,9.49e+08,1.971e+09,2.8336e+10,1.262e+09,2.536e+09,6.65e+08,4.463e+09,4.612e+09,3.2948e+10,5.4e+07,4.9e+07,6e+07,2.26e+08,3.89e+08,-1.81e+08,-7.6e+07,-2.57e+08,-1.6e+07,-7.3e+07,3.6e+08,2.68e+08,4e+08,4e+08,4e+08,2.64e+08,3.337e+09,0.20693,0.0847,0.01908,0.00267,6.14397,0.10128,0.8413,0.82863,9.93308,42.6673,0.15296,0.00318,0.18182,6.96212,8.54884
"6","2011_Q3",16.39234375,"Down",1.093e+09,7.16e+08,3.51e+08,2.6e+07,-2.2e+07,4.8e+07,-4.13e+08,-2.17e+08,-2.81e+08,1.82e+08,-1.22e+08,-2.1e+07,-1.01e+08,6e+07,6e+07,-3e+07,3e+07,3e+07,4.8e+07,4.8e+07,2.2739e+10,2.0895e+10,5.95e+08,7.79e+08,4.7e+08,1.629e+09,7.05e+08,1.198e+09,7.782e+09,3.4053e+10,2.3708e+10,2.43e+09,3.02e+08,9.4e+08,2.048e+09,2.9428e+10,1.239e+09,2.512e+09,7.21e+08,4.472e+09,4.625e+09,3.4053e+10,3e+07,4.2e+07,4.8e+07,2.5e+07,1.45e+08,-4.8e+08,-4e+06,-4.84e+08,-1.8e+07,-8.9e+07,5.85e+08,4.69e+08,1.3e+08,1.3e+08,1.3e+08,2.24e+08,3.37e+09,0.16651,0.04392,0.01038,0.00141,6.36281,0.09896,0.46738,0.45977,10.64265,43.5443,0.17527,0.00196,0.375,7.77232,9.56593
"7","2011_Q4",17.5577777777778,"Up",1.335e+09,9.42e+08,3.45e+08,4.8e+07,1e+06,4.7e+07,-5.49e+08,-2.28e+08,-2.95e+08,2.63e+08,-1.07e+08,-2.1e+07,-8.6e+07,1.56e+08,1.56e+08,-4.8e+07,1.08e+08,1.08e+08,9.7e+07,9.7e+07,2.3963e+10,2.1993e+10,6.37e+08,9.3e+08,4.03e+08,9.91e+08,8.66e+08,1.127e+09,8.183e+09,3.513e+10,2.4732e+10,2.229e+09,6.51e+08,9.37e+08,1.961e+09,3.051e+10,1.213e+09,2.539e+09,7.13e+08,4.465e+09,4.62e+09,3.513e+10,1.08e+08,4e+07,1.7e+07,-3.8e+07,1.27e+08,-1.131e+09,-5.9e+07,-1.19e+09,-1.6e+07,-8.2e+07,5.26e+08,4.25e+08,-6.38e+08,-6.38e+08,-6.38e+08,3.03e+08,3.166e+09,0.197,0.07266,0.021,0.00276,6.6039,0.09012,0.97292,0.95755,13.39017,44.78435,0.16048,0.00328,0.16495,7.17822,8.26996
"8","2012_Q1",18.9345161290323,"Up",1.176e+09,8.22e+08,3.85e+08,-3.1e+07,2.1e+07,-5.2e+07,-4.41e+08,-1.87e+08,-2.8e+08,2.68e+08,-2.8e+07,-1.1e+07,-1.7e+07,2.4e+08,2.4e+08,-1.13e+08,1.27e+08,1.27e+08,1.09e+08,1.09e+08,2.4253e+10,2.2247e+10,6.53e+08,9.28e+08,4.25e+08,1.324e+09,5.65e+08,9.01e+08,8.795e+09,3.5838e+10,2.5151e+10,2.787e+09,4.75e+08,9.34e+08,1.934e+09,3.1281e+10,1.219e+09,2.439e+09,7.53e+08,4.411e+09,4.557e+09,3.5838e+10,1.27e+08,4.9e+07,-1.62e+08,-8e+06,6e+06,-1.92e+08,-3.16e+08,-5.08e+08,-1.7e+07,-3.2e+07,8.87e+08,8.35e+08,3.33e+08,3.33e+08,3.33e+08,3.17e+08,3.721e+09,0.22789,0.09269,0.02392,0.00304,6.86438,0.10383,1.10998,1.09328,11.97556,44.91853,0.17312,0.00356,0.15596,7.56151,8.94403
"9","2012_Q2",19.5487301587302,"Up",1.087e+09,7.08e+08,3.9e+08,-1.1e+07,-2.9e+07,1.8e+07,-3.44e+08,-2.11e+08,-2.84e+08,2.48e+08,-1.02e+08,-1.9e+07,-8.3e+07,1.46e+08,1.46e+08,-5.8e+07,8.8e+07,8.8e+07,1.13e+08,1.13e+08,2.5056e+10,2.2828e+10,6.87e+08,1.054e+09,4.87e+08,1.422e+09,5.5e+08,9.16e+08,8.267e+09,3.6211e+10,2.5416e+10,2.672e+09,2.92e+08,9.31e+08,2.168e+09,3.1479e+10,1.223e+09,2.498e+09,8.59e+08,4.58e+09,4.732e+09,3.6211e+10,8.8e+07,4.6e+07,-7e+07,-5.4e+07,1e+07,-2.98e+08,1.15e+08,-1.83e+08,-1.7e+07,-4.2e+07,3.33e+08,2.71e+08,9.8e+07,9.8e+07,9.8e+07,2.94e+08,3.603e+09,0.22815,0.10396,0.02388,0.00312,6.65237,0.0995,1.1566,1.13682,11.1259,46.8782,0.174,0.00362,0.15044,7.41837,8.79435
"10","2012_Q3",19.15,"Down",1.124e+09,7.45e+08,3.77e+08,2000000.00000001,-2.1e+07,2.3e+07,-3.63e+08,-2.32e+08,-2.96e+08,2.33e+08,-9.7e+07,-1.9e+07,-7.8e+07,1.36e+08,1.36e+08,-5.2e+07,8.4e+07,8.4e+07,9.9e+07,9.9e+07,2.5778e+10,2.3428e+10,7.35e+08,1.121e+09,4.94e+08,1.523e+09,7.02e+08,8.46e+08,8.203e+09,3.7052e+10,2.6322e+10,2.502e+09,3.96e+08,1.158e+09,1.899e+09,3.2277e+10,1.207e+09,2.515e+09,9e+08,4.622e+09,4.775e+09,3.7052e+10,8.4e+07,3.7e+07,2.04e+08,-1.09e+08,2.16e+08,-5.27e+08,-1.16e+08,-6.43e+08,-1.6e+07,-8.9e+07,4.13e+08,5.28e+08,1.01e+08,1.01e+08,1.01e+08,2.7e+08,3.66e+09,0.2073,0.08808,0.02073,0.00267,6.75958,0.09878,1.02697,1.0102,11.65975,47.94606,0.16598,0.00314,0.16162,7.91481,9.17167
"11","2012_Q4",19.8435483870968,"Up",1.538e+09,9.28e+08,4.42e+08,1.68e+08,-1.3e+07,1.81e+08,-6.1e+08,-2.54e+08,-2.71e+08,4.03e+08,-1.18e+08,-1.9e+07,-9.9e+07,2.85e+08,2.85e+08,-7.4e+07,2.11e+08,2.11e+08,2.26e+08,2.26e+08,2.6411e+10,2.4055e+10,7.95e+08,1.031e+09,5.3e+08,1.626e+09,7.5e+08,6.21e+08,1.0225e+10,3.9633e+10,2.8042e+10,2.753e+09,6.56e+08,9.66e+08,2.252e+09,3.4669e+10,1.162e+09,2.577e+09,1.04e+09,4.779e+09,4.964e+09,3.9633e+10,2.11e+08,3.5e+07,-1.67e+08,1.82e+08,2.61e+08,-2.89e+08,1.77e+08,-1.12e+08,-1.7e+07,-1.57e+08,3.24e+08,-4.6e+07,1.03e+08,1.03e+08,1.03e+08,4.38e+08,3.719e+09,0.26203,0.14694,0.04553,0.0057,6.98409,0.09384,2.43272,2.38901,16.55544,51.44241,0.18299,0.00623,0.07522,4.77854,5.19355
"12","2013_Q1",22.5503333333333,"Up",1.208e+09,7.84e+08,4.27e+08,-3e+06,-3.1e+07,2.8e+07,-5.56e+08,-1.9e+08,-4.08e+08,5.4e+07,-8.4e+07,-1.8e+07,-6.6e+07,-30000000.0000001,-30000000.0000001,4.9e+07,1.9e+07,1.9e+07,5e+07,5e+07,2.6744e+10,2.4439e+10,8.35e+08,9.39e+08,5.31e+08,1.705e+09,6.36e+08,5.5e+08,9.536e+09,3.9171e+10,2.8164e+10,2.892e+09,4.75e+08,9.53e+08,1.939e+09,3.4423e+10,1.152e+09,2.52e+09,9.06e+08,4.578e+09,4.748e+09,3.9171e+10,1.9e+07,1.39e+08,-999999.99999994,1.73e+08,3.3e+08,-2.48e+08,-2.39e+08,-4.87e+08,-4e+07,-8.1e+07,3.71e+08,2.36e+08,7.9e+07,7.9e+07,7.9e+07,1.93e+08,3.845e+09,0.0447,0.04139,0.01053,0.00128,7.25,0.09816,0.55679,0.54585,13.45212,50.97996,0.44543,0.00233,0.8,11.08808,39.62963
