"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.1034920634921,"Up",55824000,34902000,49412000,-14510000,20922000,8365000,11676000,-4388000,51436000,-37110000,-1514000,-35596000,14326000,14326000,14326000,-4647000,9679000,9679000,9679000,7968000,53518000,71139000,910004000,3018288000,-87827000,3106115000,37556000,89949000,264658000,4445112000,3539130000,3081485000,457645000,141146000,114539000,71240000,3866055000,455526000,-30348000,147381000,6498000,579057000,579057000,4445112000,9679000,1182000,4388000,60650000,-41777000,34122000,-857000,16653000,-22348000,4e+06,-2552000,-5077000,-3800000,2664000,-113334000,1295302922.96372,-119547000,-87977000,-87977000,-87977000,15508000,255685000,-22479000,0.25663,0.14273,0.01376,0.00179,-2.82116,6.67647,0.05752,0.272,0.27194,1.90562,19.76682,-0.76735,0.17331,0.00293,-0.00506,0.63717,13.0363,14.11189
"2","2010_Q3",11.471875,"Down",55875000,36249000,50050000,-13801000,19626000,1530000,18977000,-5798000,50077000,-39649000,-1418000,-38231000,10428000,10428000,11404000,-3609000,7795000,7795000,7795000,6078000,65337000,42979000,953708000,3043735000,-88014000,3131749000,36573000,89618000,299363000,4531313000,3609586000,3121867000,487719000,141774000,119546000,70905000,3941811000,455858000,-30486000,149799000,14331000,589502000,589502000,4531313000,7795000,2435000,5798000,65701000,-101860000,-20131000,-184000,-30492000,-36545000,934000,-66287000,-5106000,5521000,-142000,26279000,44177000,70729000,-15689000,-15689000,-15689000,12863000,261320000,-85572000,0.18663,0.10878,0.01031,0.00134,-14.07897,6.68668,0.05767,0.25272,0.25264,2.32326,24.51122,-3.55804,0.21231,0.00247,-0.01888,0.84008,15.23618,18.79392
"3","2010_Q4",12.75640625,"Up",58852000,37184000,50241000,-13057000,21668000,4918000,16750000,-5578000,53274000,-37810000,-1563000,-36247000,15464000,15464000,16547000,-5344000,11203000,11203000,11203000,9482000,60395000,79082000,895651000,3022670000,-89509000,3112179000,36133000,89287000,349095000,4532313000,3566194000,3070416000,495778000,172224000,124679000,72893000,3935990000,456195000,-31723000,155633000,16218000,596323000,596323000,4532313000,11203000,1763000,5578000,96684000,-148175000,-32947000,-536000,62596000,12186000,4985000,79231000,-5105000,35448000,-1229000,24094000,-67486000,-14278000,32006000,32006000,32006000,17227000,296903000,-126140000,0.26276,0.16112,0.0159,0.00209,-13.3031,6.60043,0.06551,0.3555,0.35541,2.20651,22.35768,-4.72931,0.1914,0.00322,-0.02783,0.53839,13.72891,15.2941
"4","2011_Q1",12.9401612903226,"Up",61344000,39162000,50923000,-11761000,22182000,4510000,17672000,-3443000,57901000,-39936000,-1858000,-38078000,17965000,17965000,18199000,-5632000,12567000,12567000,12567000,6127000,62313000,34559000,990499000,2983749000,-86874000,3070623000,33881000,88955000,251325000,4445281000,3622745000,3098181000,524564000,155989000,114508000,65656000,3958898000,350282000,-32284000,157875000,10510000,486383000,486383000,4445281000,12567000,2029000,3443000,201499000,-89314000,130224000,-938000,-103098000,11279000,7542000,-85215000,-5307000,-26261000,-111562000,-92837000,149388000,-86579000,-41570000,-41570000,-41570000,19994000,270497000,-64626000,0.29286,0.09988,0.0126,0.00138,-10.54774,8.13947,0.06085,0.16441,0.16435,1.64608,13.05142,-1.73415,0.14241,0.00257,-0.01454,0.86617,10.41232,11.58831
"5","2011_Q2",13.844126984127,"Up",55683000,36860000,47210000,-10350000,18823000,4236000,14587000,-2198000,53485000,-38476000,-1096000,-37380000,15009000,15009000,15139000,-4531000,10608000,10608000,10608000,10608000,57271000,81661000,962870000,2965558000,-86160000,3051718000,36024000,88650000,220342000,4412376000,3609007000,3095692000,513315000,132153000,116409000,64340000,3921909000,346535000,-29655000,164455000,9132000,490467000,490467000,4412376000,10608000,1607000,2198000,57343000,-17248000,54508000,-3047000,25063000,11983000,-3961000,30038000,-3968000,-23533000,-1247000,19992000,-33730000,-42486000,42060000,42060000,42060000,16616000,248562000,852000,0.26954,0.19051,0.02163,0.0024,0.08032,7.99627,0.05633,0.36121,0.36108,1.89602,16.70053,0.02901,0.13511,0.0033,0.00019,0.37406,11.51246,12.74509
"6","2011_Q3",14.845625,"Up",57866000,37584000,47873000,-10289000,20282000,4638000,15644000,-66999.9999999995,57799000,-35943000,-1080000,-34863000,21856000,21856000,22998000,-8133000,14865000,14865000,14865000,14865000,59249000,1e+05,921859000,3033147000,-85010000,3118157000,36885000,88325000,215386000,4354951000,3523316000,3007127000,516189000,130123000,126477000,69441000,3849357000,346535000,-31437000,175374000,15122000,505594000,505594000,4354951000,14865000,1631000,66999.9999999995,16969000,-10107000,23425000,-2542000,51314000,-74657000,6407000,-19478000,-3980000,7965000,-1824000,-11357000,-74334000,-83530000,-79583000,-79583000,-79583000,23487000,256600000,18971000,0.3777,0.25689,0.0294,0.00341,1.27622,7.61353,0.05892,0.55716,0.55695,2.16891,18.95047,0.71106,0.14918,0.00433,0.00436,0.26774,8.40256,9.0296
"7","2011_Q4",16.5306349206349,"Up",56442000,36626000,46586000,-9960000,19816000,4748000,15068000,-1260000,55182000,-37148000,-1326000,-35822000,18034000,18034000,18448000,-6908000,11540000,11540000,11540000,11540000,57986000,25064000,869600000,2999084000,-84210000,3083294000,40958000,8.8e+07,225249000,4305941000,3447585000,2886653000,560932000,140938000,126756000,73783000,3789062000,346535000,-31408000,183007000,18745000,516879000,516879000,4305941000,11540000,1585000,1260000,30142000,-35034000,9493000,-4998000,57833000,28775000,1385000,82995000,-3987000,10899000,32000,-54545000,-21186000,-68787000,23701000,23701000,23701000,19619000,267694000,-13505000,0.31951,0.20446,0.02233,0.00268,-1.17028,7.33066,0.06217,0.43327,0.43309,2.11914,19.40647,-0.50705,0.14969,0.00361,-0.00314,0.34549,10.68903,11.62848
"8","2012_Q1",17.4751612903226,"Up",57882000,37330000,45854000,-8524000,20552000,4866000,15686000,396000,58278000,-40787000,-2006000,-38781000,17491000,17491000,17204000,-6022000,11182000,11182000,11182000,11182000,61406000,52921000,902106000,3008899000,-81644000,3090543000,39857000,87675000,221207000,4374071000,3520141000,2940040000,580101000,125234000,126848000,77930000,3850153000,346535000,-31389000,190261000,18511000,523918000,523918000,4374071000,11182000,1817000,-396000,46858000,-22479000,36982000,-830000,-33806000,-30268000,6360000,-58544000,-3986000,-15732000,1000,-96613000,169169000,52839000,31277000,31277000,31277000,19308000,252082000,2021000.00000001,0.30218,0.19319,0.02134,0.00256,0.18074,7.34877,0.05763,0.46661,0.46641,2.41534,21.86237,0.08433,0.16633,0.00347,0.00046,0.35647,9.87549,10.90138
"9","2012_Q2",15.4898412698413,"Down",57513000,37385000,45301000,-7916000,20128000,4505000,15623000,-2254000,55259000,-38048000,-1398000,-36650000,17211000,17211000,17606000,-5891000,11715000,11715000,11715000,11715000,56707000,901000,920935000,3064496000,-82394000,3146890000,39963000,88475000,213219000,4384696000,3505674000,2918350000,587324000,143771000,129520000,73840000,3852805000,346535000,-30757000,198175000,17938000,531891000,531891000,4384696000,11715000,1724000,2254000,33916000,-32988000,16621000,-1161000,-20197000,-65320000,12711000,-73967000,-4002000,18338000,758000,3034000,-17501000,627000,-56719000,-56719000,-56719000,18935000,273291000,-9323000,0.29925,0.20369,0.02203,0.00267,-0.79582,7.2436,0.06233,0.439,0.4388,2.15523,19.93194,-0.34937,0.14997,0.00358,-0.00213,0.34161,11.43829,12.58405
"10","2012_Q3",16.0092063492063,"Up",57757000,37975000,45731000,-7756000,19782000,4815000,14967000,-2055000,55702000,-36578000,-1449000,-35129000,19124000,19124000,19132000,-6565000,12567000,12567000,12567000,12567000,88729000,1351000,872776000,3187293000,-83299000,3270592000,40820000,88135000,207480000,4486584000,3586017000,2977660000,608357000,133928000,155198000,69177000,3944320000,346535000,-30447000,206789000,19387000,542264000,542264000,4486584000,12567000,1898000,2055000,63406000,-58638000,21288000,-1921000,49522000,-134668000,5956000,-81111000,-4005000,15688000,269000,-29972000,110315000,92295000,32472000,32472000,32472000,21022000,289126000,-32972000,0.33111,0.21758,0.02318,0.0028,-2.6237,7.2738,0.06444,0.47085,0.47065,2.16397,20.31692,-1.23536,0.15005,0.00369,-0.00735,0.31869,9.53273,10.47882
