"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",13.79015625,"Up",21637000,-15842000,5795000,-3772000,-1740000,-2032000,2023000,167000,167000,2190000,-2501000,-311000,3000,-308000,-308000,-246369.168983177,-308000,-4077157.97019947,-308000,117555329.99208,117555329.992081,-159475.630778376,-159475.630778376,7067626.40546076,7067626.40677436,124463480.766762,-196865089.84703,-196865089.84703,377883622.485539,502347103.252302,-1027244.5536156,-1005505.20607537,-21739.3475402332,1876091.5714636,1876091.5714636,-25442839.1159375,71.3364556241054,-25442767.7794818,553717285.324826,-25951999.3061249,-1154789.04284986,526607140.017609,1182731.01417496,527789871.031784,502347103.252302,-308000,2032000,724000,-173000,2275000,-174977000,-129538000,16638554.3201596,-13910000,332350000,886448.55407214,-2240000,316200000,188937000,188937000,188937000,4055000,0,-171098000,0.26783,0.0935,-0.01423,-0.00887921806797977,-0.00707510287120739,555.51299,1.91693291001181,0.0849743770078314,0.0815262126800421,-0.01074,-0.01074,0.7547,24.5898630396736,-5.96787,-0.488684274147465,-0.0104993723803141,18.210912426211,-40.2105896971934,-118.955942647509
"2","2011_Q1",15.3058064516129,"Up",33908000,-25612000,8296000,-6577000,-3061000,-3516000,1719000,-662000,-662000,1057000,-3081000,-2024000,103000,-1921000,-1921000,0,-1921000,0,-1921000,220722000,220722000,3924000,3924000,4485000,4485000,229131000,599714000,599714000,626384000,855515000,16103000,15799000,304000,7390000,7390000,167063000,0,167063000,0,698498000,-11586000,686912000,1540000,688452000,855515000,-1921000,3516000,-984000,1100000,1711000,-190070000,-195609000,0,44458000.0000001,0,0,-833000,43625000.0000001,-150273000,-150273000,-150273000,5235000,143570000,-183838000,0.24466,0.0507,-0.05665,-0.00279,-0.00225,95.69912,1.37152,0.24266,0.16782,-0.067,-0.067,1.18271,23.95939,-6.41224,0,-0.00231,0,-14.73773,-44.88191
"3","2011_Q2",14.9749206349206,"Down",42665000,-32738000,9927000,-7329000,-2532000,-4797000,2598000,-2383000,-2383000,215000,-3649000,-3434000,390000,-3044000,-3044000,0,-3044000,-547000,-3591000,210388223.335973,210388223.335973,9134158.54359279,9134158.54359279,4834124.53151308,4834124.53107521,224356506.411079,993749363.282343,993749363.282343,905804209.171487,1130160715.58257,26174414.8512052,25598001.7353585,576413.115846744,10907469.4761788,10907469.4761788,264365529.705312,-23.7788185413685,264365505.926494,-55428261.7749421,938269416.435375,-18952236.9857167,863890036.660797,1905172.99527501,865795209.656072,1130160715.58257,-3044000,4797000,901000,-2471000,183000,-46850000,-62435000,-4908000,187797000,-140000,-140000,-627000,182122000,119870000,119870000,119870000,7395000,0,-42316000,0.23267,0.06089,-0.08417,0.000563906022659922,0.000415867623735796,11.7839,0.90522069666273,0.297317707664056,0.196852929106653,-0.09016,-0.09016,1.07124,20.9877098201088,-1.06248,0.12323,0.0027614574601047,-1.36675,-0.769027600935521,-6.547979117497
"4","2011_Q3",12.333125,"Down",73110000,-49475000,23635000,-10547000,-2955000,-7592000,13088000,-3153000,-3153000,9935000,-4826000,5109000,-810000,4299000,4299000,-85000,4214000,-2461000,1753000,139999000,139999000,13752000,13752000,6729000,6729000,160480000,1120085000,1120085000,1159473000,1319953000,31110000,30325000,785000,12964000,12964000,296188000,0,296188000,1.25e+08,920805000,-24320000,1021485000,2280000,1023765000,1319953000,4299000,7592000,1473000,1834000,15198000,-437471000,-434174000,-4899000,-10468000,235980000,0,-2230000,218383000,-200593000,-200593000,-200593000,20680000,252114000,-414147000,0.32328,0.17902,0.02398,0.00171,0.00133,-236.25043,0.54182,0.28931,0.191,0.0349,0.0349,1.45562,17.84907,-8.24569,0.09754,0.00521,2.79464,5.42142,8.56624000000001
"5","2011_Q4",13.1001587301587,"Up",87803000,-59611000,28192000,-13153000,-4116000,-9037000,15039000,-1557000,-3726000,13482000,-7725000,5757000,81000,5838000,5838000,-114000,5724000,-2899000,2825000,75318000,75318000,14925000,14925000,8730000,8730000,98973000,1120484000,1120484000,1318455000,1417428000,33233000,32302000,931000,13936000,13936000,299003000,0,299003000,2.25e+08,918350000,-27603000,1115747000,2678000,1118425000,1417428000,5838000,9037000,-1816000,-17000,13042000,-9307000,-166012000,-6218000,96977000,0,0,-2470000,88289000,-64681000,-64681000,-64681000,24076000,251834000,14671000,0.32108,0.17128,0.03217,0.00253,0.00199,5.19327,0.33101,0.26734,0.17767,0.05557,0.05557,1.72723,17.52249,0.2886,0.12232,0.0066,2.20106,7.33162,11.73722
"6","2012_Q1",16.0687096774194,"Up",84409000,-59530000,24879000,-13190000,-3671000,-9519000,11689000,-3356000,-3523000,8333000,-2000.00000000093,8331000,-225000,8106000,8106000,-144000,7962000,-4506000,3456000,65684000,65684000,11312000,11312000,9469000,9469000,86465000,1127484000,1127484000,1330167000,1416632000,34333000,33333000,1e+06,14412000,14412000,300284000,0,300284000,90000,1143413000,-30252000,1113251000,3097000,1116348000,1416632000,8106000,9519000,1351000,677000,19653000,-14123000.0000001,-19136000,-6219000,-430000,2.98023223876953e-08,0,-3502000,-10151000,-9634000,-9634000,-9634000,21208000,251539000,7986999.99999994,0.29474,0.13848,0.04094,0.0031,0.00244,2.31104999999998,0.28794,0.26899,0.17756,0.06804,0.06779,1.6617,21.91396,0.15723,0.12243,0.00707,1.79948,8.76344,15.89999
"7","2012_Q2",16.6765079365079,"Up",77474000,-58093000,19381000,-13709000,-4020000,-9689000,5672000,-6847000,-3251000,-1175000,-4245000,-5420000,2583000,-2837000,-2837000,46000,-2791000,-4456000,-7247000,36364000,36364000,15199000,15199000,8815000,8815000,60378000,1133851000,1133851000,1334998000,1395376000,32699000,31770000,929000,16348000,16348000,260109000,0,260109000,90000,1175624000,-43781000,1131933000,3334000,1135267000,1395376000,-2837000,9689000,5358000,-1615000,10595000,-17005000,-19723000,-6219000,-41025000,32102000,-319000,-5050000,-20192000,-29320000,-29320000,-29320000,15361000,211062000,-5842000,0.25016,0.07321,-0.09354,-0.00638,-0.00519,0.80613,0.23213,0.22912,0.15126,-0.14207,-0.14207,1.5188,22.18869,-0.11453,0.12192,-0.00076,-0.858150000000001,11.37283,30.80007
"8","2012_Q3",17.4319047619048,"Up",94167000,-62147000,32020000,-15345000,-5347000,-9998000,16675000,-362000.000000001,-3442000,16313000,-4620000,11693000,-1666000,10027000,10027000,-163000,9864000,-4457000,5407000,163898000,163898000,15937000,15937000,8334000,8334000,188169000,1165080000,1165080000,1371211000,1559380000,37158000,36083000,1075000,16831000,16831000,314204000,2.27373675443232e-13,314204000,90000.0000000075,1286596000,-45283000,1241403000,3773000,1245176000,1559380000,10027000,9998000,-2118000,3565000,21472000,-42463000,-42235000,-6394000,44362000,115210000,0,-4881000,148297000,127534000,127534000,127534000,26673000,260215000,-10559000,0.34003,0.17708,0.05742,0.00434,0.00347,-1.95284,0.59888,0.25234,0.16687,0.1022,0.10216,1.77982,23.46164,-0.19957,0.12085,0.00784,1.18254,3.61103,5.77613
"9","2012_Q4",16.3245161290323,"Down",104305000,-68051000,36254000,-15592000,-4537000,-11055000,20662000,-1715000,-3867000,18947000,-5085000,13862000,-1757000,12105000,12105000,-187000,11918000,-4456000,7462000,147475000,147475000,18827000,18827000,10693000,10693000,176995000,1348499000,1348499000,1555970000,1732965000,42090000,40986000,1104000,16588000,16588000,417749000,0,417749000,90000,1356378000,-45106000,1310973000,4243000,1315216000,1732965000,12105000,11055000,-790000,2707000,25077000,-198412000,-196083000,-7020000,97661000,70423000,0,-6481000,154583000,-16423000,-16423000,-16423000,31717000,359071000,-162231000,0.34758,0.19809,0.07154,0.00567,0.00431,-21.74095,0.42369,0.31763,0.2072,0.12709,0.12699,1.77649,22.32656,-2.76307,0.11956,0.00865,0.94077,6.67137,10.24083
"10","2013_Q1",18.4255,"Up",104742000,-73293000,31449000,-14925000,-2873000,-12052000,16524000,186000.000000001,-4148000,16710000,-8471000,8239000,-1026000,7213000,7213000,-125000,7088000,-4456000,2632000,85900000,85900000,13463000,13463000,12034000,12034000,111397000,1417229000,1417229000,1734765000,1846162000,48692000,47364000,1328000,15870000,15870000,533070000,0,533070000,90000.0000000005,1362959000,-49798000,1312951000,141000,1313092000,1846162000,7213000,12052000,-3893000,4657000,20029000,-43294000,-149828000,-7369000,79590000,3523000,-2000,-7520000,68224000,-61575000,-61575000,-61575000,28576000,468508000,-9035000.00000003,0.30025,0.15776,0.02513,0.002,0.00143,-3.43275,0.20897,0.40597,0.25377,0.04344,0.04306,1.72859,21.66651,-0.149110000000001,0.12161,0.00561,2.79977,13.38914,23.15468
