"","YQ","p","d","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q4",10.092380952381,"Down",-265350,-265350,205464,205464,-59886,-2244,-62130,-62130,-62130,-62130,-62130,933763,933763,368098,368098,1301861,690203220,691505081,133947,133947,215971,215971,349918,24150000,24150000,24150000,24499918,667072699,662007169,-67536,667005163,667005163,691505081,198298800.498385,-15589441.268887,19542024.4854642,194546773.397005,-206592195.498264,-207539806.206007,998047.014211198,998047.014211198,998047.014211198,0,-9e-05,-9e-05,3.72047,0.03673,0,-0.00515,-0.00515,55.27563,-9e-05,3.51899
"2","2018_Q2",10.040625,"Up",-466304.999999998,-466305,2321396,2321396,1855091,-97067,1758024,1758024,1758024,1758024,1758024,1006776,1006776,239367,239367,1246143,694165680,695411823,443242,443242,0,0,443242,24150000,24150000,24150000,24593242,667729837,665820587,3088744,670818581,670818581,695411823,1758024,-2224329,245939,-220366,530760,530760,310394,310394,310394,0,0.00262,0.00253,2.81143,0.03666,0,0.08777,0.08777,33.49026,0.00253,2.15905
"3","2018_Q3",9.95714285714286,"Down",-525012,-525012,3034352,3034352,2509340,-68224,2441116,2441116,2441116,2441116,2441116,817157,817157,121965,121965,939122,697131808,698070930,314338,314338,346895,346895,661233,24150000,24150000,24150000,24811233,667729837,668261707,5529860,673259697,673259697,698070930,2441116,-2966128,-11502.0000000009,-536514,346894.999999985,346895,-189619,-189619,-189619,0,0.00363,0.0035,1.42026,0.03685,0,0.12164,0.12164,33.54908,0.0035,1.55645
"4","2018_Q4",9.95095238095238,"Down",-224827.000000007,-224827.000000007,3401636,3401636,3176808.99999999,-139893,3036916.00000001,3036915.99999999,3036915.99999999,3036915.99999999,3036915.99999999,804834,804834,81702,81702,886536,700393551,701280087,457406,457406,376068,376068,833474,24150000,24150000,24150000,24983474,671298624,671298624,4997989,676296613,676296613,701280087,3036916,-3261743,183331,-41496,29173,29173,-12323,-12323,-12323,7.27595761418343e-12,0.00449000000000001,0.00433,1.06366,0.03694,6.7762635780344e-21,0.15103,0.15103,33.63268,0.00434,3.57979
"5","2019_Q1",10.0995081967213,"Up",-167617856,-165969856,20436616,-8134384,-145533240,305184,-145228056,-145375056,-145375056,-145375056,-145375056,462162,462162,45339,45339,507501,704250272,704757773,200529,200529,381675,381675,582204,24150000,24150000,24150000,24732204,675027579,675027579,4997990,680025569,680025569,704757773,-145375056,7930200,-13266768,-144904624,155776172,155688172,193548,193548,193548,0,-0.21378,-0.20628,0.87169,0.03637,0,-7.22651,-7.22651,33.80368,-0.20645,0.00278
"6","2019_Q2",10.2988888888889,"Up",-133046,-133046,4193961,4193961,4060915,-17920,4042995.00000003,4042995,4042995,4042995,4042995,326346.000000001,326346,145837,145837,472183,708426313,708898496,274808,274808,405124,405124,679932,24150000,24150000,24150000,24829932,679070574,679070574,4997990,684068564,684068564,708898496,4042995,-4176041,-26219,-159265,23449,23449,-135816,-135816,-135816,-5.82076609134674e-11,0.00591,0.00570000000000007,0.69446,0.0363,-2.16840434497101e-19,0.20101,0.20101,34.0107,0.00570999999999999,2.45288
"7","2019_Q3",10.45671875,"Up",-2664159,-2664159,4360454,4360454,1696295,-252102,1444193,1444193,1444193,1444193,1444193,274295,274295,79812,79812,354107,712534665,712888772,2466601,2466601,759414,759414,3226015,24150000,24150000,24150000,27376015,680514791,680514791,4997966,685512757,685512757,712888772,1444193,-4108352,2257818,-406341,354290,354290.00000003,-52051.0000000037,-52051.0000000037,-52051.0000000037,0,0.00211,0.00203,0.10977,0.03994,0,0.07182,0.07182,34.08918,0.00204,0.10296
"8","2019_Q4",9.75984375,"Down",-138040795,-136478795,-7291415,-7419415,-143770210,270021.999999996,-143500188,-143623188,-143623188,-143623188,-143623188,48489,48488.9999999851,74258.0000000009,74257.9999999995,122747.000000015,677167505,677290252,5479951,5479951,1725813,1725813,7205764,24150000,24150000,24150000,31355764,640936561,640936561,4997926.99999999,645934488,645934488,677290252,-143623188,9228393,1754401,-127720394,105741261,145686261,4285867,4285867,4285867,9.31322574615479e-10,-0.22235,-0.21206,0.01703,0.04854,1.73472347597681e-18,-7.05642,-7.05642,31.73571,-0.21434,0.000360000000000193
"9","2020_Q1",19.0033870967742,"Up",-74201000,-73986000,1126000,1126000,-72860000,-4180000,-77040000,-76979000,-76979000,-76979000,-76979000,480443000,480443000,28950000,16672000,541709000,63837000,605546000,29315000,7038000,84129000,84129000,115845000,124330000,124330000,146471000,262316000,469028000,20000,-125857000,343230000,343230000,605546000,-76979000,5216000.00000003,-11141000,-80825000,-48005000,488256000,407255000,407255000,407255000,24542000,-0.22428,-0.12712,4.67615,0.76426,0.04053,-0.10737,-0.10737,0.47875,-0.15643,6.16199
"10","2020_Q2",16.4319047619048,"Down",-61037000,-60972000,995999.999999998,1168000,-59976000,-316896000,-376872000,-376826000,-376826000,-376826000,-376826000,419374000,419374000,27157000,14879000,475328000,72731000.0000001,548059000,26921000,8410000,86471000,86471000,113392000,22666000,22666000,22666000,136058000,593603000,21000,-181607000,412001000,412001000,548059000,-376826000,321322000,-2914000,-56313000,-697000,-720000,-61069000,-61069000,-61069000,0,-0.91462,-0.68756,4.1919,0.33024,-6.93889390390723e-18,-1.8617,-1.8617,2.03548,-0.86693,6.87814
"11","2020_Q3",18.9765625,"Up",-62966000,-62966000,719000,498000,-62247000,-9596000,-71843000,-71883000,-71883000,-71883000,-71883000,359912000,359912000,27125000,13859000,415642000,75334000,490976000,29038000,8228000,84660000,84660000,113698000,23040000,23040000,23040000,136738000,598358000,21000,-244125000,354238000,354238000,490976000,-71882999.9999999,15186999.9999999,2538000,-51774000,-769999.999999993,-796000,-58474000,-58474000,-58474000,0,-0.20292,-0.14641,3.65567,0.38601,0,-0.33942,-0.33942,1.67263,-0.19053,5.71597
"12","2020_Q4",23.35546875,"Up",-77011000,-77011000,269000,313000,-76742000,-15280000,-92022000,-92062000,-92062000,-92062000,-92062000,741575000,741575000,23139000,9871000,789861000,76185000,866046000,30546000,8490000,85490000,85490000,116036000,23763000,23763000,23763000,139799000,1047269000,23000,-321075000,726247000,726247000,866046000,-92062000,23913000,10664000,-54976000,-19798000,440362000,381665000,381665000,381665000,0,-0.12676,-0.1063,6.80703,0.1925,0,-0.40846,-0.40846,3.22224,-0.12275,9.62947
"13","2021_Q1",37.645737704918,"Up",-74335000,-74335000,271000,262000,-74064000,-30080000,-104144000,-104116000,-104116000,-104116000,-104116000,665924000,665924000,31520000,18489000,727927000,76063000,803990000,28980000,5998000,86041000,86041000,115021000,161891000,161891000,161891000,276912000,1297817000,23000,-770744000,527078000,527078000,803990000,-104116000,41850000,-10613000,-70096000,-4490000,-2252000,-75888000,-75888000,-75888000,0,-0.19753,-0.1295,6.32864,0.52537,0,-0.43958,-0.43958,2.22535,-0.15112,8.95842
"14","2021_Q2",28.3920634920635,"Down",-81277000,-81277000,345000,318000,-80932000,-48719000,-129651000,-129694000,-129694000,-129694000,-129694000,616625000,616625000,27517000,14486000,674329000,73698000,748027000,32089000,3738000,85996000,85996000,118085000,210098000,210098000,210098000,328183000,1320251000,22999.9999999998,-900438000,419844000,419844000,748027000,-129694000,70840000,7216000,-48769000,-10514000,289000,-49299000,-49299000,-49299000,-2.3283064365387e-10,-0.30891,-0.17338,5.71054,0.78168,2.16840434497101e-19,-0.59192,-0.59192,1.91615,-0.20588,7.58671
"15","2021_Q3",29.6846875,"Up",-74406000,-73898000,227000,214000,-73671000,-20363000,-94034000,-94040000,-94040000,-94040000,-94040000,551624000,551624000,28021000,14990000,609610000,74406000,684016000,27951000,3587000,84587000,84587000,112538000,126255000,126255000,126255000,238793000,1439690000,23000,-994478000,445223000,445223000,684016000,-94040000,34760000,-8294000,-64703000,-1563000,530000,-65001000,-65001000,-65001000,0,-0.21122,-0.13748,5.41693,0.53634,0,-0.38516,-0.38516,1.8235,-0.16456,7.46467
"16","2021_Q4",18.06078125,"Down",-85452000,-83079000,304000,234000,-82775000,34432000,-48343000,-48368000,-48368000,-48368000,-48368000,732006000,702565000,27041000,8963000,788353000,329270000,1117623000,31295000,7997000,87185000,87185000,118480000,29214000,29214000,29214000,147694000,2013196000,25000,-1042846000,969929000,969929000,1117623000,-48368000,-22288000,15596000,-52165000,-10455000,495090000,155988000,155988000,155988000,0,-0.04987,-0.04328,6.65389,0.15227,1.73472347597681e-18,-0.1981,-0.1981,3.97255,-0.04841,8.81096
"17","2022_Q1",9.34032258064516,"Down",-81420000,-81281000,489000,417000,-80792000,0,-80792000,-80797000,-80797000,-80797000,-80797000,603899000,524481000,45025000,19476000,678592000,390242000,1068834000,38024000,9237000,93499000,93499000,131523000,43047000,43047000,43047000,174570000,2019776000,406189.234589581,-1123643000,894264000,894264000,1068834000,-80797000,13154000,-365999.999999993,-65126000,-7641000,-6552000.00000018,-170613000,-170613000,-170613000,0,-0.09035,-0.07559,5.15949,0.19521,0,-0.28199,-0.28043,3.12109,-0.0862,7.42977
