"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",16.1516129032258,"Down",329761000,-161492000,168269000,-158139000,-143658000,-12830000,-1651000,10130000,-7814000,-5832000,-1982000,2316000,1459000,-212000,1247000,1247000,-1426000,-179000,-22002000,79140000,177506000,177506000,323289000,84596000,664531000,239748000,831892000,489988000,179241000,130416000,32247000,1071640000,1736171000,400863000,87608000,271293000,61245000,462108000,348348000,156892000,135339000,7452000,14101000,505240000,967348000,880650000,-53951000,-90834000,735865000,32958000,768823000,1736171000,1247000,10281000,-11203000,-18084000,-17759000,-5673000,-5673000,-3455000,24222000,-1937000,18830000,-4602000,-4602000,-5126000,-9728000,20411000,409593000,-3134000,0.51028,0.03072,-0.06672,-0.02862,-0.01267,0.14244,1.43804,1.25822,0.23592,-0.38296,-0.23998,5.73968,12.80816,-0.05455,0.06014,-0.01389,-0.00235,-0.15703,16.18995,32.62122
"2","2017_Q2",16.7903174603175,"Up",433615000,-207200000,226415000,-161941000,-147812000,-12507000,-1622000,64474000,-2359000,-2922000,563000,62115000,62115000,-22485000,39630000,39630000,-1516000,38114000,38114000,72738000,321440000,321440000,314155000,81519000,789852000,234401000,821074000,487894000,182136000,120085000,30959000,1055475000,1845327000,253618000,95388000,125765000,193062000,446680000,437432000,160333000,137434000,7533000,15366000,597765000,1044445000,883594000,-24989000,-89797000,768808000,32074000,800882000,1845327000,39630000,10161000,18032000,-291311000,-223488000,-3676000,-3676000,0,220044000,-903000,219141000,-8023000,-8023000,1621000,-6402000,74635000,630494000,-197867000,0.52216,0.14869,0.0879,0.04759,0.02065,-5.19145,1.76827,1.30412,0.34167,0.51352,0.51332,5.84223,10.35839,-2.66592,2.77555756156289e-17,0.02395,-0.12431,0,7.47312,8.65087
"3","2017_Q3",15.9720634920635,"Down",427988000,-205022000,222966000,-165074000,-151633000,-11817000,-1624000,57892000,-5647000,-4901000,-746000,52245000,52245000,-18207000,34038000,34038000,-1022000,33016000,33016000,80897000,264866000,264866000,294936000,73145000,713844000,232663000,806341000,485616000,182434000,106384000,31907000,1039004000,1752848000,228371000,78669000,124928000,99372000,327743000,431498000,162323000,139892000,6269000,16162000,593821000,921564000,887648000,-1122000,-88338000,798188000,33096000,831284000,1752848000,34038000,10292000,16296000,72997000,133623000,-5147000,-5147000,-17868000,-100304000,-2400000,-120572000,7904000,7904000,255000,8159000,68184000,530870000,154241000,0.52096,0.13527,0.07714,0.03972,0.01884,4.6717,2.17806,1.1086,0.30286,0.44345,0.44276,5.74841,10.72066,2.07165,0.23999,0.03338,0.10118,0.54119,6.59939,7.77263
"4","2017_Q4",17.2847619047619,"Up",347263000,-174159000,173104000,-153924000,-141514000,-10784000,-1626000,19180000,-5058000,-4040000,-1018000,14122000,14122000,-3488000,10634000,10634000,-1316000,9318000,9318000,73191000,209437000,209437000,320974000,70064000,673666000,228381000,803513000,483511000,185092000,104248000,30662000,1031894000,1705560000,253273000,91085000,140565000,38077000,291350000,425719000,145823000,123401000,5893000,16529000,571542000,862892000,891323000,-950000,-79717000,810656000,32012000,842668000,1705560000,10634000,10214000,4234000,46899000,71981000.0000001,-3958000,-3958000,-8934000,-69273000,0,-78207000,-10184000,-10184000,2478000,-7706000,29394000,463796000,75823000,0.49848,0.05523,0.02683,0.01106,0.00546,8.13726,2.31222,1.024,0.27193,0.12515,0.12473,4.66418,10.88812,1.0184,0.11999,0.01257,0.05221,0.95879,13.2886,20.36522
"5","2018_Q1",19.8549180327869,"Up",351392000,-172020000,179372000,-151090000,-137330000,-12133000,-1627000,28282000,-5088000,-3846000,-1242000,23194000,23194000,-4295000,18899000,18899000,-652000,18247000,18247000,47722000,190851000,190851000,363962000,84541000,687076000,228922000,817907000,481234000,203403000,99437000,33833000,1046829000,1733905000,259700000,92759000,132631000,47083000,306783000,416970000,156179000,130160000,9318000,16701000,573149000,879932000,894801000,8199000,-81691000,821309000,32664000,853973000,1733905000,18899000,10204000,-3800000,-34456000,-9153000,-6064000,-6064000,-8942000,235000,-2400000,-11107000,-26324000,-26324000,855000,-25469000,38486000,464053000,2261000,0.51046,0.08049,0.05193,0.02137,0.01052,0.12391,2.23962,1.0304,0.26763,0.24502,0.24381,4.71844,11.02842,0.03036,0.12007,0.01844,0.00153,0.49005,10.81773,14.72071
"6","2018_Q2",22.08765625,"Up",441801000,-214127000,227674000,-165390000,-151368000,-12392000,-1630000,62284000,-3974000,-4408000,434000,58310000,58310000,-15220000,43090000,43090000,-1606000,41484000,41484000,48370000,348516000,348516000,363328000,86922000,847136000,225257000,810495000,480043000,188750000,106573000,35129000,1035752000,1882888000,265232000,91447000,136494000,164937000,430169000,408259000,158391000,130660000,9288000,18443000,566650000,996819000,896525000,37816000,-80142000,854199000,31870000,886069000,1882888000,43090000,10325000,9145000,-149392000,-86832000,-5887000,-8383000,-9898000,107355000,-2634000,94823000,-391999.999999996,-391999.999999996,1040000,648000,72609000,573196000,-67450000,0.51533,0.14098,0.0939,0.04682,0.02203,-1.62593,1.96931,1.12499,0.30442,0.55571,0.55464,5.91828,11.44268,-0.90355,0.13259,0.03176,-0.0417,0.2386,7.22811,8.42634
"7","2018_Q3",23.9944444444444,"Up",478138000,-227328000,250810000,-186231000,-171685000,-12916000,-1630000,64579000,-5791000,-5247000,-544000,58788000,58788000,-18419000,40369000,40369000,-462000,39907000,39907000,47678000,307854000,307854000,317422000,90822000,763776000,224523000,790999000,477451000,185122000,93124000,35302000,1015522000,1779298000,270612000,89606000,152290000,69872000,340484000,374320000,157328000,130812000,9705000,16811000,531648000,872132000,901513000,67806000,-90435000,878884000,28282000,907166000,1779298000,40369000,10387000,17390000,83243000,151389000,-7770000,-7751000,-9721000,-125781000,-6830000,-142332000,1306000,1306000,-1998000,-692000,74966000,444192000,168858000,0.52456,0.13506,0.08346,0.04399,0.02243,4.23129,2.24321,0.96138,0.24964,0.53378,0.53189,6.39538,11.75559,2.25857,0.13002,0.03289,0.11192,0.24359,5.28925,6.13998
"8","2018_Q4",22.1260317460317,"Down",370427000,-181489000,188938000,-163065000,-148653000,-12787000,-1625000,25873000,-8426000,-4284000,-4142000,17447000,17447000,-10098000,7349000,7349000,-286000,7063000,7063000,57992000,241488000,241488000,324968000,85366000,709814000,223852000,781171000,475799000,184784000,84879000,35709000,1005023000,1714837000,276491000,91063000,160627000,50192000,326683000,355633000,118931000,93057000,10110000,15764000,474564000,801247000,906182000,64915000,-86075000,885022000,28568000,913590000,1714837000,7349000,9345000,14697000,34117000,65508000,-7005000,-6878000,-9719000,-38490000,-1000,-48210000.0000001,10420000,10420000,-106000,10314000,35218000,405825000,72428000,0.51005,0.06985,0.01907,0.00773,0.00412,10.25457,2.17279,0.87703,0.23666,0.0943899999999999,0.09309,4.95056,11.82785,0.96796,0.12989,0.01167,0.05036,1.37604,9.87657,13.44386
"9","2019_Q1",21.8286885245902,"Down",343355000,-168426000,174929000,-155330000,-140177000,-13394000,-1759000,19599000,-3840000,-4463000,623000,15759000,15759000,-3495000,12264000,12264000,-846000,11418000,11418000,31014000,186114000,186114000,361207000,85666000,664001000,228388000,799232000,478257000,209671000,78028000,33276000,1027620000,1691621000,258322000,86045000,134009000,36545000,294867000,346953000,122817000,102077000,4635000,16105000,469770000,764637000,910965000,72946000,-89039000,894872000,32112000,926984000,1691621000,12264000,10439000,-1631000,12596000,33668000,-12139000,-26691000,-9719000,-22545000,-9e+05,-33164000,-26187000,-26187000,-791000,-26978000,30038000,383498000,33990000,0.50947,0.05708,0.03325,0.01232,0.00675,2.97688,2.25187,0.82487,0.2267,0.15259,0.14985,4.5887,11.95935,0.45425,0.12989,0.01475,0.02371,0.8512,11.7346,17.9848
"10","2019_Q2",23.3092063492063,"Up",433702000,-211545000,222157000,-169930000,-155426000,-12751000,-1753000,52227000,-3913000,-4883000,970000,48314000,48314000,-12275000,36039000,36039000,-1113000,34926000,34926000,44877000,333929000,333929000,346399000,87430000,812635000,223824000,840831000,476556000,210177000,71759000,82339000,1064655000,1877290000,252774000,88730000,133769000,177229000,430003000,338274000,162376000,104226000,4611000,53539000,500650000,930653000,901825000,97090000,-85503000,913412000,33225000,946637000,1877290000,36039000,9797000,7982000,-143883000,-90065000,-5462000,-5462000,-11872000,131872000,-10924000,109076000,13549000,13549000,314000,13863000,62024000,515503000,-75046000,0.51223,0.12042,0.08053,0.03689,0.0186,-2.14871,1.88984,0.98311,0.2746,0.45951,0.45796,5.70608,12.01747,-0.98736,0.1562,0.02881,-0.0462,0.33992,7.5878,9.01116
