"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",17.6458064516129,"Up",1527800000,-1301600000,226200000,-176600000,-63400000,-48600000,-64600000,49600000,-25700000,-2.7e+07,1600000,23900000,4400000,28300000,-4e+06,24300000,24300000,-32100000,-7800000,-8900000,188400000,188400000,466600000,466600000,50400000,45100000,41500000,750500000,2.509e+09,119100000,119100000,2643300000,3393800000,5.9e+08,5.9e+08,34200000,34200000,624200000,1534700000,198800000,111600000,87200000,1733500000,2357700000,0,244500000,-100800000,6e+05,144300000,891800000,1036100000,3393800000,24300000,37800000,8.6e+07,-6.8e+07,80100000,-55100000,4500000,-50600000,-127100000,-45900000,-191100000,-161600000,-161600000,-161600000,87400000,1534700000,-31700000,0.14806,0.03246,-0.00583,-0.00859,-0.00262,3.5618,1.20234,2.27555,0.45221,-1.36923,-1.36923,235.04615,22.2,-4.87692,0.00332,-0.01145,15.40389,27.14315
"2","2011_Q4",19.9911111111111,"Up",1713500000,-1485500000,2.28e+08,-157200000,-35400000,-45600000,-76200000,70800000,-25100000,-26800000,2200000,45700000,-1800000,43900000,-7400000,36500000,36500000,-31600000,4900000,4900000,145800000,145800000,575700000,575700000,92200000,52800000,52700000,866500000,2819500000,108200000,108200000,2964500000,3.831e+09,7e+08,7e+08,41100000,41100000,741100000,1.567e+09,192200000,120500000,71700000,1759200000,2500300000,0,229500000,-70100000,-1300000,158100000,1172600000,1330700000,3.831e+09,36500000,45600000,-6e+06,-1.33e+08,-56899999.9999999,-76100000,-6200000,-217500000,3.37e+08,-63200000,273800000,-6e+05,-6e+05,-6e+05,116400000,1.567e+09,-85300000,0.13306,0.04132,0.00286,0.00368,0.00128,-17.40816,1.16921,1.87894,0.40903,0.11951,0.11807,41.79268,3.8561,-2.08049,0.00159,-0.02761,12.20962,20.07345
"3","2012_Q1",25.1048387096774,"Up",1.934e+09,-1674500000,259500000,-151200000,-3.1e+07,-46700000,-73500000,108300000,-25400000,-28400000,3600000,82900000,0,82900000,-8100000,74800000,74800000,-66300000,8500000,8500000,145800000,145800000,575700000,575700000,92200000,52800000,52700000,866500000,2819500000,108200000,106800000,2964500000,3.831e+09,7e+08,7e+08,41100000,41100000,741100000,1.567e+09,192200000,120500000,71700000,1759200000,2500300000,0,229500000,-70100000,-1300000,158100000,1172600000,1330700000,3.831e+09,74800000,46700000,11100000,82100000,214700000,-117600000,-9300000,-119200000,-2.5e+07,-78800000,-103800000,-8300000,-8300000,-8300000,1.55e+08,1.567e+09,127600000,0.13418,0.056,0.0044,0.00639,0.00222,15.01176,1.16921,1.87894,0.40903,0.20732,0.20531,47.17073,3.8561,3.1122,0.00275,0.0413,9.16903,13.12281
"4","2012_Q2",26.2433333333333,"Up",1645800000,-1384200000,261600000,-153900000,-34900000,-47400000,-71600000,107700000,-28400000,-30500000,2100000,79300000,-213017.052615932,79300000,-10100000,69200000,69200000,-59600000,9600000,9600000,128454312.35424,128454312.35424,463770047.990466,463770047.990466,92689093.501471,70757267.3630138,70590690.9401663,755670721.209191,2887711774.16418,161093761.613737,114915799.910894,3091485962.54714,3847156683.75634,578141665.294135,578141665.294135,33411130.4910833,20856434.1051178,611552795.794636,1600918174.54173,183453661.185195,112366353.220017,71087307.9651778,1784371835.72693,2395924631.52156,-0.418595262338055,212965437.250432,-63560724.3228153,3339516.35867545,152110721.002617,1299121331.23216,1451232052.23477,3847156683.75634,69200000,47400000,12600000,9600000.00000003,138800000,-1.03e+08,-5100000,-108100000,17199999.9999999,-72500000,-55300000,-24600000,-24600000,-24600000,155100000,0,71800000,0.15895,0.06544,0.00583,0.00613702968976735,0.00232063680114085,7.47917,1.25695100131651,1.66588609896355,0.414995036369348,0.23415,0.22967,40.14146,4.33673941934793,1.75122,0.00298864663417307,0.029839036801024,8.91470762297663,11.8492725034534
"5","2012_Q3",26.8188888888889,"Up",1319100000,-1074600000,244500000,-161400000,-35900000,-48300000,-77200000,83100000,-3.1e+07,-30500000,-2e+05,52100000,0,52100000,-8700000,43400000,43400000,-34800000,8600000,8600000,117500000,117500000,368100000,368100000,89700000,74200000,74200000,649500000,2964500000,116400000,116400000,3.131e+09,3780500000,463600000,463600000,24200000,2800000,487800000,1610300000,174100000,107300000,66800000,1784400000,2272200000,-2.22044604925031e-16,186800000,-51900000,6e+06,140900000,1367400000,1508300000,3780500000,43400000,48300000,11400000,-37900000,65200000,-135700000,-7300000,-1.43e+08,1.4e+08,-65900000,74100000,-3700000,-3700000,-3700000,131400000,1610300000,-33500000,0.18535,0.063,0.00652,0.0057,0.00227,-3.89535,1.33149,1.50646,0.42595,0.20976,0.20525,32.17317,3.43659,-0.81707,0.00261,-0.01017,11.36073,17.9639
"6","2012_Q4",29.5974193548387,"Up",1393500000,-1.153e+09,240500000,-181500000,-35700000,-48600000,-97200000,5.9e+07,-3.4e+07,-3e+07,-2200000,2.5e+07,0,2.5e+07,-5900000,19100000,19100000,-10400000,8700000,8700000,120700000,120700000,416200000,416200000,84400000,45100000,45100000,666400000,3061200000,102900000,102900000,3215100000,3881500000,509200000,509200000,17100000,6e+06,526300000,1.751e+09,176900000,116300000,60600000,1927900000,2454200000,0,1.72e+08,-43200000,2200000,1.31e+08,1296300000,1427300000,3881500000,19100000,48600000,28600000,-10100000,86200000,-126400000,-5e+05,-152700000,145500000,-75800000,69699999.9999999,3200000,3200000,3200000,107600000,1.751e+09,-2.3e+07,0.17259,0.04234,0.00624,0.0061,0.00224,-2.64368,1.2662,1.71947,0.45111,0.2122,0.20863,33.9878,3.19512,-0.56098,0.00259,-0.00686,15.15149,27.6322
"7","2013_Q1",36.3131666666667,"Up",1320600000,-1060500000,260100000,-173600000,-33300000,-53300000,-8.7e+07,86500000,-33900000,-29800000,2200000,52600000,-12800000,39800000,-12200000,27600000,27600000,-16400000,11200000,11200000,76300000,76300000,514900000,514900000,99400000,42700000,42700000,733300000,3.538e+09,780600000,99800000,4371700000,5.105e+09,6.79e+08,6.79e+08,7600000,7400000,686600000,2475300000,189700000,131200000,58500000,2.665e+09,3351600000,8.88178419700125e-16,184400000,-3.2e+07,1200000,144100000,1609300000,1753400000,5.105e+09,27600000,53300000,28100000,2.9e+07,1.38e+08,-217600000,1100000,-1186900000,1108800000,-94800000,1004500000,-44400000,-44400000,-44400000,139800000,2475300000,-36600000,0.19696,0.0655,0.00848,0.00639,0.00219,-3.26786,1.06802,1.91149,0.48488,0.27317,0.26794,32.20976,3.51463,-0.89268,0.00253,-0.00828,17.16023,27.7341
"8","2013_Q2",40.05671875,"Up",1397800000,-1137500000,260300000,-186400000,-36300000,-6.4e+07,-86100000,73900000,-30700000,-32100000,1600000,43200000,-12789225.9621223,43200000,-9400000,33800000,33800000,-20400000,13400000,13400000,112700000,112700000,427600000,427600000,6.6e+07,24900000,24900000,631200000,3692400000,770100000,9.6e+07,4517300000,5148500000,621100000,621100000,1.2e+07,8200000,633100000,2522400000,189800000,127200000,62600000,2712200000,3345300000,0,173400000,-18600000,1e+05,145400000,1657800000,1803200000,5148500000,33800000,6.4e+07,7300000,87800000,192900000,-221800000,-4600000,-226400000,-17600000.0000002,87500000,69900000,36400000,36400000,36400000,137900000,2522400000,13300000,0.18622,0.05287,0.00959,0.00743,0.0026,0.99254,0.997,1.8552,0.48993,0.32212,0.31905,33.60096,3.49519,0.31971,0.00297,0.00295,17.47426,32.60758
"9","2013_Q3",41.94671875,"Up",1441600000,-1176400000,265200000,-204300000,-38300000,-65700000,-100300000,60900000,-2.3e+07,-32400000,2900000,37900000,-7400000,30500000,-8100000,22400000,22400000,-7500000,14900000,14900000,82900000,82900000,435800000,435800000,138300000,40900000,40900000,697900000,3883400000,768200000,101100000,4709200000,5407100000,597400000,597400000,11200000,3800000,608600000,2.728e+09,189200000,1.25e+08,64200000,2917200000,3525800000,1.4210854715202e-14,131600000,-3700000,1700000,120100000,1761200000,1881300000,5407100000,22400000,65700000,1.7e+07,-116400000,-11300000,-241600000,-5900000,-247500000,2.86e+08,-5.7e+07,2.29e+08,-29800000,-29800000,-29800000,126600000,2.728e+09,-223300000,0.18396,0.04224,0.01034,0.00792,0.00276,-14.98658,1.14673,1.87413,0.50452,0.35817,0.35392,34.65385,2.88702,-5.36779,0.00311,-0.04654,20.89336,43.4335
"10","2013_Q4",48.34578125,"Up",1370900000,-1.074e+09,296900000,-208600000,-37900000,-6.9e+07,-101700000,88300000,-18800000,-33400000,5600000,69500000,-7300000,62200000,-12800000,49400000,49400000,-33100000,16300000,16300000,83700000,83700000,498500000,498500000,201700000,25100000,25100000,8.09e+08,4109400000,755700000,95400000,4916300000,5725300000,679600000,679600000,7500000,5500000,687100000,2867900000,195700000,136100000,59600000,3063600000,3750700000,0,147600000,12600000,3e+05,1.51e+08,1823600000,1974600000,5725300000,49400000,6.9e+07,25600000,-48600000,95400000,-263700000,-18900000,-282600000,227400000,-39400000,1.88e+08,799999.999999993,799999.999999993,799999.999999993,157300000,2867900000,-142200000,0.21657,0.06441,0.01189,0.00825,0.00285,-8.72393,1.17741,1.89947,0.50092,0.39183,0.38717,32.95433,3.62981,-3.41827,0.00324,-0.02822,17.69994,31.53114
