"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",9.87032258064516,"Down",1421600000,-796300000,625300000,-259700000,-259700000,365600000,-41900000,-43200000,1300000,323700000,323800000,-54300000,269500000,269500000,269500000,269500000,1.433e+09,1.433e+09,1.433e+09,196700000,7725400000,3185700000,848500000,3691200000,7922100000,9355100000,812400000,812400000,3585200000,3326600000,258600000,4397600000,3.433e+09,377800000,377800000,3810800000,8208400000,330900000,940300000,-124500000,1146700000,1146700000,9355100000,269500000,61200000,36600000,46600000,413900000,-61800000,-37700000,0,-2.4e+08,-1.07e+08,-3.47e+08,29200000,29200000,29200000,426800000,3.433e+09,465900000,0.43986,0.25718,0.18958,0.23502,0.02881,1.72876,0.32586,7.15828,0.36697,0.44805,0.44604,2.36342,1.9064,0.77456,0,7,0.05436,0.09398,0,4.68604,5.47046
"12","2013_Q1",9.69766666666667,"Down",1424700000,-817400000,607300000,-321300000,-321300000,2.86e+08,-40700000,-44100000,3400000,245300000,244800000,-6900000,237900000,237900000,237900000,237900000,1776500000,1776500000,1776500000,196100000,7493100000,3179700000,878900000,3434500000,7689200000,9465700000,774500000,774500000,3369300000,3114600000,254700000,4143800000,4029200000,352100000,352100000,4381300000,8525100000,338500000,754700000,-152600000,940600000,940600000,9465700000,237900000,6.2e+07,4200000.00000001,21600000,325700000,-85100000,-94400000,-131900000,592800000,-348700000,112200000,343500000,343500000,343500000,3.48e+08,4029200000,291400000,0.42627,0.20074,0.16698,0.25292,0.02513,1.22488,0.42871,9.06347,0.42566,0.40452,0.40295,2.42255,1.59939,0.49549,0.22428,5,0.06949,0.05475,0.55443,6.47328,7.87657
"13","2013_Q2",10.92609375,"Up",1325400000,-759400000,5.66e+08,-269100000,-269100000,296900000,-47200000,-48500000,1300000,249700000,250200000,-38200000,2.12e+08,2.12e+08,2.12e+08,2.12e+08,1417100000,1417100000,1417100000,198700000,7745900000,3178500000,863300000,3704100000,7944600000,9361700000,752700000,752700000,3610600000,3319200000,291400000,4363300000,3726800000,3.54e+08,3.54e+08,4080800000,8444100000,348500000,702800000,-133700000,917600000,917600000,9361700000,2.12e+08,62900000,9300000,-46900000,237300000,-37900000,-37900000,-70300000,-3e+08,-188500000,-558800000,-359400000,-359400000,-359400000,359800000,3726800000,313200000,0.42704,0.22401,0.15995,0.23104,0.02265,1.47736,0.32478,9.20238,0.39809,0.3735,0.37213,2.3351,1.61663,0.5518,0.12385,4,0.05648,0.06266,0.3316,6.4194,7.77939
"14","2013_Q3",12.48171875,"Up",1385900000,-811700000,574200000,-297400000,-297400000,276800000,-44400000,-47300000,2900000,232400000,232200000,-33600000,198600000,198600000,198600000,198600000,1395400000,1395400000,1395400000,203600000,7990400000,3176300000,897600000,3916500000,8.194e+09,9589400000,752200000,752200000,3840800000,3462800000,3.78e+08,4.593e+09,3717300000,350500000,350500000,4067800000,8660800000,359500000,707400000,-138300000,928600000,928600000,9589400000,198600000,66400000,-1700000,-23100000,240200000,-68800000,-68800000,-69300000,1.19209289550781e-07,-123800000,-193100000,-21700000.0000001,-21700000.0000001,-21700000.0000001,343200000,3717300000,284900000,0.41432,0.19973,0.1433,0.21387,0.02071,1.43454,0.30381,9.32673,0.38765,0.35739,0.35572,2.49397,1.67105,0.51269,0.12471,5,0.05362,0.05702,0.34894,6.76544,8.38837
"15","2013_Q4",12.255,"Down",1408800000,-818200000,590600000,-295300000,-295300000,295300000,-42700000,-44200000,1500000,252600000,251700000,-37300000,214400000,214400000,214400000,214400000,1742700000,1742700000,1742700000,208600000,7989600000,3174500000,869600000,3945500000,8198200000,9940900000,795900000,795900000,3780800000,3.408e+09,372800000,4576700000,3968700000,345200000,345200000,4313900000,8890600000,383600000,8.32e+08,-165300000,1050300000,1050300000,9940900000,214400000,68600000,2900000,47500000,333400000,-59500000,-159500000,-6.9e+07,249300000,-6900000,173400000,347300000,347300000,347300000,363900000,3968700000,389200000,0.41922,0.20961,0.15219,0.20413,0.02157,1.8153,0.38078,8.46482,0.39923,0.38834,0.38575,2.55171,1.90237,0.70494,0.12498,5,0.05283,0.07256,0.32183,6.11707,7.5381
"16","2014_Q1",11.4786885245902,"Down",1421900000,-845700000,576200000,-337800000,-337800000,238400000,-44900000,-46200000,1300000,193500000,192800000,-19400000,173400000,173400000,173400000,173400000,2073100000,2073100000,2073100000,209900000,7838300000,3.172e+09,833800000,3832500000,8048200000,10121300000,855800000,855800000,3628600000,3270400000,358200000,4484400000,4.213e+09,319200000,319200000,4532200000,9016600000,396400000,877300000,-1.69e+08,1104700000,1104700000,10121300000,173400000,64900000,3500000,35900000,277700000,-75100000,-75100000,-68600000,2.48e+08,-51600000,127800000,330400000,330400000,330400000,303300000,4.213e+09,283500000,0.40523,0.16766,0.12195,0.15697,0.01713,1.63495,0.46229,8.16203,0.41625,0.3147,0.31243,2.58058,2.0049,0.51452,0.1245,6,0.04293,0.05029,0.39562,7.05539,8.97609
"17","2014_Q2",11.4730158730159,"Down",1350800000,-797200000,553600000,-281600000,-281600000,2.72e+08,-4.4e+07,-42900000,-1100000,2.28e+08,227400000,-24400000,2.03e+08,2.03e+08,2.03e+08,2.03e+08,1.694e+09,1.694e+09,1.694e+09,2.14e+08,8014600000,3170600000,833500000,4010500000,8228600000,9922600000,796100000,796100000,3907500000,3515900000,391600000,4703600000,3844100000,307200000,307200000,4151300000,8854900000,410600000,827100000,-1.7e+08,1067700000,1067700000,9922600000,2.03e+08,67200000,-5300000,-68100000,196800000,-45600000,44400000,-67600000,-3.7e+08,-182700000,-620300000,-379100000,-379100000,-379100000,339200000,3844100000,249900000,0.40983,0.20136,0.15028,0.19013,0.02046,1.23103,0.36015,8.29343,0.38741,0.37186,0.36963,2.47445,1.95585,0.45778,0.12383,5,0.05185,0.04788,0.333,6.33874,7.90478
"18","2014_Q3",12.32421875,"Up",1405600000,-827800000,577800000,-299500000,-299500000,278300000,-44200000,-40500000,-3700000,234100000,232100000,-38300000,193800000,193800000,193800000,193800000,1604700000,1604700000,1604700000,208500000,8061400000,3.17e+09,7.99e+08,4092400000,8269900000,9874600000,755600000,755600000,3985500000,3603700000,381800000,4741100000,3754100000,309200000,309200000,4063300000,8804400000,422600000,810100000,-162500000,1070200000,1070200000,9874600000,193800000,68400000,37300000,-46200000,253300000,-50700000,-51100000,-66800000,-9.5e+07,-129700000,-291500000,-89300000,-89300000,-89300000,346700000,3754100000,288100000,0.41107,0.19799,0.13788,0.18109,0.01963,1.48658,0.33847,8.22687,0.38018,0.36083,0.35896,2.61702,1.99255,0.5364,0.12437,6,0.05076,0.05612,0.34469,6.1996,7.72332
"19","2014_Q4",12.50375,"Up",1440900000,-840500000,600400000,-286300000,-286300000,314100000,-41800000,-41400000,-4e+05,272300000,272800000,-38700000,234100000,234100000,234100000,234100000,1667400000,1667400000,1667400000,205700000,7973500000,3169500000,768900000,4035100000,8179200000,9846600000,797600000,797600000,3859100000,3465800000,393300000,4656700000,3714200000,2.96e+08,2.96e+08,4010200000,8666900000,434400000,856200000,-110900000,1179700000,1179700000,9846600000,234100000,66800000,-24500000,48800000,325200000,-3.3e+07,-3.3e+07,-65500000,-3.5e+07,-1.29e+08,-229500000,62700000,62700000,62700000,380900000,3714200000,435400000,0.41668,0.21799,0.16247,0.19844,0.02377,1.85989,0.35806,7.3467,0.37721,0.44354,0.4407,2.73001,2.23513,0.82493,0.1241,6,0.05773,0.08389,0.27979,5.37359,6.5164
"20","2015_Q1",13.5277049180328,"Up",1409900000,-831900000,5.78e+08,-301900000,-301900000,276100000,-40100000,-40300000,2e+05,2.36e+08,235900000,-14400000,221500000,221500000,221500000,221500000,1783200000,1783200000,1783200000,206400000,7900800000,3169200000,748100000,3983500000,8107200000,9890400000,766700000,766700000,3797900000,3313700000,484200000,4564600000,3720400000,3.05e+08,3.05e+08,4025400000,8.59e+09,450600000,968700000,-118900000,1300400000,1300400000,9890400000,221500000,69500000,15200000,-35600000,270600000,-49700000,-49700000,-65300000,1.49011611938477e-08,-39800000,-105100000,115800000,115800000,115800000,345600000,3720400000,274700000,0.40996,0.19583,0.1571,0.17033,0.0224,1.24018,0.39066,6.60566,0.37616,0.42368,0.42038,2.69682,2.48738,0.52544,0.1249,7,0.05385,0.05158,0.29481,5.60532,7.0163
"21","2015_Q2",15.5836507936508,"Up",1320900000,-771800000,549100000,-276800000,-276800000,272300000,-40700000,-38900000,-1800000,231600000,232600000,-28700000,203900000,203900000,203900000,203900000,1755300000,1755300000,1755300000,202600000,8395100000,3168800000,7.72e+08,4454300000,8597700000,1.0353e+10,766500000,766500000,4190600000,3472100000,718500000,4957100000,3728600000,317400000,317400000,4.046e+09,9003100000,496100000,931900000,-78100000,1349900000,1349900000,1.0353e+10,203900000,63900000,16900000,-72900000,211800000,-44400000,-44400000,-80500000,-30396668.3796609,-114800000,-195300000,-27900000,-27900000,-27900000,336200000,3728600000,247600000,0.4157,0.20615,0.15436,0.15105,0.01969,1.21432,0.3541,6.66946,0.36015,0.39136,0.38823,2.53532,2.59098,0.47524,0.15451,6,0.05271,0.04589,0.3948,5.86942,7.24679
"22","2015_Q3",14.03625,"Down",1383600000,-799400000,584200000,-333400000,-333400000,250800000,-43900000,-40600000,-3300000,206900000,206900000,-17600000,189300000,189300000,189300000,189300000,1630500000,1630500000,1630500000,201200000,8232100000,3168300000,768300000,4295500000,8433300000,10063800000,764600000,764600000,3955900000,3490400000,465500000,4720500000,3725800000,310100000,310100000,4035900000,8756400000,546700000,884200000,-123500000,1307400000,1307400000,10063800000,189300000,62900000,8e+06,-6299999.99999999,253900000,-7.8e+07,-1.78e+08,-79500000,-133539217.357381,-121200000,-200700000,-124800000,-124800000,-124800000,313700000,3725800000,2.47e+08,0.42223,0.18127,0.13682,0.14479,0.01881,1.30481,0.34541,6.69757,0.37022,0.36743,0.36418,2.68556,2.53766,0.47943,0.15431,7,0.05031,0.04623,0.41997,6.67931,8.35447
"23","2015_Q4",14.04359375,"Up",1399200000,-817200000,5.82e+08,-277500000,-277500000,304500000,-40500000,-39200000,-1300000,2.64e+08,265400000,-33100000,232300000,232300000,232300000,232300000,1414400000,1414400000,1414400000,224800000,8176700000,3.168e+09,738100000,4270600000,8401500000,9815900000,847100000,847100000,3823500000,3369900000,453600000,4670600000,3483800000,314300000,314300000,3798100000,8468700000,561200000,912300000,-126300000,1347200000,1347200000,9815900000,232300000,74400000,7900000,23900000,338500000,-84300000,-95500000,-78500000,-2.5e+08,-130600000,-459100000,-216100000,-216100000,-216100000,378900000,3483800000,351600000,0.41595,0.21762,0.16602,0.17243,0.02367,1.51356,0.30283,6.28615,0.35491,0.45585,0.45265,2.74568,2.64364,0.68995,0.15404,5,0.0604,0.06833,0.33793,5.4616,6.79606
"24","2016_Q1",13.4973770491803,"Down",1.38e+09,-8.11e+08,5.69e+08,-287200000,-287200000,281800000,-43700000,-38300000,-5400000,238100000,236900000,-24600000,212300000,212300000,212300000,212300000,1315900000,1315900000,1315900000,231800000,7901500000,3163800000,7.05e+08,4032700000,8133300000,9449200000,818100000,818100000,3737700000,3308700000,4.29e+08,4555800000,3215900000,272600000,272600000,3488500000,8044300000,571500000,977300000,-143900000,1404900000,1404900000,9449200000,212300000,6.9e+07,-9e+06,-5400000,266900000,-59800000,31500000,-7.8e+07,-2.5e+08,-68900000,-396900000,-98500000,-98500000,-98500000,350800000,3215900000,310200000,0.41232,0.2042,0.15384,0.15111,0.02247,1.46114,0.28884,5.72589,0.34034,0.42073,0.41742,2.73484,2.78419,0.61474,0.15458,8,0.05932,0.06339,0.3674,5.41619,6.74237
"25","2016_Q2",14.69515625,"Up",1297700000,-779400000,518300000,-259700000,-259700000,258600000,-41600000,-39600000,-2e+06,2.17e+08,217500000,-31800000,185700000,185700000,185700000,185700000,1.16e+09,1.16e+09,1.16e+09,226300000,8.032e+09,3162700000,697100000,4172200000,8258300000,9418300000,801200000,801200000,3875700000,3326100000,549600000,4676900000,3225700000,276700000,276700000,3502400000,8179300000,590200000,827900000,-179100000,1.239e+09,1.239e+09,9418300000,185700000,65600000,36700000,-75300000,212700000,-47900000,-63300000,-79300000,0,-2.26e+08,-305300000,-155900000,-155900000,-155900000,324200000,3225700000,232800000,0.3994,0.19928,0.1431,0.14988,0.01972,1.25363,0.24803,6.60153,0.34249,0.3714,0.36904,2.5954,2.478,0.4656,0.1586,7,0.05589,0.0491,0.42703,6.37168,7.98801
"26","2016_Q3",15.67890625,"Up",1375700000,-821900000,553800000,-293500000,-293500000,260300000,-39200000,-40300000,1100000,221100000,222500000,-16900000,205600000,205600000,205600000,205600000,1162600000,1162600000,1162600000,221700000,8010600000,3162400000,701500000,4146700000,8232300000,9394900000,725600000,725600000,3858300000,3357100000,501200000,4583900000,3228500000,268100000,268100000,3496600000,8080500000,602200000,877200000,-1.65e+08,1314400000,1314400000,9394900000,205600000,65900000,5599999.99999999,-4200000,272900000,-60800000,-93800000,-78100000,0,-98400000,-176500000,2600000,2600000,2600000,326200000,3228500000,278100000,0.40256,0.18921,0.14945,0.15642,0.02188,1.35263,0.25363,6.14767,0.34364,0.41934,0.41704,2.80583,2.68081,0.5672,0.15929,7,0.05897,0.05781,0.37986,6.33323,7.93661
"27","2016_Q4",15.9587301587302,"Up",1377800000,-822900000,554900000,-276600000,-276600000,278300000,-38600000,-40300000,1700000,239700000,2.4e+08,-23100000,216900000,216900000,216900000,216900000,1280700000,1280700000,1280700000,224400000,8013600000,3162300000,693400000,4157900000,8.238e+09,9518700000,793200000,793200000,3840300000,3.389e+09,451300000,4633500000,3224800000,272800000,272800000,3497600000,8131100000,633600000,930900000,-176900000,1387600000,1387600000,9518700000,216900000,66400000,19700000,33300000,336300000,-68300000,-76800000,-77700000,0,-63700000,-141400000,118100000,118100000,118100000,344700000,3224800000,332800000,0.40274,0.20199,0.15742,0.15631,0.02279,1.53435,0.2764,5.85983,0.33879,0.44538,0.44238,2.82916,2.84928,0.68337,0.15955,6,0.0603,0.06812,0.35823,5.63998,6.98563
"28","2017_Q1",15.8062903225806,"Down",1371700000,-845800000,525900000,-839400000,-839400000,-313500000,-27100000,-28800000,1700000,-340600000,-338300000,-16700000,-3.55e+08,-3.55e+08,-3.55e+08,-3.55e+08,877500000,877500000,877500000,220500000,8321600000,3.162e+09,664200000,4495400000,8542100000,9419600000,1536900000,1536900000,4108500000,3749100000,359400000,5645400000,2786100000,85900000,85900000,2.872e+09,8517400000,645700000,419300000,-162800000,902200000,902200000,9419600000,-3.55e+08,65300000,-137900000,647600000,2.2e+08,-52800000,-37200000,-77100000,-430400000,-78500000,-5.86e+08,-403200000,-403200000,-403200000,-248200000,2786100000,363300000,0.38339,-0.22855,-0.2588,-0.39348,-0.03769,-1.02338,0.15544,9.4407,0.29578,-0.73423,-0.72821,2.83702,1.86598,0.7514,0.15946,5,-0.07363,0.09626,-0.21718,-7.68977,-6.08804
"29","2017_Q2",15.1311111111111,"Down",1302400000,-800500000,501900000,-262400000,-262400000,239500000,-2.9e+07,-30200000,1200000,210500000,213100000,-51400000,161700000,161700000,161700000,161700000,1323300000,1323300000,1323300000,209300000,7953400000,3.162e+09,649600000,4141800000,8162700000,9.486e+09,1376200000,1376200000,3733300000,3.452e+09,281300000,5109500000,3490900000,135300000,135300000,3626200000,8735700000,664400000,259700000,-173800000,750300000,750300000,9.486e+09,161700000,66400000,7.6e+07,-217800000,86300000,-26400000,-50600000,-83300000,706900000,-213500000,410100000,445800000,445800000,445800000,305900000,3490900000,113100000,0.38537,0.18389,0.12416,0.21551,0.01705,0.69944,0.25899,11.64294,0.36801,0.33702,0.33451,2.71446,1.56378,0.23572,0.17361,5,0.05598,0.02584,0.51515,7.08598,9.05052
"30","2017_Q3",15.0374603174603,"Down",1378900000,-841700000,537200000,-321200000,-321200000,2.16e+08,-2.9e+07,-34300000,5300000,1.87e+08,184400000,-17900000,166500000,166500000,166500000,166500000,1059200000,1059200000,1059200000,215300000,8133700000,3161700000,615900000,4356100000,8.349e+09,9408200000,927600000,927600000,4056300000,3646400000,409900000,4983900000,3627400000,135700000,135700000,3763100000,8.747e+09,676700000,193900000,-209400000,661200000,661200000,9408200000,166500000,65200000,28200000,-370200000,-110300000,-48900000,-40700000,-81500000,134300000,-165900000,-113100000,-264100000,-264100000,-264100000,281200000,3627400000,-1.2e+08,0.38959,0.15665,0.12075,0.25181,0.0177,-0.72072,0.21252,13.22898,0.38556,0.35471,0.35275,2.93758,1.40861,-0.25565,0.17363,3,0.05605,-0.02712,0.48949,9.133,11.88981
"31","2017_Q4",15.6174603174603,"Up",1404700000,-840500000,564200000,-2.92e+08,-2.92e+08,272200000,-3.3e+07,-35900000,2900000,239200000,239200000,-3600000,235600000,235600000,235600000,235600000,1034700000,1034700000,1034700000,211900000,8.627e+09,3161100000,601100000,4864800000,8838900000,9873600000,1.055e+09,1.055e+09,4434900000,3.947e+09,487900000,5489900000,3533400000,140900000,140900000,3674300000,9164200000,689800000,247900000,-228300000,709400000,709400000,9873600000,235600000,65500000,26100000,119900000,447100000,-47200000,-194800000,-80500000,-94800000,-101500000,-276800000,-24500000,-24500000,-24500000,337700000,3533400000,4.14e+08,0.40165,0.19378,0.16772,0.33211,0.02386,1.75722,0.18847,12.91824,0.35786,0.50908,0.50623,3.03522,1.53284,0.89455,0.17394,6,0.07211,0.09444,0.34168,7.39917,9.17965
"32","2018_Q1",16.1231147540984,"Up",1438300000,-870300000,5.68e+08,-355900000,-355900000,212100000,-37300000,-36800000,-5e+05,174800000,-289200000,-831700000,-1120900000,-1120900000,-1120900000,-1120900000,838200000,838200000,838200000,214200000,8.179e+09,2727900000,586300000,4864800000,8393200000,9231400000,1970500000,1970500000,4545700000,4188900000,356800000,6516200000,3033600000,1.73e+08,1.73e+08,3206600000,9722800000,702400000,-965900000,-227900000,-491400000,-491400000,9231400000,-1120900000,65800000,527400000,846600000,318900000,-54600000,81500000.0000001,-80300000,-500200000,-8900000,-590700000,-190300000,-190300000,-190300000,277900000,3033600000,1901600000,0.39491,0.14747,-0.77932,2.28103,-0.12142,-1.69649,0.12863,-19.78592,0.32862,-2.43886,-2.48647,3.12946,-1.06919,4.13751,0.17472,5,-0.38325,0.70035,-0.07164,7.89996,10.35078
"33","2018_Q2",16.14625,"Up",1389400000,-825400000,5.64e+08,-299100000,-299100000,264900000,-30400000,-34800000,4400000,234500000,234500000,-20900000,213600000,213600000,213600000,213600000,934300000,934300000,934300000,215700000,8.038e+09,2726700000,569200000,4742100000,8253700000,9.188e+09,1856500000,1856500000,4390100000,4026500000,363600000,6246600000,3143400000,173800000,173800000,3317200000,9563800000,7.2e+08,-819800000,-2.76e+08,-375800000,-375800000,9.188e+09,213600000,66700000,8900000,-156500000,132700000,-37200000,-32900000,-87500000,1.1e+08,-7800000,9500000,109300000,109300000,109300000,331600000,3143400000,158800000,0.40593,0.19066,0.15374,-0.56839,0.02325,0.74345,0.14957,-25.44918,0.34212,0.46405,0.46074,3.01847,-0.81642,0.34499,0.19009,7,0.10237,0.05399,0.40964,6.66194,8.33937
"34","2018_Q3",15.8887301587302,"Down",1411100000,-829200000,581900000,-298300000,-298300000,283600000,-28100000,-36200000,8100000,255500000,255500000,-37899999.9999999,217600000,217600000,217600000,217600000,938300000,938300000,938300000,241800000,7935500000,2.725e+09,546500000,4.664e+09,8177300000,9115600000,1751600000,1751600000,4317300000,4011800000,305500000,6068900000,3331800000,166200000,166200000,3.498e+09,9566900000,736600000,-939900000,-2.48e+08,-451300000,-451300000,9115600000,217600000,65700000,-9600000,-107700000,1.66e+08,-53300000,-35800000,-85800000,187800000,-235900000,-133900000,-3700000,-3700000,-3700000,349300000,3331800000,226200000,0.41237,0.20098,0.15421,-0.48216,0.02387,1.03952,0.15461,-21.19854,0.36551,0.47594,0.47346,3.0864,-0.9871,0.494749999999999,0.18766,7,0.09958,0.07424,0.3943,6.85228,8.4397
"35","2018_Q4",15.0301587301587,"Down",1387800000,-812400000,575400000,-272800000,-272800000,302600000,-36200000,-36800000,6e+05,266400000,266400000,-57800000,208600000,208600000,208600000,208600000,767600000,767600000,767600000,266800000,7955200000,2.725e+09,604500000,4625700000,8.222e+09,8989600000,1670100000,1670100000,4283500000,4018800000,264700000,5953600000,3.295e+09,156300000,156300000,3451300000,9404900000,748100000,-916800000,-246600000,-415300000,-415300000,8989600000,208600000,63600000,24200000,-76600000,219800000,-157600000,-161100000,-84500000,-38500000,-107600000,-2.32e+08,-173300000,-173300000,-173300000,366200000,3.295e+09,189800000,0.41461,0.21804,0.15031,-0.50229,0.0232,0.90988,0.12893,-22.64604,0.36653,0.46688,0.46459,3.10609,-0.9295,0.4248,0.18912,6,0.09654,0.06252,0.40508,6.90169,8.35228
"36","2019_Q1",15.0249180327869,"Down",1401600000,-833800000,567800000,-296800000,-296800000,2.71e+08,-3.6e+07,-3.7e+07,999999.999999999,2.35e+08,2.35e+08,-22900000,212100000,212100000,212100000,212100000,973400000,973400000,973400000,270400000,7.753e+09,2.725e+09,598200000,4429800000,8023400000,8996800000,1618900000,1618900000,4092900000,3813800000,279100000,5711800000,3433700000,161100000,161100000,3594800000,9306600000,7.6e+08,-838800000,-2.31e+08,-309800000,-309800000,8996800000,212100000,68700000,27600000,-5599999.99999997,302800000,-90900000,-9.9e+07,-83900000,136700000,-5.1e+07,-8e+05,2.03e+08,2.03e+08,2.03e+08,339700000,3433700000,266100000,0.40511,0.19335,0.15133,-0.68464,0.02358,1.2546,0.17042,-30.04067,0.38166,0.47889,0.4762,3.1646,-0.69948,0.60081,0.18943,7,0.09011,0.081,0.39557,7.24257,9.0786
"37","2019_Q2",16.4622222222222,"Up",1.337e+09,-7.85e+08,5.52e+08,-300800000,-300800000,251200000,-35100000,-37600000,2500000,216100000,216100000,-4.3e+07,173100000,173100000,173100000,173100000,833100000,833100000,1807300000,2.29e+08,7395700000,2568500000,562700000,4264500000,7624700000,9.432e+09,1556400000,1556400000,3989500000,3497500000,4.92e+08,5545900000,3370300000,8.9e+08,165300000,4260300000,9806200000,775400000,-9.38e+08,-211600000,-374200000,-374200000,9.432e+09,173100000,64800000,28400000,-26700000,239600000,-37600000,-16700000,-87400000,-6.5e+07,-169800000,-322300000,-99400000,-99400000,-99400000,3.16e+08,3370300000,294700000,0.41286,0.18788,0.12947,-0.46259,0.01835,1.70248,0.32588,-26.20577,0.35733,0.39548,0.3935,3.0546,-0.85492,0.67329,0.19968,6,0.06703,0.07583,0.50491,8.02911,10.10032
"38","2019_Q3",18.41078125,"Up",1340500000,-776400000,564100000,-305200000,-305200000,258900000,-37900000,-37600000,-3e+05,2.21e+08,745600000,-130800000,614800000,614800000,614800000,614800000,1210200000,1210200000,1210200000,224100000,7.609e+09,2566600000,535500000,4506900000,7833100000,9043300000,1543400000,1543400000,4223200000,3728400000,494800000,5766600000,3080200000,166300000,166300000,3246500000,9013100000,805600000,-569700000,-205700000,30200000,30200000,9043300000,614800000,64800000,-508200000,-8399999.99999999,1.63e+08,-37400000,703700000,-85500000,-2.92e+08,-151300000,-529500000,337200000,337200000,337200000,323700000,3080200000,408700000,0.42081,0.19314,0.45863,20.35762,0.06798,0.66477,0.20986,298.44702,0.34061,1.4301,1.42216,3.11817,0.07025,0.95069,0.19888,7,0.21372,0.12473,0.13907,5.77695,7.22287
"39","2019_Q4",22.2934375,"Up",1306900000,-768600000,538300000,-340900000,-340900000,197400000,-35200000,-35100000,-1e+05,162200000,162200000,-27200000,1.35e+08,1.35e+08,1.35e+08,1.35e+08,1390900000,1390900000,1390900000,212200000,7200600000,2566600000,514500000,4119500000,7412800000,8803700000,1.583e+09,1.583e+09,3831100000,3297300000,533800000,5414100000,3.248e+09,161300000,161300000,3409300000,8823400000,822800000,-659400000,-183100000,-19700000,-19700000,8803700000,1.35e+08,61099999,11200000,55400000,262699999,-18500000,-3e+07,-84200000,1.67e+08,-134700000,-5.2e+07,180699999,180699999,180699999,258499999,3.248e+09,322599999,0.41189,0.15104,0.1033,-6.85279,0.01533,2.38963,0.2569,-447.88832,0.36894,0.31892,0.31631,3.08741,-0.04654,0.76211,0.19891,5,0.06467,0.09517,0.6237,7.18414,9.4078
"40","2020_Q1",21.2453225806452,"Down",1307700000,-756500000,551200000,-324700000,-324700000,226500000,-2.9e+07,-35400000,6400000,197500000,197500000,-62100000,135400000,135400000,135400000,135400000,1450500000,1450500000,1450500000,186900000,7121100000,2566600000,494900000,4059600000,7.308e+09,8758500000,1621600000,1621600000,3.795e+09,3296700000,498300000,5416600000,3229300000,152100000,152100000,3381400000,8.798e+09,845400000,-675900000,-2.09e+08,-39500000,-39500000,8758500000,135400000,67000001,30400000.0000001,16500000,249300001,45400000,-4.9e+08,-83700000,-1.9e+07,-60100000,-580299999,-820999998,-820999998,-820999998,293500001,3229300000,417500001,0.4215,0.1732,0.10354,-3.42785,0.01546,3.08346,0.26779,-222.73418,0.3687,0.32277,0.31889,3.11728,-0.09416,0.99523,0.19952,7,0.06556,0.12493,0.61817,6.06065,7.85342
"41","2020_Q2",17.7873015873016,"Down",1.19e+09,-683400000,506600000,-273400000,-273400000,233200000,-31300000,-31300000,3749549.59586004,201900000,201900000,-25200000,176700000,176700000,176700000,176700000,1072800000,1072800000,1072800000,173700000,7118900000,2566600000,485100000,4067200000,7292600000,8365400000,1508100000,1508100000,3786300000,3134600000,651700000,5294400000,3070100000,150600000,150600000,3220700000,8515100000,858800000,-828200000,-180300000,-149700000,-149700000,8365400000,176700000,58200000,20800000,-143300000,112400000,-14200000,8800000,-92400000,-1.6e+08,-236100000,-489200000,-3.68e+08,-3.68e+08,-3.68e+08,291400000,3070100000,159100000,0.42571,0.19597,0.14849,-1.18036,0.02112,0.9004,0.20263,-56.8811,0.367,0.4265,0.42242,2.87231,-0.36133,0.38402,0.22303,5,0.08763,0.05181,0.52292,6.85415,8.56475
