"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","current_income_tax","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",19.0195238095238,"Down",198934000,-175278000,23656000,-15428000,-15428000,8228000,-10304000,-10304000,-2076000,-2076000,611000,611000,-587000,-2052000,-2052000,-252000,-2304000,-2304000,1116740905.69212,1116740905.69212,1738687336.67985,1738687336.67985,245621690.249998,-240716985.550073,-240716985.550073,2860332947.0719,402482712.557494,314748708.259064,137953573.522016,717231420.816558,3577564367.88846,1713123312.81966,1391878172.10416,-303576390.750372,-303576390.750372,1409546922.06929,92905810.8338343,92905810.8338343,1257258380.59002,2666805302.65932,193673587.414675,113786048.931433,567257949.114286,874717585.460394,36041479.768748,910759065.229142,3577564367.88846,-2052000,9319000,5062000,-59775000,-47446000,-7482000,-76000,-7837000,6015000,26000,6041000,-49242000,-49242000,-375000,-49617000,17547000,0,-50321000,0.11891,0.04136,-0.01158,0.0428121703215624,0.00830132387321734,21.84071,3.05257048190797,3.57151896562471,0.75547382771981,-0.10531,-0.10531,9.09246,-6.36579325415238,-2.29997,-0.0128891993971501,0.647848475463852,-3.90702804525112,-6.28389983059155
"2","2011_Q3",13.21453125,"Down",284340000,-257690000,26650000,-15732000,-15732000,10918000,-10536000,-10536000,382000,382000,-1e+05,-1e+05,-575000,-293000,-293000,-257000,-550000,-550000,533424952.846063,533424952.846063,882695168.339926,882695168.339926,256612345.124999,-117833492.775037,-117833492.775037,1554898973.53595,452181856.278747,265602854.129532,137509786.761008,717784710.408279,2272683683.94423,1158978156.40983,777729586.052081,-123296195.375186,-123296195.375186,1035681961.03465,84585405.4169171,84585405.4169171,635551190.295012,1671233151.32966,220887793.707337,111521524.465716,245066474.557143,577475792.730197,23974739.884374,601450532.614571,2272683683.94423,-293000,9307000,7635000,-20948000,-4299000,-8898000,717000,-8181000,-1226000,-405000,61549000,49069000,49069000,773000,49842000,20225000,0,-9521000.00000001,0.09373,0.0384,-0.00193,0.0325110851607812,0.00755566193660867,17.31091,1.74409524095399,2.96651448281236,0.364211913859905,-0.0248,-0.0247999999999999,12.81908,3.54552337292381,-0.42924,0.00414040030142497,0.370974237731926,-1.91504402262556,-3.08890991529578
"3","2011_Q4",15.6734920634921,"Up",317280000,-279130000,38150000,-20902000,-20902000,17248000,-9807000,-9807000,7441000,-2566000,301000,301000,-539000,-2804000,-2804000,-510000,-3314000,-3314000,199498650.948688,199498650.948688,399384389.446642,399384389.446642,286805115.041666,-28264164.2583456,-28264164.2583456,857423991.17865,475343285.426249,237290951.376511,137213928.920336,712634236.80276,1570058227.98141,860465052.136611,445610862.01736,-28622065.125062,-28622065.125062,831842987.011549,82232801.805639,82232801.805639,302264063.431671,1134107050.44322,235832264.569112,116554841.488572,66437824.8523811,418824930.910066,17126246.6281247,435951177.53819,1570058227.98141,-2805000,9548000,-1674000,-30631000,-25562000,-29130000,-281000,-30111000,-1235000,-7872000,-9107000,-64780000,-64780000,-7000,-64787000,26796000,0,-33266000,0.12024,0.05436,-0.01045,0.0306270283869271,0.00826522064553622,10.03802,1.04930841365133,2.62537482760412,0.152813971286635,-0.13461,-0.13461,12.88761,9.70799445764127,-1.35123,0.0158301334338083,0.174098079243975,-0.249108007541854,-0.525136638431926
"4","2012_Q1",18.6032258064516,"Up",442736000,-391661000,51075000,-19895000,-19895000,31180000,-6345000,-6345000,24835000,19185000,-4376000,-4376000,-1273000,13536000,13536000,-902000,12634000,12634000,50222000,50222000,188443000,188443000,323512000,32803000,32803000,594980000,482341000,224334000,137066000,706675000,1301655000,745676000,316536000,5900000,5900000,751576000,83839000,83839000,174178000,925754000,242286000,127182000,-7895000,361573000,14328000,375901000,1301655000,13537000,10119000,16916000,2483000,43055000,-20062000,-1722000,-23135000,3120000,-3612000,-492000,19428000,19428000,-3508000,15920000,41299000,90339000,28096000,0.11536,0.07043,0.02854,0.03361,0.00971,2.22384,0.79164,2.46276,0.0694,0.45576,0.33849,15.97114,13.04329,1.01353,0.02297,0.05108,0.97138,1.28663
"5","2012_Q2",12.6647619047619,"Down",398199000,-351742000,46457000,-19577000,-19577000,26880000,-5383000,-5383000,21497000,21497000,-7797000,-7797000,-372000,13328000,13328000,1189000,14517000,14517000,20855000,20855000,149559000,149559000,354045000,70180000,70180000,594639000,483549000,221253000,137066000,704802000,1299441000,742703000,311519000,5724000,5724000,748427000,87395000,87395000,168074000,916501000,244028000,141699000,-17199000,368528000,14412000,382940000,1299441000,13328000,9889000,5416000,-37625000,-8992000,-9266000,-28000,-9224000,-5942000,1912126.8607124,-5942000,-24158000,-24158000,-5209000,-29367000,36769000,80679000,-2325000,0.11667,0.0675,0.03646,0.03791,0.01117,-0.16016,0.79452,2.39333,0.06209,0.57012,0.43478,15.63834,14.47308,-0.09131,0.02635,-0.00422,1.62702,2.2256
"6","2012_Q3",12.5960317460317,"Down",458186000,-406700000,51486000,-22325000,-22325000,29161000,-6630000,-6630000,22531000,22531000,-5348000,-5348000,72000,17255000,17255000,415000,17670000,17670000,40666000,40666000,177544000,177544000,365811000,81930000,81930000,665951000,488511000,222221000,137066000,710732000,1376683000,768782000,340328000,1230000,1230000,770012000,89623000,89623000,191069000,961081000,245776000,159368000,-5356000,399788000,15814000,415602000,1376683000,17254000,10433000,2345000,-28956000,1076000,-6389000,-86000,-6475000,15770000,4262096.76033395,15770000,10371000,10371000,9440000,19811000,39594000,101446000,9597000,0.11237,0.06364,0.03857,0.04252,0.01284,0.54312,0.86486,2.3125,0.07369,0.66222,0.52485,17.17146,14.98287,0.35967,0.02913,0.01582,1.53508,2.08429
"7","2012_Q4",13.4170967741935,"Up",507797000,-445859000,61938000,-26199000,-26199000,35739000,-6560000,-6560000,29179000,29179000,-8655000,-8655000,201000,20725000,20725000,-1608000,19117000,19117000,44915000,44915000,172086000,172086000,346122000,72865000,72865000,635988000,507601000,221759000,137066000,729360000,1365348000,752005000,323977000,17872000,17872000,769877000,88514000,88514000,159944000,929821000,251309000,178485000,-11633000,418161000,17366000,435527000,1365348000,20725000,10281000,-550000,31093000,61549000,-23209000,-3827000,-27650000,-28989000,2670000,-26319000,7580000,7580000,-3331000,4249000,46020000,71430000,62559000,0.12197,0.07038,0.03765,0.04389,0.014,3.27243,0.82609,2.13493,0.05232,0.70835,0.56452,18.81566,15.49433,2.31803,0.0321,0.10506,0.57616,0.74191
"8","2013_Q1",15.7713333333333,"Up",443534000,-388995000,54539000,-27531000,-27531000,27008000,-6236000,-6236000,20772000,20772000,-10593000,-10593000,-317000,9862000,9862000,-2458000,7404000,7404000,53571000,53571000,146326000,146326000,316741000,104075000,104075000,620713000,545397000,218434000,137066000,763831000,1384544000,757587000,329508000,17194000,17194000,774781000,95363000,95363000,156118000,930899000,252256000,185890000,-6369000,431777000,21868000,453645000,1384544000,9863000,11768000,12363000,28429000,62423000,-45461000,-175000,-45598000,-11260000,-1043000,-12303000,4522000,4522000,4134000,8656000,38776000,60755000,32337000,0.12296,0.06089,0.01669,0.01632,0.00535,4.3675,0.80115,2.05204,0.04388,0.27267,0.21807,16.33402,15.90105,1.19087,0.01214,0.05303,0.18527,0.266
"9","2013_Q2",18.37484375,"Up",415374000,-367595000,47779000,-24692000,-24692000,23087000,-5900000,-5900000,17187000,17187000,-4586000,-4586000,-40000,12561000,12561000,-2134000,10427000,10427000,41284000,41284000,163385000,163385000,363642000,61619000,61619000,629930000,549237000,216566000,137066000,765803000,1395733000,710622000,282925000,28283000,28283000,738905000,96498000,96498000,186324000,925229000,254359000,196317000,-3596000,447080000,23424000,470504000,1395733000,12561000,10923000,1507000,-50476000,-25485000,-15055000,-1045000,-16260000,28141000,217000,28358000,-13387000,-13387000,1100000,-12287000,34010000,89826000,-26935000,0.11503,0.05558,0.0251,0.02216,0.00747,-2.5832,0.85252,1.96646,0.06436,0.38414,0.30676,15.30261,16.47067,-0.9923,0.01587,-0.04101,1.42729,2.10257
"10","2013_Q3",18.3865625,"Up",423166000,-374891000,48275000,-21866000,-21866000,26409000,-6322000,-6322000,20087000,20087000,-5590000,-5590000,-105000,14392000,14392000,-553000,13839000,13839000,55637000,55637000,144933000,144933000,359281000,45097000,45097000,604948000,539463000,220510000,134316000,759973000,1364921000,705774000,278221000,23178000,23178000,728952000,99965000,99965000,150023000,878975000,255738000,210156000,-4758000,461136000,24810000,485946000,1364921000,14391000,10475000,1457000,32750000,59073000,1831000,-5159000,-3554000,-40052000,-36000,-40088000,15431000,15431000,-1078000,14353000,36884000,50058000,77055000,0.11408,0.06241,0.0327,0.02848,0.01014,5.56796,0.82989,1.80879,0.03667,0.5086,0.40649,15.55186,16.9473,2.83186,0.02176,0.12116,-0.15126,-0.21125
