"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",50.4053968253968,"Up",729520000,-491915000,237605000,-184314000,-110954000,-73360000,53291000,-21763000,-21565000,-198000,31528000,-20058000,11470000,-21725000,-10255000,-10255000,-10255000,-10255000,257857000,257857000,512376000,512376000,177288000,102410000,40898000,61512000,1049931000,1648571000,1014111000,507337000,470633000,36141000,2662682000,3712613000,452856000,226776000,226080000,86240000,66023000,20217000,539096000,1632577000,439995000,439995000,2072572000,2611668000,727452000,585506000,-212013000,1100945000,1100945000,3712613000,-10255000,73360000,1823000,-6152000,58776000,-51452000,-100966000,-152418000,-5735000,3336000,-2353000,-95995000,-95995000,929000,-95066000,126651000,1632577000,90772000,0.3257,0.07305,-0.01406,-0.00931,-0.00276,-8.85149,1.94758,2.37221,0.43974,-0.17826,-0.17826,12.68135,19.13788,1.5779,-0.00323,0.0286,10.8544,25.7964800000001
"28","2017_Q1",55.3362903225806,"Up",692113000,-496661000,195452000,-170861000,-99514000,-71347000,24591000,-14401000,-21333000,6932000,10190000,-2195000,7995000,-20708000,-12713000,-12713000,-12713000,-12713000,306997000,306997000,496226000,496226000,178428000,111220000,56116000,55104000,1092871000,1611827000,977222000,498721000,465154000,13347000,2589049000,3681920000,420255000,229534000,190721000,84413000,64397000,20016000,504668000,1633272000,459739000,459739000,2093011000,2597679000,726243000,572793000,-214795000,1084241000,1084241000,3681920000,-12713000,71347000,37504000,-15341000,80797000,-28112000,174000,-27938000,-6319000.00000001,3348000,-2574000,50285000,50285000,-1145000,49140000,95938000,1633272000,73193000,0.2824,0.03553,-0.01837,-0.01173,-0.00345,-5.75734,2.16552,2.39585,0.44359,-0.22147,-0.22147,12.05709,18.88823,1.27507,-0.004,0.02304,13.82429,53.93335
"29","2017_Q2",57.5044444444444,"Up",688941000,-496585000,192356000,-184633000,-112221000,-72412000,7723000,-24125000,-22576000,-1549000,-16402000,-2290000,-18692000,-2701000,-21393000,-21393000,-21393000,-21393000,297366000,297366000,480044000,480044000,182038000,102323000,55180000,47143000,1061771000,1609490000,974392000,490952000,469860000,13580000,2583882000,3645653000,402633000,218676000,183957000,85948000,64379000,21569000,488581000,1633968000,459474000,459474000,2093442000,2582023000,720955000,550950000,-208275000,1063630000,1063630000,3645653000,-21393000,72412000,6234000,-134000,57119000,-41940000,-9928000,-51868000,-6796000,-8686000,-15436000,-10185000,-10185000,554000,-9631000,80135000,1633968000,40762000,0.27921,0.01121,-0.03105,-0.02011,-0.00587,-1.90539,2.17317,2.42756,0.4482,-0.3736,-0.3736,12.03138,18.5748,0.71185,-0.00678,0.01291,16.67938,173.06772
"30","2017_Q3",54.4403174603175,"Down",752788000,-519803000,232985000,-183825000,-112294000,-71531000,49160000,-23325000,-22492000,-833000,25835000,23261000,49096000,-23216000,25880000,25880000,25880000,25880000,446366000,446366000,512375000,512375000,172540000,103453000,35823000,67630000,1234734000,1602453000,969095000,482828000,472819000,13448000,2571548000,3806282000,415713000,224218000,191495000,95789000,72089000,23700000,619300000,1626505000,459540000,459540000,2086045000,2705345000,717284000,576830000,-193177000,1100937000,1100937000,3806282000,25880000,71531000,-20452000,-17147000,59812000,-45544000,47042000,1497999.99999999,-301663000,387801000,86138000,147448000,147448000,1552000,1.49e+08,120691000,1734303000,81216000,0.3095,0.0653,0.03438,0.02351,0.0068,3.13818,1.99376,2.45731,0.45564,0.45253,0.45059,13.16293,19.25052,1.42011,0.00785,0.02465,10.67136,26.19888
"31","2017_Q4",54.1385714285714,"Down",755846000,-519595000,236251000,-186241000,-113252000,-72989000,50010000,-21107000,-20675000,-432000,28903000,-4270000,24633000,-12575000,12058000,12058000,12058000,12058000,361658000,361658000,531696000,531696000,173097000,93807000,32637000,61170000,1160258000,1611971000,976124000,477639000,478728000,19757000,2588095000,3748353000,436788000,223599000,213189000,88752000,69236000,19516000,529540000,1625971000,464495000,464495000,2090466000,2620006000,708927000,588888000,-169468000,1128347000,1128347000,3748353000,12058000,72989000,7534000,11957000,104538000,-35849000,-35207000,-71056000,-117006000,-2867000,-119873000,-86391000,-86391000,1683000,-84708000,122999000,1629971000,111682000,0.31256,0.06616,0.01595,0.01069,0.00322,9.26207,2.19107,2.32199,0.43485,0.21156,0.21102,13.26162,19.7973,1.95951,0.00374,0.03465,10.31157,25.36119
"32","2018_Q1",52.4072131147541,"Down",747403000,-526690000,220713000,-190371000,-118881000,-71490000,30342000,-23370000,-20065000,-3305000,6972000,-3320000,3652000.00000001,80542000,84194000,84194000,84194000,84194000,357578000,319399000,528924000,528924000,176012000,91542000,35175000,56367000,1154056000,1587365000,965149000,469128000,478523000,17498000,2552514000,3706570000,412213000,224231000,187982000,87604000,67822000,19782000,503817000,1625537000,389014000,389014000,2014551000,2518368000,687527000,673082000,-172407000,1188202000,1188202000,3706570000,84194000,71490000,-72544000,-18911000,64229000,-37791000,-5708000.00000003,-81841000,-25506000,1917000,-23589000,-41201000,-41201000,-1058000,-42259000,101832000,1629537000,-35412000,0.29531,0.0406,0.11265,0.07086,0.02271,-0.420599999999999,2.29063,2.11948,0.43963,1.48122,1.47812,13.14901,20.90396,-0.623,0.02626,-0.01104,12.49076,41.92074
"33","2018_Q2",51.35546875,"Down",749778000,-546425000,203353000,-189932000,-115088000,-74844000,13421000,-20569000,-20270000,-299000,-7148000,-2430000,-9578000,-3053000,-12631000,-12631000,-12631000,-12631000,224144000,186352000,551841000,551841000,181438000,122399000,38177000,84222000,1079822000,1631648000,973346000,464635000,492705000,16006000,2604994000,3684816000,432113000,237953000,194160000,88571000,68748000,19823000,524684000,1625259000,389347000,389347000,2014606000,2539290000,675792000,658887000,-189153000,1145526000,1145526000,3684816000,-12631000,74844000,6033000,-16343000,51903000,-41425000,-1.2e+08,-164428000,-15264000,-4391000,-19655000,-132180000,-132180000,-867000,-133047000,88265000,1629259000,33550000,0.27122,0.0179,-0.01685,-0.01103,-0.00343,-2.65616,2.05804,2.2167,0.44215,-0.22373,-0.22373,13.28051,20.29024,0.59426,-0.00399,0.0106,15.91928,104.69525
"34","2018_Q3",63.6047619047619,"Up",849140000,-583584000,265556000,-198755000,-125995000,-72760000,66801000,-19923000,-20769000,846000,46878000,-2448000,44430000,-13683000,30747000,30747000,30747000,30747000,233930000,197068000,590580000,590580000,193544000,118428000,34834000,83594000,1136482000,1609382000,969597000,455920000,497251000,16426000,2578979000,3715461000,447956000,247821000,200135000,91712000,68705000,23007000,543668000,1624727000,386018000,386018000,2010745000,2554413000,665509000,689634000,-194095000,1161048000,1161048000,3715461000,30747000,72760000,8938999.99999999,-34679000,77767000,-40965000,-3750000,-51713000,-13218000,-1055000,-14273000,11781000,11781000,-1065000,10716000,139561000,1628727000,77600000,0.31274,0.07867,0.03621,0.02648,0.00828,2.52382,2.0904,2.20009,0.43836,0.54758,0.54573,15.12244,20.67725,1.38199,0.00968,0.02443,9.99417,20.87988
"35","2018_Q4",62.2866666666667,"Down",843181000,-580685000,262496000,-194301000,-121219000,-73082000,68195000,-20912000,-19916000,-996000,47283000,-4919000,42364000,-11275000,31089000,31089000,31089000,31089000,252877000,215497000,608645000,608645000,196045000,119254000,35441000,83813000,1176821000,1614429000,983079000,451355000,514102000,17622000,2597508000,3774329000,478337000,248405000,229932000,90428000,65172000,25256000,576300000,1616156000,384549000,384549000,2000705000,2577005000,662106000,720723000,-185505000,1197324000,1197324000,3774329000,31089000,73082000,8232000,5142000,117545000,-45598000,-27273000,-83341000,-10733000,-5753000,-16486000,17718000,17718000,711000,18429000,141277000,1623691000,112096000,0.31132,0.08088,0.03687,0.02597,0.00824,3.60565,2.04203,2.1523,0.43019,0.55459,0.55238,15.04123,21.35866,1.99964,0.0097,0.03497,9.70302,20.10139
"36","2019_Q1",61.794262295082,"Down",858204000,-594857000,263347000,-219384000,-141445000,-77939000,43963000,-24200000,-20139000,-4061000,19763000,-2497000,17266000,-835000,16431000,16431000,16431000,16431000,279363000,226507000,606952000,606952000,199479000,116364000,42800000,73564000,1202158000,1561978000,974185000,441875000,514189000,18121000,2536163000,3738321000,509866000,276461000,233405000,84877000,61843000,23034000,602278000,1565021000,401266000,401266000,1966287000,2568565000,655973000,737154000,-223371000,1169756000,1169756000,3738321000,16431000,77939000,41176000,-9551000,125995000,-54599000,0,-50177000,-18303000,2800000,-60583000,15235000,15235000,-4225000,11010000,121902000,1572556000,58587000,0.30686,0.05123,0.01915,0.01405,0.0044,3.56564,1.99602,2.19581,0.42066,0.2938,0.29195,15.34535,20.91614,1.04758,0.00523,0.01864,10.60846,29.41549
"37","2019_Q2",69.6211111111111,"Up",780839000,-564364000,216475000,-190167000,-114812000,-75355000,26308000,-16781000,-19764000,2983000,9527000,-2574000,6953000,-5977000,976000,976000,976000,976000,224848000,167371000,613507000,613507000,200814000,108953000,45925000,63028000,1148122000,1588613000,1145319000,438958000,517910000,188451000,2733932000,3882054000,450646000,242260000,208386000,139329000,67557000,71772000,597510000,1564005000,548574000,548574000,2112579000,2710089000,653182000,738130000,-219347000,1171965000,1171965000,3882054000,976000,75355000,-1063000,-45528000,29740000,-47158000,-14870000,-74969000,-8323000,-7045000,-15368000,-60597000,-60597000,1461000,-59136000,101663000,1571540000,14954000,0.27723,0.03369,0.00125,0.000829999999999997,0.00025,15.32172,1.92151,2.31243,0.40482,0.01748,0.0174,13.9815,20.98491,0.26776,3e-04,0.00454,13.24663,51.18945
"38","2019_Q3",73.96046875,"Up",868678000,-594933000,273745000,-198137000,-123920000,-74217000,75608000,-20779000,-20215000,-564000,54829000,-2560000,52269000,-16025000,36244000,36244000,36244000,36244000,259653000,204455000,632888000,632888000,203331000,117314000,42640000,74674000,1213186000,1596917000,1145218000,433853000,525044000,186321000,2742135000,3955321000,477674000,253177000,224497000,148481000,75170000,73311000,633690000,1562989000,549175000,549175000,2112164000,2745854000,649364000,774374000,-214271000,1209467000,1209467000,3955321000,36244000,74217000,4670000,-6401000,108730000,-39230000,-14609000,-64899000,-6976000.00000006,-1449000,-8425000,35406000,35406000,1678000,37084000,149825000,1570524000,120219000,0.31513,0.08704,0.04172,0.02997,0.00916,3.31694,1.91448,2.2703,0.39707,0.64867,0.64814,15.54709,21.64633,2.15161,0.01089,0.03611,8.74935,17.33773
"39","2019_Q4",81.2728125,"Up",891668000,-612754000,278914000,-196057000,-122301000,-73756000,82857000,-20129000,-19702000,-427000,62728000,-8609000,54119000,-17750000,36369000,36369000,36369000,36369000,329110000,282233000,641667000,641667000,210827000,118980000,38199000,80781000,1300584000,1593993000,1127285000,425863000,524581000,176841000,2721278000,4021862000,5.31e+08,277545000,253455000,141507000,73157000,68350000,680042000,1555257000,550768000,550768000,2106025000,2786067000,648742000,810743000,-223690000,1235795000,1235795000,4021862000,36369000,73756000,10609000,25471000,146205000,-40481000,0,-47241000,843582000,-863921000,-20339000,78625000,78625000,-847000,77778000,156613000,1562792000,159353000,0.3128,0.09292,0.04079,0.02943,0.00904,4.38156,1.91251,2.25447,0.38857,0.65117,0.6457,15.96484,22.12624,2.85313,0.01086,0.04758,7.87726,14.88929
"40","2020_Q1",73.0272580645161,"Down",871005000,-615768000,255237000,-200418000,-123021000,-77397000,54819000,-18084000,-18989000,905000,36735000,-1837000,34898000,-10747000,24151000,24151000,24151000,24151000,414412000,371991000,644738000,644738000,214744000,127014000,70688000,56326000,1400908000,1588151000,1119845000,419066000,525013000,175766000,2707996000,4108904000,574915000,298375000,276540000,137650000,73370000,64280000,720100000,1554116000,564875000,564875000,2118991000,2839091000,644970000,834894000,-210051000,1269813000,1269813000,4108904000,24151000,77397000,30173000,-3204000,128517000,-81704000,4830000,-30747000,-836404000,848501000,-9293000,88477000,88477000,1281000,89758000,132216000,1561651000,58055000,0.29304,0.06294,0.02773,0.01902,0.00588,2.40383,1.94544,2.23583,0.38007,0.43277,0.42982,15.60773,22.75406,1.0403,0.00711,0.01709,8.67701,20.92776
"41","2020_Q2",55.7303174603175,"Down",858563000,-606666000,251897000,-203840000,-129307000,-74533000,48057000,-21152000,-18787000,-2365000,26905000,-5635000,21270000,-9698000,11572000,11572000,11572000,11572000,494348000,432205000,658482000,658482000,216532000,117114000,44629000,72485000,1486476000,1547119000,1098426000,406881000,519627000,171918000,2645545000,4132021000,523405000,267892000,255513000,127472000,71243000,56229000,658412000,1702992000,564812000,564812000,2267804000,2926216000,628696000,846466000,-269357000,1205805000,1205805000,4132021000,11572000,74533000,20352000,-72776000,33681000,-81065000,7856000,-93087000,147787000,-3999000,126447000,67041000,67041000,-6827000,60214000,122590000,1710527000,-21553000,0.29339,0.05597,0.01348,0.0096,0.0028,-1.86251,2.25767,2.42677,0.41397,0.20754,0.20644,15.3983,21.62607,-0.38655,0.00332,-0.00619,9.9207,25.30701
"42","2020_Q3",59.22734375,"Up",7.1e+08,-470681000,239319000,-176333000,-103839000,-72494000,62986000,-19154000,-18654000,-5e+05,43832000,-2950000,40882000,-11859000,29023000,29023000,29023000,29023000,506692000,447366000,572373000,572373000,219808000,132931000,69455000,63476000,1431804000,1553808000,1092017000,400448000,523154000,168415000,2645825000,4077629000,477754000,188340000,289414000,119651000,61902000,57749000,604940000,1626871000,591847000,591847000,2218718000,2823658000,630311000,875489000,-251829000,1253971000,1253971000,4077629000,29023000,72494000,13575000,24713000,139805000,-42797000,-8980000,-48598000,-78344999.9999999,-1085000,-79430000,11777000,11777000,3384000,15161000,135480000,1634406000,129255000,0.33707,0.08871,0.04088,0.02314,0.00712,4.45354,2.36685,2.25177,0.40082,0.5221,0.52098,12.77231,22.5579,2.32519,0.00834,0.03714,8.32384,17.9042
"43","2020_Q4",67.016875,"Up",779344000,-511629000,267715000,-181014000,-106544000,-74470000,86701000,-15139000,-17407000,2268000,71562000,-2940000,68622000,-13712000,54910000,54910000,54910000,54910000,532345000,475706000,602069000,602069000,220884000,138361000,58711000,79650000,1493659000,1539333000,1073195000,392401000,524261000,156533000,2612528000,4106187000,506976000,213776000,293200000,126550000,67412000,59138000,641061000,1550756000,609655000,609655000,2160411000,2801472000,613760000,930399000,-239444000,1304715000,1304715000,4106187000,54910000,74470000,13113000,1453000,143946000,-21051000,-3000,-18611000,-77849000,1058000,-98992000,26343000,26343000,1997000,28340000,161171000,1558291000,155285000,0.34351,0.11125,0.07046,0.04209,0.01337,2.82799,2.32998,2.14719,0.3795,0.98773,0.98525,14.019,23.46947,2.7933,0.01581,0.04472,6.36557,11.83315
"44","2021_Q1",84.1262295081967,"Up",796190000,-548775000,247415000,-182772000,-111354000,-71418000,64643000,-17965000,-18272000,307000,46678000,-2902000,43776000,-4444000,39332000,39332000,39332000,39332000,570958000,519101000,611534000,611534000,220498000,122732000,67051000,55681000,1525722000,1525298000,1080500000,386620000,527023000,166857000,2605798000,4131520000,491701000,195878000,295823000,136909000,74066000,62843000,636145000,1549641000,604183000,604183000,2153824000,2789969000,583297000,969731000,-211477000,1341551000,1341551000,4131520000,39332000,71418000,928000,1487000,113165000,-43749000,-1.86264514923096e-09,-39164000,-3597000,1927999.99999999,-36971000,37030000,37030000,6365000,43395000,136061000,1557176000,98243000,0.31075,0.08119,0.0494,0.02932,0.00952,2.49779,2.39839,2.07966,0.3769,0.71541,0.71171,14.48197,24.4016,1.78695,0.01123,0.02805,7.24835,15.25638
"45","2021_Q2",90.8653968253968,"Up",808148000,-560536000,247612000,-193804000,-121641000,-72163000,53808000,-19146000,-17918000,-1228000,34662000,-2953000,31709000,-9973000,21736000,21736000,21736000,21736000,570703000,496383000,620184000,620184000,219499000,131965000,76726000,55239000,1542351000,1527944000,1082244000,380053000,543605000,158586000,2610188000,4152539000,497567000,213355000,284212000,145451000,83165000,62286000,650553000,1548517000,605019000,605019000,2153536000,2804089000,556512000,991467000,-199529000,1348450000,1348450000,4152539000,21736000,72163000,11243000,-2142000,1.03e+08,-41214000,-22918000,-86737000,-3556000,-10518000,-40620000,-24357000,-24357000,1639000,-22718000,125971000,1556052000,92588000,0.30639,0.06658,0.0269,0.01612,0.00523,4.25966,2.37083,2.07949,0.37472,0.3972,0.39489,14.76798,24.64138,1.69194,0.00619,0.02638,7.82203,18.31231
"46","2021_Q3",98.39,"Up",926458000,-617886000,308572000,-195698000,-124106000,-71592000,112874000,-19531000,-18051000,-1480000,93343000,-2873000,90470000,-23395000,67075000,67075000,67075000,67075000,666257000,595574000,659364000,659364000,215725000,135970000,76524000,59446000,1677316000,1531289000,1067274000,374230000,544639000,148405000,2598563000,4275879000,560862000,249206000,311656000,142672000,83733000,58939000,711069000,1547398000,607825000,607825000,2155223000,2866292000,539934000,1058542000,-188889000,1409587000,1409587000,4275879000,67075000,71592000,10348000,13417000,162432000,-49045000,0,-45603000,-3789000,2738000,-19914000,96915000,96915000,2276000,99191000,184466000,1554933000,172233000,0.33307,0.12183,0.0724,0.04758,0.01569,2.56777,2.35887,2.03343,0.36365,1.22572,1.21859,16.92996,25.75858,3.14736,0.01878,0.04821,4.81756,7.87317
"47","2021_Q4",105.36765625,"Up",951479000,-639232000,312247000,-204615000,-133164000,-71451000,107632000,-17785000,-17984000,199000,89847000,-2799000,87048000,-21605000,65443000,65443000,65443000,65443000,711507000,646663000,703199000,703199000,228682000,140776000,70864000,69912000,1784164000,1508356000,1061779000,366497000,543028000,152254000,2570135000,4354299000,585992000,286565000,299427000,146374000,86589000,59785000,739901000,1546284000,604554000,604554000,2150838000,2890739000,540291000,1123985000,-200716000,1463560000,1463560000,4354299000,65443000,71451000,17776000,-51876000,102794000,-42630000,99000,-36927000,-4152000,-4076000,-11228000,54639000,54639000,-3550000,51089000,179083000,1553819000,106182000,0.32817,0.11312,0.06878,0.04471,0.01503,1.62251,2.41136,1.97514,0.35685,1.20275,1.19625,17.48689,26.89824,1.95148,0.01807,0.02932,4.70347,7.82585
"48","2022_Q1",98.7256451612903,"Down",1119481000,-792183000,327298000,-241980000,-159051000,-82929000,85318000,-21710000,-23704000,1994000,63608000,-3120000,60488000,-11495000,48993000,48993000,48993000,48993000,534299000,452575000,792734000,792734000,250692000,163446000,68483000,94963000,1741171000,1863175000,2049353000,644912000,1227042000,177399000,3912528000,5653699000,751280000,359866000,391414000,156499000,83749000,72750000,925314000,2517024000,697474000,697474000,3214498000,4139812000,536921000,1172978000,-196012000,1513887000,1513887000,5653699000,48993000,82929000,8456000,37393000,177771000,-90659000,-1230413000,-1338335000,990504000,-14492000,970011000,-190553000,-190553000,-3535000,-194088000,168247000,2534559000,126476000,0.29237,0.07621,0.04376,0.03236,0.00867,2.58151,1.88171,2.73456,0.4483,0.90042,0.89555,20.57453,27.82318,2.32446,0.01032,0.02665,11.88883,23.44476
"49","2022_Q2",96.4932258064516,"Down",1169109000,-843389000,325720000,-235471000,-151173000,-84298000,90249000,-24313000,-25017000,704000,65936000,-3156000,62780000,-17466000,45314000,45314000,45314000,45314000,414948000,339584000,900273000,900273000,264733000,227294000,103349000,123945000,1807248000,1881542000,2037467000,633445000,1221399000,182623000,3919009000,5726257000,732987000,394152000,338835000,163617000,90116000,73501000,914139000,2513944000,704937000,704937000,3218881000,4133020000,537108000,1218292000,-162163000,1593237000,1593237000,5726257000,45314000,84298000,15882000,-184123000,-38629000,-69309000,5e+06,-58861000,-7969000,-4417000,-16080000,-113570000,-113570000,579000,-112991000,174547000,2531479000,-61419000,0.27861,0.07719,0.03876,0.02844,0.00791,-1.35541,1.97699,2.5941,0.44208,0.83301,0.82905,21.49176,29.28852,-1.12907,0.00938,-0.01272,12.12585,23.45213
"50","2022_Q3",101.657,"Up",1356312000,-898469000,457843000,-243476000,-155608000,-87868000,214367000,-24991000,-26256000,1265000,189376000,5667000,195043000,-46886000,148157000,148157000,148157000,148157000,415428000,344631000,1005488000,1005488000,275696000,227493000,93320000,134173000,1924105000,1913145000,2087406000,637254000,1244655000,205497000,4000551000,5924656000,796265000,409218000,387047000,176258000,94531000,81727000,990058000,2510963000,706685000,706685000,3217648000,4207706000,513203000,1366449000,-162702000,1716950000,1716950000,5924656000,148157000,87868000,5705000,-71131000,170599000,-76546000,-56280000,-128621000,-7351000,2e+06,-35351000,6627000,6627000,-1580000,5047000,302235000,2528498000,201444000,0.33756,0.15805,0.10924,0.08629,0.02501,1.35967,1.94343,2.45069,0.42678,2.72357,2.71062,24.93312,31.56274,3.70315,0.02992,0.04068,6.99148,9.85725
