"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",16.9380952380952,"Up",391703000,-307752000,83951000,-71444000,-69039000,-2405000,12507000,-6572000,-6881000,-6886000,5000,-78000,387000,5935000,-2621000,3314000,-1275000,2039000,2039000,2039000,2031000,305523093.769637,294894477.265685,-616844803.942364,-616844803.942364,-1282312011.0181,-281256216.527315,-25482291.8126788,-1874889937.71815,-2283913381.24106,-20874533536.5722,-10716875635.0277,-10311327515.5843,158489010.027063,-23158446917.8133,-25033336855.5314,61293446.4664724,791886726.316816,-311014326.553213,-376896170.796283,-18243212286.9415,-2810530572.7951,-2060804156.99813,-749726415.796975,-21053742859.7366,-21430639030.5329,-3902473412.09338,276264362.762408,13561907.8549527,-3602697824.99852,-3602697824.99852,-25033336855.5314,2039000,10315000,5256000,-47973000,-30363000,-4120000,-4120000,-10431000,-2272000,-15217000,-49700000,-49700000,86000,-49614000,22822000,0,-27996000,0.21432,0.03193,0.00519,1.94515264865073,0.579647452159474,-13.78434,-0.430830895761715,-11.0779963967984,-2.170696628223,0.01618,0.01618,3.12089,-28.7043878541193,-0.22306,0.881037791157156,2.48198753618241,-460.01430680407,-1066.89898246936
"2","2017_Q3",16.5388888888889,"Down",420464000,-319625000,100839000,-77530000,-75125000,-2405000,23309000,-6891000,-7340000,-7479000,139000,128000,321000,16418000,9163000,25581000,-8607000,16974000,16974000,16974000,16851000,222965546.884818,215087738.632842,-115789901.971182,-115789901.971182,-434283005.509052,-101195108.263658,-10883145.9063394,-428302468.859073,-842074190.62053,-8768839268.28612,-4517474817.51383,-4335558257.79215,85094005.0135317,-9610913458.90665,-10039215927.7657,265236223.233236,458841363.158408,-142631163.276606,71397414.6018584,-7595409143.47077,-1180536286.39755,-880846078.499065,-299690207.898487,-8775945429.86832,-8704548015.26646,-1312377206.04669,-27038318.6187962,1584953.92747637,-1334667912.49926,-1334667912.49926,-10039215927.7657,16974000,10063000,-6486000,17701000,38252000,-4903000,-4483000,-27000,123000.000000001,273000,34042000,34042000,-149000,33893000,33372000,-2.98023223876953e-08,54777000,0.23983,0.05544,0.04008,0.905646324325366,0.270643726079737,3.25067,0.743979552119143,-3.5127881983992,-0.762733314111503,0.13426,0.13426,3.35004,-10.6339239270597,0.43644,0.410418895578578,1.2440587680912,-201.822893402035,-495.197331234682
"3","2017_Q4",16.8198412698413,"Up",469385000,-354416000,114969000,-78714000,-76309000,-2405000,36255000,-6031000,-7353000,-7373000,20000,985000,337000,30224000,-2158000,28066000,-9845000,18221000,18221000,18221000,18112000,142612182.29494,135944746.210947,130702366.009606,130702366.009606,22971831.4969828,-1089036.08788583,-2947715.30211313,295197343.713642,-66144730.2068432,-2219898089.42871,-1156529105.83794,-1097672085.93072,32850501.6711772,-2286042819.63555,-1990845475.92191,333463407.744412,252999954.386136,-44625054.4255354,275895804.867286,-1829481547.82359,-307044595.465851,-241335359.499688,-65709235.9661624,-2136526143.28944,-1860630338.42215,64155597.9844366,-188742272.872932,-5008682.02417454,-130215137.499753,-130215137.499753,-1990845475.92191,18221000,10278000,2678000,-38469000,-7292000,-4073000,4100000,-818000,-144000,-963000,-4155000,-4155000,396000,-3759000,46533000,0,13836000,0.24494,0.07724,0.03859,0.314323774775122,0.094156242026579,0.76391,1.37876151737305,0.664397267200268,0.0339255619628324,0.14431,0.14431,3.73982,-1.03748130901989,0.11024,0.141724631859526,0.490702922697068,-56.3398711340116,-151.496622078227
"4","2018_Q1",17.6450819672131,"Up",488726000,-372421000,116305000,-75077000,-72672000,-2405000,41228000,-7148000,-7087000,-7161000,74000,-488000,427000,34080000,-7903000,26177000,-8687000,17490000,17490000,17490000,17405000,72139000,65658000,199897000,199897000,198296000,40694000,136000,511026000,226995000,293091000,137148000,148291000,5108000,520086000,1031112000,315608000,147772000,440000,316048000,387290000,22527000,4297000,18230000,409817000,725865000,562964000,-248046000,-7531000,305247000,305247000,1031112000,17490000,10662000,11037000,24088000,63277000,-5781000,-5781000,-474000,-96000,-37795000,19701000,19701000,-139000,19562000,51890000,387730000,78884000,0.23798,0.08436,0.03561,0.05702,0.01688,4.53226,1.61693,2.37796,0.37603,0.13867,0.13867,3.89392,2.43205,0.62851,0.02433,0.11025,6.08192,7.65477
"5","2018_Q2",19.14140625,"Up",421349000,-329432000,91917000,-77198000,-74786000,-2412000,14719000,-6531000,-7459000,-7492000,33000,471000,457000,8188000,-1821000,6367000,-1118000,5249000,5249000,5249000,5211000,19222000,12420000,169059000,169059000,200533000,45786000,180000,434600000,220465000,290929000,134743000,148291000,5216000,511394000,945994000,261303000,116567000,1e+07,271303000,387625000,20761000,2620000,18141000,408386000,679689000,519887000,-244148000,-7294000,266305000,266305000,945994000,5249000,10358000,4289000,-26476000,-6580000,-5860000,-5860000,9559000,-4885000,-40991000,-53431000,-53431000,237000,-53194000,25077000,397625000,-6141000,0.21815,0.03493,0.01237,0.01957,0.00551,-1.17847,1.6019,2.5523,0.42033,0.04152,0.04152,3.3571,2.12178,-0.04893,0.00761,-0.00897000000000002,15.08964,25.70847
"6","2018_Q3",16.6674603174603,"Down",457069000,-352986000,104083000,-76819000,-74406000,-2413000,27264000,-4847000,-4812000,-4849000,37000,-305000,270000,22417000,-30183000,-7766000,2082000,-5684000,-5684000,-5684000,-5646000,-1919511.06566281,-8894033.61815783,127297478.756004,127297478.756004,155996269.685614,37326102.4450714,-780822.063820709,318700339.821027,121132168.620723,-522967930.892942,-292120066.148715,-257455928.706698,24395313.5444858,-401835762.272219,-83135422.4511923,234168254.840258,134023971.491335,3090340.98404035,235359503.042054,-329009717.389743,-81471997.1661568,-80031599.6873053,-1440397.47885153,-410481714.5559,-175122211.513846,317049748.740273,-217534920.545583,-6088801.26510909,91986789.0626543,91986789.0626543,-83135422.4511923,-5684000,10442000,30457000,11351000,46566000,-8359000,-12774000,-4617000,-6002000,-10619000,23173000,23173000,-261000,22912000,37706000,0,38616000,0.22772,0.05965,-0.01235,0.0842986092344512,0.0249626512666119,-6.83953,1.50081969835815,2.19128704200017,0.34052347622677,-0.04498,-0.04498,3.64169,0.732905431862569,0.30767,0.0378653949122038,0.0166718266856672,2.12312429124272,-29.559132548892
"7","2018_Q4",11.9879365079365,"Down",548525000,-415124000,133401000,-81451000,-79039000,-2412000,51950000,-4437000,-4524000,-4572000,48000,-258000,345000,47513000,2551000,50064000,-14078000,35986000,35986000,35986000,35738000,49107000,43322000,211098000,211098000,260879000,44482000,180000,565566000,230851000,285277000,129933000,148291000,5352000.00000001,516128000,1081694000,353771000,179700000,5144000,358915000,403842000,19851000,1739999.99999997,18111000,423693000,782608000,521722000,-213846000,-7623000,299086000,299086000,1081694000,35986000,10174000,-5199000,-24039000,16922000,-14310000,-6580000,-1841000,-682000,-2284000,8058000,8058000,-68000,7990000,62124000,408986000,37853000,0.2432,0.09471,0.06515,0.11949,0.03304,1.05918,1.57577,2.61667,0.3781,0.28474,0.28474,4.37037,2.38297,0.30159,0.0491,0.052,5.79291,6.92741
"8","2019_Q1",7.33786885245902,"Down",573634000,-440353000,133281000,-81286000,-78875000,-2411000,51995000,-5135000,-4873000,-4895000,22000,-152000,-110000,46860000,-12430000,34430000,-6875000,27555000,27555000,27555000,27391000,147261000,143847000,438505000,438505000,536675000,81350000,3760000,1203791000,614007000,3323389000,1669901000,1640211000,12079000,3937396000,5141187000,599810000,220857000,25600000,650170000,3085163000,445872000,295675000,150197000,3531035000,4181205000,1238312000,-265839000,-10813000,959982000,959982000,5141187000,27555000,11351000,3936000,-17287000,25555000,-12960000,-12960000,-1534000,-45000,-1579000,11016000,11016000,-1000.00000000003,11015000,63346000,3110763000,39974000,0.23235,0.09064,0.04775,0.02853,0.00533,1.45938,1.8515,4.3555,0.60507,0.21824,0.21824,4.57042,7.64865,0.31849,0.00606,0.00885,46.78278,56.9959
"9","2019_Q2",5.55761904761905,"Down",1064832000,-878915000,185917000,-195769000,-154306000,-41463000,-9852000,-56549000,-58071000,-58286000,215000,1177000,345000,-66401000,-17513000,-83914000,23897000,-60017000,-60017000,-60017000,-60017000,103310000,99588000,499438000,499438000,516957000,103834000,4039000,1223539000,638172000,3728143000,1721054000,1702182000,304907000,4366315000,5589854000,591966000,216306000,25600000,712044000,3301248000,670276000,282886000,387390000,3971524000,4683568000,1241679000,-325856000,-8341000,906286000,906286000,5589854000,-60017000,59947000,15303000,-63955000,-48722000,-27190000,-209608000,213595000,-156000,213439000,-44891000,-44891000,911000,-43980000,50095000,3326848000,-64947000,0.1746,-0.00925,-0.05636,-0.06622,-0.01074,1.08214,1.71835,5.16787,0.59516,-0.47819,-0.47819,8.48404,7.22083,-0.51746,-0.01224,-0.01325,64.3485,-327.19631
"10","2019_Q3",5.46796875,"Down",1295457000,-990794000,304663000,-204539000,-158028000,-46511000,100124000,-58052000,-58178000,-58299000,121000,523000,-397000,42072000,-19193000,22879000,-5346000,17533000,17533000,17533000,17533000,91205000,87496000,589610000,589610000,502125000,99286000,3989000,1282226000,634599000,3736915000,1830821000,1611213000,294881000,4371514000,5653740000,635936000,241808000,25600000,756133000,3315550000,673853000,265464000,408389000,3989403000,4745536000,1245153000,-308323000,-27419000,908204000,908204000,5653740000,17533000,67529000,-36618000,-29636000,18808000,-29157000,-25923000,-6405000,-11000,-6416000,-13531000,-13531000,1389000,-12142000,167653000,3341150000,114206000,0.23518,0.07729,0.01353,0.01931,0.0031,6.51377,1.69577,5.22519,0.59096,0.13969,0.13969,10.32154,7.23611,0.90994,0.00356,0.0232,19.38495,32.4592
