"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",50.96,"Up",2.478e+09,-1.877e+09,6.01e+08,-4.31e+08,-3.35e+08,-9.2e+07,-4e+06,1.7e+08,8.7e+07,-6e+06,7.6e+07,1.7e+07,2.57e+08,2.57e+08,-8.7e+07,1.7e+08,1.7e+08,-2.1e+07,1.49e+08,1.49e+08,1.102e+09,8.85e+08,2.17e+08,1.549e+09,2.269e+09,2.4e+08,1.727e+09,4.92e+09,1.862e+09,1.987e+09,3.65e+08,2.39e+08,6.38e+08,3.32e+08,3.849e+09,8.769e+09,1.86e+09,1.03e+09,8.3e+08,9.5e+07,9.5e+07,5.31e+08,1.44e+08,3.87e+08,2.486e+09,6.4e+08,1.591e+09,8.72e+08,4.66e+08,7.19e+08,2.231e+09,4.717e+09,1.826e+09,1.826e+09,-7.69e+08,3.689e+09,-9.55e+08,3.791e+09,2.61e+08,4.052e+09,8.769e+09,1.7e+08,7.9e+07,-1.41e+08,6e+06,1.3e+07,-1.6e+08,1.8e+07,2.75e+08,-1.89e+08,5.4e+07,-1.22e+08,1.26e+08,-9e+06,-4.7e+07,-2.5e+07,1.08e+08,-1.33e+08,-2.8e+07,-1.44e+08,-3.5e+07,5.5e+07,5e+06,5e+07,-2e+07,-3.9e+07,-3.9e+07,1.2e+07,-7e+06,-2.5e+07,-2.5e+07,-2e+07,-4.5e+07,2.49e+08,7.35e+08,3.45e+08,0.24253,0.0686,0.06013,0.03677,0.01699,2.31544,1.97908,1.16412,0.08382,0.75101,0.74987,12.48992,19.10786,1.73891,0.17641,-5.11275342652826,0.02885,0.05409,0.2349,-1.4739,-2.15882
"2","2010_Q3",58.39609375,"Up",3.208e+09,-2.455e+09,7.53e+08,-4.54e+08,-3.54e+08,-9.6e+07,-4e+06,2.99e+08,9.3e+07,-4e+06,9.7e+07,3.72529029846191e-09,3.92e+08,3.92e+08,-1.22e+08,2.7e+08,2.7e+08,-2.4e+07,2.46e+08,2.46e+08,1.193e+09,9.24e+08,2.69e+08,1.652e+09,2.6e+09,2.36e+08,2.052e+09,5.445e+09,1.838e+09,1.927e+09,3.63e+08,2.25e+08,6.22e+08,3.4e+08,3.765e+09,9.21e+09,2.171e+09,1.213e+09,9.58e+08,8.7e+07,8.7e+07,5.49e+08,1.42e+08,4.07e+08,2.807e+09,6.69e+08,1.574e+09,8.31e+08,4.61e+08,7.43e+08,2.243e+09,5.05e+09,1.833e+09,1.833e+09,-8.9e+08,3.9e+09,-9.6e+08,3.883e+09,2.77e+08,4.16e+09,9.21e+09,2.7e+08,8.2e+07,3.3e+07,5e+06,3e+07,-2e+06,-8.4e+07,-3.32e+08,-1.12e+08,1.85e+08,1.75e+08,3.01e+08,-4e+07,-4.4e+07,-5.5e+07,1.7e+08,-2.25e+08,-1.4e+07,-9.9e+07,-3.5e+07,-7999999.99999997,-6e+06,-2e+06,-1.7e+07,-1.23e+08,-1.23e+08,0,-1.66e+08,3.6e+07,3.6e+07,3e+06,3.9e+07,3.81e+08,7.56e+08,3.79e+08,0.23473,0.0932,0.07668,0.05913,0.02671,1.54065,1.93979,1.21394,0.08208,1.24937,1.24683,16.29253,19.72067,1.92483,0.17776,2.00653150585159,0.0433,0.0584,0.14228,-1.14698,-1.46154
"3","2010_Q4",72.7678125,"Up",3.401e+09,-2.571e+09,8.3e+08,-4.83e+08,-3.75e+08,-1.03e+08,-5e+06,3.47e+08,9.1e+07,-5e+06,8.8e+07,8e+06,4.38e+08,4.38e+08,-1.29e+08,3.09e+08,3.09e+08,-2.6e+07,2.83e+08,2.83e+08,1.245e+09,9.37e+08,3.08e+08,1.91e+09,2.823e+09,2.6e+08,2.235e+09,5.978e+09,1.891e+09,2.003e+09,3.65e+08,2.19e+08,6.89e+08,4.17e+08,3.894e+09,9.872e+09,2.411e+09,1.339e+09,1.072e+09,9.8e+07,9.8e+07,5.62e+08,1.66e+08,3.96e+08,3.071e+09,7.32e+08,1.575e+09,8.1e+08,4.48e+08,7.65e+08,2.307e+09,5.378e+09,1.895e+09,1.895e+09,-9.67e+08,4.135e+09,-8.64e+08,4.199e+09,2.95e+08,4.494e+09,9.872e+09,3.09e+08,7.8e+07,-5.8e+07,6e+06,4e+07,-1.04e+08,-1.37e+08,-1.41e+08,-2.23e+08,9.7e+07,1.3e+08,1.92e+08,-7.5e+07,-7.9e+07,-8.2e+07,1.74e+08,-2.56e+08,1.6e+07,-1.63e+08,-5e+07,4.8e+07,-3e+06,5.1e+07,-2.7e+07,-2.7e+07,-7.9e+07,-8e+06,-3.7e+07,-8e+06,-8e+06,2.1e+07,1.3e+07,4.25e+08,8.3e+08,3.42e+08,0.24405,0.10203,0.08321,0.06297,0.02867,1.20848,1.9466,1.19671,0.08408,1.44535,1.44167,17.36977,21.44535,1.74668,0.25536,6.12744931469435,0.04827,0.04957,0.17668,-0.97647,-1.19597
"4","2011_Q1",79.2259677419355,"Up",4.139e+09,-3.155e+09,9.84e+08,-5.49e+08,-4.23e+08,-1.23e+08,-3e+06,4.35e+08,9.5e+07,-4e+06,9e+07,9e+06,5.3e+08,5.3e+08,-1.39e+08,3.91e+08,3.91e+08,-2.9e+07,3.62e+08,3.62e+08,1.362e+09,1.023e+09,3.39e+08,1.977e+09,2.95e+09,3.93e+08,2.243e+09,6.289e+09,2.041e+09,2.072e+09,3.67e+08,2.22e+08,7.34e+08,7.49e+08,4.113e+09,1.0402e+10,2.373e+09,1.362e+09,1.011e+09,8.2e+07,8.2e+07,8.05e+08,1.82e+08,4.21e+08,3.26e+09,7.09e+08,1.437e+09,6.34e+08,4.39e+08,8.03e+08,2.146e+09,5.406e+09,1.909e+09,1.909e+09,-9.64e+08,4.445e+09,-7.2e+08,4.67e+09,3.26e+08,4.996e+09,1.0402e+10,3.91e+08,8.1e+07,-1.76e+08,5e+06,-2.7e+07,-1.54e+08,9.1e+07,-4.7e+07,5.24e+08,-3.36e+08,-5e+07,3.87e+08,-1.85e+08,-1.94e+08,-3.3e+07,2.38e+08,-2.71e+08,-1.5e+07,-2.45e+08,-5.2e+07,-1.5e+07,1.3e+07,-2.8e+07,-7.9e+07,6e+06,1.49011611938477e-08,4e+06,-5.7e+07,85000000.0000001,85000000.0000001,1e+06,8.6e+07,5.16e+08,7.91e+08,5.61e+08,0.23774,0.1051,0.08746,0.07246,0.0348,1.54972,1.92914,1.08207,0.07604,1.8498,1.84418,21.15008,23.86347,2.86668,0.26572,8,0.05731,0.07766,0.14365,-1.10659,-1.31264
"5","2011_Q2",78.8987301587302,"Down",3.86e+09,-2.903e+09,9.57e+08,-5.24e+08,-3.89e+08,-1.29e+08,-6e+06,4.33e+08,8.9e+07,-4e+06,9.6e+07,-3e+06,5.22e+08,5.22e+08,-1.57e+08,3.65e+08,3.65e+08,-2.2e+07,3.43e+08,3.43e+08,1.086e+09,7.79e+08,3.07e+08,2.202e+09,3.206e+09,3.29e+08,2.57e+09,6.494e+09,2.064e+09,2.168e+09,3.68e+08,2.17e+08,8.22e+08,5.74e+08,4.232e+09,1.0726e+10,2.521e+09,1.626e+09,8.95e+08,8.2e+07,8.2e+07,8.48e+08,1.89e+08,4.35e+08,3.451e+09,6.85e+08,1.391e+09,5.81e+08,4.35e+08,8.1e+08,2.076e+09,5.527e+09,1.925e+09,1.925e+09,-1.153e+09,4.737e+09,-6.42e+08,4.867e+09,3.32e+08,5.199e+09,1.0726e+10,3.65e+08,7.9e+07,-8.5e+07,5e+06,2.1e+07,-1.11e+08,-2.71e+08,-3.06e+08,-2.1e+08,2.51e+08,-6e+06,8.8e+07,-9.1e+07,-9.1e+07,3.3e+07,1.34e+08,-1.01e+08,1e+06,-7.8e+07,-5.1e+07,-6e+06,1e+06,-7e+06,-4.5e+07,-1.9e+08,-1.9e+08,-1.5e+07,-2.62e+08,-2.52e+08,-2.52e+08,8e+06,-2.44e+08,5.12e+08,7.67e+08,3.07e+08,0.24793,0.11218,0.08886,0.06597,0.03198,0.89504,1.88177,1.06309,0.07151,1.75448,1.74911,19.74425,24.89514,1.57033,0.26087,8.37418356176855,0.05355,0.04173,0.14869,-0.62305,-0.73672
"6","2011_Q3",71.26109375,"Down",4.641e+09,-3.438e+09,1.203e+09,-6.2e+08,-4.63e+08,-1.57e+08,-9.31322574615479e-10,5.83e+08,1.11e+08,-3e+06,1.17e+08,-3e+06,6.94e+08,7.62e+08,-2.25e+08,5.37e+08,5.37e+08,-3.2e+07,5.05e+08,5.05e+08,1.474e+09,1.111e+09,3.63e+08,2.275e+09,3.388e+09,3.03e+08,2.78e+09,7.137e+09,2.117e+09,2.059e+09,3.48e+08,2.16e+08,7.61e+08,6.19e+08,4.176e+09,1.1313e+10,2.768e+09,1.686e+09,1.082e+09,5.9e+07,5.9e+07,8.86e+08,2.02e+08,4.29e+08,3.713e+09,7.02e+08,1.381e+09,5.42e+08,4.32e+08,8.39e+08,2.083e+09,5.796e+09,1.945e+09,1.945e+09,-1.333e+09,5.191e+09,-6.45e+08,5.158e+09,3.59e+08,5.517e+09,1.1313e+10,5.37e+08,8e+07,2.6e+07,1.3e+07,6.6e+07,-5.3e+07,13000000.0000001,-2.07e+08,-8e+07,5.6e+07,2.44e+08,6.56e+08,-1.24e+08,-1.24e+08,-5.1e+07,2.09e+08,-2.6e+08,-1e+07,-7.3e+07,-5.1e+07,-1.7e+07,1e+07,-2.7e+07,-4.9e+07,-1.83e+08,-1.83e+08,-1.86264514923096e-09,-2.51e+08,3.32e+08,3.32e+08,3.72529029846191e-09,3.32e+08,6.63e+08,7.61e+08,7.77e+08,0.25921,0.12562,0.10881,0.09154,0.04464,1.53861,1.92217,1.05057,0.06727,2.60578,2.59774,23.94737,26.61507,4.00929,0.26316,8,0.07259,0.10145,0.10099,-1.07541,-1.22298
"7","2011_Q4",70.1653968253968,"Down",4.626e+09,-3.438e+09,1.188e+09,-6.51e+08,-4.89e+08,-1.64e+08,2e+06,5.37e+08,9.2e+07,-2e+06,1.02e+08,-8e+06,6.29e+08,6.29e+08,-1.57e+08,4.72e+08,4.72e+08,-2e+07,4.52e+08,4.52e+08,1.438e+09,1.165e+09,2.73e+08,2.295e+09,3.293e+09,3.5e+08,2.666e+09,7.026e+09,2.168e+09,2.144e+09,3.46e+08,2.15e+08,8.3e+08,6.28e+08,4.312e+09,1.1338e+10,2.818e+09,1.659e+09,1.159e+09,4.8e+07,4.8e+07,8.76e+08,2.08e+08,4.17e+08,3.742e+09,6.65e+08,1.387e+09,5.21e+08,4.46e+08,8.66e+08,2.052e+09,5.794e+09,1.96e+09,1.96e+09,-1.505e+09,5.567e+09,-8.11e+08,5.211e+09,3.33e+08,5.544e+09,1.1338e+10,4.72e+08,8.4e+07,6.8e+07,1e+07,6.1e+07,-3e+06,0,4.4e+07,-7.7e+07,1e+07,2.3e+07,6.24e+08,-1.62e+08,-1.62e+08,5.2e+07,2.29e+08,-1.77e+08,-1.1e+07,-2.05e+08,-7.6e+07,-6e+07,-1.6e+07,-4.4e+07,-8e+07,-1.73e+08,-1.73e+08,-1.8e+07,-3.27e+08,9.2e+07,9.2e+07,-3.8e+07,5.4e+07,6.21e+08,7.13e+08,6.16e+08,0.25681,0.11608,0.09771,0.08153,0.03987,1.36283,1.87761,1.04509,0.06289,2.35294,2.34561,24.08121,27.1265,3.20666,0.39563,8,0.06907,0.08059,0.16814,-1.16747,-1.35009
"8","2012_Q1",86.361935483871,"Up",4.921e+09,-3.68e+09,1.241e+09,-6.5e+08,-4.96e+08,-1.79e+08,2.5e+07,5.91e+08,1.14e+08,-1e+06,1.01e+08,1.4e+07,7.05e+08,7.58e+08,-1.86e+08,5.72e+08,5.72e+08,-2.4e+07,5.48e+08,5.48e+08,1.761e+09,1.484e+09,2.77e+08,2.141e+09,3.189e+09,6.63e+08,2.526e+09,7.091e+09,2.288e+09,2.289e+09,3.39e+08,2.27e+08,8.38e+08,8.85e+08,4.577e+09,1.1668e+10,2.62e+09,1.546e+09,1.074e+09,1.25e+08,2.8e+07,9.12e+08,2.08e+08,4.22e+08,3.657e+09,6.58e+08,1.522e+09,4.32e+08,4.32e+08,1.09e+09,2.18e+09,5.837e+09,1.979e+09,1.979e+09,-1.587e+09,6.038e+09,-9.38e+08,5.492e+09,3.39e+08,5.831e+09,1.1668e+10,5.72e+08,8.2e+07,-1.92e+08,1.4e+07,-6.3e+07,-1.43e+08,2.43e+08,3.15e+08,3.67e+08,-3.17e+08,-1.22e+08,7.05e+08,-2.37e+08,-2.45e+08,-1.3e+07,1.78e+08,-1.91e+08,-5.7e+07,-1.96e+08,-7.7e+07,-2.1e+07,1.1e+07,-3.2e+07,-6.3e+07,-8.3e+07,-8.3e+07,-4e+06,-1.85e+08,3.24e+08,3.24e+08,-5e+06,3.19e+08,6.73e+08,7.83e+08,8.65e+08,0.25218,0.1201,0.11136,0.09398,0.04697,1.57847,1.93902,1.00103,0.06711,2.87681,2.86624,25.83353,28.83108,4.54095,0.40422,9,0.07682,0.10632,0.14051,-1.45319,-1.65482
"9","2012_Q2",78.7747619047619,"Down",4.472e+09,-3.274e+09,1.198e+09,-6.54e+08,-4.75e+08,-1.81e+08,2e+06,5.44e+08,1.06e+08,0,1.04e+08,2e+06,6.5e+08,6.5e+08,-1.75e+08,4.75e+08,4.75e+08,-2e+07,4.55e+08,4.55e+08,1.569e+09,1.317e+09,2.52e+08,2.382e+09,3.366e+09,6.82e+08,2.684e+09,7.317e+09,2.391e+09,2.411e+09,3.42e+08,2.5e+08,9.03e+08,9.16e+08,4.802e+09,1.2119e+10,2.671e+09,1.731e+09,9.4e+08,3.3e+07,3.3e+07,9.26e+08,2.11e+08,4.18e+08,3.63e+09,6.5e+08,1.481e+09,5.85e+08,4.28e+08,8.96e+08,2.131e+09,5.761e+09,1.997e+09,1.997e+09,-1.59e+09,6.416e+09,-8.13e+08,6.01e+09,3.48e+08,6.358e+09,1.2119e+10,4.75e+08,8.5e+07,-1.48e+08,7e+06,-2.7e+07,-1.28e+08,-3.91e+08,-1.35e+08,-2.09e+08,1.48e+08,-1.95e+08,2.1e+07,-1.26e+08,-1.26e+08,3.8e+07,1.84e+08,-1.46e+08,-4e+06,-1.02e+08,-7.7e+07,-2.6e+07,15220188.1928916,-2.6e+07,-3.8e+07,-8e+06,-8e+06,-2e+06,-1.13e+08,-1.94e+08,-1.94e+08,2.7e+07,-1.67e+08,6.29e+08,6.83e+08,2.87e+08,0.26789,0.12165,0.10174,0.07156,0.03754,0.63077,2.0157,0.9061,0.05636,2.38971,2.3847,23.48739,31.56513,1.50735,0.40441,7,0.06243,0.03368,0.16923,-1.40859,-1.62868
"10","2012_Q3",72.8357142857143,"Down",4.452e+09,-3.242e+09,1.21e+09,-6.66e+08,-4.87e+08,-1.87e+08,8e+06,5.44e+08,1.17e+08,-1e+06,1.04e+08,1.4e+07,6.61e+08,6.61e+08,-1.66e+08,4.95e+08,4.95e+08,-2.6e+07,4.69e+08,4.69e+08,1.406e+09,1.145e+09,2.61e+08,2.581e+09,3.259e+09,6.39e+08,2.62e+09,7.246e+09,2.424e+09,2.499e+09,3.45e+08,2.68e+08,8.9e+08,9.96e+08,4.923e+09,1.2169e+10,2.556e+09,1.634e+09,9.22e+08,1.41e+08,5.8e+07,8.73e+08,2.08e+08,4.07e+08,3.57e+09,6.53e+08,1.509e+09,5.43e+08,4.25e+08,9.66e+08,2.162e+09,5.732e+09,2.016e+09,2.016e+09,-1.777e+09,6.81e+09,-9.46e+08,6.103e+09,3.34e+08,6.437e+09,1.2169e+10,4.95e+08,8.6e+07,1.5e+07,1.4e+07,-1.2e+07,1.3e+07,-2.2e+08,18999999.9999999,-2.3e+08,-87000000.0000001,7.8e+07,3.76e+08,-1.4e+08,-1.4e+08,-3.4e+07,9.6e+07,-1.3e+08,-3.2e+07,-2.48e+08,-7.5e+07,-3.72529029846191e-09,3e+06,-3e+06,-3.7e+07,-1.88e+08,-1.88e+08,-1e+07,-2.73e+08,-1.45e+08,-1.45e+08,-2.7e+07,-1.72e+08,6.3e+08,7.94e+08,4.36e+08,0.27179,0.12219,0.10535,0.07286,0.03854,0.92964,2.02969,0.89048,0.06525,2.47102,2.46712,23.45627,32.1549,2.29715,0.39515,6,0.06224,0.04989,0.15991,-0.97143,-1.125
