"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",9.51265625,"Down",44922000,-30457000,14465000,-35206000,-27870000,-7336000,-20741000,3111000,3111000,-17630000,-17630000,-17630000,-17630000,-17630000,-17630000,222581000,196192000,26389000,5820000,5820000,12724000,5168000,4982000,186000,246293000,13992000,2082000,2082000,16074000,262367000,31182000,6067000,25115000,64257733.1501908,3846000,105000,35028000,21276000,21276000,21276000,56304000,433150000,-227123000,36000,206063000,206063000,262367000,-17630000,1389000,-652000,-390000,-17283000,-415000,-26353000,-26768000,27000,27000,1.78e+08,133949000,133949000,133949000,-19352000,0,0.322,-0.46171,-0.39246,-0.08556,-0.0672,7.03132,0.27324,0,-0.38852,-0.38852,0.98997,4.54113,-0.07755,11.50171,10.73145
"2","2016_Q1",8.46196721311475,"Down",52911000,-31813000,21098000,-38446000,-30442000,-8004000,-17348000,-5612000,-5612000,-22960000,-22960000,-22960000,-22960000,-22960000,-22960000,230533000,28947000,201586000,5862000,5862000,8093000,6238000,5337000,901000,250726000,12710000,1804000,1804000,14514000,265240000,34592000,7332000,27260000,42090000,3793000,144000,80475000,7.45058059692383e-09,3.72529029846191e-09,3.72529029846191e-09,80475000,436264000,-250083000,-1416000,184765000,184765000,265240000,-22960000,1172000,9296000,7803000,-4689000,-937000,-176937000,-177874000,1258000,1258000,15318000,-167245000,-167245000,-167245000,-16176000,42090000,0.39875,-0.32787,-0.43394,-0.12427,-0.08656,3.11558,0.43555,0.15869,-0.47191,-0.47191,1.08752,3.79761,-0.10121,11.64954,10.86252
"3","2016_Q2",11.1265625,"Up",61902000,-32340000,29562000,-39167000,-30408000,-8759000,-9605000,920000,920000,-8685000,-8685000,-8685000,-8685000,-8685000,-8685000,230582000,33985000,196597000,6105000,6105000,6689000,5249000,3927000,1322000,248625000,15098000,2025000,2025000,17123000,265748000,38594000,8980000,29614000,42205000,3354000,215000,84153000,0,0,0,84153000,439968000,-258769000,396000,181595000,181595000,265748000,-8685000,1194000,2341000,5621000,471000,-3259000,6520000,3261000,1306000,1306000,1306000,5038000,5038000,5038000,-8411000,42205000,0.47756,-0.15516,-0.1403,-0.04783,-0.03268,2.95444,0.46341,0.15882,-0.17219,-0.17219,1.22726,3.60029,-0.03881,22.3965,19.61239
"4","2016_Q3",11.27390625,"Up",51984000,-30973000,21011000,-43526000,-33227000,-10299000,-22515000,-640999.999999999,-640999.999999999,-23156000,-23156000,-23156000,-23156000,-23156000,-23156000,215204000,16557000,198647000,6171000,6171000,8893000,6907000,5633000,1274000,237175000,19096000,4996000,4996000,24092000,261267000,41875000,9194000,32681000,49327000,4286000,331000,95488000,1964000,1964000,1964000,97452000,444796000,-281924000,943000,163815000,163815000,261267000,-23156000,1234000,4610000,-3349000,-20661000,-3827000,-1872000,-5699000,1932000,1932000,8932000,-17428000,-17428000,-17428000,-21281000,49327000,0.40418,-0.43311,-0.44544,-0.14135,-0.08863,2.48382,0.59489,0.1888,-0.45011,-0.45011,1.01048,3.18427,-0.10765,7.79461,7.3674
"5","2016_Q4",11.0049206349206,"Down",53889000,-34261000,19628000,-46283000,-34938000,-11345000,-26655000,741000,741000,-25914000,-25914000,-26017000,-26017000,-26017000,-26017000,183039000,25322000,157717000,9408000,9408000,9249000,10582000,9394000,1188000,212278000,25616000,4491000,4491000,30107000,242385000,42372000,8811000,33561000,49473000,4134000,576000,95979000,6092000,6092000,6092000,102071000,447921000,-307941000,334000,140314000,140314000,242385000,-26017000,1749000,3074000,-3022000,-24216000,-7491000,40018000,32527000,454000,454000,454000,8765000,8765000,8765000,-24906000,49473000,0.36423,-0.49463,-0.48279,-0.18542,-0.10734,2.21171,0.72745,0.20411,-0.50014,-0.50014,1.03595,2.69736,-0.13282,5.3628,5.01092
"6","2017_Q1",9.5191935483871,"Down",49299000,-3.8e+07,11299000,-49012000,-37553000,-11459000,-37713000,-155000,-155000,-37868000,-37868000,-37907000,-37907000,-37907000,-37907000,146116000,15256000,130860000,13396000,13396000,6414000,8189000,7097000,1092000,174115000,32289000,4276000,4276000,36565000,210680000,42425000,11479000,30946000,49624000,4366000,574000,96415000,7789000,7789000,7789000,104204000,453049000,-345848000,-725000,106476000,106476000,210680000,-37907000,1999000,7888000,-1476000,-29496000,-8559000,25497000,16938000,2492000,2492000,2492000,-10066000,-10066000,-10066000,-35714000,49624000,0.22919,-0.76499,-0.76892,-0.35601,-0.17993,1.80589,0.97866,0.23554,-0.7234,-0.7234,0.9408,2.03195,-0.2313,2.7018,2.55859
"7","2017_Q2",9.76333333333333,"Up",49382000,-33700000,15682000,-50232000,-37582000,-12650000,-34550000,1117000,1117000,-33433000,-33433000,-33480000,-33480000,-33480000,-33480000,115778000,9086000,106692000,7478000,7478000,8223000,8682000,7907000,775000,140161000,31752000,4111000,4111000,35863000,176024000,39866000,6610000,33256000,49807000,3342000,592000,93015000,9337000,9337000,9337000,102352000,456006000,-381809000,-525000,73672000,73672000,176024000,-33480000,1758000,2626000,4476000,-24620000,-6338000,24058000,17720000,413000,413000,413000,-6487000,-6487000,-6487000,-32792000,49807000,0.31757,-0.69965,-0.67798,-0.45445,-0.1902,1.50686,1.38929,0.28296,-0.6346,-0.63119,0.93601,1.39641,-0.25208,2.0118,1.90944
"8","2017_Q3",11.0928571428571,"Up",52283000,-34559000,17724000,-46095000,-34309000,-11786000,-28371000,-631000,-631000,-29002000,-29002000,-29066000,-29066000,-29066000,-29066000,102126000,7138000,94988000,7107000,7107000,7359000,6512000,5748000,764000,123104000,31268000,4053000,4053000,35321000,158425000,44107000,10389000,33718000,50022000,4141000,669000,98270000,9247000,9247000,9247000,107517000,460912000,-409541000,-463000,50908000,50908000,158425000,-29066000,1862000,3970000,9460000,-13774000,-1728000,11514000,9786000,2029000,2029000,2029000,-1959000,-1959000,-1959000,-26509000,50022000,0.339,-0.54264,-0.55594,-0.57095,-0.18347,1.25271,2.11199,0.31575,-0.54749,-0.55044,0.9848,0.9589,-0.26381,1.96552,1.83652
"9","2017_Q4",10.805873015873,"Down",55910000,-34612000,21298000,-47087000,-34478000,-12609000,-25789000,-1914000,-1914000,-27703000,-27703000,-27865000,-27865000,-27865000,-27865000,146228000,11211000,135017000,7342000,7342000,9188000,6482000,6437000,45000,169240000,30417000,4399000,4399000,34816000,204056000,36203000,3753000,32450000,50097000,5230000,1041000,91530000,9140000,9140000,82342000,173872000,467240000,-436660000,-396000,30184000,30184000,204056000,-27865000,1700000,5749000,-10886000,-31302000,-1081000,-40158000,-41239000,895000,895000,75895000,3354000,3354000,3354000,-24089000,123299000,0.38093,-0.46126,-0.49839,-0.92317,-0.13656,1.84901,5.7604,0.60424,-0.52131,-0.52131,1.04599,0.56469,-0.17135,0.95185,0.8891
"10","2018_Q1",9.80885245901639,"Down",53364000,-36725000,16639000,-61956000,-48937000,-13019000,-45317000,-405000,-405000,-45722000,-45722000,-45903000,-45903000,-45903000,-45903000,118867000,12620000,106247000,44089000,44089000,8998000,8671000,8612000,59000.0000000002,180625000,29667000,4321000,4321000,33988000,214613000,51385000,8529000,42856000,50112000,4064000,1420000,105561000,10570000,10570000,83635000,189196000,472558000,-446375000,-766000,25417000,25417000,214613000,-45903000,1823000,1738000,15246000,-27096000,-720000,28237000,27517000,2322000,2322000,2035000.00000001,2456000,2456000,2456000,-43494000,123177000,0.3118,-0.84921,-0.86019,-1.806,-0.21389,1.7111,7.44368,0.57395,-0.85087,-0.83284,0.98917,0.47114,-0.2884,-0.0990899999999998,-0.09511
"11","2018_Q2",12.1646875,"Up",62340000,-40592000,21748000,-52265000,-37925000,-14340000,-30517000,-2252000,-2252000,-32769000,-32769000,-32873000,-32873000,-32873000,-32873000,113697000,33674000,80023000,50326000,50326000,11911000,11589000,5915000,5674000,187523000,26878000,4254000,4254000,31132000,218655000,50064000,8608000,41456000,50125000,4194000,1443000,104383000,45010000,9548000,118148000,222531000,476276000,-479248000,-904000,-3876000,-3876000,218655000,-32873000,1860000,5186000,26873000,1046000,-852000,25910000,25058000,565000,565000,565000,26669000,26669000,26669000,-28657000,123263000,0.34886,-0.48953,-0.52732,8.48117,-0.15034,1.79649,-57.41254,0.56373,-0.60727,-0.60727,1.15163,-0.0716,-0.19996,-0.33381,-0.31346
