"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",22.3009836065574,"Up",88486000,-60969000,27517000,-22688000,-22688000,4829000,-2050000,-2066000,2779000,2779000,-887000,1892000,1892000,1798000,1798000,1118000,1118000,2191000,2191000,102702000,8685000,8685000,114696000,21450000,155717000,59723000,93097000,2897000,177167000,291863000,56792000,36029000,20763000,86416000,22372000,19960000,2412000,120872000,207288000,78836000,1652000,80488000,84575000,291863000,1892000,2354000,-547000,-9349000,-5650000,-1733000,-3449000,29614000,17788154.538453,17788154.538453,-21818000,7796000,-1303000,-1303000,-1303000,7183000,99500000,-3012000,0.31098,0.05457,0.02032,0.02126,0.00616,-1.67519,1.32725,2.45094,0.34091,0.09499,0.09523,4.67463,4.2521,-0.15912,0.00871,-0.01459,13.69651,20.37316
"2","2015_Q2",26.1125396825397,"Up",82497000,-55607000,26890000,-21497000,-21497000,5393000,-2739000,-2757000,2654000,2654000,-1241000,1413000,1413000,1409000,1409000,-1605194.14536531,-1605194.14536531,-360057.316164288,-360057.316164288,116052193.866837,18402946.4494141,18402946.4494141,132489888.854721,21402531.5638967,156937279.127768,59143148.6441553,94043402.5230668,3750727.96054577,178339810.691665,310829699.546386,50548617.9231011,41684726.1409811,8863891.78211999,109658761.824206,21946410.8660155,20135230.9001142,1811179.96590133,216652961.65872,326311723.482927,-12505491.097634,-3980410.79861018,-16486069.8956484,-15482023.9365413,310829699.546386,1413000,2058000,1031000,-5171000,-669000,-1803000,-1803000,44451000,7817384.84615098,7817384.84615098,-682000,2469000,-3000,-3000,-3000,7451000,0,1718000,0.32595,0.06537,0.01708,-0.154696280853262,-0.0444004924746285,1.2193,1.25016460426809,8.48658687928549,0.62915565438469,0.0735800000000001,0.07358,4.30816,-0.0551310377213721,0.0897199999999999,-0.389594747545874,-0.522803960342707,56.1060919703359,-2539.07252629372
"3","2015_Q3",26.0790625,"Down",143215000,-103453000,39762000,-39840000,-39840000,-78000,-3055000,-3037000,-3133000,-4024000,1539000,-2485000,-2485000,-2481000,-2481000,1381000,1381000,1839000,1839000,119447000,13654000,13654000,136321000,23485000,154585000,58410000,93097000,3078000,178070000,314391000,63562000,42328000,21234000,116726000,22748000,20341000,2407000,151113000,267839000,44199000,2353000,46552000,46552000,314391000,-2485000,3871000,-3069000,-2030000,-3713000,-17892000,-164433000,132666000,2424000,2424000,-2231000,174159000,6013000,6013000,6013000,3793000,129673000,-17668000,0.27764,-0.00054,-0.01732,-0.0533000000000001,-0.00789000000000001,7.12132,1.16787,5.75354,0.41246,-0.12449,-0.11762,7.18626,2.33589,-0.88655,-0.22003,-0.0888000000000003,33.82336,-1644.76923
"4","2015_Q4",13.84015625,"Down",193842000,-129663000,64179000,-43986000,-43986000,20193000,-3553000,-3553000,16640000,16640000,-6712000,9928000,9928000,9928000,9928000,3598000,3598000,4512000,4512000,121855000,7509000,7509000,137474000,27025000,152537000,57761000,93097000,1679000,179562000,317036000,75433000,42247000,33186000,107956000,24034000,20564000,3470000,71002000,178958000,126962000,11116000,138078000,138078000,317036000,9928000,3593000,1249000,45280000,60050000,-10399000,-10399000,-39670000,274000,274000,127000,-39269000,10382000,10382000,10382000,23786000,47448000,65379000,0.33109,0.10417,0.05122,0.0719,0.03132,6.58531,1.27343,1.29606,0.14966,0.4188,0.40432,8.17692,5.8246,2.75791,0.04738,0.31198,1.84352,2.17154
"5","2016_Q1",8.92573770491803,"Down",149466000,-107094000,42372000,-36755000,-36755000,5617000,-3576000,-3576000,2041000,2041000,-1029000,1012000,1012000,1012000,1012000,1448000,1448000,3863000,3863000,129312000,10656000,10656000,145279000,30054000,150795000,57131000,93097000,567000,180849000,326128000,68697000,44636000,24061000,86493000,25168000,21102000,4066000,97213000,183706000,128696000,13726000,142422000,142422000,326128000,1012000,4494000,3195000,-31440000,-22739000,-6033000,-6033000,18207000,0,0,-80000,18127000,-10645000,-10645000,-10645000,10111000,73641000,-26333000,0.28349,0.03758,0.00677,0.00711,0.0031,-26.02075,1.67966,1.28987,0.2258,0.03935,0.03782,5.81128,5.5374,-1.02383,0.00419999999999997,-0.10916,7.14005,12.8525900000001
"6","2016_Q2",7.93125,"Down",133414000,-92664000,40750000,-36300000,-36300000,4450000,-3560000,-3560000,890000,890000.000000004,-266000,624000.000000001,624000.000000001,624000,624000,12920000,12920000,3002000,3002000,136415000,9609000,9609000,161946000,34536000,151270000,56514000,93097000,1659000,185806000,347752000,71840000,48370000,23470000,101121000,26358000,21102000,5256000,97950000,199071000,132684000,15997000,148681000,148681000,347752000,624000.000000001,4079000,941000,-13294000,-7650000,-4721000,-4721000,10772000,268000,268000,-25000.0000000001,11015000,-1356000,-1356000,-1356000,8529000,73773000,-9220000,0.30544,0.03335,0.00468,0.0042,0.00179,-14.77564,1.60151,1.33891,0.21214,0.02413,0.02313,5.15809,5.74835,-0.35647,0.00251,-0.03706,7.13483,13.67483
"7","2016_Q3",10.74484375,"Up",133968000,-97523000,36445000,-32002000,-32002000,4443000,-3651000,-3651000,792000,792000,-313000,479000,479000,479000,479000,11063000,11063000,4570000,4570000,190760000,16589000,16589000,222982000,81116000,257803000,63761000,193095000,947000,338919000,561901000,111042000,76109000,34933000,169065000,27928000,11803000,16125000,228041000,397106000,140124000,24697000,164795000,164795000,561901000,479000,4017000,1370000,8460000,14326000,-5760000,-5760000,-3812000,471000,471000,-1000,-3342000,5224000,5224000,5224000,8460000,201153000,11473000,0.27204,0.03316,0.00358,0.00291,0.000850000000000002,23.95198,1.31891,2.4097,0.35799,0.01831,0.01912,5.1213,6.29974,0.43859,0.00122,0.02913,22.46927,42.78415
"8","2016_Q4",13.4611111111111,"Up",199431000,-136068000,63363000,-42501000,-42501000,20862000,-3637000,-3637000,17225000,17225000,-6719000,10506000,10506000,10506000,10506000,31209000,31209000,6553000,6553000,180032000,16733000,16733000,234527000,82353000,257266000,63246000,193095000,925000,339619000,574146000,138197000,89496000,48701000,162259000,35672000,19067000,16605000,235396000,397655000,141343000,35203000,176491000,176491000,574146000,10506000,4207000,4171000,42603000,61487000,-7217000,-7217000,-34543000,441000,441000,-22000,-34124000,20146000,20146000,20146000,25069000,200766000,67174000,0.31772,0.10461,0.05268,0.05953,0.0183,6.39386999999999,1.44539,2.25312,0.34968,0.3991,0.36246,7.57601,6.70457,2.55182,0.02544,0.16268,6.76361,8.12755
"9","2017_Q1",10.8154838709677,"Down",163003000,-113675000,49328000,-41265000,-41265000,8063000,-3851000,-3851000,4212000,4212000,-1624000,2588000,2588000,2588000,2588000,8035000,8035000,4354000,4354000,189096000,22818000,22818000,224303000,82711000,258567000,64511000,193095000,961000,341278000,565581000,113465000,77482000,35983000,147801000,38529000,20961000,17568000,237871000,385672000,142187000,37791000,179909000,179909000,565581000,2588000,4407000,5356000,-39363000,-27012000,-4595000,-5900000,9664000,95000,95000,-21000,9738000,-23174000,-23174000,-23174000,12470000,200404000,-29864000,0.30262,0.04947,0.01588,0.01439,0.00458,-11.53941,1.5176,2.14371,0.35433,0.09828,0.09653,6.1903,6.83233,-1.13413,0.00618,-0.0713,15.42654,23.85824
"10","2017_Q2",8.62190476190476,"Down",139379000,-97987000,41392000,-36451000,-36451000,4941000,-3658000,-3658000,1283000,1283000,-505999.999999999,777000,777000,777000,777000,7305000,7305000,4144000,4144000,192343000,14394000,14394000,218186000,84389000,258221000,64149000,193095000,977000,342610000,560796000,96632000,60745000,35887000,159451000,30040000,11735000,18305000,220162000,379613000,142762000,38568000,181183000,181183000,560796000,777000,4113000,1442000,-20647000,-14315000,-5258000,-5258000,19440000,306316.607090409,306316.607090409,-597000,18843000,-729999.999999985,-729999.999999985,-729999.999999985,9054000,190122000,-16345000,0.29697,0.03545,0.00557,0.00429,0.00139,-21.03604,1.36836,2.09519,0.33902,0.02946,0.02919,5.28491,6.87002,-0.61976,0.00194,-0.04073,20.19185,37
