"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.8433333333333,"Down",1190400000,-476200000,714200000,-523900000,-4.88e+08,-35900000,190300000,-22100000,-22100000,168200000,168200000,-61200000,1.07e+08,1.07e+08,-3700000,103300000,103300000,1234500000,1209400000,766500000,766500000,454900000,165400000,2.775e+09,558800000,2955400000,1689600000,528800000,7.37e+08,3514200000,6289200000,626100000,293400000,332700000,1580300000,1117400000,462900000,2206400000,1197800000,9e+08,516200000,383800000,2097800000,4304200000,446400000,-4746700000,6551800000,-350700000,1900800000,84200000,1.985e+09,6289200000,1.07e+08,40400000,4900000,8300000,7400000,-75800000,190600000,-249300000,76500000,-6600000,-11700000,0,-7100000,-74100000,22200000,22200000,0,-2400000,-54300000,15100000,15100000,-15600000,-5e+05,230700000,1197800000,209500000,0.59997,0.15986,0.08678,0.05204,0.01642,2.02807,1.2577,2.16836,0.19045,0.32961,0.32659,3.79834,6.06509,0.66847,0.23644,78.4501074857494,0.04345,0.05131,0.71733,-0.15908,-0.19285
"2","2010_Q3",24.07890625,"Down",1.474e+09,-560900000,913100000,-586900000,-547700000,-39200000,326200000,-20800000,-20800000,305400000,305400000,-111200000,194200000,194200000,-3100000,191100000,191100000,1144600000,1117800000,9.94e+08,9.94e+08,429700000,140200000,2.908e+09,545800000,2910200000,1688600000,520700000,700900000,3.456e+09,6.364e+09,771100000,3.25e+08,446100000,1588700000,1144300000,444400000,2359800000,1197900000,886400000,501400000,3.85e+08,2084300000,4444100000,4.57e+08,-4926100000,6668800000,-356800000,1842900000,7.7e+07,1919900000,6.364e+09,194200000,43900000,4.5e+07,14700000,36300000,-60099999.9999999,-2.33e+08,194400000,2.23e+08,-32400000,-27300000,3e+05,-33800000,-74100000,-182600000,4300000,-186900000,-10500000,-267200000,-78000000.0000001,-7.8e+07,-13600000,-91600000.0000001,370100000,1197900000,388800000,0.61947,0.2213,0.12965,0.09954,0.03003,2.03454,1.23231,2.31476,0.18823,0.61407,0.61035,4.7365,5.92192,1.24936,0.23811,29.4833691619165,0.06623,0.0970999999999999,0.38776,0.14402,0.1634
"3","2010_Q4",29.145625,"Up",1912200000,-683200000,1.229e+09,-600100000,-583800000,-27400000,628900000,-19300000,-19300000,609600000,609600000,-220800000,388800000,389700000,-9900000,379800000,379800000,1355600000,1322800000,1106900000,1106900000,501100000,209700000,3258700000,515700000,3109900000,1865500000,608200000,636200000,3625600000,6884300000,1011300000,332600000,678700000,1576400000,1124400000,4.52e+08,2587700000,1197900000,884200000,493600000,390600000,2082100000,4669800000,477400000,-4991900000,6975500000,-330900000,2130100000,84400000,2214500000,6884300000,389700000,3.9e+07,86400000,21800000,71200000,139400000,-122900000,217100000,654500000,-26300000,-26300000,-294700000,-3.27e+08,-73100000,-66800000,2100000,-68900000,-2600000,-142500000,1.85e+08,1.85e+08,2e+07,2.05e+08,667900000,1197900000,1001800000,0.64272,0.32889,0.19862,0.17151,0.05517,2.6377,1.2593,2.10874,0.174,1.23633,1.22793,6.22461,6.93392,3.26107,0.23796,8,0.10541,0.23316,0.19247,-0.23611,-0.25076
"4","2011_Q1",30.9266129032258,"Up",-937600000,514300000,-423300000,303900000,301500000,6499999.99999999,-119400000,-20800000,-20800000,-140200000,-140200000,49200000,-9.1e+07,160100000,-6300000,153800000,153800000,1.548e+09,1.526e+09,9.73e+08,9.73e+08,5.79e+08,2.98e+08,3.375e+09,5.22e+08,3.15e+09,1.887e+09,6.16e+08,6.47e+08,3.672e+09,7.047e+09,1.028e+09,3.92e+08,6.36e+08,1.653e+09,1.204e+09,4.49e+08,2.681e+09,1.198e+09,8.76e+08,4.36e+08,4.4e+08,2.074e+09,4.755e+09,4.79e+08,-4.958e+09,7.057e+09,-3.67e+08,2.211e+09,8.1e+07,2.292e+09,7.047e+09,-91899999.9999999,-15300000,-13300000,6200000,-75900000,-129500000,92300000,-215200000,-2.5e+08,4300000,-20700000,-32600000,-18100000,-70700000,21200000,21400000,-199999.999999985,-16500000,-6.6e+07,-334100000,190900000,-5800000,185100000,-134700000,1.198e+09,-309100000,0.45147,0.12735,-0.16404,0.0671,0.02182,-2.00975,1.25886,2.07461,0.17,0.50294,0.49597,-3.06606,7.23022,-1.01079,0.2312,4,0.05142,-0.0708,0.45969,2.59837,2.93132
"5","2011_Q2",33.4319047619048,"Up",1.261e+09,-5.03e+08,7.58e+08,-5.42e+08,-5.03e+08,-3.9e+07,2.16e+08,-1.9e+07,-1.9e+07,1.97e+08,1.97e+08,-7.2e+07,1.25e+08,1.24e+08,-4e+06,1.2e+08,1.2e+08,1.299e+09,1.27e+09,8.08e+08,8.08e+08,5.77e+08,2.96e+08,3.002e+09,5.11e+08,3.277e+09,1.985e+09,6.34e+08,6.58e+08,3.788e+09,6.79e+09,7.04e+08,3.37e+08,3.67e+08,1.676e+09,1.222e+09,4.54e+08,2.38e+09,1.198e+09,8.96e+08,4.42e+08,4.54e+08,2.094e+09,4.474e+09,5.37e+08,-5.067e+09,7.099e+09,-3.39e+08,2.23e+09,8.6e+07,2.316e+09,6.79e+09,1.24e+08,4.7e+07,2.8e+07,1.8e+07,5e+06,-1.78e+08,1.97e+08,-3.34e+08,2.1e+07,-1.8e+07,-1.8e+07,-1.26e+08,-1.51e+08,-7.7e+07,-7.5e+07,4.9e+07,-1.24e+08,1e+06,-1.51e+08,-2.81e+08,-2.81e+08,2.5e+07,-2.56e+08,2.63e+08,1.198e+09,1.39e+08,0.60111,0.17129,0.09516,0.05181,0.01767,1.15833,1.26134,1.93178,0.17644,0.39318,0.3876,4.13172,7.30668,0.45544,0.25229,7,0.04467,0.03152,0.64167,-0.38403,-0.46759
"6","2011_Q3",34.37625,"Up",1.557e+09,-5.93e+08,9.64e+08,-6.07e+08,-5.8e+08,-4e+07,3.57e+08,-2e+07,-2e+07,3.37e+08,3.37e+08,-1.22e+08,2.15e+08,2.15e+08,-4e+06,2.11e+08,2.11e+08,1.325e+09,1.3e+09,1.002e+09,1.002e+09,5.36e+08,2.55e+08,3.203e+09,5.01e+08,3.24e+09,1.985e+09,6.2e+08,6.35e+08,3.741e+09,6.944e+09,8.46e+08,3.36e+08,5.1e+08,1.677e+09,1.244e+09,4.33e+08,2.523e+09,1.198e+09,8.87e+08,4.36e+08,4.51e+08,2.085e+09,4.608e+09,5.46e+08,-5.197e+09,7.233e+09,-3.27e+08,2.255e+09,8.1e+07,2.336e+09,6.944e+09,2.15e+08,4.7e+07,5e+07,2.3e+07,3.2e+07,-5.5e+07,-1.94e+08,1.61e+08,2.57e+08,-7e+06,-2.7e+07,0,-3e+06,-7.5e+07,-1.45e+08,3.1e+07,-1.76e+08,-8e+06,-2.28e+08,2.6e+07,2.6e+07,4e+06,30000000.0000001,4.04e+08,1.198e+09,4.64e+08,0.61914,0.22929,0.13552,0.09033,0.03039,2.19905,1.26952,1.9726,0.17252,0.69499,0.68241,5.12846,7.42754,1.52833,0.24704,7,0.06469,0.10495,0.35545,-0.31436,-0.35574
"7","2011_Q4",35.7330158730159,"Up",1.908e+09,-7.11e+08,1.197e+09,-5.9e+08,-5.52e+08,-3.8e+07,6.07e+08,-1.8e+07,-1.8e+07,5.89e+08,5.89e+08,-2.14e+08,3.75e+08,3.74e+08,-9e+06,3.65e+08,3.65e+08,1.474e+09,1.438e+09,1.133e+09,1.133e+09,4.98e+08,2.16e+08,3.39e+09,4.88e+08,3.276e+09,2.038e+09,6.21e+08,6.17e+08,3.764e+09,7.154e+09,1.113e+09,3.33e+08,7.8e+08,1.647e+09,1.245e+09,4.02e+08,2.76e+09,1.198e+09,9.08e+08,4.7e+08,4.38e+08,2.106e+09,4.866e+09,5.6e+08,-5.504e+09,7.525e+09,-3.73e+08,2.208e+09,8e+07,2.288e+09,7.154e+09,3.74e+08,4.6e+07,6e+07,2.4e+07,4.1e+07,1.75e+08,-1.5e+08,2.74e+08,6.55e+08,-2.4e+07,-2.5e+07,-7.3e+07,-1.07e+08,-7.3e+07,-3.01e+08,3.5e+07,-3.36e+08,-1e+06,-3.75e+08,1.73e+08,1.73e+08,-3.5e+07,1.38e+08,6.53e+08,1.198e+09,1.018e+09,0.62736,0.31813,0.1913,0.15953,0.05102,2.78904,1.22826,2.12675,0.16746,1.22565,1.20303,6.40698,7.41437,3.4184,0.24513,5,0.09968,0.23168,0.2,-0.42266,-0.4547
"8","2012_Q1",38.8059677419355,"Up",-7.72e+08,4.2e+08,-3.52e+08,2.49e+08,2.58e+08,-9e+06,-1.03e+08,-2e+07,-2e+07,-1.23e+08,-1.23e+08,3.4e+07,-89000000.0000001,2.21e+08,-6e+06,2.15e+08,2.15e+08,8.64e+08,8.35e+08,7.02e+08,7.02e+08,2.746e+09,1.28e+08,4.312e+09,3.73e+08,1.935e+09,1.104e+09,4.27e+08,4.04e+08,2.308e+09,6.62e+09,6.71e+08,2.23e+08,4.48e+08,2.298e+09,1.187e+09,1.111e+09,3.369e+09,7.98e+08,8.69e+08,5.11e+08,3.58e+08,1.667e+09,5.036e+09,5.06e+08,-6.24e+09,7.667e+09,-4.25e+08,1.508e+09,7.6e+07,1.584e+09,6.62e+09,-86999999.9999999,-1.4e+07,1.2e+07,1.2e+07,-2.2e+07,8e+07,1.61e+08,-9.3e+07,-9e+06,-2.2e+07,-2.2e+07,5e+06,-1e+07,-7.1e+07,-8.4e+08,2.4e+07,-8.64e+08,5e+06,-9.06e+08,-9.25e+08,-4.89e+08,-4e+06,-4.93e+08,-1.17e+08,1.198e+09,-9.3e+07,0.45596,0.13342,-0.2785,0.13573,0.03248,-0.43256,1.27991,3.17929,0.18097,0.75227,0.7358,-2.70119,5.27642,-0.325399999999999,0.24843,7,0.07833,-0.02547,0.33023,-2.8547,-3.24272
"9","2012_Q2",38.7049206349206,"Down",1.035e+09,-3.61e+08,6.74e+08,-3.92e+08,-3.61e+08,-3.1e+07,2.82e+08,-2.1e+07,-2.1e+07,2.61e+08,2.61e+08,-9.8e+07,1.63e+08,1.27e+08,-4e+06,1.23e+08,1.23e+08,9.32e+08,9.08e+08,9.32e+08,9.32e+08,4.21e+08,1.62e+08,2.578e+09,4.85e+08,3.289e+09,2.062e+09,5.97e+08,6.3e+08,3.774e+09,6.352e+09,7.29e+08,3.37e+08,3.92e+08,1.729e+09,1.306e+09,4.23e+08,2.858e+09,7.98e+08,9.1e+08,5.08e+08,4.02e+08,1.708e+09,4.566e+09,4.81e+08,-6.09e+09,7.719e+09,-4.04e+08,1.706e+09,8e+07,1.786e+09,6.352e+09,1.63e+08,3.1e+07,4.2e+07,1.7e+07,2.3e+07,-2.1e+08,-4.7e+07,-1.63e+08,2.6e+07,-1e+07,-1e+07,-1.6e+07,-2.1e+07,-7.4e+07,1.12e+08,1.12e+08,0,5e+06,4.3e+07,4.8e+07,-3.5e+07,6e+06,-2.9e+07,3.13e+08,1.198e+09,1.91e+08,0.65121,0.27246,0.11884,0.06887,0.01936,1.55285,0.90203,2.55655,0.1886,0.44245,0.4334,3.72302,6.13669,0.68705,0.26619,6,0.05059,0.04905,0.60163,0.84984,0.94326
"10","2012_Q3",41.8098412698413,"Up",1.073e+09,-3.52e+08,7.21e+08,-4.13e+08,-3.79e+08,-3.4e+07,3.08e+08,-2.1e+07,-2.1e+07,2.87e+08,2.87e+08,-1.07e+08,1.8e+08,2.2e+08,-4e+06,2.16e+08,2.16e+08,8.39e+08,8.36e+08,1.102e+09,1.102e+09,4.03e+08,1.44e+08,2.64e+09,4.82e+08,4.188e+09,2.296e+09,1.267e+09,6.25e+08,4.67e+09,7.31e+09,7.78e+08,2.32e+08,5.46e+08,1.701e+09,1.323e+09,3.78e+08,2.879e+09,7.99e+08,1.11e+09,4.94e+08,6.16e+08,1.909e+09,4.788e+09,8.54e+08,-6.059e+09,7.292e+09,-4.24e+08,1.663e+09,8.59e+08,2.522e+09,7.31e+09,1.8e+08,3.4e+07,2.8e+07,2.3e+07,4000000.00000001,-4.9e+07,-1e+06,-4.8e+07,1.93e+08,-2.6e+07,-2.6e+07,-1.32e+08,-1.37e+08,-7.1e+07,21999999.9999999,2.2e+07,-1.19209289550781e-07,-4e+06,-5.3e+07,3e+06,-57999999.9999999,-1.1e+07,-6.9e+07,3.42e+08,1.199e+09,3.74e+08,0.67195,0.28705,0.2013,0.08565,0.02955,1.73148,0.91699,1.89849,0.16402,0.77226,0.7571,3.83625,5.94566,1.33715,0.25384,5,0.05941,0.07742,0.3287,1.05263,1.16883
