"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.61761904761905,"Down",405782000,-289673000,116109000,-43578000,-18614000,-24964000,72531000,-17343000,-17271000,-72000,55188000,55188000,-21016000,34172000,34906000,34906000,34906000,-54145315.5841014,-54145315.5841014,-80555517.5087341,-80555517.5087341,64986045.0074579,53648934.6882374,-69714788.0853777,2624249996.50753,44845154.2450248,11987947.2613745,33178294.3133649,2680943779.87852,2611228991.79315,146524348.947291,158708125.124885,139872271.842089,830803022.603826,113255235.741356,31215197.5942363,944058258.345182,1083930530.18727,1532179690.52169,-4881228.91581625,1527298461.60588,1527298461.60588,2611228991.79315,34906000,25198000,5407000,6630000,72141000,-43062000,88000,-42974000,0,-29115000,-31040000,-27909000,1258000,1258000,1258000,97729000,0,82313000,0.28614,0.17874,0.08602,0.0191093163767768,0.0118274900085391,2.35813,0.205386597549486,0.689643970195797,0.32984895777637,0.30063,0.29755,3.49484,13.1539775442632,0.70893,0.0125501334527359,0.096136546254756,8.78886907058638,12.847642858324
"2","2010_Q3",9.9559375,"Up",409899000,-286227000,123672000,-45423000,-19867000,-25556000,78249000,-17287000,-17303000,16000,60962000,60962000,-23353000,37609000,36618000,36618000,36618000,22740000,22740000,265499000,265499000,35868000,26327000,324107000,2548883000,45180000,11988000,33192000,2605575000,2929682000,181015000,180544000,181733000,1186571000,127443000,32175000,1314014000,1495747000,1404522000,29413000,1433935000,1433935000,2929682000,36618000,27165000,9490000,-35620000,37653000,-46752000,-459000,-47211000,36834000,-52735000,-55540000,-14868000,-24426000,-24426000,-24426000,105414000,1186571000,46395000,0.30171,0.1909,0.08933,0.02554,0.0125,1.267,1.78342,1.04311,0.40502,0.31538,0.31214,3.53029,12.3499,0.39958,0.01333,0.01688,11.04057,14.87343
"3","2010_Q4",11.92453125,"Up",427150000,-292160000,134990000,-49801000,-23606000,-26195000,85189000,-17794000,-17925000,131000,67395000,67395000,-25284000,42111000,41964000,41964000,41964000,34435000,34435000,346189000,346189000,41433000,28152000,422057000,2539880000,45166000,11988000,33122000,2596207000,3018264000,200053000,199580000,202410000,1236234000,140454000,31957000,1376688000,1579098000,1367789000,71377000,1439166000,1439166000,3018264000,41964000,26574000,14586000,-53686000,29438000,-23094000,82000,-23012000,49333000,-44423000,-44829000,5273000,11699000,11699000,11699000,111763000,1236234000,60267000,0.31602,0.19944,0.09824,0.02916,0.0139,1.43616,2.08516,1.09723,0.40958,0.36142,0.35771,3.67887,12.39496,0.51906,0.0149,0.0214,10.7531,14.10744
"4","2011_Q1",11.5754838709677,"Down",420486000,-283103000,137383000,-49056000,-22061000,-26995000,88327000,-18744000,-18628000,-116000,69583000,69583000,-25112000,44471000,43705000,43705000,43705000,25505000,25505000,305305000,305305000,47483000,31196000,378293000,2549295000,44842000,11988000,32848000,2604935000,2983228000,204272000,203796000,205855000,1156568000,149934000,31689000,1306502000,1512357000,1355789000,115082000,1470871000,1470871000,2983228000,43705000,27336000,8574000,36668000,116283000,-30669000,-357000,-31026000,-8e+07,-15956000,-17421000,-94187000,-8930000,-8930000,-8930000,115663000,1156568000,146774000,0.32672,0.21006,0.10394,0.02971,0.01465,3.35829,1.83767,1.02821,0.38769,0.37641,0.37255,3.62148,12.66802,1.26411,0.01574,0.05285,9.77895,12.8054
"5","2011_Q2",10.998253968254,"Down",425180000,-293162000,132018000,-48373000,-21447000,-26926000,83645000,-18473000,-18402000,-71000,65172000,65172000,-24732000,40440000,40330000,40330000,40330000,37792000,37792000,277616000,277616000,26989000,13934000,342397000,2534839000,44368000,11988000,32380000,2589632000,2932029000,194699000,184796000,196091000,1112744000,153905000,32428000,1266649000,1462740000,1313877000,155412000,1469289000,1469289000,2932029000,40330000,27055000,9765000,33803000,110953000,-12561000,102000,-12459000,-44168000,-42903000,-43678000,-86211000,12283000,12283000,12283000,110700000,1112744000,156674000,0.3105,0.19673,0.09485,0.02745,0.01375,3.8848,1.74611,0.99554,0.37951,0.34735,0.34378,3.6619,12.65439,1.34937,0.01474,0.05727,9.7105,12.85136
"6","2011_Q3",10.34328125,"Down",429944000,-294015000,135929000,-48829000,-21782000,-27047000,87100000,-18478000,-18360000,-118000,68622000,68622000,-26006000,42616000,42418000,42418000,42418000,54623000,54623000,253144000,253144000,42637000,32143000,350404000,2531333000,44572000,11988000,32584000,2585944000,2936348000,183836000,183723000,184994000,1104294000,157241000,33418000,1261535000,1446529000,1291989000,197830000,1489819000,1489819000,2936348000,42418000,27191000,7636000,1083000,78328000,-25039000,-669000,-25708000,-8798000,-27942000,-28911000,-35789000,16831000,16831000,16831000,114291000,1104294000,116341000,0.31616,0.20258,0.09866,0.02847,0.01445,2.74273,1.89414,0.97094,0.37608,0.36533,0.36158,3.70293,12.83121,1.002,0.01542,0.04228,9.1842,12.05133
"7","2011_Q4",10.2211111111111,"Down",432137000,-301689000,130448000,-49543000,-23007000,-26536000,80905000,-18131000,-18058000,-73000,62774000,62774000,-23427000,39347000,39240000,39240000,39240000,47958000,47958000,260788000,260788000,39944000,28445000,348690000,2531753000,42468000,11988000,30480000,2583863000,2932553000,191488000,191382000,192582000,1209652000,163446000,32538000,1373098000,1565680000,1129803000,237070000,1366873000,1366873000,2932553000,39240000,26637000,9448000,-6608000,68717000,-29504000,1588000,-27916000,1.05e+08,-152544000,-152711000,-47466000,-6665000,-6665000,-6665000,107542000,1209652000,94857000,0.30187,0.18722,0.0908,0.02871,0.01338,2.41735,1.81061,1.14545,0.41249,0.33796,0.33449,3.72182,11.77233,0.81697,0.01432,0.03462,10.80224,14.35874
"8","2012_Q1",11.4538709677419,"Up",401544000,-269403000,132141000,-52050000,-24991000,-27059000,80091000,-18163000,-18120000,-43000,61928000,61928000,-22001000,39927000,40522000,40522000,40522000,55802000,55802000,269685000,269685000,33942000,18676000,359429000,2608740000,42229000,11988000,30060000,2660202000,3019631000,196331000,195726000,198362000,1245014000,168233000,31730000,1413247000,1611609000,1130430000,277592000,1408022000,1408022000,3019631000,40522000,28048000,6784000,17724000,93078000,-105951000,-5000,-105956000,3.5e+07,-14321000,-14547000,20752000,7874000.00000001,7874000.00000001,7874000.00000001,108139000,1245014000,41913000,0.32908,0.19946,0.10092,0.02878,0.01342,1.03433,1.81199,1.14459,0.41231,0.349,0.34542,3.45834,12.12673,0.36098,0.01436,0.01486,10.99707,14.84826
"9","2012_Q2",13.0450793650794,"Up",435305000,-315534000,119771000,-50227000,-21840000,-28387000,69544000,-16902000,-16890000,-12000,52642000,51101000,-19059000,32042000,31680000,31680000,31680000,31351000,31351000,257981000,257981000,24694000,13610000,314026000,2601303000,46986000,11988000,34998000,2657100000,2971126000,175683000,162153000,216879000,1140386000,170290000,34540000,1310676000,1527555000,1134299000,309272000,1443571000,1443571000,2971126000,31680000,28387000,2826000,5414000,68307000,-22423000,-456000,-22879000,-71292000,-690000,-2391000,-69906000,-24478000,-24478000,-24478000,97931000,1180386000,99981000,0.27514,0.15976,0.07278,0.02195,0.01066,3.15597,1.44793,1.05818,0.39729,0.27285,0.27005,3.74911,12.43289,0.8611,0.01134,0.03578,11.73311,16.52242
"10","2012_Q3",15.2838095238095,"Up",442866000,-316584000,126282000,-51397000,-23095000,-28302000,74885000,-14770000,-14729000,-41000,60115000,59828000,-22494000,37334000,37334000,37334000,37334000,63130000,63130000,250445000,250445000,34436000,26448000,348011000,2592252000,47363000,11988000,35375000,2647991000,2996002000,168405000,168311000,169575000,1190764000,171093000,34777000,1361857000,1531432000,1138024000,326546000,1464570000,1464570000,2996002000,37334000,28302000,8440000,-12371000,61705000,-19445000,-1031000,-20476000,9965000,287000,-90000,-9453000.00000001,31776000,31776000,31776000,103187000,1190764000,93865000,0.28515,0.16909,0.0843,0.02549,0.01246,2.5142,2.05225,1.04565,0.39745,0.32154,0.31825,3.81423,12.61375,0.80842,0.02025,0.03321,10.92806,15.05821
