"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q2",45.1268253968254,"Down",243472000,-41338000,202134000,-107116000,-28170000,-14139000,-64807000,95018000,-20931000,-20931000,74087000,52631000,126718000,-49012000,77706000,77579000,77579000,77579000,0,0.83021,0.39026,0.31864,0.50208,0.4886,1.57573
"2","2010_Q3",35.64296875,"Down",195369000,-41204000,154165000,-118069000,-35836000,-14420000,-67813000,36096000,-21271000,-21271000,14825000,14584000,29409000,-11763000,17646000,9052000,9052000,9052000,-1.19209289550781e-07,0.7891,0.18476,0.04633,0.05858,0.0570100000000001,1.26441
"3","2010_Q4",38.96890625,"Up",210586000,-47936000,162650000,-121478000,-36523000,-15225000,-69730000,41172000,-23363000,-23363000,17809000,-14372000,3437000,-784000,2653000,-8168000,-8168000,-8168000,0,0.77237,0.19551,-0.03879,-0.05207,-0.05156,1.34239
"4","2011_Q1",47.6290322580645,"Up",235328000,-64501000,170827000,-129652000,-40042000,-16722000,-72888000,41175000,-25100000,-25100000,16075000,-36031000,-19956000,10649000,-9307000,-317719000,-317719000,-317719000,1960536000,0.72591,0.17497,-1.35011,-2.02531,-2.00545,1.50011
"5","2011_Q2",51.554126984127,"Up",215040000,-63199000,151841000,-133362000,-33959000,-27187000,-72216000,18479000,-24779000,-24779000,-6300000,-47028000,-53328000,19897000,-33431000,-25033000,-25033000,-25033000,0,0.70611,0.08593,-0.11641,-0.15957,-0.15801,1.37078
"6","2011_Q3",58.58890625,"Up",339898000,-67706000,272192000,-129006000,-39120000,-11592000,-78294000,143186000,-31383000,-31383000,111803000,-33324000,78479000,-32703000,45776000,51293000,51293000,51293000,0,0.8008,0.42126,0.15091,0.32697,0.32376,2.16669
"7","2011_Q4",64.3087301587302,"Up",373766000,-72909000,300857000,-147132000,-35907000,-17606000,-93619000,153725000,-34181000,-34181000,119544000,-63818000,55726000,-22540000,33186000,34755000,34755000,34755000,0,0.80493,0.41129,0.09299,0.21993,0.21798,2.36516
"8","2012_Q1",58.1093548387097,"Down",299679000,-69565000,230114000,-164279000,-42205000,-24982000,-97092000,65835000,-34709000,-34709000,31126000,-33740000,-2614000,-210999.999999996,-2825000,-2989000,-2989000,-2989000,1974967000,0.76787,0.21969,-0.00996999999999999,-0.01891,-0.01875,1.89634
"9","2012_Q2",57.6701587301587,"Down",261381000,-110538000,150843000,-160396000,-38729000,-21516000,-100151000,-9553000,-37205000,-37205000,-46758000,-22885000,-69643000,27843000,-41800000,-41800000,-41800000,-41800000,0,0.5771,-0.03655,-0.15992,-0.26451,-0.26217,1.654
"10","2012_Q3",62.5128571428571,"Up",452158000,-90062000,362096000,-168324000,-44005000,-15517000,-108802000,193772000,-42888000,-42888000,150884000,-56201000,94683000,-39007000,55676000,55676000,55676000,55676000,0,0.80082,0.42855,0.12313,0.35231,0.3492,2.86122
"11","2012_Q4",64.1,"Up",298831000,-94934000,203897000,-182308000,-44497000,-14752000,-123059000,21589000,-43997000,-43997000,-22408000,-60502000,-82910000,29074000,-53836000,-53836000,-53836000,-53836000,0,0.68232,0.07224,-0.18016,-0.33768,-0.33583,1.87436
"12","2013_Q1",69.626,"Up",396202000,-100370000,295832000,-177820000,-46582000,-18022000,-113216000,118012000,-44708000,-44708000,73304000,9622000,82926000,-29964000,52962000,52962000,52962000,52962000,2878185000,0.74667,0.29786,0.13367,0.33219,0.33038,2.4851
"13","2013_Q2",73.425625,"Up",319405000,-126302000,193103000,-215939000,-84058000,-16780000,-115101000,-22836000,-42210000,-42210000,-65046000,-57744000,-122790000,47180000,-75610000,-75610000,-75610000,-75610000,0,0.60457,-0.0715,-0.23672,-0.47425,-0.47166,2.00341
"14","2013_Q3",75.15578125,"Up",590069000,-126459000,463610000,-235050000,-101987000,-13068000,-119995000,228560000,-45071000,-45071000,183489000,57988000,241477000,-97494000,143983000,143983000,143983000,143983000,4.76837158203125e-07,0.78569,0.38734,0.24401,0.90311,0.898170000000001,3.70109
"15","2013_Q4",74.89015625,"Down",436030000,-154436000,281594000,-195758000,-44919000,-20496000,-130343000,85836000,-44321000,-44321000,41515000,-10471000,31044000,-11866000,19178000,19178000,19178000,19178000,0,0.64581,0.19686,0.04398,0.11954,0.11882,2.71775
"16","2014_Q1",82.0203278688525,"Up",424924000,-154162000,270762000,-201230000,-60207000,-14065000,-126958000,69532000,-44955000,-44955000,24577000,-24729000,-152000.00000003,28323000,28171000,28171000,28171000,28171000,3140516000,0.6372,0.16363,0.0663,0.17559,0.17453,2.64852
"17","2014_Q2",86.2504761904762,"Up",457695000,-159763000,297932000,-192740000,-49212000,-14846000,-128682000,105192000,-45401000,-45401000,59791000,-8313000,51478000,-18957000,32521000,32521000,32521000,32521000,0,0.65094,0.22983,0.07105,0.2027,0.20148,2.85278
"18","2014_Q3",73.57234375,"Down",483460000,-157363000,326097000,-203870000,-56888000,-13621000,-133361000,122227000,-45488000,-45488000,76739000,212626000,289365000,-117976000,171389000,171389000,171389000,171389000,-4.76837158203125e-07,0.67451,0.25282,0.35451,1.06826,1.06184,3.01338
"19","2014_Q4",62.36671875,"Down",616448000,-161385000,455063000,-208856000,-54963000,-11443000,-142450000,246207000,-39188000,-39188000,207019000,32921000,239940000,-93522000,146418000,146418000,146418000,146418000,0,0.7382,0.3994,0.23752,0.89484,0.8906,3.76744
"20","2015_Q1",47.9116393442623,"Down",868454000,-171796000,696658000,-222540000,-52363000,-23638000,-146539000,474118000,-38900000,-38900000,435218000,14884000,450102000,-166048000,284054000,284054000,284054000,284054000,3030824000,0.80218,0.54593,0.32708,1.73601,1.72779,5.30759
"21","2015_Q2",55.164126984127,"Up",462807000,-158053000,304754000,-203505000,-48329000,-7886000,-147290000,101249000,-39207000,-39207000,62042000,-11992000,50050000,-22366000,27684000,27684000,27684000,27684000,0,0.65849,0.21877,0.05982,0.16919,0.16839,2.82846
"22","2015_Q3",37.74625,"Down",244601000,-166251000,78350000,-212884000,-55964000,-5025000,-151895000,-134534000,-43479000,-43479000,-178013000,-2556000,-180569000,61975000,-118594000,-118594000,-118594000,-118594000,0,0.32032,-0.55001,-0.48485,-0.72479,-0.72136,1.49489
"23","2015_Q4",28.74546875,"Down",479933000,-174359000,305574000,-204406000,-46178000,-4235000,-153993000,101168000,-42904000,-42904000,58264000,-493993000,-435729000,134781000,-300948000,-300948000,-300948000,-300948000,0,0.6367,0.2108,-0.62706,-1.8087,-1.8087,2.8844
"24","2016_Q1",26.963606557377,"Down",410727000,-184165000,226562000,-175781000,-43544000,-4260000,-127977000,50781000,-40849000,-40849000,9932000,-496046000,-486114000,164287000,-321827000,-321827000,-321827000,-321827000,2651303000,0.55161,0.12364,-0.78355,-1.93418,-1.93418,2.46847
