"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",11.41203125,"Down",2.825e+09,-1.69e+09,1.135e+09,-2.61e+08,-2.22e+08,-3.9e+07,8.74e+08,-9.6e+07,-9.6e+07,7.78e+08,-6e+06,7.72e+08,-7e+06,7.65e+08,7.65e+08,-4.67e+08,2.98e+08,2.98e+08,9235926656.59731,1870248550.33199,7365678106.26532,911174625.250929,911174625.250929,1030718516.87646,-9253798212.0829,-9253798212.0829,1924021586.6418,3098046096.56078,3172653988.04787,1170969902.20747,939455141.99188,6270700084.60866,8194721671.25045,3759221743.42106,411098509.709697,3348123233.71136,-6111644136.66719,-5076448605.42027,-2352422393.24613,4297932787.26084,4297932787.26084,1945510394.01471,-318294762.558023,1799377168.83362,1481082406.2756,4768128870.96015,6249211277.23574,8194721671.25045,-2.8e+07,1.15e+08,2.04e+08,-1.4e+07,2.77e+08,-8e+07,-8e+07,-8e+07,-3.9e+07,3.7e+07,-8.2e+07,-8e+06,-4.5e+08,-4.58e+08,-2.63e+08,-2.63e+08,3.3e+07,-2.3e+08,9.89e+08,0,9.02e+08,0.40177,0.30938,0.10549,-0.253788712254551,-0.0808445393913314,3.02685,1.59550847462278,0.667808537443545,0.235295850548564,3.42493,3.42493,32.46786,23.368893525251,10.36673,-0.206894363416242,0.299244073768952,-217.024657217457,-599.456750549461
"2","2011_Q1",12.8906451612903,"Up",2.441e+09,-1.771e+09,6.7e+08,-3.24e+08,-2.58e+08,-6.6e+07,3.46e+08,-1.03e+08,-1.03e+08,2.43e+08,-2e+06,2.41e+08,9999999.99999999,2.51e+08,2.5e+08,-1.68e+08,8.2e+07,8.2e+07,1.0433e+10,2.963e+09,7.47e+09,1.285e+09,1.285e+09,1.163e+09,2.224e+09,2.224e+09,1.5105e+10,3.455e+09,2.778e+09,1.129e+09,6.5e+08,6.233e+09,2.1338e+10,3.121e+09,8.44e+08,2.277e+09,9e+09,9e+09,1.2121e+10,1.323e+09,1.323e+09,1.3444e+10,-2.82e+08,3.465e+09,3.183e+09,4.711e+09,7.894e+09,2.1338e+10,-2.4e+07,1.25e+08,4.24e+08,-3.24e+08,2.01e+08,-1.13e+08,-1.13e+08,-1.13e+08,1.55e+08,-4999999.99999999,4.1e+07,4.96e+08,-3e+07,4.66e+08,7.08e+08,7.08e+08,-6e+06,7.02e+08,4.71e+08,1.323e+09,24000000.0000002,0.27448,0.14175,0.03359,0.01039,0.00384,0.292680000000001,1.24618,1.70307,0.062,0.9209,0.88131,27.41371,35.74676,0.269530000000003,0.0089,0.0026,-19.34183,-26.32948
"3","2011_Q2",13.6307936507937,"Up",3.078e+09,-1.925e+09,1.153e+09,-4.27e+08,-3.19e+08,-1.08e+08,7.26e+08,-1.09e+08,-1.09e+08,6.17e+08,-3e+06,6.14e+08,-1.8e+07,5.96e+08,5.96e+08,-3.56e+08,2.4e+08,2.4e+08,10670441114.4676,3029833816.556,7640607297.91156,1449525124.91636,1449525124.91636,1285843827.70785,5438016070.6943,5438016070.6943,18843826137.7861,3594317967.81307,2693615337.31738,1123510032.59751,591514952.669373,6287933305.13045,25131759442.9165,2962092752.19298,998300496.763434,1963792255.42955,13235631378.8891,13029566201.8068,16197724131.082,777689070.913053,777689070.913053,16975413201.9951,-268818412.480659,4071624277.05546,3802805864.5748,4353540376.34662,8156346240.92142,25131759442.9165,-2.1e+07,1.1e+08,-4.06e+08,-1.3e+08,-4.47e+08,-1.15e+08,-1.15e+08,-1.15e+08,-3.1e+07,7e+06,-1.39e+08,5.93e+08,-3.22e+08,2.71e+08,-3.15e+08,-3.13e+08,1.9e+07,-2.94e+08,8.36e+08,0,6.09e+08,0.37459,0.23587,0.07797,0.0778129040848504,0.0253331797971105,2.5375,1.15082967512574,2.08330548751882,0.0264372164838118,2.75833,2.60677,35.3756,41.6052571582497,6.99927,0.0642172878054139,-0.027851357922984,25.8472582391523,99.5608118498204
"4","2011_Q3",13.8259375,"Up",3.142e+09,-2.009e+09,1.133e+09,-4.08e+08,-3.04e+08,-1.04e+08,7.25e+08,-1.13e+08,-1.13e+08,6.12e+08,-4e+06,6.08e+08,-2.4e+07,5.84e+08,5.84e+08,-2.95e+08,2.89e+08,2.89e+08,1.0424e+10,2.607e+09,7.817e+09,1.481e+09,1.481e+09,1.375e+09,4.114e+09,4.114e+09,1.7394e+10,3.578e+09,2.753e+09,1.129e+09,6.51e+08,6.331e+09,2.3725e+10,3.017e+09,9.87e+08,2.03e+09,1.149e+10,1.149e+10,1.4507e+10,1.485e+09,1.485e+09,1.5992e+10,-2.69e+08,4.071e+09,3.802e+09,3.931e+09,7.733e+09,2.3725e+10,3e+07,1.1e+08,1.912e+09,-2.25e+08,1.827e+09,-1.03e+08,-1.03e+08,-1.03e+08,-4e+06,-1.86264514923096e-09,-1.07e+08,-2.42e+08,-1.546e+09,-1.788e+09,-67999999.9999999,-67999999.9999998,6e+06,-6.2e+07,8.35e+08,1.485e+09,5.31e+08,0.3606,0.23074,0.09198,0.0373699999999999,0.01218,1.83737,1.19901,2.06802,0.06259,3.28084,3.13899,35.66925,43.16184,6.02813,0.03135,0.0576,-10.70539,-12.32966
"5","2011_Q4",12.8728571428571,"Down",2.443e+09,-1.975e+09,4.68e+08,-3.97e+08,-2.85e+08,-1.12e+08,7.1e+07,-1.05e+08,-1.05e+08,-3.4e+07,-5e+06,-3.9e+07,-1.3e+07,-5.2e+07,-5.2e+07,1.3e+07,-3.9e+07,-3.9e+07,1.0482e+10,2.171e+09,8.311e+09,1.446e+09,1.446e+09,1.402e+09,2.823e+09,2.823e+09,1.6153e+10,3.535e+09,2.79e+09,1.141e+09,6.93e+08,6.325e+09,2.2478e+10,2.863e+09,9.42e+08,1.921e+09,9.862e+09,9.862e+09,1.2725e+10,2.351e+09,2.351e+09,1.5076e+10,-2.73e+08,3.904e+09,3.631e+09,3.771e+09,7.402e+09,2.2478e+10,2.8e+07,1.13e+08,-7.18e+08,1.057e+09,4.8e+08,-1.41e+08,-1.41e+08,-1.41e+08,-9.1e+07,-2e+06,-3.84e+08,-3.92e+08,-1.05e+08,-4.97e+08,-4.01e+08,-4.01e+08,-3.5e+07,-4.36e+08,1.84e+08,2.351e+09,1.113e+09,0.19157,0.02906,-0.01596,-0.00527,-0.00174,-28.53846,1.26939,2.03675,0.10459,-0.454,-0.42454,28.43879,42.26821,12.95635,-0.004,0.11412,-44.19022,-114.52113
"6","2012_Q1",13.5472580645161,"Up",3.356e+09,-1.962e+09,1.394e+09,-5.1e+08,-3.29e+08,-1.81e+08,8.84e+08,-1.63e+08,-1.63e+08,7.21e+08,-7e+07,6.51e+08,2.1e+07,6.72e+08,6.72e+08,-4.12e+08,2.6e+08,2.6e+08,1.1216e+10,2.278e+09,8.938e+09,1.424e+09,1.424e+09,1.344e+09,5.009e+09,5.009e+09,1.8993e+10,3.505e+09,2.638e+09,1.127e+09,6.12e+08,6.143e+09,2.5136e+10,2.287e+09,9.7e+08,1.317e+09,1.2845e+10,1.2289e+10,1.5132e+10,2.171e+09,2.171e+09,1.7303e+10,-2.71e+08,4.026e+09,3.755e+09,4.078e+09,7.833e+09,2.5136e+10,-1.64e+08,1.75e+08,1.218e+09,-1.007e+09,2.22e+08,-1.35e+08,-1.35e+08,-1.35e+08,-1.6e+07,2e+07,2.3e+07,-6.8e+07,-3.3e+07,-1.01e+08,1.44e+08,1.44e+08,-1.2e+07,1.32e+08,1.059e+09,2.171e+09,-1.04e+08,0.41538,0.26341,0.07747,0.03319,0.01034,-0.400000000000006,1.25515,2.20899,0.08637,2.85714,2.70833,36.87912,41.26374,-1.14286,0.02599,-0.0104,-8.54107999999999,-10.2319
"7","2012_Q2",14.7984126984127,"Up",2.684e+09,-2.072e+09,6.12e+08,-4.15e+08,-3.09e+08,-1.06e+08,1.97e+08,-1.17e+08,-1.17e+08,8e+07,-9e+06,7.1e+07,3e+07,1.01e+08,1.01e+08,-5.2e+07,4.9e+07,4.9e+07,9.343e+09,3.467e+09,5.876e+09,1.603e+09,1.603e+09,1.394e+09,2.436e+09,2.436e+09,1.4776e+10,3.611e+09,2.678e+09,1.128e+09,6.61e+08,6.289e+09,2.1065e+10,2.914e+09,1.015e+09,1.899e+09,9.621e+09,9.621e+09,1.2535e+10,5e+06,5e+06,1.254e+10,-2.59e+08,4.645e+09,4.386e+09,4.139e+09,8.525e+09,2.1065e+10,-3.89e+08,1.08e+08,2.705e+09,-2.339e+09,8.5e+07,-1.97e+08,-1.97e+08,-1.97e+08,-3e+06,23969556.9734823,-2.4e+08,8.34e+08,-1.8e+07,1.326e+09,1.171e+09,1.171e+09,1.8e+07,1.189e+09,3.05e+08,5e+06,-2.261e+09,0.22802,0.0734,0.01826,0.00575,0.00233,-46.14286,1.17878,1.47097,0.00024,0.4993,0.4993,27.34919,44.69208,-23.03894,0.00574,-0.26506,-30.61639,-47.40102
"8","2012_Q3",13.7828571428571,"Down",4.226e+09,-3.252e+09,9.74e+08,-4.44e+08,-3.36e+08,-1.08e+08,5.3e+08,-1.29e+08,-1.29e+08,4.01e+08,-4.1e+07,3.6e+08,1.01e+08,4.61e+08,4.61e+08,-2.04e+08,2.57e+08,2.57e+08,8.595e+09,3.209e+09,5.386e+09,1.865e+09,1.865e+09,1.862e+09,1.5e+09,1.5e+09,1.3822e+10,6.22e+09,3.972e+09,2.023e+09,7.41e+08,1.0192e+10,2.4014e+10,2.933e+09,1.379e+09,1.554e+09,1.1375e+10,1.0056e+10,1.4308e+10,4e+06,4e+06,1.4312e+10,-2.55e+08,4.79e+09,4.535e+09,5.167e+09,9.702e+09,2.4014e+10,1.65e+08,1.45e+08,1.092e+09,-80000000.0000005,1.322e+09,-2.32e+08,-2.32e+08,-2.32e+08,-1.288e+09,1.7e+07,-1.503e+09,-1.8e+07,-4.1e+07,-58999999.9999998,-2.4e+08,-2.4e+08,-1.8e+07,-2.58e+08,6.75e+08,4e+06,2.62e+08,0.23048,0.12541,0.06081,0.02649,0.0107,1.01945999999999,0.96603,1.47516,0.000169999999999999,2.54181,2.31173,41.79639,44.8525,2.59126,0.02648,0.02699,-12.72741,-16.20943
"9","2012_Q4",14.0061290322581,"Up",4.503e+09,-3.702e+09,8.01e+08,-3.96e+08,-2.85e+08,-1.11e+08,4.05e+08,-1.38e+08,-1.38e+08,2.67e+08,-5.8e+07,2.09e+08,-1.1e+08,9.9e+07,9.9e+07,-1.5e+07,8.4e+07,8.4e+07,8.052e+09,3.14e+09,4.912e+09,1.97e+09,1.97e+09,1.933e+09,2.164e+09,2.164e+09,1.4119e+10,6.325e+09,3.888e+09,2.042e+09,6.9e+08,1.0213e+10,2.4332e+10,3.069e+09,1.351e+09,1.718e+09,1.1333e+10,1.0018e+10,1.4402e+10,1.32e+08,1.32e+08,1.4534e+10,-2.41e+08,5.016e+09,4.775e+09,5.023e+09,9.798e+09,2.4332e+10,-5.37e+08,1.58e+08,3.76e+08,-3.6e+07,-3.9e+07,-1.88e+08,-1.88e+08,-1.88e+08,-5.7e+07,1.2e+07,-2.33e+08,2.11e+08,-2.7e+07,1.87e+08,-8.5e+07,-8.5e+07,1.6e+07,-6.9e+07,5.63e+08,1.32e+08,4.49e+08,0.17788,0.08994,0.01865,0.00857,0.00345,5.34524,0.98035,1.48336,0.00542,0.83373,0.79478,44.69364,47.39332,4.45646,0.00846,0.04522,-14.0675,-19.55556
"10","2013_Q1",21.3473333333333,"Up",4.383e+09,-3.58e+09,8.03e+08,-5.22e+08,-3.45e+08,-1.77e+08,2.81e+08,-1.88e+08,-1.88e+08,9.3e+07,-5.2e+07,4.1e+07,6e+07,1.01e+08,1.01e+08,-9.5e+07,5999999.99999994,5999999.99999994,8.599e+09,3.108e+09,5.491e+09,1.854e+09,1.854e+09,1.955e+09,1.53e+09,1.53e+09,1.3938e+10,7.661e+09,4.333e+09,2.082e+09,1.045e+09,1.1994e+10,2.5932e+10,2.887e+09,1.388e+09,1.499e+09,1.3229e+10,1.1894e+10,1.6116e+10,0,0,1.6116e+10,-2.44e+08,4.913e+09,4.669e+09,5.147e+09,9.816e+09,2.5932e+10,3.5e+07,2.24e+08,-2.281e+09,2.261e+09,2.39e+08,-3.19e+08,-3.19e+08,-3.19e+08,-13000000.0000001,-6e+06,-3.46e+08,8.3e+07,4.56e+08,2.6e+07,-8.1e+07,-8.1e+07,-1e+06,-8.2e+07,5.05e+08,0,2.387e+09,0.18321,0.06411,0.00137,0.000609999999999998,0.000229999999999999,397.83333,0.86485,1.64181,8.67361737988404e-19,0.0555600000000002,0.0645200000000001,40.58333,43.23148,22.10185,0.000610000000000001,0.24317,-17.02772,-30.60142
