"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",1.2452380952381,"Down",2587818,-1296610,1291208,-1077097,-885310,-191787,214111,-189,-189,213922,213922,0,213922,213922,213922,213922,1298173.1929406,1015143.48518068,283029.70775992,-256040.733731161,-256040.733731161,1827059.47078402,-314291.509687279,-314291.499252392,2554900.42030618,2421483.22544307,2421483.22544307,-36552.1185417133,91357.8785553274,2384931.10690136,4939831.52720754,398014.671384384,-581092.374263082,1045906.60366392,-226649.401129771,-226649.401129771,150259.669173789,1761858.28282657,1912117.95200036,8713186.56166665,-5685472.99125465,3027713.57520718,3027713.57520718,4939831.52720754,213922,82319,15291,556805,868337,-89903,-999750.302000038,-89903,-350794,427640,427640,427640,296430,0,763332,0.49896,0.08274,0.08267,-0.329570363316226,-0.187289708241359,3.56827,4.46255315247267,0.685827269373865,0.309344742713475,0.01481,0.01404,0.17921,0.209914465056842,0.05286,-0.231355581366964,0.971304626990005,1.37310076388149
"2","2012_Q1",0.994838709677419,"Down",2610706,-1363131,1247575,-1085121,-852168,-232953,162454,11213,-1247,173667,173667,-14284,159383,159383,159383,159383,1932901,1683801,249100,976339,976339,1868144,131404,131404,4908788,2944385,2944385,85692,79150,3030077,7938865,1150832,643315,507517,373577,373577,1586656,2035579,3622235,8743538,-4426908,4316630,4316630,7938865,159383,87375,13459,-62156,198061,-2392651,-249100,-2836786,2091402,-547323,-547323,-547323,249829,2097826,-2190694,0.47787,0.06223,0.06105,0.03692,0.02008,-13.74484,3.09379,0.83913,0.26425,0.01104,0.01016,0.18078,0.29891,-0.15169,0.02485,0.66015,1.01521
"3","2012_Q2",1.00746031746032,"Up",2989070,-1555971,1433099,-1125875,-870816,-255059,307224,-29527,-29527,277697,237868,727,238595,238595,238595,238595,2219143.35235313,1980226.00493977,238917.34741336,1219569.41124372,1219569.41124372,2232248.50973866,244536.336562426,244536.333084131,5915497.60989794,3028668.34151898,3028668.34151898,108128.039513904,76674.9571482242,3136796.38103288,9052293.99093082,1346769.35953854,966769.458087694,367045.882112027,581632.55037659,581632.55037659,2033088.1102754,2156175.82239114,4189263.93266655,8759894.31277779,-3896864.25291512,4863030.05826427,4863030.05826427,9052293.99093082,238595,73889,15943,-324545,3882,-44646,0,-44646,-17242,-58006,-58006,-58006,381113,0,11195,0.47945,0.10278,0.07982,0.136175954438742,0.0759249027471198,0.04692,2.83565894917577,0.865340076875378,0.250348419095508,0.01652,0.01617,0.20698,0.336691844981053,0.00078,0.0940743604556545,0.343025124336665,0.561672245372837
"4","2012_Q3",0.852539682539683,"Down",3149958,-1471513,1678445,-1189356,-904474,-284882,489089,-26620,-26620,462469,438505,-980,437525,437525,437525,437525,2317704,2065862,251842,939877,939877,2667474,171935,171935,6096990,2903579,2903579,86709,80167,2990288,9087278,1232253,778907,453346,542245,542245,1893955,2174386,4068341,8769725,-3750788,5018937,5018937,9087278,437525,80531,51886,-270765,299177,-72676.9999999998,0,-72677,213567,440067,440067,440067,569620,2293843,227158,0.53285,0.15527,0.1389,0.08717,0.04815,0.51919,3.21918,0.8106,0.25242,0.03029,0.02959,0.21811,0.34752,0.01573,0.05983,-0.04189,-0.0487900000000001
"5","2012_Q4",0.61258064516129,"Down",2944773,-1438650,1506123,-1245183,-967912,-277271,260940,-27834,-27834,233106,196571,-768,195803,195803,195803,195803,2460892,2207583,253309,632729,632729,2852710,81258,81258,6027589,2856332,2856332,89952,83410,2946284,8973873,1077108,516315,560793,406215,406215,1603626,2143797,3747423,8781435,-3554985,5226450,5226450,8973873,195803,83900,32488,-99586,212605,-41413,0,-41413,-29471,141721,141721,141721,344840,2264100,204609,0.51146,0.08861,0.06649,0.03746,0.02182,1.04497,3.75872,0.71701,0.2523,0.01356,0.0139,0.20391,0.3619,0.01417,0.02614,-0.57068,-0.75417
"6","2013_Q1",0.581333333333333,"Down",2969092,-1420533,1548559,-1215891,-904374,-311517,332668,-35584,-28085,297084,268830,291540,560370,560370,560370,560370,2785676,2531689,253987,754605,754605,2559128,112392,112392,6211801,3096850,3096850,169622,83455,3266472,9478273,1119961,552979,529732,316246,316246,1556510,2114196,3670706,8802182,-2994615,5807567,5807567,9478273,560370,91181,-51717,76831,676665,-320192,-12230,-332422,-20137,324106,324106,324106,423849,2234499,-111052,0.52156,0.11204,0.18873,0.09649,0.05912,-0.19818,3.99085,0.63206,0.23575,0.03879,0.03112,0.20552,0.40201,-0.00769,0.06968,-1.30041,-1.65684
"7","2013_Q2",0.6540625,"Up",2839702,-1490004,1349698,-1265528,-1011458,-254070,84170,-36910,-28970,47260,18240,-7140,11100,11100,11100,11100,2505413,1851320,654093,1059403,1059403,2532567,117875,117875,6215258,3024977,3024977,191444,105277,3216421,9431679,1117267,464346,646537,271137,271137,1510435,2082607,3593042,8822152,-2983515,5838637,5838637,9431679,11100,83576,13964,-334520,-225880,-33527,-400106,-433633,-20856,-680369,-680369,-680369,167746,2204638,-193161,0.4753,0.02964,0.00391,0.0019,0.00118,-17.40189,4.11488,0.61539,0.23375,0.00077,0.00076,0.19639,0.40379,-0.01336,0.00138,-1.79304,-3.57342
"8","2013_Q3",0.83015625,"Up",2391107,-1225735,1165372,-1101370,-868653,-232717,64002,-22443,-28678,41559,12949,46786.9999999999,59736,59736,59736,59736,2388412,1430048,958364,1034879,1034879,2427113,192812,192812,6043216,2992965,2992965,197015,110848,3189980,9233196,943415,313347,594426,194866,194866,1261854,2050935,3312789,8844186,-2923779,5920407,5920407,9233196,59735.9999999999,72058,43694,-213731,-38242.9999999999,-59968,-304271,-364239,-18790,-421272,-421272,-421272,136060,2174508,-184426,0.48738,0.02677,0.02498,0.01009,0.00647,-3.08735,4.78916,0.55955,0.23551,0.00413000000000001,0.0041,0.16521,0.40907,-0.01274,0.00737999999999999,-1.57213,-3.34215
"9","2013_Q4",0.93171875,"Up",2202406,-1120772,1081634,-1005466,-792473,-212993,76168,-8491,-28364,67677,38870,-13605,25265,25265,25265,25265,2712969,1737303,975666,1075185,1075185,2295433,64525,64525,6148112,2979724,2979724,194602,108435,3174326,9322438,1077576,465666,562658,122831,122831,1323980,2020510,3344490,8876462,-2898514,5977948,5977948,9322438,25265,109794,32656,263822,431537,-81556,-17302,-98858,-25424,307255,307255,307255,185962,2144083,381833,0.49111,0.03458,0.01147,0.00423,0.00271,15.11312,4.64366,0.55947,0.22999,0.00174,0.00173,0.15188,0.41226,0.02633,0.00311,-3.05915,-7.46883
"10","2014_Q1",1.10016393442623,"Up",2109139,-1173582,935557,-890729,-696028,-194701,44828,-24920,-22753,19908,-12214,48364,36150,36150,36150,36150,2916816,1940906,975910,941032,941032,1829171,79605,79605,5766624,3067276,3067276,232544,142523,3299820,9066444,892096,408738,477027,68846,68846,1086941,1987236,3074177,8854631,-2862364,5992267,5992267,9066444,36150,84509,-56657,380072,444074,-209379,-244,-209623,-30848,203603,203603,203603,129337,2113235,251666,0.44357,0.02125,0.01714,0.00603,0.00399,6.96172,5.30537,0.51302,0.23308,0.00249,0.00254,0.14542,0.41315,0.01735,0.00446,-6.21308,-17.92587
