"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",108.267540983607,"Up",486700000,-2.52e+08,234700000,-149800000,-142500000,-7300000,0,84900000,-12700000,-13300000,6e+05,72200000,67500000,-2.1e+07,46500000,46500000,46500000,46500000,89600000,89600000,218500000,218500000,292400000,146600000,146600000,747100000,212500000,235100000,37100000,80100000,76200000,41700000,447600000,1194700000,190900000,190900000,0,189500000,189500000,380400000,0,89800000,89800000,89800000,470200000,0,0,724500000,724500000,724500000,1194700000,46500000,46500000,14500000,-34200000,-26600000,2e+05,-3600000,-3600000,0,0,0,0,6900000,6900000,3500000,3500000,2e+05,3700000,99400000,0,90200000,0.48223,0.17444,0.09554,0.06418,0.03892,1.93978,1.96399,0.649,0,0.74759,0.74759,7.82476,11.64791,1.45016,0,0.0571,0.11077,0,-0.90141,-1.05536
"2","2015_Q2",84.7248717948718,"Down",501300000,-267500000,233800000,-151200000,-1.45e+08,-6200000,-46141.2889787141,82600000,-9700000,-12500000,2800000,72900000,81400000,-19700000,61700000,61700000,61700000,61700000,-487659787.329074,-487659787.329074,241744488.682553,241744488.682553,236790890.928237,109555371.662795,109555377.612812,100430963.944511,228918057.667016,89901062.7242639,37956669.0330305,80628419.4559333,-55845154.3886201,27161128.6239202,318819120.39128,419250084.335791,121015035.957545,121015035.957545,-80881.5347108429,49864152.0484059,49864152.0484059,170798306.47124,614660966.937731,-149036525.910068,-149036525.825633,465624441.027664,636422747.498904,94176446.9006205,-98940514.1190713,22749453.5333858,-217172663.163112,-217172663.163112,419250084.335791,61700000,61700000,10700000,5300000,-17600000,60100000,-8500000,-19600000,0,5.96046447753906e-08,0,0,-37299999.9999999,-37300000,3200000,3200000,-3e+05,2900000,93300000,5.96046447753906e-08,86900000,0.46639,0.16477,0.12308,-0.53822065117359,-0.021706325727593,1.40843,1.44494422463049,13.4064669032219,0.949326521848557,0.99196,0.99196,8.05949,-3.49268322933795,1.39711,0,-0.051244634814726,-0.0684229104219557,0,39.4217584695268,65.4858772968196
"3","2015_Q3",32.58453125,"Down",356900000,-188400000,168500000,-139600000,-133200000,-6400000,-61521.7186382855,28900000,-11900000,-15200000,3300000,1.7e+07,-71700000,2500000,-69200000,-69200000,-69200000,-69200000,-374769787.329074,-374769787.329074,217704488.682553,217704488.682553,245220890.928237,109375371.662795,109375377.612812,197530963.944511,228088057.667016,121021062.724264,38336669.0330305,79328419.4559333,-29215154.3886201,32571128.6239202,349109120.39128,546640084.335791,116105035.957545,116105035.957545,1259118.46528916,83154152.048406,83154152.048406,200518306.47124,910070966.937731,-105876525.910068,-105876525.825633,804194441.027663,1004712747.4989,148741929.200827,-107974018.825428,-264670546.466614,-458072663.163112,-458072663.163112,546640084.335791,-69200000,-69200000,11600000,54900000,69500000,66800000,4e+06,4e+06,0,0,0,0,-72700000,-72700000,-1900000,-1900000,-5e+05,-2400000,40500000,0,111500000,0.47212,0.08098,-0.19389,-0.34657865117359,-0.034345325727593,-1.61127,1.52405922463049,9.39972290322192,1.13257852184856,-1.11254,-1.11254,5.73794,-7.36533822933795,1.7926,0,-0.065404634814726,-0.0948329104219557,0,43.9672394695268,71.0992552968196
"4","2015_Q4",31.27328125,"Down",374300000,-203500000,170800000,-149800000,-143300000,-6500000,-46141.2889787141,2.1e+07,-31700000,-37500000,5800000,-10700000,-40500000,20900000,-19600000,-19600000,-19600000,-19600000,82500000.0000001,82500000.0000001,175400000,175400000,276300000,127100000,127100000,661300000,217800000,2.38e+08,38700000,77700000,74300000,47300000,455800000,1117100000,143600000,143600000,4e+06,197300000,197300000,344900000,9.95e+08,74100000.0000001,74100000.0000001,1069100000,1.414e+09,174511446.900621,-61295514.1190713,-296900000,-296900000,-296900000,1117100000,-19600000,-19600000,10900000,7200000,-22500000,-2.4e+07,-12900000,-13900000,0,9.99e+08,4.65661287307739e-10,-2.3283064365387e-10,-968700000,30300000,-7600000,-7600000,0,-7600000.00000001,31900000,9.99e+08,-24400000,0.45632,0.0561,-0.05236,0.0660200000000001,-0.01755,1.2449,1.91737,-4.76254999999999,0.89428,-0.31511,-0.31511,6.01768,-4.77330999999999,-0.39228,6.93889390390723e-18,-0.0252500000000001,-0.03144,0,28.73041,43.64286
"5","2016_Q1",30.2068852459016,"Down",399100000,-2.16e+08,183100000,-142900000,-137100000,-5800000,0,40200000,-6200000,-12700000,6500000,3.4e+07,30100000,-7e+06,23100000,23100000,23100000,23100000,502100000,502100000,155500000,155500000,275900000,143400000,143400000,1076900000,205600000,336100000,38100000,76300000,163100000,58600000,541700000,1618600000,1.67e+08,1.67e+08,8200000,291200000,291200000,466400000,984300000,2.28e+08,2.28e+08,1212300000,1678700000,182300000,6900000,-249300000,-60100000,-60100000,1618600000,23100000,23100000,8600000,-5100000,32300000,58900000,-9300000,-9300000,-15500000,-13400000,0,0,417800000,388900000,438500000,438500000,-18900000,419600000,48800000,992500000,78800000,0.45878,0.10073,0.05788,-0.38436,0.01427,3.41126,2.30896,-27.93178,0.61318,0.37138,0.37138,6.4164,-0.96624,1.26688,0.2492,0.03326,0.06791,0.671,10.04918,12.199
"6","2016_Q2",37.959375,"Up",506800000,-2.77e+08,229800000,-119900000,-113800000,-6100000,0,109900000,-12300000,-12900000,6e+05,97600000,94500000,-2.9e+07,65500000,65500000,65500000,65500000,556400000,556400000,181200000,181200000,2.09e+08,139500000,139500000,1086100000,199400000,3.32e+08,37700000,77100000,160300000,56900000,531400000,1617500000,155700000,155700000,13800000,277300000,277300000,446800000,983700000,219500000,219500000,1203200000,1.65e+09,183800000,56600000,-272900000,-32500000,-32500000,1617500000,65500000,65500000,7800000,4900000,17300000,95500000,-3300000,-3300000,-15400000,5400000,-21800000,-21800000,-3100000,-34900000,57299999.9999999,57299999.9999999,-3e+06,54300000,117700000,997500000,160700000,0.45343,0.21685,0.12924,-2.01538,0.04049,2.45344,2.43084,-50.76923,0.61669,1.05645,1.05136,8.17419,-0.52419,2.59194,0.24839,0.0683,0.13567,0.23511,3.74766,4.01365
"7","2016_Q3",40.9540625,"Up",3.34e+08,-192400000,141600000,-107900000,-101500000,-6400000,-2.91038304567337e-11,33700000,-13200000,-13100000,-1e+05,20500000,2.1e+07,-4600000,16400000,16400000,16400000,16400000,576300000,576300000,1.31e+08,1.31e+08,2.18e+08,118100000,118100000,1043400000,202500000,338500000,37500000,77700000,163800000,59500000,5.41e+08,1584400000,147100000,147100000,13900000,239200000,239200000,400200000,9.83e+08,211400000,211400000,1194400000,1594600000,189300000,57100000,-256600000,-10200000,-10200000,1584400000,16400000,16400000,7800000,-6400000,1.5e+07,32800000,-10200000,-10200000,-15500000,-1700000,0,0,-2e+05,-17400000,5200000,5200000,14700000,19900000,41500000,996900000,50900000,0.42395,0.1009,0.0491,-1.60784,0.01035,3.10366,2.6072,-156.33333,0.6292,0.26537,0.26324,5.40453,-0.16505,0.82362,0.25081,0.02663,0.04248,0.94512,10.13494,12.48071
"8","2016_Q4",38.2553968253968,"Down",3.61e+08,-207300000,153700000,-116400000,-109800000,-6600000,0,37300000,-12700000,-13100000,4e+05,24600000,23700000,5e+05,24200000,24200000,24200000,24200000,567100000,567100000,145200000,145200000,231900000,118300000,118300000,1062500000,197200000,337100000,36800000,77500000,162900000,59900000,534300000,1596800000,161500000,161500000,13300000,2.32e+08,2.32e+08,406800000,982400000,210400000,210400000,1192800000,1599600000,193900000,65300000,-2.62e+08,-2800000,-2800000,1596800000,24200000,24200000,7800000,4400000,-22800000,13600000,-2800000,-2800000.00000003,-15500000,-8e+05,3.72529029846191e-09,0,0,-16300000,-5499999.99999999,-5499999.99999999,-3700000,-9200000.00000001,45100000,995700000,1.9e+07,0.42576,0.10332,0.06704,-8.64286,0.01516,0.78512,2.61185,-571.28571,0.62356,0.39159,0.38596,5.84142,-0.04531,0.30744,0.25081,0.03299,0.01579,0.6405,9.50333,11.49062
"9","2017_Q1",44.4574193548387,"Up",432400000,-245100000,187300000,-1.49e+08,-138700000,-7500000,-2800000,38300000,-7e+06,-15200000,8200000,31300000,26500000,-4900000,21600000,21600000,21600000,21600000,287300000,287300000,190900000,190900000,289200000,122100000,122100000,889500000,201700000,640300000,229700000,234700000,63700000,112200000,8.42e+08,1731500000,2.17e+08,2.17e+08,61400000,254700000,254700000,533100000,981700000,246700000,246700000,1228400000,1761500000,195200000,70900000,-266100000,-3e+07,-3e+07,1731500000,21600000,21600000,10900000,17700000,1800000,5.2e+07,-10900000,-354900000,-16300000,5.3e+07,-1e+07,-1e+07,-3500000,23200000,-279700000,-279700000,-1e+05,-279800000,49200000,1043100000,4.5e+07,0.43316,0.08858,0.04995,-0.72,0.01247,2.08333,1.66854,-58.71667,0.60243,0.34839,0.3445,6.97419,-0.48387,0.72581,0.2629,0.03008,0.03572,0.75463,15.36179,19.73368
"10","2017_Q2",46.0734920634921,"Up",559600000,-2.88e+08,271600000,-127100000,-118700000,-5800000,-2600000,144500000,-11700000,-13300000,1600000,132800000,134100000,-38500000,95600000,95600000,95600000,95600000,297700000,297700000,218600000,218600000,231600000,126900000,126900000,874800000,188900000,6.19e+08,228900000,231100000,40800000,118200000,807900000,1682700000,181500000,181500000,32900000,243900000,243900000,458300000,981100000,2.26e+08,2.26e+08,1207100000,1665400000,183200000,145700000,-311600000,17300000,17300000,1682700000,95600000,95600000,10600000,7500000,-21900000,91800000,-6e+05,-6e+05,-18100000,-28900000,-8100000,-8100000,-8100000,-63200000,28000000.0000001,28000000.0000001,-17600000,10400000,155100000,1.014e+09,171100000,0.48535,0.25822,0.17084,5.52601,0.05681,1.78975,1.90879,96.2659,0.6026,1.54693,1.51987,9.05502,0.27994,2.76861,0.29288,0.09043,0.13609,0.18933,4.61831,4.95709
