"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",7.16296875,"Down",111001000,111001000,-20884000,-20884000,90117000,-65626000,-29128000,-32187000,24491000,-20307000,4184000,4184000,425000,4609000,4609000,4609000,4609000,132645000,132645000,56115000,56115000,24709000,173947000,20504000,153443000,387416000,118031000,969302000,640571000,1087333000,1474749000,138187000,138187000,8200000,242901000,242901000,389288000,51694000,14049000,1210144000,1599432000,288812000,-176380000,-237186000,71000,-124683000,-124683000,1474749000,4609000,29128000,7225000,-8211000,32751000,-26267000,-30910000,-2050000,4050000,4088000,2e+06,3841000,3841000,147000,3988000,53619000,1166650000,18716000,0.81186,0.22064,0.04152,-0.03697,0.00313,4.06075,0.99519,-12.82799,0.79108,0.0671,0.06289,1.61606,-1.81526,0.27249,0.00421,0.01711,19.2843,42.2198
"12","2018_Q3",8.20063492063492,"Up",118682000,118682000,-23667000,-23667000,95015000,-72418000,-30253000,-37570000,22597000,-22122000,475000,308999.999999993,1166000,1475000,1475000,1475000,1475000,110164000,110164000,61583000,61583000,23527000,159077000,19763000,139314000,354351000,123348000,962117000,640560000,1085465000,1439816000,132496000,132496000,8200000,217473000,217473000,358169000,44524000,8227000,1201921000,1560090000,292844000,-176389000,-235741000,-988000,-120274000,-120274000,1439816000,1475000,30253000,11533000,-26781000,16480000,-31590000,-37064000,-2050000,2276000,2285000,-1050000,-21634000,-21634000,-767000,-22401000,52850000,1165597000,-6687000,0.80058,0.1904,0.01243,-0.01226,0.00102,-4.53356,0.98934,-12.97113,0.80955,0.02131,0.02008,1.71498,-1.73799,-0.09663,0.00135,-0.00614,19.97035,46.70678
"13","2018_Q4",6.81920634920635,"Down",120330000,120330000,-24602000,-24602000,95728000,-74218000,-33392000,-35419000,21510000,-20160000,1350000,1350000,719000,2069000,2069000,2069000,2069000,128722000,128722000,61652000,61652000,25897000,247930000,22720000,225210000,464201000,118001000,952039000,640571000,1070040000,1534241000,139922000,139922000,8200000,304594000,304594000,452716000,38533000,3130000,1194740000,1647456000,297840000,-176398000,-233660000,-997000,-113215000,-113215000,1534241000,2069000,33392000,7429000,261000,43151000,-20605000,-25788000,-2050000,3146000,3156000,1096000,18459000,18459000,188000,18647000,54902000,1164407000,33839000,0.79555,0.17876,0.01719,-0.01827,0.00135,16.35524,1.02537,-14.55157,0.75895,0.02966,0.02774,1.72516,-1.62315,0.48515,0.0019,0.03105,18.86425,48.149
"14","2019_Q1",7.60344262295082,"Up",119502000,-91035000,-25284000,1144000,94218000,-77003000,-33697000,-37122000,17215000,-20412000,-3197000,-3197000,7400000,4203000,4203000,4203000,4203000,297532000,297532000,64387000,64387000,24403000,102618000,20259000,82359000,488940000,116288000,943033000,640537000,1059321000,1548261000,129238000,129238000,8200000,334198000,334198000,471636000,30504000,2637000,1185520000,1657156000,299024000,-176464000,-229457000,-1998000,-108895000,-108895000,1548261000,4203000,33697000,1007000,162997000,201904000,-24332000,-29588000,-2050000,15000,81000.0000000005,-2035000,170281000,170281000,-938000,169343000,50912000,1163216000,182177000,0.78842,0.14406,0.03517,-0.0386,0.00271,43.34452,1.03669,-15.21793,0.7513,0.05986,0.0569,1.7019,-1.55084,2.59449,0.00387,0.16793,17.00354,50.28661
"15","2019_Q2",10.8557142857143,"Up",123775000,123775000,-24638000,-24638000,99137000,-73265000,-31086000,-34648000,25872000,-20400000,5472000,5472000,388000,5860000,5860000,5860000,5860000,139857000,139857000,72333000,72333000,24797000,281581000,22293000,259288000,518568000,113067000,1000369000,673447000,1113436000,1632004000,152716000,152716000,8200000,354402000,354402000,515318000,58681000,31327000,1212488000,1727806000,305768000,-176479000,-223597000,-1494000,-95802000,-95802000,1632004000,5860000,31086000,8090000,-157224000,-112188000,-22161000,-47490000,-2050000,4671000,4686000,2621000,-157057000,-157057000,-343000,-157400000,56958000,1162007000,-122815000,0.80095,0.20902,0.04734,-0.06117,0.00359,-20.95819,1.00631,-18.03518,0.71201,0.08332,0.07787,1.75982,-1.3621,-1.74617,0.00521,-0.10918,17.94568,39.50796
"16","2019_Q3",10.2353125,"Down",129706000,129706000,-26040000,-26040000,103666000,-78787000,-32948000,-39167000,24879000,-20433000,4446000,4446000,1040000,5486000,5486000,5486000,5486000,123845000,123845000,71707000,71707000,28588000,268388000,24205000,244183000,492528000,111093000,992682000,673352000,1103775000,1596303000,146387000,146387000,8200000,331291000,331291000,485878000,55855000,29736000,1194862000,1680740000,312647000,-177444000,-218111000,-1529000,-84437000,-84437000,1596303000,5486000,32948000,33035000,-46938000,24531000,-23472000,-29791000,-15650000,3799000,4764000,-11851000,-17111000.0000001,-17111000.0000001,1057000,-16054000.0000001,57827000,1147207000,-13623000,0.79924,0.19181,0.0423,-0.06497,0.00344,-2.48323,1.01369,-19.90525,0.71866,0.07674,0.0693,1.81448,-1.1812,-0.19057,0.0049,-0.01218,17.69696,41.13357
"17","2019_Q4",11.408125,"Up",134569000,-47402000,-28278000,-665000,106291000,-78998000,-33171000,-37631000,27293000,-19297000,7996000,7996000,1319000,9315000,9315000,9315000,9315000,275706000,275706000,75123000,75123000,26449000,87062000,31027000,56035000,464340000,122095000,981137000,673582000,1103232000,1567572000,147376000,147376000,8200000,298490000,298490000,454066000,53654000,28959000,1185521000,1639587000,316453000,-177485000,-208796000,-2187000,-72015000,-72015000,1567572000,9315000,33171000,-11803000,177338000,208021000,-35953000,-41407000,-8e+06,1797000,1838000,-6203000,160411000,160411000,-2028000,158383000,60464000,1140067000,200530000,0.78986,0.20282,0.06922,-0.12935,0.00594,21.52764,1.02263,-22.7673,0.72728,0.1289,0.1177,1.86216,-0.99654,2.77493,0.0083,0.17877,14.29547,31.6697
"18","2020_Q1",10.1951612903226,"Down",145177000,77040000,-33430000,-20551000,111747000,-95774000,-34930000,-50738000,15973000,-17714000,-1741000,-1920000,-2224000,-4144000,-4144000,-4144000,-4144000,289870000,289870000,87910000,87910000,26574000,98178000,27896000,70282000,502532000,128869000,997822000,681635000,1126691000,1629223000,173103000,173103000,6203229.3840557,234087000,234087000,407190000,59967000,33566000,1168045000,1575235000,445271000,-177524000,-212940000,-819000,53988000,53988000,1629223000,-4144000,34930000,15447000,-81707000,-35474000.0000001,-32649000,-47649000,-3.3e+07,127813000,126792000,93046000,9923000,9923000,2577000,12500000,50903000,1108078000,-61229000,0.76973,0.11002,-0.02854,-0.07676,-0.00254,14.77534,1.23415,29.1775,0.68013,-0.05494,-0.0497,1.92489,0.71582,-0.81183,-0.00339,-0.0501,16.07387,51.22444
"19","2020_Q2",5.07904761904762,"Down",113308000,113308000,-19688000,-19688000,93620000,-83194000,-35567000,-39272000,10426000,-17499000,-7073000,-14451000,997000,-13454000,-13454000,-13454000,-13454000,49941000,49941000,80752544.4471943,80752544.4471943,39347000,97834000,26991000,70843000,187122000,127042000,982040000,681508000,1109082000,1296204000,159200000,159200000,3229429.16141825,11440000,11440000,170640000,39565000,14339000,1081215000,1251855000,451086000,-177566000,-226394000,-2777000,44349000,44349000,1296204000,-13454000,35567000,16965000,-169914000,-130836000,-22477000,-33062000,-68119000,1600000,1642000,-73010000,-236908000,-236908000,-2592000,-239500000,45993000,1041650000,-147395000,0.82624,0.09201,-0.11874,-0.30337,-0.01038,10.95548,1.09659,28.22736,0.80362,-0.15899,-0.15899,1.33896,0.52407,-1.74176,-0.01195,-0.13095,21.56217,95.11884
"20","2020_Q3",6.9403125,"Up",38716000,-35165000,-9057000,2111000,29659000,-82387000,-35589000,-41229000,-52728000,-19822000,-72550000,-72629000,4148000,-68481000,-68481000,-68481000,-68481000,257430000,257430000,70733000,70733000,33840000,53273000,19440000,33833000,415276000,112996000,955828000,681531000,1068824000,1484100000,147639000,147639000,1250000,158075000,158075000,306964000,34518000,13509000,1195898000,1502862000,456699000,-178113000,-294875000,-2473000,-18762000,-18762000,1484100000,-68481000,35589000,17121000,108197000,92425999.9999999,-7571000,-12861000,1.25e+08,-75999.9999999851,471000,120287000,199852000,199852000,860000,200712000,-17139000,1162630000,79339000,0.76607,-1.36192,-1.7688,3.64998,-0.04614,-1.15855,1.35285,-80.10138,0.78339,-0.8045,-0.8045,0.45483,-0.22041,0.93206,-0.05811,0.06733,-52.81522,-17.16735
"21","2020_Q4",10.86140625,"Up",112098000,57241000,-15543000,-9975000,96555000,-76817000,-34856000,-34927000,19738000,-18905000,833000,833000,-1711000,-878000,-878000,-878000,-878000,235407000,235407000,75997000,75997000,33779000,51394000,18268000,33126000,396577000,113812000,947815000,681943000,1061627000,1458204000,165217000,165217000,1250000,140229000,140229000,306696000,39727000,17114000,1166918000,1473614000,461078000,-178621000,-295753000,-2114000,-15410000,-15410000,1458204000,-878000,34856000,12345000,-9681000,36642000,-22239000,-24385000,-35313000,1985000,1396000,-34425000,-22168000,-22168000,362000,-21806000,54594000,1128441000,24385000,0.86134,0.17608,-0.00783,0.05698,-6e-04,-27.77335,1.29306,-95.62713,0.77386,-0.01026,-0.01026,1.31017,-0.18011,0.285,-0.00076,0.02115,16.35773,45.2444
"22","2021_Q1",14.2204918032787,"Up",119552000,64917000,-21548000,-13776000,98004000,-80855000,-36752000,-37118000,17149000,-18338000,-1189000.00000001,-1189000,2322000,1133000,1133000,1133000,1133000,251706000,251706000,74191000,74191000,27742000,7.8e+07,17348000,60652000,431639000,112323000,933217000,681974000,1045540000,1477179000,145029000,145029000,1250000,173211000,173211000,319490000,37584000,17628000,1165587000,1485077000,466726000,-178813000,-294620000,-1191000,-7898000,-7898000,1477179000,1133000,36752000,8471000,-8409000,37947000,-23746000,-23810000,-312000.00000003,2717000,2717000,2213999.99999997,16351000,16351000,-17999.9999999999,16333000,53901000,1129253000,19424000,0.81976,0.14344,0.00947999999999994,-0.14345,0.000770000000000003,17.14387,1.35103,-188.03203,0.76447,0.01314,0.01314,1.38675,-0.09161,0.22531,0.000979999999999998,0.01676,16.28072,51.17191
"23","2021_Q2",18.8792063492063,"Up",139113000,76151000,-21571000,-15066000,117542000,-77348000,-30892000,-38043000,40194000,-18471000,21723000,21723000,-1189000,20534000,20534000,20534000,20534000,335133000,335133000,80235000,80235000,29729000,65687000,19865000,45822000,510784000,109909000,919121000,681981000,1029030000,1539814000,157029000,157029000,1250000,198316000,198316000,356595000,36872000,16096000,1165687000,1522282000,472015000,-178985000,-274086000,-1412000,17532000,17532000,1539814000,20534000,30892000,11720000,48460000,111606000,-19955000,-29955000,-313000,2285000,2285000,1799000,83450000,83450000,-120000,83330000,71086000,1130065000,100780000,0.84494,0.28893,0.14761,1.17123,0.01334,4.90796,1.43239,86.82877,0.7339,0.23607,0.2096,1.59929,0.20155,1.1586,0.01734,0.08508,11.18268,19.77738
"24","2021_Q3",22.836875,"Up",172582000,99337000,-30949000,-32288000,141633000,-87244000,-30300000,-48178000,54389000,-17760000,36629000,36629000,-414999.999999999,36214000,36214000,36214000,36214000,340361000,340361000,95705000,95705000,31373000,75015000,24904000,50111000,542454000,113256000,909805000,681992000,1023061000,1565515000,146786000,146786000,1250000,193893000,193893000,341929000,36459000,15607000,1166086000,1508015000,483878000,-187422000,-237872000,-1084000,57500000,57500000,1565515000,36214000,30300000,13511000,-28113000,51912000,-29260000,-34260000,-312000,6418000,6418000,-12208000,5444000,5444000,187000,5631000,84689000,1130877000,27731000,0.82067,0.31515,0.20984,0.62981,0.02313,0.765750000000001,1.58645,26.22635,0.72237,0.41633,0.36965,1.98407,0.66104,0.31881,0.02957,0.02264,9.33434,14.53448
"25","2021_Q4",22.784375,"Down",168302000,105319514.271382,-27451000,-33824954.5494491,140851000,-85778000,-29059000,-47121000,55073000,-14257000,40816000,6427000,319000,6746000,6746000,6746000,6746000,215551000,215551000,95200000,95200000,31690000,75814000,25218000,50596000,418255000,114943000,932845000,681975000,1047788000,1466043000,199254000,199254000,6e+06,177582000,177582000,382836000,34032000,14250000,1010439000,1393275000,493138000,-187718000,-231126000,-1526000,72768000,72768000,1466043000,6746000,29059000,43713000,464000,79982000,-23858000,-23858000,-144631000,5309000,5309000,-180244000,-124120000,-124120000,-304000,-124424000,84132000,982407000,60419000,0.83689,0.32723,0.04008,0.09271,0.0046,8.95627,1.09252,19.14681,0.67011,0.07606,0.06774,1.89769,0.82049,0.68125,0.00619,0.05547,9.11491,13.92435
"26","2022_Q1",21.2956451612903,"Down",180388000,100425154.536334,-35478000,-24600680.1678313,144910000,-97055000,-29223000,-55558000,47855000,-11609000,36246000,36246000,53185000,89431000,89431000,89431000,89431000,302009000,302009000,104822000,104822000,29233000,116574000,27299000,89275000,552638000,119993000,963019000,682663000,1083012000,1635650000,173933000,173933000,6e+06,291861000,291861000,471794000,13831000,13831000,989356000,1461150000,505874000,-188164000,-141755000,-1455000,174500000,174500000,1635650000,89431000,29223000,-36550000,66026000,148130000,-31374000,-63839000,-1499999.99999997,4239000,4239000,2293999.99999997,86585000,86585000,255000,86840000,77078000,981525000,58545000,0.80332,0.26529,0.49577,0.5125,0.05468,0.65464,1.17135,8.37335,0.60008,0.93877,0.83821,1.89356,1.83175,0.61456,0.07645,0.05004,8.81595,14.19948
"27","2022_Q2",17.5953225806452,"Down",175616000,98336000,-31828000,-22777000,143788000,-91197000,-28853000,-49825000,52591000,-11348000,41243000,41243000,-9721000,31522000,31522000,31522000,31522000,269400000,269400000,113087000,113087000,45699000,88204000,27856000,60348000,516390000,119295000,980337000,695436000,1099632000,1616022000,192554000,192554000,6e+06,208491000,208491000,407045000,22623000,22623000,997265000,1404310000,511384000,-188564000,-110233000,-875000,211712000,211712000,1616022000,31522000,28853000,20394000,-75495000,5274000,-23582000,-36900000,-1500000,699000,699000,-1201000,-32827000,-32827000,136000,-32691000,81444000,980642000,-7912000,0.81876,0.29947,0.17949,0.14889,0.01951,-0.251,1.26863,6.63311,0.60682,0.34561,0.30879,1.92549,2.32125,-0.08675,0.02594,-0.00651,8.7329,13.52403
"28","2022_Q3",18.41453125,"Up",197222000,112347000,-43234000,-45819000,153988000,-99439000,-30324000,-55051000,54549000,-12294000,42255000,42255000,-9734000,32521000,32521000,32521000,32521000,238106000,238106000,108726000,108726000,49163000,98090000,38895000,59195000,494085000,127131000,1002787000,707258000,1129918000,1624003000,208200000,208200000,6e+06,204199000,204199000,418399000,29215000,29215000,1002975000,1421374000,516904000,-233082000,-77712000,-3481000,202629000,202629000,1624003000,32521000,30324000,22078000,-15962000,68961000,-36395000,-56874000,-1500000,-30278000,20000,-42960000,-30873000,-30873000,-586000,-31459000,84873000,979760000,42250000,0.78079,0.27659,0.1649,0.1605,0.02003,1.29916,1.18089,7.01466,0.6033,0.35657,0.31858,2.16238,2.22166,0.46324,0.02684,0.03487,8.7384,13.59611
