"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",171.852380952381,"Up",75586000,-13368000,62218000,-21809000,-21809000,40409000,-8691000,-8826000,-12471000,3645000,-6e+05,31718000,-273000,31445000,-10574000,20871000,20871000,20860000,20860000,-1250245923.28567,-1250245923.28567,-24803672434.4803,-24803672434.4803,-25952171390.7764,-287291803.771495,-907723454.181147,-613622218.11653,-1287927535.9806,-27240098926.757,-25044740907.6071,-25044740907.6071,-28326042265.7913,-28326042265.7797,676017332.799419,509596864.896108,-100552030.02917,1085615540.5599,1085943339.0227,-27240098926.757,0,0.82314,0.53461,0.27598,-0.0620262478616621,0.0642906051429409,6.80302705635297,-28.9952463892576,-0.00445633178367566,3.12819,2.914,11.33497,146.539570386257,0.0148957756826743,-22.8357559536364
"2","2010_Q3",145.10859375,"Down",75953000,-15547000,60406000,-29111000,-29111000,31295000,-15274000,-11459000,-13359000,1900000,-4158000,16021000,-2759000,13262000,2777000,16039000,16039000,16038000,16038000,-462869461.642833,-462869461.642833,-8451901717.24014,-8451901717.24014,-8863897695.38818,-116228901.885747,-162572227.090574,-131599109.058265,-310756267.9903,-9174653963.37848,-9183284953.80357,-9183284953.80357,-10154258132.8957,-10154258132.8898,573161666.39971,456035432.448054,-50136515.0145851,979337270.279952,979604169.51135,-9174653963.37848,0,0.79531,0.41203,0.21116,-0.033833123930831,0.0231853025714704,3.48940352817649,-10.2797281946288,0.121591834108162,2.40044,2.23201,11.36805,138.619640193129,-0.00272211215866285,-2.68968797681821
"3","2010_Q4",137.0578125,"Down",95569000,-45593000,49976000,-47781000,-47781000,2195000,-19355000,-21225000,-24187000,2962000,1604000,-17160000,5214000,-11946000,7487000,-4459000,-8842000,-8835000,-8835000,-36522487.2142775,-36522487.2142775,-213279239.080045,-213279239.080045,-232843898.462725,-26805633.9619158,202906257.636475,98580963.647245,176399244.003233,-56444654.4594917,-1068254651.26786,-1068254651.26786,-976657044.298558,-976657044.296609,503447555.46657,438139810.816018,-21713505.0048617,919966090.093317,920212389.837117,-56444654.4594917,0,0.52293,0.02297,-0.09245,-0.00886437464361035,0.00557510085715681,1.8186678427255,-0.82771273154293,0.146387278036054,-1.32023,-1.32023,14.28107,134.778630064376,-0.00231070405288762,4.6157173410606
"4","2011_Q1",156.585483870968,"Up",113273000,-19987000,93286000,-43278000,-43278000,50008000,-27600000,-33554000,-35906000,2352000,5927000,22408000,-7249000,15159000,-5235000,9924000,9924000,9921000,9921000,127796000,127796000,2466258000,2466258000,2594054000,5475000,309808000,158282000,327355000,2921409000,1687965000,1687965000,2016592000,2016592000,468507000,445456000,-9392000,904571000,904817000,2921409000,328627000,0.82355,0.44148,0.08758,0.01096,0.0034,1.28636,2.22873,0.11249,1.47827,1.29848,16.8782,134.78523,0.00804,4.01598
"5","2011_Q2",176.047619047619,"Up",111006000,-16709000,94297000,-24490000,-24490000,69807000,-34414000,-35374000,-37543000,2169000,830000,35393000,-904000,34489000,-12425000,22064000,22064000,22074000,22074000,129087000,129087000,2140773000,2140773000,2269860000,5110000,279229000,128868000,295927000,2565787000,1472989000,1472989000,1635320000,1635320000,469972000,467530000,-7281000,930221000,930467000,2565787000,160264000,0.84948,0.62886,0.19885,0.02372,0.0086,1.38802,1.75753,0.06246,3.2844,3.07062,16.51665,138.40813,0.02024,0.44662
"6","2011_Q3",194.2453125,"Up",105837000,-16554000,89283000,-25700000,-25700000,63583000,-20931000,-19524000,-21813000,2289000,-727000,42652000,-1616000,41036000,-14653000,26383000,26383000,26378000,26378000,104167000,104167000,1904598000,1904598000,2008765000,4578000,262795000,110899000,279984000,2288749000,1206846000,1206846000,1332923000,1332923000,470550000,493908000,-8883000,955575000,955826000,2288749000,124012000,0.84359,0.60076,0.24923,0.0276,0.01153,1.50704,1.39452,0.05418,3.91776,3.65803,15.71932,141.92569,0.02443,0.31211
"7","2011_Q4",204.183333333333,"Up",122462000,-31036000,91426000,-34614000,-34614000,56812000,-26850000,-25472000,-27658000,2186000,-1238000,29962000,-1011000,28951000,-8730000,20221000,20221000,20228000,20228000,152037000,152037000,4311796000,4311796000,4463833000,28376000,381602000,185739000,433342000,4897175000,3277151000,3277151000,3919232000,3919232000,471873000,514136000,-8307000,977702000,977943000,4897175000,637664000,0.74657,0.46392,0.16518,0.02068,0.00413,1.13896,4.00763,0.13021,3.00216,2.80095,18.17532,145.1066,0.01252,8.54797
"8","2012_Q1",229.432258064516,"Up",156586000,-43762000,112824000,-46682000,-46682000,66142000,-54805000,-43524000,-45756000,2232000,-11971000,11337000,7182000,18519000,-8864000,9655000,9655000,9651000,9651000,144234000,144234000,4108915000,4108915000,4369016000,7350000,351658000,173450000,359008000,4728024000,2761790000,2761790000,3384713000,3384713000,827420000,523787000,-7896000,1343311000,1343311000,4728024000,622923000,0.72052,0.4224,0.06163,0.00718,0.00204,1.29081,2.51968,0.13175,1.25486,1.17386,20.35995,174.66278,0.00491,7.23729
"9","2012_Q2",238.692857142857,"Up",164546000,-34070000,130476000,-52057000,-52057000,78419000,-48300000,-44612000,-46924000,2312000,-3688000,30119000,7123746.77665874,30119000,-10770000,19349000,19349000,19349000,19349000,683946000,683946000,3418721000,3418721000,4102667000,17178000,352751000,167943000,391844000,4494511000,2491761000,2491761000,3068498000,3068498000,887699000,543136000,-4822000,1426013000,1426013000,4494511000,576737000,0.79295,0.47658,0.11759,0.01357,0.00431,1.33703,2.1518,0.12832,2.22037,2.1014,18.88224,163.64004,0.00966,-1.36713
"10","2012_Q3",350.154761904762,"Up",211367000,-35867000,175500000,-50023000,-50023000,125477000,-55313000,-56281000,-58319000,2038000,968000,70164000,1530804.68206953,70164000,-25331000,44833000,44833000,44833000,44833000,128108000,128108000,4847159000,4847159000,4975267000,22133000,357029000,171315000,399595000,5374862000,3311632000,3311632000,3905289000,3905289000,888428000,587969000,-6824000,1469573000,1469573000,5374862000,593657000,0.83031,0.59365,0.21211,0.03051,0.00834,1.27398,2.65743,0.11045,4.98427,4.86524,23.49853,163.37843,0.02173,3.71023
