"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",2.29555555555556,"Up",10632,-8704,-8704,1928,-1692,-835,-842,236,-10,-10,226,226,-81,145,129,129,129,-5437.8592476819,-5437.8592476819,21677.5536496988,21677.5536496988,3445.10289283105,-1194.56309482404,23817.2570916882,41401.4312401221,12946.8145813842,8225.483085653,54348.2458215063,78165.5029131945,17870.7932853617,19755.0738478664,-1884.2805625047,-341.917615541198,-341.917615541646,25529.8925988933,24764.8635057116,21500.6221128266,24764.8634795693,50294.7560784626,55260.5750933523,-134351.350677531,106961.522416597,27870.746832418,27870.746832418,78165.5029108806,129,428,44,-297,304,-545,-545,273,32,32,32,664,0,0.18134,0.0222,0.01213,0.975998504480896,0.333173406600812,-4.13052900414849,4.2734770885862,0.416056924052739,2e-05,2e-05,0.00133,0.00372494150839153,0.47748924028333,29.598961458078,58.9031919921105
"2","2011_Q3",2.96859375,"Up",10355,-8473,-8473,1882,-1257,-920,-297,625,-18,-18,607,607,-213,394,379,379,379,-1376.92962384095,-1376.92962384095,12158.7768248494,12158.7768248494,1938.55144641553,-457.78154741202,16013.6285458441,21186.7156200611,6734.40729069209,3936.7415428265,27921.1229107531,43934.7514565973,10760.3966426809,10341.0369239332,419.359718747652,99.0411922294008,99.041192229177,14717.4462994466,12320.9317528558,10476.8110564133,12320.9317397847,27038.3780392313,32154.2875466761,-79493.6753387656,64235.7612082985,16896.373416209,16896.373416209,43934.7514554403,379,118,-21,-517,-41.0000000000002,-768,-768,342,-467,-467,-467,743,2.8421709430404e-14,0.18175,0.06036,0.0366,0.595799252240448,0.226721703300406,-1.00439450207424,2.4584185442931,0.196808462026369,5e-05,5e-05,0.00129,0.00221747075419577,0.327929620141665,12.424330729039,25.7182809960553
"3","2011_Q4",5.01730158730159,"Up",10721,-8677,-8677,2044,-1305,-822,-468,739,-21,-21,718,718,-260,458,442,442,442,476.023458719684,476.023458719684,6056.59227494979,6056.59227494979,1081.18381547184,-19.5938491373399,10025.876181948,8829.90520668702,2981.13576356403,1488.91384760883,11811.040970251,21836.9171521991,6072.79888089362,4693.6789746444,1379.11990624922,221.013730743134,221.013730743059,7698.81543314888,4657.64391761861,3708.27035213777,4657.64391326156,12356.4593464104,16799.095848892,-42921.8917795885,35603.2537360995,9480.457805403,9480.457805403,21836.9171518134,442,143,309,-263,631,-207,-207,-46,378,378,378,882,0,0.19065,0.06893,0.04123,0.272566417413483,0.115277234433469,0.791598499308585,1.39934618143103,0.0767961540087898,6e-05,6e-05,0.00134,0.00121582358473192,0.169363206713888,3.05308690967966,6.98930366535175
"4","2012_Q1",5.04951612903226,"Up",11328,-9167,-9167,2161,-1356,-795,-546,805,-16,-16,789,489,-67,422,407,407,407,949,949,3128,3128,785,232,6691,3196,1265,443,4461,11152,3660,2103,1557,202,202,4195,1116,591,1116,5311,9160,-24636,21317,5841,5841,11152,407,162,65,40,674,-345,-345,-84,245,245,245,967,333,0.19077,0.07106,0.03593,0.06968,0.0365,1.59499,0.90926,0.02986,5e-05,5e-05,0.00141,0.00073,0.05583,-0.63702,-0.76522
"5","2012_Q2",3.20634920634921,"Down",11147,-9250,-9250,1897,-1374,-895,-464,523,-16,-16,507,507,-178,329,313,313,313,870,870,3130,3130,962,409,6846,3150,1164,360,4314,11160,3374,1859,1515,220,220,3927,1037,521,1037,4964,9202,-24636,21630,6196,6196,11160,313,176,75,-445,119,-115,-115,-83,-79,-79,-79,699,333,0.17018,0.04692,0.02808,0.05052,0.02805,1.74332,0.80116,0.02984,4e-05,4e-05,0.00139,0.00077,0.04137,-0.76824,-1.02677
"6","2012_Q3",2.93730158730159,"Down",10336,-8611,-8611,1725,-1598,-898,-685,127,-17,-17,110,110,-39,70.9999999999999,56.0000000000001,56.0000000000001,56.0000000000001,509,509,3280,3280,1056,403,6569,4059,1308,525,5367,11936,3357,2095,1262,157,157,4094,1536,930,1536,5630,9256,-24636,21686,6306,6306,11936,56.0000000000001,213,67,-270,66.0000000000002,-1107,-1107,680,-361,-361,-361,340,580,0.16689,0.01229,0.00542,0.00888,0.00469,1.60454,0.8928,0.04859,1e-05,1e-05,0.00129,0.00079,0.00665,0.20882,0.55906
"7","2012_Q4",3.03758064516129,"Up",10646,-8863,-8863,1783,-1644,-947,-662,139,-38,-38,101,101,-35,66,52,52,52,694,694,3335,3335,979,326,6697,4788,1275,499,6063,12760,3461,2101,1360,191,191,4417,1954,1214,1954,6371,9287,-24636,21738,6389,6389,12760,52,274,73,300,699,-986,-986,472,185,185,185,413,765,0.16748,0.01306,0.00488,0.00814000000000004,0.00407999999999997,1.51619,0.99718,0.05995,1e-05,1e-05,0.00133,8e-04,0.00570999999999995,0.17191,0.510790000000001
"8","2013_Q1",3.568,"Up",10872,-9103.99999999994,-9103.99999999994,1768.00000000001,-1645.00000000001,-1088.99999999999,-525.999999999996,123.000000000001,-39.0000000000005,-39.0000000000005,84.0000000000018,83.9999999999991,-167,-83,-98.9999999999991,-98.9999999999991,-98.9999999999991,590,590,3098,3098,687,256,6227,4794,1477,399,6271,12498,3318,1562,1756,200,200,4283,1907,1083,1907,6190,9305,-24636,21639,6308,6308,12498,-98.9999999999991,283.000000000002,80.0000000000001,24,287.999999999996,-274,-273.999999999996,-118,-103.999999999999,-103.999999999999,-103.999999999999,406,765,0.16262,0.01131,-0.00911,-0.01569,-0.00792,1.45389,0.98129,0.06121,-1.00000000000002e-05,-9.99999999999983e-06,0.00135999999999999,0.00079,-0.01102,0.43103,1.42276
"9","2013_Q2",5.7203125,"Up",10438,-8792,-8792,1646,-1630,-1005,-580,16,-104,-104,-88,-88,45,-43,-58,-58,-58,1157,1157,2878.00000000001,2878.00000000001,825,394,6639.99999999999,4907.00000000001,1566,271,6473,13113,3279.99999999999,1447,1833,142.999999999999,143,3888.00000000001,2930.00000000001,1941.00000000001,2930,6818,9350,-24636,21581.0000000001,6294.99999999999,6294.99999999999,13113,-58,291,46,124,403,-394,-394,558,567,567,567,307,465,0.15769,0.00153,-0.00556,-0.00921000000000018,-0.00442000000000016,1.70782,1.08308,0.03546,-1e-05,-1e-05,0.0013,0.00078,-0.00598999999999991,-2.25407,-43.25
"10","2013_Q3",6.9015625,"Up",10548,-8875.00000000093,-8875.00000000093,1673,-1848.99999999977,-1152.99999999988,-651.000000000116,-176.000000000015,-35.0000000000073,-35.0000000000073,-210.999999999971,-211,103,-108.000000000015,-120.000000000015,-120.000000000015,-120.000000000015,534,534,3303,3303,865,436,6233,5520,1401,331,6921,13154,3278,1422,1856,128,128,3962,2972,2312,2972,6934,9395,-24636,21461,6220,6220,13154,-120.000000000015,336.000000000029,-93,-291,-168.000000000029,-930.000000000058,-930,475.000000000029,-623,-623,-623,160.000000000029,555.999999999993,0.15861,-0.01669,-0.01138,-0.01929,-0.00912,1.5732,1.11479,0.04227,-1e-05,-1e-05,0.00132000000000002,0.00078,-0.01231,0.1375,-0.125
