"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.57328125,"Up",32604000,-4815000,27789000,-6186000,-949000,-4542000,21603000,-301000,26000,-327000,21302000,21302000,-7369000,13933000,13933000,12451000,12451000,-16994584.2590802,-16994584.2590802,24309959.0295715,7309828.27476467,15119104.1357621,-7809275.85804348,33787909.1025675,137034317.710039,38608267.0623033,37259267.0619323,175642584.772342,209430493.87491,45146570.1812156,45146572.0313378,44371003.0280653,15398296.9160223,15398296.9160223,15398299.9484183,59769302.9764836,70693354.417811,-28518670.0325711,106444254.975913,148618939.361153,149661190.899383,209430493.875867,13933000,4542000,902000,574000,19951000,-6519000,-6523000,-2996000,10432000,10432000,10432000,26145000,0,27569000,0.85232,0.66259,0.38189,-0.165571476501145,-0.146280764655724,2.2142,-5.3130919244735,0.337483440908478,7.35569058005196e-09,0.22063,0.21724,0.57774,2.66891838600153,0.48852,-0.154427488886755,-1.55233660382856,-15.5695996530013,-22.1670640063073
"2","2011_Q1",7.31129032258065,"Up",38187000,-6231000,31956000,-13408000,-1548000,-7161000,18548000,-11000.0000000001,62000,-73000,18537000,18537000,-8421000,10116000,10116000,8885000,8885000,81234000,81234000,1049000,43006000,1482000,41524000,139357000,96820000,2223000,874000,99043000,238400000,26702000,26702000,26702000,15455000,15455000,15455000,42157000,70596000,-25665000,146594000,191525000,196243000,238400000,10116000,7161000,2701000,-9395000,10583000,-20071000,-19460000,-1112000,-9989000,-9989000,-9989000,25709000,0,4664000.00000001,0.83683,0.48572,0.23267,0.04528,0.03727,0.524929999999999,5.21897,0.21482,0,0.15704,0.15484,0.67493,3.38508,0.08243,0.04197,0.02203,-3.15975,-4.37966
"3","2011_Q2",6.4652380952381,"Down",46772000,-5233000,41539000,-10197000,-2980000,-6098000,31342000,-158000,36000,-194000,31184000,31184000,-18288000,12896000,12896000,11239000,11239000,115355778.08636,115355778.08636,-3657403.00985716,47588640.5750784,-1003201.37858738,48591841.9526812,171205696.965811,86887227.4299869,-5730005.68743443,-7079005.68731076,81157221.7425525,252362918.708363,19381559.9395948,19381559.3228874,19536832.3239782,16041984.3613259,16041984.3613259,16041983.3505272,35578815.6745055,71767048.5273963,-25136276.6558096,164552831.674696,211183603.546282,216784103.033539,252362918.708044,12896000,6098000,1370000,-6569000,13795000,-5475000,-1929000,-491000,11375000,11375000,11375000,37440000,0,43684000,0.88812,0.6701,0.24029,0.0931854921670485,0.0796785882185747,3.88682,8.85186814149116,0.165687186363841,-2.45189686001732e-09,0.19728,0.19292,0.82098,3.71075553799949,0.76678,0.0866341629622518,0.48917553460952,-0.18605428233291,0.0880046687690923
"4","2011_Q3",6.0034375,"Down",58547000,-5807000,52740000,-10229000,-2495000,-6545000,42511000,639000,47000,592000,43150000,43150000,-29641000,13509000,13509000,11786000,11786000,114467000,114467000,1363000,35290000,2363000,32927000,162170000,94166000,2223000,874000,96389000,258559000,19597000,19597000,19597000,16822000,16822000,16822000,36419000,73285000,-25665000,169619000,217239000,222140000,258559000,13509000,6545000,263000,6949000,27266000,-5850000,-5507000,99000,21858000,21858000,21858000,49056000,5.55111512312578e-17,79796000,0.90081,0.7261,0.20131,0.05306,0.04558,6.77041,8.27525,0.16395,0,0.20667,0.20332,1.02665,3.80941,1.39927,0.04932,0.33393,-2.33339,-2.69264
"5","2011_Q4",5.89936507936508,"Down",37350000,-4473000,32877000,-13058000,-2580000,-5153000,19819000,753000,53000,7e+05,20572000,20572000,-17117000,3455000,3455000,2399000,2399000,112575000,112575000,5677000,19490000,5054000,14436000,148886000,102500000,12244000,10895000,114744000,263630000,22408000,22408000,22408000,17175000,17175000,17175000,39583000,73735000,-25665000,172018000,220088000,224047000,263630000,3455000,5153000,4199000,474000,13281000,-11638000,-11607000,-3566000,-1892000,-1892000,-1892000,24972000,0,30925000,0.88024,0.53063,0.06423,0.01071,0.0091,12.89079,6.64432,0.17667,0,0.04204,0.04154,0.65445,3.85639,0.54187,0.00995,0.1282,-4.50805,-5.68016
"6","2012_Q1",7.25661290322581,"Up",67767000,-11218000,56549000,-12685000,-2362000,-7800000,43864000,235000,48000,187000,44099000,39124000,-28422000,10702000,10702000,8721000,8721000,137139000,137139000,992000,14705000,2178000,12527000,162923000,99848000,12244000,10895000,112092000,275015000,24677000,24677000,25090000,16858000,16858000,16858000,41948000,72360000,-23975000,180739000,229124000,233067000,275015000,10702000,7800000,5893000,10844000,35239000,-9006000,-9329000,-1346000,24564000,24564000,24564000,51664000,8.88178419700125e-16,81924000,0.83446,0.64728,0.12869,0.03742,0.03171,9.39388,6.49354,0.17998,3.30872245021211e-24,0.15268,0.15059,1.18637,4.0112,1.43422,0.03489,0.32779,-2.65444,-3.12646
"7","2012_Q2",8.25412698412698,"Up",45286000,-5526000,39760000,-9654000,-3483000,-5003000,30106000,241000,41000,2e+05,30347000,30347000,-19820000,10527000,10527000,9018000,9018000,140329000,140329000,2292000,27986000,4966000,23020000,171250000,111434000,12244000,10895000,123678000,294928000,33461000,33461000,33461000,17204000,17204000,17204000,50665000,74628000,-23975000,189757000,240410000,244263000,294928000,10527000,5003000,1525000,-1894000,15161000,-10739000,-10372000,-1599000,3190000,3190000,3190000,35109000,0,42296000,0.87798,0.6648,0.19913,0.03692,0.03058,4.69018,5.1179,0.20742,0,0.15767,0.15466,0.79178,4.20334,0.7395,0.03449,0.16176,-3.99695,-4.66116
"8","2012_Q3",7.91968253968254,"Down",58818000,-6537000,52281000,-13648000,-3038000,-6851000,38633000,415000,32000,383000,39048000,39048000,-26729000,12319000,12319000,10426000,10426000,137796000,137796000,1794000,12183000,3754000,8429000,171764000,106118000,12244000,10895000,118362000,290126000,20794000,20794000,20794000,11943000,11943000,11943000,32737000,77433000,-23975000,200183000,253641000,257389000,290126000,12319000,6851000,3264000,-9577000,12857000,-16482000,-16761000,1371000,-2533000,-2533000,-2533000,45484000,1.4210854715202e-14,46154000,0.88886,0.65682,0.17726,0.04051,0.03594,4.42682,8.26027,0.12719,0,0.18039,0.17643,1.01766,4.38844,0.79855,0.03871,0.17136,-3.02955,-3.5668
"9","2012_Q4",8.00354838709677,"Up",37630000,-5941000,31689000,-8475000,-2546000,-4861000,23214000,9000,36000,-27000,23223000,15603000,-14191000,1412000,1412000,106000,106000,136264000,136264000,2744000,17838000,5007000,12831000,168593000,114311000,12244000,10895000,126555000,295148000,25511000,25511000,25511000,12483000,12483000,12483000,37994000,77784000,-23975000,200289000,254098000,257154000,295148000,1412000,4861000,8340000,2172000,16785000,-16286000,-16319000,-1998000,-1532000,-1532000,-1532000,28075000,0,28152000,0.84212,0.6169,0.00282,0.00041,0.00036,265.58491,6.60864,0.14775,0,0.00183,0.0018,0.65052,4.39268,0.48667,0.00039,0.10441,-4.85357,-5.86991
"10","2013_Q1",8.214,"Up",53553000,-8720000,44833000,-42573000,-2712000,-3198000,2260000,-106000,36000,-142000,2154000,2154000,-21073000,-18919000,-18919000,-18919000,-18919000,130800000,130800000,1020000,9344000,2935000,6409000,149125000,106608000,12223000,10874000,118831000,267956000,30326000,30326000,45063000,10368000,10368000,10368000,55431000,55130000,-23975000,181370000,212525000,212525000,267956000,-18919000,3198000,35562000,29314000,49155000,-28408000,-28385000,-26234000,-5464000,-5464000,-5464000,5458000,-2.27373675443232e-13,27437000,0.83717,0.0422,-0.35328,-0.08902,-0.0706,-1.45023999999989,3.30926,0.26082,0,-0.32701,-0.32077,0.92564,3.6734,0.47424,-0.08488,0.12309,-23.96482,-57.87611
