"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",6.50761904761905,"Down",1.96e+09,-6.63e+08,1.297e+09,-1.009e+09,-6.28e+08,-2.53e+08,-1.28e+08,2.88e+08,-1.4e+08,-9.3e+07,-4.7e+07,1.48e+08,-1.723e+09,-1.575e+09,-1.4e+07,-1.589e+09,-1.589e+09,-1.589e+09,-1.589e+09,5.19e+08,5.19e+08,1.301e+09,1.301e+09,9.06e+08,1.021e+09,5.01e+08,3.747e+09,1.712e+09,1.7394e+10,1.0555e+10,6.542e+09,2.97e+08,1.9106e+10,2.2853e+10,2.517e+09,2.32e+08,2.285e+09,2.5e+08,1.46e+08,1.46e+08,2.913e+09,5.671e+09,3.488e+09,1.97e+09,1.518e+09,9.159e+09,1.2072e+10,1.6145e+10,1.5e+07,1.613e+10,-5.346e+09,-1.8e+07,1.0781e+10,1.0781e+10,2.2853e+10,-2.84e+08,-7e+07,-7e+07,-7e+07,-370281393.107614,-4e+06,-7.4e+07,0,1.4e+07,1.4e+07,-1956924491.35279,1.4e+07,-3.44e+08,-3.44e+08,-1e+06,-3.45e+08,5.921e+09,0.66173,0.14694,-0.81071,-0.14739,-0.06953,1.2863,1.11975,0.25909,-1.04919,-1.04919,1.29416,7.11852,-28.7844329097995,-0.0787,18.75694
"2","2010_Q3",5.7428125,"Down",1.928e+09,-6.53e+08,1.275e+09,-9.9e+08,-6.34e+08,-2.32e+08,-1.24e+08,2.85e+08,-1.68e+08,-1.02e+08,-6.6e+07,1.17e+08,2999999.99999976,1.2e+08,-2.2e+07,97999999.9999995,97999999.9999995,97999999.9999995,97999999.9999995,8.11e+08,8.11e+08,1.315e+09,1.315e+09,8.85e+08,9.76e+08,4.26e+08,3.987e+09,1.708e+09,1.7324e+10,1.0582e+10,6.416e+09,3.26e+08,1.9032e+10,2.3019e+10,2.505e+09,1.8e+08,2.325e+09,8.5e+08,3.68e+08,3.68e+08,3.723e+09,5.183e+09,3.22e+09,1.982e+09,1.238e+09,8.403e+09,1.2126e+10,1.6178e+10,1.5e+07,1.6163e+10,-5.248e+09,-3.7e+07,1.0893e+10,1.0893e+10,2.3019e+10,2.86e+08,-6.1e+07,-6.1e+07,-6.1e+07,0,1e+06,-6e+07,7.3e+07,0,7.45058059692383e-09,-4e+06,6.9e+07,2.95e+08,2.95e+08,-3e+06,2.92e+08,6.033e+09,0.66131,0.14782,0.0508300000000002,0.00900000000000001,0.00426000000000001,1.07091,1.11319,0.26209,0.0646100000000003,0.0642500000000001,1.27118,7.18204,-9.41836421855972,0.00486000000000002,18.32281
"3","2010_Q4",6.704375,"Up",1.916e+09,-6.23e+08,1.293e+09,-9.93e+08,-6.35e+08,-2.29e+08,-1.29e+08,3e+08,-1.27e+08,-9.1e+07,-3.6e+07,1.73e+08,-1e+07,1.63e+08,2.7e+07,1.9e+08,1.9e+08,1.9e+08,1.9e+08,6.24e+08,6.24e+08,1.317e+09,1.317e+09,9.23e+08,6.92e+08,2.12e+08,3.556e+09,1.712e+09,1.7218e+10,1.0592e+10,6.291e+09,3.35e+08,1.893e+10,2.2486e+10,1.799e+09,1.95e+08,1.604e+09,9.04e+08,2.52e+08,2.52e+08,2.955e+09,5.133e+09,3.36e+09,1.924e+09,1.436e+09,8.493e+09,1.1448e+10,1.6213e+10,1.5e+07,1.6198e+10,-5.058e+09,-1.17e+08,1.1038e+10,1.1038e+10,2.2486e+10,-1.26e+08,-7.8e+07,-7.8e+07,-7.8e+07,0,-1e+06,-7.9e+07,0,1.4e+07,1.4e+07,0,1.4e+07,-1.91e+08,-1.91e+08,4e+06,-1.87e+08,6.037e+09,0.67484,0.15658,0.09916,0.01721,0.00845,1.20338,1.03714,0.26848,0.12502,0.12573,1.26069,7.2628,1.8431134180401,0.0093,18.04333
"4","2011_Q1",7.23096774193548,"Up",2.002e+09,-6.6e+08,1.342e+09,-1.04e+09,-6.83e+08,-2.25e+08,-1.32e+08,3.02e+08,-1.57e+08,-1.07e+08,-5e+07,1.45e+08,8.4e+07,2.29e+08,7e+06,2.36e+08,2.36e+08,2.36e+08,2.36e+08,2.13e+08,2.13e+08,1.32e+09,1.32e+09,8.94e+08,1.188e+09,1.83e+08,3.615e+09,1.697e+09,1.6816e+10,1.0186e+10,6.343e+09,2.87e+08,1.8513e+10,2.2128e+10,1.81e+09,1.84e+08,1.626e+09,5.04e+08,2.95e+08,2.95e+08,2.609e+09,4.934e+09,3.289e+09,1.644e+09,1.645e+09,8.223e+09,1.0832e+10,1.6247e+10,1.5e+07,1.6232e+10,-4.822e+09,-1.29e+08,1.1296e+10,1.1296e+10,2.2128e+10,4.49e+08,-5.8e+07,-6.3e+07,-6.3e+07,-1.99e+08,2e+06,-2.55e+08,-6e+08,3e+06,3e+06,-8e+06,-6.05e+08,-4.11e+08,-4.11e+08,0,-4.11e+08,5.438e+09,0.67033,0.15085,0.11788,0.02089,0.01067,1.38559,0.95892,0.24575,0.15524,0.15524,1.31693,7.4306,7,0.01179,17.30132
"5","2011_Q2",7.06222222222222,"Down",1.925e+09,-6.31e+08,1.294e+09,-9.4e+08,-5.96e+08,-2.12e+08,-1.32e+08,3.54e+08,-1e+08,-7.5e+07,-2.5e+07,2.54e+08,1.9e+07,2.73e+08,-2.27e+08,4.6e+07,4.6e+07,4.6e+07,4.6e+07,5.95e+08,5.95e+08,1.336e+09,1.336e+09,8.99e+08,7.39e+08,3.27e+08,3.569e+09,1.708e+09,1.6793e+10,9.748e+09,6.806e+09,2.39e+08,1.8501e+10,2.207e+10,1.517e+09,2.17e+08,1.3e+09,2.54e+08,2.69e+08,2.69e+08,2.04e+09,4.67e+09,3.991e+09,1.988e+09,2.003e+09,8.661e+09,1.0701e+10,1.6264e+10,1.5e+07,1.6249e+10,-4.776e+09,-1.19e+08,1.1369e+10,1.1369e+10,2.207e+10,-9.7e+07,-6.9e+07,-6.9e+07,-6.9e+07,-3.7e+08,-9e+06,-4.48e+08,-5e+08,9e+06,9e+06,1.416e+09,9.25e+08,3.8e+08,3.8e+08,2e+06,3.82e+08,4.924e+09,0.67221,0.1839,0.0239,0.00405,0.00208,1.74951,0.94124,0.22311,0.03013,0.02994,1.26105,7.44776,8.05229552731997,0.00227,12.22881
"6","2011_Q3",6.566875,"Down",1.975e+09,-6.88e+08,1.287e+09,-9.6e+08,-6.41e+08,-2.23e+08,-9.6e+07,3.27e+08,-1.32e+08,-7.3e+07,-5.9e+07,1.95e+08,-3.7e+07,1.58e+08,-1.2e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,1.54e+08,1.54e+08,1.334e+09,1.334e+09,9.27e+08,7.34e+08,3.1e+08,3.149e+09,1.702e+09,1.6708e+10,9.758e+09,6.684e+09,2.66e+08,1.841e+10,2.1559e+10,1.552e+09,2.23e+08,1.329e+09,4e+06,3.36e+08,3.36e+08,1.892e+09,4.197e+09,3.93e+09,1.916e+09,2.014e+09,8.127e+09,1.0019e+10,1.6293e+10,1.5e+07,1.6278e+10,-4.63e+09,-1.23e+08,1.154e+10,1.154e+10,2.1559e+10,3.9e+08,-8.3e+07,-8.3e+07,-8.3e+07,0,0,-8.3e+07,-7.5e+08,3.72529029846191e-09,0,1e+06,-7.49e+08,-4.42e+08,-4.42e+08,1e+06,-4.41e+08,4.201e+09,0.65165,0.16557,0.07392,0.01265,0.00677,1.66438,0.8682,0.19486,0.09551,0.09506,1.29203,7.54939,7,0.00742,12.37615
"7","2011_Q4",5.52079365079365,"Down",1.874e+09,-6.8e+08,1.194e+09,-9.56e+08,-6.29e+08,-2.3e+08,-9.7e+07,2.38e+08,-1e+08,-6.2e+07,-3.8e+07,1.38e+08,-2.7e+07,1.11e+08,3.1e+07,1.42e+08,1.42e+08,1.42e+08,1.42e+08,2.76e+08,2.76e+08,1.237e+09,1.237e+09,9.72e+08,7.28e+08,3.14e+08,3.213e+09,1.684e+09,1.6605e+10,9.769e+09,6.564e+09,2.72e+08,1.8289e+10,2.1502e+10,1.552e+09,2.56e+08,1.296e+09,4e+06,3.31e+08,3.31e+08,1.887e+09,4.259e+09,3.835e+09,1.854e+09,1.981e+09,8.094e+09,9.981e+09,1.6333e+10,1.5e+07,1.6318e+10,-4.488e+09,-1.32e+08,1.1521e+10,1.1521e+10,2.1502e+10,3.66e+08,-6.9e+07,-6.9e+07,-6.9e+07,0,1e+06,-6.8e+07,0,-1.79e+08,1.3e+07,9000000.00000012,-1.7e+08,1.28e+08,1.28e+08,-6e+06,1.22e+08,4.263e+09,0.63714,0.127,0.07577,0.01233,0.0066,1.7027,0.86633,0.19826,0.09378,0.09318,1.23762,7.60864,6,0.00724,16.7521
"8","2012_Q1",5.89822580645161,"Up",1.848e+09,-6.6e+08,1.188e+09,-9.47e+08,-6.21e+08,-2.3e+08,-9.6e+07,2.41e+08,-1.02e+08,-7.1e+07,-3.1e+07,1.39e+08,-39000000.0000001,1e+08,7e+06,1.07e+08,1.07e+08,1.07e+08,1.07e+08,2.67e+08,2.67e+08,1.246e+09,1.246e+09,9.31e+08,6.61e+08,2.03e+08,3.105e+09,1.67e+09,1.6515e+10,9.761e+09,6.473e+09,2.81e+08,1.8185e+10,2.129e+10,1.53e+09,2.03e+08,1.327e+09,4e+06,2.73e+08,2.73e+08,1.807e+09,4.257e+09,3.873e+09,1.865e+09,2.008e+09,8.13e+09,9.937e+09,1.6364e+10,1.5e+07,1.6349e+10,-4.381e+09,-1.38e+08,1.1353e+10,1.1353e+10,2.129e+10,3.49e+08,-6.7e+07,-8.3e+07,-8.3e+07,1.44e+09,2e+06,1.375e+09,5.96046447753906e-08,-3.01e+08,-1e+06,-1.433e+09,-1.734e+09,-9999999.99999988,-9999999.99999988,1e+06,-9e+06,4.261e+09,0.64286,0.13041,0.0579,0.00942,0.00503,1.71832,0.87528,0.20014,0.07289,0.0723,1.25894,7.73418,7,0.00549,16.57261
"9","2012_Q2",5.88507936507937,"Down",1.866e+09,-6.31e+08,1.235e+09,-9.71e+08,-6.59e+08,-2.15e+08,-9.7e+07,2.64e+08,-1.21e+08,-6.9e+07,-5.2e+07,1.43e+08,-2e+07,1.23e+08,-1e+07,1.13e+08,1.13e+08,1.13e+08,1.13e+08,2.84e+08,2.84e+08,1.316e+09,1.316e+09,8.89e+08,6.02e+08,1.98e+08,3.091e+09,1.669e+09,1.6425e+10,9.762e+09,6.382e+09,2.81e+08,1.8094e+10,2.1185e+10,1.468e+09,2.88e+08,1.18e+09,4e+06,1.97e+08,1.97e+08,1.669e+09,4.255e+09,3.865e+09,1.877e+09,1.988e+09,8.12e+09,9.789e+09,1.6373e+10,1.5e+07,1.6358e+10,-4.268e+09,-7.9e+07,1.1396e+10,1.1396e+10,2.1185e+10,2.12e+08,-6.6e+07,-6.6e+07,-6.6e+07,962702745.025288,0,-6.6e+07,0,-1.29e+08,9e+06,-3e+06,-1.32e+08,1.4e+07,1.4e+07,3e+06,1.7e+07,4.259e+09,0.66184,0.14148,0.06056,0.00992,0.00533,1.85201,0.85899,0.20104,0.07819,0.07771,1.29117,7.88541,8,0.00579,15.05682
"10","2012_Q3",5.52047619047619,"Down",1.828e+09,-5.78e+08,1.25e+09,-9.58e+08,-6.47e+08,-2.13e+08,-9.8e+07,2.92e+08,-8e+07,-6.3e+07,-1.7e+07,2.12e+08,-3.83e+09,-3.618e+09,4e+07,-3.578e+09,-3.578e+09,-3.578e+09,-3.578e+09,3.71e+08,3.71e+08,1.243e+09,1.243e+09,8.98e+08,5.99e+08,1.93e+08,3.111e+09,1.632e+09,1.3075e+10,6.474e+09,6.249e+09,3.52e+08,1.4707e+10,1.7818e+10,1.588e+09,2.63e+08,1.325e+09,4e+06,2.02e+08,2.02e+08,1.794e+09,4.253e+09,4.043e+09,1.803e+09,2.24e+09,8.296e+09,1.009e+10,1.6403e+10,1.5e+07,1.6388e+10,-7.846e+09,-8.7e+07,7.728e+09,7.728e+09,1.7818e+10,4.07e+08,-5.2e+07,-5.2e+07,-5.2e+07,-1.34e+08,-1e+06,-1.87e+08,-1.8e+07,-1.12e+08,-1.86264514923096e-09,-1e+06,-1.31e+08,8.9e+07,8.9e+07,-2e+06,8.7e+07,4.257e+09,0.68381,0.15974,-1.95733,-0.46299,-0.20081,1.73411,1.30564,0.23892,-2.51405,-2.52987,1.28443,5.43002,6,-0.22323,13.30822
