"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.085625,"Up",79320000,-73157000,6163000,-14531000,-14531000,-8368000,-135000,-101000,-34000,-8503000,-8503000,3118000,-5385000,-5201000,-5201000,-5201000,64014.2078628775,64014.2078628775,51570305.4070512,51570305.4070512,64611400.3665154,16822261.9017591,116245719.981429,4180567.36028943,40154950.6152002,31867900.4699908,920474.496938371,44335517.9754896,160581237.956919,14264761.3395483,8514384.70639313,5750376.63315515,868474.658352417,39430.8498666426,90104251.1752896,607693.262081601,90711944.4373712,37453621.1232907,34904752.7197435,69869293.5195479,69869293.5195479,160581237.956919,-5201000,1235000,198000,-2892000,-6660000,-185000,-185000,-181000,8528000,6969000,128000,128000,130000,-7133000,0,-13328000,0.0777,-0.1055,-0.06557,-0.0185122355157802,-0.00719987948243701,2.56258,1.03660531226914,1.36773891037918,0.608353407602334,-0.19156,-0.19156,2.92144,2.49836641268021,-0.49088,-0.00940993130230653,-0.915668319944427,4521.27867380925,316.118142430015
"2","2011_Q1",4.59483870967742,"Up",85230000,-78339000,6891000,-7788000,-7788000,-896999.999999996,-620000,-187000,-433000,-1517000,-1517000,731000,-786000.000000001,-496000,-496000,-496000,49000,49000,52465000,52465000,22656000,8344000,75170000,4416000,30738000,22614000,1725000,35154000,110324000,19669000,8624000,11045000,4138000,3509000,44970000,252000,45222000,37636000,29920000,65102000,65102000,110324000,-496000,909000,-27000,-8736000,-8350000,-294000,-294000,-278000,8318000,8319000,-309000,-309000,-308000,11999.9999999963,21415000,-9749000,0.08085,-0.01052,-0.00582000000000002,-0.00762,-0.0045,19.65524,1.67156,0.69463,0.19411,-0.01827,-0.01827,3.13911,2.39778,-0.35907,-0.00573,-0.11268,1780.5,-23.8194
"3","2011_Q2",3.78095238095238,"Down",69090000,-63796000,5294000,-8320000,-8320000,-3026000,-261000,-217000,-44000,-3287000,-3287000,1052000,-2235000,-1973000,-1973000,-1973000,42245.2640457075,42245.2640457075,55144314.8643163,55144314.8643163,11296033.2111615,6698246.03274697,66482593.3395235,4228644.21323686,28626599.7949333,20839616.5100031,1935841.83435388,32855244.0081701,99337837.3476936,23994746.2201506,9275955.09786895,14718791.1222816,5648341.7805492,5058689.71671112,35697499.6082368,69602.2459727997,35767101.8542096,37750042.9589031,28257749.0934188,63570735.493484,63570735.493484,99337837.3476936,-1973000,949000,-958000,8764000,6782000,-109000,-109000,-67000,-6725000,-6725000,-10000,-10000,-10000,-2077000,0,5526000,0.07662,-0.0438,-0.02856,0.000897411838593385,-0.000460873505854331,-2.80081,1.79641822924362,0.559979529873607,0.0719213641325553,-0.07267,-0.07267,2.54466,2.37984536243993,0.20353,-0.000280022899231155,0.114957773314809,435.912951230249,-78.5832166433382
"4","2011_Q3",3.3896875,"Down",73101000,-65110000,7991000,-6759000,-6759000,1232000,-206000,-191000,-15000,1026000,1026000,-454000,572000,142000,142000,142000,34000,34000,57734000,57734000,17280000,9178000,75048000,3837000,29895000,22614000,1793000,33732000,108780000,26543000,9959000,16584000,6222000,5584000,45305000,5000,45310000,37835000,28067000,63470000,63470000,108780000,142000,931000,88000,-425000,735999.999999998,-94000,-94000,-71000,-670000,-670000,-4999.99999999977,-4999.99999999977,-4999.99999999977,2163000,12545000,2098000,0.10931,0.01685,0.00194,0.00224,0.00131,14.77465,1.65651,0.71388,0.11532,0.00533999999999998,0.00527,2.75043,2.38807,0.0789400000000001,0.00187,0.0276,5.78409999999985,10.15503
"5","2011_Q4",2.32714285714286,"Down",20770000,-16861000,3909000,-3637000,-3637000,272000,-312000,-303000,-9000,-40000,-40000,-138000,-178000,-1273000,-1273000,-1273000,34000,34000,57937000,57937000,25636000,12282000,83607000,3439000,29237000,22614000,1674000,32676000,116283000,25138000,9783000,15355000,7302000,6614000,53978000,0,53978000,37943000,26794000,62305000,62305000,116283000,-1273000,850000,112000,-6157000,-6468000,-249000,-249000,-249000,8992000,8992000,2275000,2275000,2275000,1122000,21538000,-5146000,0.1882,0.0131,-0.06129,-0.02043,-0.01095,4.04242,1.54891,0.86635,0.18522,-0.04782,-0.04782,0.78024,2.34053,-0.19331,-0.01518,-0.06138,19.16578,79.05882
"6","2012_Q1",2.20822580645161,"Down",74642000,-70398000,4244000,-6866000,-6866000,-2622000,-310000,-317000,7000,-2932000,-2932000,371000,-2561000,-3972000,-3972000,-3972000,26000,26000,54020000,54020000,23686000,13568000,77732000,3260000,23187000,17373000,1773000,26447000,104179000,19573000,8363000,11210000,9504000,8833000,45679000,0,45679000,38109000,22822000,58500000,58500000,104179000,-3972000,834000,-1516000,9183000,4529000,-212000,-212000,-2487000,-4326000,-4326000,-2284000,-2284000,-2283000,-1788000,16602000,6812000,0.05686,-0.03513,-0.05321,-0.0679,-0.03813,-1.71501,1.7017,0.78084,0.15936,-0.14864,-0.14864,2.79328,2.18921,0.25492,-0.05289,0.0907000000000001,-9.27069,-6.32189
"7","2012_Q2",1.88603174603175,"Down",59172000,-52622000,6550000,-7126000,-7126000,-576000,-301000,-302000,1000,-877000,-877000,26000,-851000,-140000,-140000,-140000,220000,220000,53139000,53139000,23723000,19350000,77082000,3499000,27662000,22614000,1253000,31161000,108243000,25726000,10303000,15423000,5956000,5263000,49799000,0,49799000,38195000,22681000,58444000,58444000,108243000,-140000,520000,110000,-1309000,-819000,-166000,-166000,-166000,1179000,1179000,194000,194000,194000,-56000,18117000,-1557000,0.11069,-0.00973,-0.00237,-0.0024,-0.00129,11.12143,1.54786,0.85208,0.16737,-0.00522,-0.00522,2.20684,2.17969,-0.05807,-0.00183,-0.02034,-319.58929,-31.07118
"8","2012_Q3",1.06222222222222,"Down",59151000,-53953000,5198000,-7881000,-7881000,-2683000,-380000,-375000,-5000,-3063000,-3063000,-5221000,-8284000,-9854000,-9854000,-9854000,1553000,1553000,56067000,56067000,20448000,17570000,78068000,3279000,27461000,22614000,2504000,30740000,108808000,23806000,11487000,12319000,4944000,4267000,60143000,9.09494701772928e-13,60143000,38269000,12828000,48665000,48665000,108808000,-9854000,466000,6216000,-4922000,-8094000,12000,12000,-4184000,13612000,13612000,1334000,1334000,1333000,-2217000,31393000,-1906000,0.08788,-0.04536,-0.16659,-0.20249,-0.09056,0.19342,1.29804,1.23586,0.28852,-0.3676,-0.3676,2.20663,1.81545,-0.0711,-0.12309,-0.02381,-13.45963,-11.12188
"9","2012_Q4",0.471451612903226,"Down",57482000,-55880000,1602000,-4294000,-4294000,-2692000,-739000,-643000,-96000,-3431000,-17999000,-411000,-18410000,-22330000,-22330000,-22330000,634000,634000,46949000,46949000,28986000,14280000,76569000,3241000,6683000,2805000,1781000,9924000,86493000,22575000,9247000,13328000,8160000,7554000,60141000,0,60141000,38286000,-9502000,26352000,26352000,86493000,-22330000,466000,16982000,5470000,588000,-27000,-74000,480000,-1987000,-1987000,-919000,-919000,-919000,-2226000,29406000,3628000,0.02787,-0.04683,-0.38847,-0.84737,-0.25817,-0.16247,1.27316,2.28222,0.33998,-0.82814,-0.82814,2.13181,0.9773,0.13455,-0.40048,0.06507,-12.92543,-10.68796
"10","2013_Q1",0.6005,"Up",52111000,-46741000,5370000,-5938000,-5938000,-568000,-555000,-555000,0,-1123000,-1123000,-1395000,-2518000,-1277000,-1277000,-1277000,738000,738000,52470000,52470000,13483000,11218000,66691000,2997000,8999000,2806000,4341000,11996000,78687000,19356000,11048000,8308000,7203000,7203000,53388000,7.27595761418343e-12,53388000,38510000,-10779000,25299000,25299000,78687000,-1277000,467000,752000,3396000,3338000,-485000,-438000,102000,-2577000,-3336000,104000,104000,104000,-101000,26829000,4205000,0.10305,-0.0109,-0.0245099999999999,-0.0504799999999999,-0.01623,-3.29287,1.24918,2.11028,0.34096,-0.0473899999999999,-0.04739,1.93369,0.93877,0.15604,-0.0245,0.08067,-258.32673,-45.93486
