"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.9603125,"Up",190975000,-38619000,152356000,-79214000,-38466000,-14653000,-26095000,73142000,-33218000,-31805000,-1997000,584000,39924000,-19655000,20269000,-5467000,14802000,14145000,131000,14276000,14276000,101237088.729472,101237088.729472,80292267.6737652,80292267.6737652,17425702.8851753,-15267404.1328202,210194443.850752,198955059.288412,254283842.559705,1254052896.45015,429277394.609955,663592835.755057,161182666.085138,1508336739.00986,1707291798.29827,150863357.047249,142105072.45731,-753659.835672408,234452368.740362,232244346.340635,384562065.951938,1148437551.5687,349728081.999403,150506625.710437,1498165633.5681,1882727699.52004,601122075.372143,796595.028876165,600325480.343267,-780238192.661855,-2094872.42376373,-181210989.713475,5775088.45173276,-175435901.261743,1707291798.2583,14145000,9081000,6018000,17952000,47196000,-5136000,13985000,4702000,-109576167.35945,-52581000,-214000,-52795000,-897000,-897000,-897000,82223000,0,100506000,0.79778,0.38299,0.07475,-0.3057119957977,0.0333894651079652,7.04021,-0.662077337707482,-10.8074115497127,0.661601416093849,0.17769,0.17706,2.37697,-2.21344860768713,1.25095,1.36480336345917,0.0932264438659121,0.301532848333415,1.94002181689517,10.6261353123359,11.3570180537673
"2","2011_Q1",6.82967741935484,"Up",226013000,-40951000,185062000,-76069000,-40402000,-13310000,-22357000,108993000,-29631000,-27346000,-2383000,98000.0000000001,79362000,-28736000,50626000,-17294000,33332000,32957000,122000,33079000,33079000,21974000,21974000,121283000,121283000,61024000,6064000,45302000,204281000,272231000,1009412000,232027000,660017000,117368000,1281643000,1485924000,74321000,74023000,19556000,74019000,71497000,167896000,1169740000,305370000,95035000,1475110000,1643006000,610444000,804000,609640000,-771953000,-3914000,-165423000,8341000,-157082000,1485924000,32957000,8625000,35129000,-28685000,48026000,-1786000,-2047000,-548000,-34225000,-26948000,-5828000,-67001000,-19522999.9999999,-19522999.9999999,-19522999.9999999,117618000,1189296000,104441000,0.81881,0.48224,0.14636,-0.21058,0.02226,3.15732,1.21671,-10.45954,0.80037,0.41223,0.39565,2.81654,-2.06147,1.30153,0.42651,0.05032,0.07808,1.03464,9.92469,10.71006
"3","2011_Q2",6.77825396825397,"Down",182609000,-42345000,140264000,-72663000,-39226000,-12856000,-20581000,67601000,-28791000,-29167000,11000,365000,38810000,-15326000,23484000,-8250000,15234000,15127000,152000,15279000,15279000,19307220.4235094,19307220.4235094,128142077.442078,128142077.442078,77773515.7049416,11356801.3776067,-439314.616917223,225222813.570529,277958552.480098,937635117.84995,170896368.463348,658918721.414981,107820027.971621,1215593670.33005,1440816483.90058,59265797.650917,59172225.8475633,25501469.9452241,28255543.7532128,25423384.5531218,113022811.349354,1173728399.4771,298939139.333532,80110541.4298542,1472667538.81063,1585690350.15999,615656308.209286,807718.323707945,614848589.885578,-764884102.446048,-4219042.52541209,-153446836.762175,8572970.51608908,-144873866.246086,1440816483.9139,15127000,8125000,5180000,26525000,54957000,-6059000,5899000,-8224000,-9591000,67575000,-4321000,55400000,102133000,102133000,102133000,75726000,0,104442000,0.76811,0.3702,0.08367,-0.154681001400767,0.0155043449640116,6.83566,1.81650077923583,-10.9233669834291,0.829401194635384,0.19012,0.18935,2.27219,-1.91590463077096,1.29956,0.11934,0.0282095187113626,0.0198323838888615,0.62772,11.5267057292214,12.6230056487442
"4","2011_Q3",5.61578125,"Down",188860000,-42917000,145943000,-71574000,-37265000,-12873000,-21436000,74369000,-23623000,-24934000,815000,496000,50746000,-19611000,31135000,-12576000,18559000,18477000,102000,18579000,18579000,50531000,50531000,118614000,118614000,77439000,8875000,21036000,246584000,277581000,973133000,190856000,659705000,122572000,1250714000,1497298000,78002000,74203000,24556000,47728000,44723000,150286000,1168686000,313633000,87546000,1482319000,1632605000,6.18e+08,809000,617191000,-757319000,-3833000,-143152000,7845000,-135307000,1497298000,18477000,7927000,-2586000,-10506000,13312000,-14556000,-2401000,-17187000,-9633000,-59092000,-322000,-68940000,-72815000,-72815000,-72815000,82296000,1193242000,69810000,0.77276,0.39378,0.09837,-0.13731,0.01241,3.75747,1.64076,-12.06593,0.79693,0.23013,0.22929,2.33929,-1.77313,0.86469,0.11932,0.02057,0.0509,0.51849,13.88538,15.36542
"5","2011_Q4",6.47634920634921,"Up",181042000,-41493000,139549000,-71327000,-37130000,-11995000,-22202000,68222000,-20250000,-24463000,2080000,2133000,47972000,-17655000,30317000,-10875000,19442000,19331000,-93000,19238000,19238000,61367000,61367000,114771000,114771000,69507000,8244000,51605000,245645000,276670000,1041535000,225032000,660117000,156386000,1318205000,1563850000,96273000,91288000,26559000,77067000,74320000,199899000,1156757000,332552000,97139000,1489309000,1689208000,618393000,809000,617584000,-747793000,-3792000,-133192000,7834000,-125358000,1563850000,19331000,7673000,7148000,25929000,60081000,-6113000,-21236000,-32123000,-9712000,-7989000,-68000,-17883000,10075000,10075000,10075000,75895000,1183316000,106586000,0.77081,0.37683,0.10626,-0.15346,0.0123,5.54039,1.22885,-13.47507,0.75667,0.2382,0.23731,2.24162,-1.64915,1.31972,0.12025,0.02082,0.07665,0.50483,14.78291,16.44556
"6","2012_Q1",8.06274193548387,"Up",212777000,-51857000,160920000,-79352000,-38627000,-13379000,-27346000,81568000,-28496000,-27564000,363000,-1295000,53072000,-16635000,36437000,-13084000,23353000,23242000,-540000,22702000,22702000,12967000,12967000,132915000,132915000,63835000,17274000,41396000,209717000,281521000,1080179000,222343000,660117000,197719000,1361700000,1571417000,88570000,88570000,38195000,68817000,66839000,195582000,1148271000,338926000,91374000,1487197000,1682779000,618184000,809000,617375000,-734511000,-4848000,-121175000,9813000,-111362000,1571417000,23242000,9428000,43668000,-56175000,20163000,-9107000,-42187000,-54714000,-9420000,-609999.999999985,-2089000,-13849000,-48400000,-48400000,-48400000,90996000,1186466000,38798000,0.75628,0.38335,0.10669,-0.20386,0.01445,1.70901,1.07227,-15.11089,0.75503,0.28736,0.28613,2.69328,-1.5338,0.4911,0.11924,0.02272,0.02744,0.41494,12.89616,14.38676
"7","2012_Q2",6.22111111111111,"Down",222374000,-59797000,162577000,-86559000,-45079000,-15090000,-26390000,76018000,-25640000,-27387000,1276000,471000,50378000,-16459000,33919000,-4794000,29125000,29074000,285000,29359000,29359000,26802000,26802000,136242000,136242000,59220000,18757000,35948000,222264000,314434000,1234547000,324837000,728306000,181404000,1548981000,1771245000,116696000,106680000,36237000,65470000,62818000,218403000,1312127000,327926000,86306000,1640053000,1858456000,621666000,811000,620855000,-714740000,-4744000,-97818000,10607000,-87211000,1771245000,29074000,9630000,2667000,26112000,67483000,-6736000,16901000,-200960000,-9588000,160228000,-3607000,147312000,13835000,13835000,13835000,85648000,1348364000,109818000,0.7311,0.34185,0.13203,-0.33664,0.01658,3.74052,1.01768,-21.30988,0.76125,0.36312,0.36189,2.75038,-1.20984,1.35826,0.11859,0.02451,0.06911,0.32658,15.43016,17.38486
"8","2012_Q3",7.67031746031746,"Up",251074000,-62596000,188478000,-96894000,-49094000,-22128000,-25672000,91584000,-23457000,-29320000,5148000,715000,68127000,-19695000,48432000,-18298000,30134000,30132000,-71999.9999999999,30060000,30060000,31078000,31078000,159842000,159842000,39448000,8444000,27614000,230368000,372049000,1557824000,462617000,912862000,182345000,1929873000,2160241000,132326000,122363000,42432000,57020000,53767000,231778000,1667809000,326936000,83423000,1994745000,2226523000,622368000,812000,621556000,-694296000,-4659000,-76587000,10305000,-66282000,2160241000,30132000,12726000,15505000,-45571000,12792000,-11722000,41796000,-355436000,-9616000,360093000,-3557000,346920000,4276000,4276000,4276000,104310000,1710241000,65315000,0.75069,0.36477,0.11973,-0.45352,0.01392,2.17282,0.99392,-33.59167,0.79169,0.37095,0.36977,3.0983,-0.9451,0.806,0.11866,0.02013,0.03314,0.31989,16.09781,18.33468
"9","2012_Q4",8.48161290322581,"Up",258714000,-61705000,197009000,-99311000,-51455000,-23188000,-24668000,97698000,-32828000,-35294000,1919000,547000,64870000,-19300000,45570000,-19093000,26477000,26352000,-107000,26245000,26245000,44625000,44625000,151517000,151517000,93016000,9112000,64948000,289158000,365685000,1590693000,450396000,908037000,232260000,1956378000,2245536000,160494000,153541000,44577000,97842000,94568000,302913000,1665208000,329799000,84522000,1995007000,2297920000,622945000,812000,622133000,-680092000,-4602000,-61749000,9365000,-52384000,2245536000,26352000,13171000,14728000,28778000,83029000,-11699000,-40710000,-52867000,-12041000,-2688000,-1934000,-16615000,13547000,13547000,13547000,110869000,1709785000,147041000,0.76149,0.37763,0.10144,-0.50101,0.01169,5.60263,0.95459,-43.86683,0.76142,0.32369,0.3225,3.19081,-0.76157,1.81351,0.14851,0.01927,0.07399,0.45879,15.01917,17.04395
"10","2013_Q1",11.6956666666667,"Up",329517000,-71458000,258059000,-114247000,-59042000,-24766000,-30439000,143812000,-34685000,-36552000,1327000,540000,109127000,-24708000,84419000,-25667000,58752000,59395000,-393000,59002000,59002000,22865000,22865000,183480000,183480000,98103000,7404000,60342000,304448000,439713000,1985536000,708528000,1074032000,202976000,2425249000,2729697000,163756000,153817000,47622000,93825000,89719000,305203000,2213263000,311284000,77819000,2524547000,2829750000,601740000,812000,600928000,-713697000,-4993000,-116950000,16897000,-100053000,2729697000,59395000,13344000,-1657000,3088999.99999999,74171000,-13829000,36115000,-540021000,-92607000,550266000,-13242000,444090000,-21760000,-21760000,-21760000,157156000,2260885000,172083000,0.78314,0.43643,0.17906,-0.58971,0.02161,2.91656,0.99753,-28.28251,0.82825,0.72742,0.72448,4.06254,-1.44185,2.12157,1.14173,0.06133,0.06961,1.56956,14.24075,15.56212
