"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",45.4579365079365,"Down",58466000,-6652000,51814000,-22233000,-4301000,-11342000,-6590000,29581000,-11864000,-11864000,17717000,17374000,17374000,17374000,-3670000,13704000,-3094000,10610000,-55809612.6409064,-55809612.6409064,55253554.6775044,55253554.6775044,-556057.963402092,1212647959.21484,1654246669.29773,-441598710.082887,-112880825.255663,-112880825.255663,1099767133.95918,1099211075.99578,13948236.573054,13947877.5866737,40579677.0526761,4211185.6503153,1915125946.02517,74429188.018111,74429943.4373031,474379081.21438,178159567.494996,275981864.011713,-9552367289.1039,303490137.869644,321341856.911755,624831994.781399,1099211075.99578,17374000,11342000,1009000,1827000,31552000,-3318000,-3318000,-3318000,-87349000,-14167000,69289000,6098000,-4074000,57146000,1349000,1349000,1349000,40923000,0,0.88622,0.50595,0.18147,0.256130672172973,0.0756201758934621,-0.0619721270788174,-0.266821685322014,0.451258612578211,0.48793,0.48465,2.68871,6.24683454919081,0.65151,0.0534890084835501,1.33525,31.5522166895529,57.5504363354787
"2","2017_Q3",46.1226984126984,"Up",55884000,-6473000,49411000,-22905000,-4514000,-11691000,-6700000,26529000,-11900000,-11900000,14629000,14421000,14421000,14421000,-2911000,11510000,-3094000,8416000,-14961306.3204532,-14961306.3204532,58318277.3387522,58318277.3387522,43356971.018299,1273235479.60742,1734355834.64887,-461120355.041444,-27427412.6278315,-27427412.6278315,1245808066.97959,1289165037.99789,16785618.286527,16785438.7933368,46587338.526338,20083092.8251576,1478689973.01259,74445712.8108666,74446166.0623819,795550540.60719,179079783.747498,318686432.005857,-4369162144.55195,323449568.934822,170164928.455878,493614497.3907,1289165037.99789,14421000,11691000,1247000,-1211000,26148000,-4413000,-4413000,-4413000,-7161000,-14212000,-6322000.00000001,8081000,-3810000,-16263000,2724000,2724000,2724000,38220000,0,0.88417,0.47472,0.1506,0.125320336086487,0.036690087946731,0.0116289364605913,1.38361415733899,0.579129306289105,0.38522,0.3838,2.55797,6.8002622745954,0.65052,0.032909504241775,1.68869,28.8674183447765,47.1371281677394
"3","2017_Q4",48.23,"Up",56229000,-7418000,48811000,-22560000,-4363000,-11363000,-6834000,26259000,-11821000,-11821000,14438000,14385000,14385000,14385000,-2902000,11483000,-3093000,8390000,5102897.89318226,5102897.89318226,57237759.1129174,57237759.1129174,62340657.0060997,1302853493.20247,1779110944.88296,-476257451.680481,21157529.1240562,21157529.1240562,1324011022.32653,1386351679.33263,19941872.7621757,19941812.9311123,48403779.5087793,27475364.2750526,1192626324.33753,74467356.4054333,74467583.0311909,964904846.869063,179693261.249166,342178477.335286,-1452916381.51732,332300522.978274,89146309.4852925,421446832.463567,1386351679.33263,14385000,11363000,740000,-9745000,16743000,133000,-6555000,-6555000,-4976000,-14252000,-1833000,6922000,-5614000,-14777000,-3010000,-3010000,-3010000,37622000,0,0.86808,0.467,0.14921,0.0523134453621622,0.0150233626489103,0.0497863121535304,2.27369138577966,0.647736435429702,0.38241,0.3809,2.56285,6.99780075819847,0.64959,0.0215398347472583,1.69869,26.9951561149255,40.6971327225798
"4","2018_Q1",41.256393442623,"Down",55720000,-7146000,48574000,-23169000,-4998000,-11298000,-6873000,25374000,-11560000,-11560000,13814000,14488000,14488000,14488000,-2928000,11560000,-3094000,8466000,10908000,10908000,54057000,54057000,64965000,1315034000,1803200000,-488166000,42453000,42453000,1357487000,1422452000,23123000,23123000,47604000,29084000,1029349000,74492118.8018111,74492194.3437303,1029349000,1.8e+08,352811000,-198406000,334405000,58698000,393103000,1422452000,14488000,11298000,904000,2317000,29007000,-8556000,-8556000,-8556000,-13820000,-14320000,-3376000,8385000,-4353000,-13664000,1523000,1523000,1523000,36672000,958622000,0.87175,0.45538,0.15194,0.02154,0.00595,0.06311,2.61852,0.67392,0.38356,0.38161,2.52447,6.99551,0.64879,0.01686,1.69147,25.84299,37.34981
"5","2018_Q2",39.28296875,"Down",56108000,-7123000,48985000,-22614000,-4420000,-11349000,-6845000,26371000,-11424000,-11424000,14947000,14947000,14947000,14947000,-2359000,12588000,-5731000,6857000,8979000,8979000,50821000,50821000,59800000,1323309000,1821311000,-498002000,46038000,46038000,1369347000,1429147000,26035000,26035000,45763000,27605000,961272000,74518000,74518000,1035790000,1.8e+08,356937000,-407000,334125000,59232000,393357000,1429147000,14947000,11349000,1205000,-1714000,25787000,-13240000,-13240000,-13240000,-16723000,-15341000,7478000,3383000,-6513000,-10993000,-1929000,-1929000,-1929000,37720000,963992000,0.87305,0.47,0.12221,0.01743,0.0048,0.06221,2.63321,0.67452,0.30918,0.30862,2.52989,6.94945,0.69172,0.01635,2.23728,25.31848,36.21452
"6","2018_Q3",44.2384126984127,"Up",56082000,-6733000,49349000,-22776000,-4648000,-11351000,-6777000,26573000,-11170000,-11170000,15403000,15900000,15900000,15900000,-3359000,12541000,-2953000,9588000,6425000,6425000,50634000,50634000,57059000,1346322000,1853406000,-507084000,43101000,43101000,1389423000,1446482000,29078000,29078000,44193000,25594000,965608000,74543000,74543000,1040151000,1.8e+08,361636000,-204689000,336947000,69384000,406331000,1446482000,15900000,11351000,671000,-18000,27904000,-22006000,-22006000,-22006000,-20270000,-14213000,2521000,6080000,-4576000,-10188000,-2554000,-2554000,-2554000,37924000,966880000,0.87994,0.47382,0.17096,0.0236,0.00663,0.05909,2.55986,0.66844,0.43073,0.43019,2.51941,7.05063,0.6385,0.01733,1.48237,25.32578,36.14402
"7","2018_Q4",41.001746031746,"Down",56910000,-6910000,5e+07,-22333000,-4140000,-11256000,-6937000,27667000,-10974000,-10974000,16693000,16703000,16703000,16703000,-3547000,13156000,-2953000,10203000,9771000,9771000,55541000,55541000,65312000,1397605000,1914173000,-516568000,43221000,43221000,1440826000,1506138000,31958000,31958000,44469000,25747000,1014771000,74568000,74568000,1089339000,1.8e+08,373261000,-206028000,347233000,69566000,416799000,1506138000,16703000,11256000,805000,-7582000,21182000,-19447000,-19447000,-19447000,-59306000,-14508000,47373000,11941000,-3336000,41470000,3346000,3346000,3346000,38923000,1012912000,0.87858,0.48615,0.17928,0.02448,0.00677,0.06436,2.61358,0.67252,0.45484,0.45343,2.537,7.45511,0.64675,0.01728,1.42193,25.77245,36.25767
"8","2019_Q1",42.8996721311475,"Up",58119000,-7436000,50683000,-23973000,-5251000,-11905000,-6817000,26710000,-11200000,-11200000,15510000,15509000,15509000,15509000,-3240000,12269000,-2953000,9316000,14578000,14578000,53876000,53876000,68454000,1422647000,1948165000,-525518000,36388000,36388000,1459035000,1527489000,32419000,32419000,48004000,28851000,1027678000,74591000,74591000,1102269000,1.8e+08,384760000,-208848000,355912000,69308000,425220000,1527489000,15509000,11905000,874000,7178000,35466000,-20238000,-21564000,-21564000,-32351000,-14646000,9288000.00000001,11851000,-4801000,1691999.99999999,4807000,4807000,4807000,38615000,1021846000,0.87206,0.45957,0.16029,0.02191,0.0061,0.06661,2.59223,0.66897,0.41108,0.41054,2.5646,7.76242,0.64628,0.01656,1.57213,26.08489,37.71127
"9","2019_Q2",44.5042857142857,"Up",59750000,-8001000,51749000,-23605000,-4814000,-11643000,-7148000,28144000,-11067000,-11067000,17077000,17077000,17077000,17077000,-3630000,13447000,-2953000,10494000,11456000,11456000,51603000,51603000,63059000,1446145000,1981414000,-535269000,36624000,36624000,1482769000,1545828000,47671000,47671000,44705000,25481000,1040881000,74616000,74616000,1115497000,1.8e+08,391351000,-210496000,360855000,69476000,430331000,1545828000,17077000,11643000,1041000,1880000,31641000,-20525000,-20525000,-20525000,-23423000,-14958000,1287000,6876000,-4545000,-11340000,-3122000,-3122000,-3122000,39787000,1023121000,0.86609,0.47103,0.17563,0.02439,0.00679,0.06058,2.59218,0.66186,0.45986,0.45899,2.61832,7.92528,0.65548,0.01751,1.42539,25.42702,35.94603
"10","2019_Q3",44.0128125,"Down",58141000,-7115000,51026000,-23483000,-5140000,-11524000,-6819000,27543000,-10793000,-10793000,16750000,16750000,16750000,16750000,-3518000,13232000,-2953000,10279000,9262000,9262000,51602000,51602000,60864000,1474247000,2019058000,-544811000,34051000,34051000,1508298000,1569162000,42287000,42287000,44962000,25649000,1057912000,74641000,74641000,1132553000,1.8e+08,399277000,-212493000,366784000,69825000,436609000,1569162000,16750000,11524000,1417000,2500000,32191000,-40193000,-40193000,-40193000,-45176000,-15093000,21829000,8233000,-4178000,10791000,-2194000,-2194000,-2194000,39067000,1045304000,0.87763,0.47373,0.17679,0.02354,0.00655,0.05753,2.59398,0.66615,0.44812,0.44701,2.5347,8.14299,0.65799,0.01712,1.46833,26.51962,37.61544
