"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",9.05269841269841,"Down",23000,23000,-10000,13000,-2037000,-1535000,-502000,-2024000,2000,2000,11867.1508789238,-2022000,-2022000,-2022000,-2022000,-2022000,-2022000,11239296.7790619,11239296.7790619,-5895497.36607228,-5895497.36607228,1782996.95663538,6878209.3490258,6878209.3419112,14005005.7186508,1297276.67213022,864602.463914453,864602.463914453,2161879.13604467,16166884.8546955,1142942.88285422,3987390.47511479,-2844447.59226058,2310529.51086151,2790137.30151719,61491488.8961939,-48114741.3430156,13376747.5531783,13376747.5531783,16166884.8546955,-2022000,118000,378000,301000,-1225000,-40000,-40000,2752000,1487000,1487000,1487000,-1906000,0,0.56522,-88,-87.91304,0.223079366993482,1.86991344230973,20.4241617703604,2.53896198983608,0.000822659996316465,-0.05515,-0.05515,0.00063,3.67084187821784,0.318217923328988,8.08421382314219,7.55492443642354
"2","2011_Q3",6.97625,"Down",68000,68000,-15000,53000,-2548000,-1875000,-673000,-2495000,16000,3000,5933.57543946191,-2479000,-2479000,-2479000,-2479000,-2479000,-2479000,6510648.38953096,6510648.38953096,-2505248.68303614,-2505248.68303614,1250498.47831769,2897604.6745129,2897604.6709556,8153502.85932541,854138.336065108,1486301.23195723,1486301.23195723,2340439.56802233,10493942.4273477,677971.441427108,1817195.2375574,-1139223.79613029,1261764.75543076,1476568.65075859,58503244.448097,-49485870.6715078,9017373.77658915,9017373.77658915,10493942.4273477,-2479000,116000,299000,105000,-1959000,-112000,-112000,69000,-2002000,-2002000,-2002000,-2379000,0,0.77941,-36.69118,-36.45588,-0.0602503165032592,0.703241721154864,11.6921058851802,1.28797099491804,0.000411329998158233,-0.06762,-0.06762,0.00185,2.32406093910892,-0.022706038335506,4.4157419115711,4.12933221821177
"3","2011_Q4",4.3784126984127,"Down",129000,129000,-37000,92000,-1909000,-1437000,-472000,-1817000,0,1000,1977.85847982064,-1817000,-1817000,-1817000,-1817000,-1817000,-1817000,3497882.79651032,3497882.79651032,-674082.89434538,-674082.89434538,968832.826105897,820534.891504301,820534.890318534,4613167.61977514,577712.778688369,1806767.07731908,1806767.07731908,2384479.85600744,6997647.47578258,655990.480475703,827398.412519132,-171407.93204343,850588.251810252,917522.883586198,57463081.482699,-51382956.8905026,6080124.59219638,6080124.59219638,6997647.47578258,-1817000,118000,440000,-146000,-1405000,-46000,-46000,83000,-1368000,-1368000,-1368000,-1699000,0,0.71318,-14.08527,-14.08527,-0.26975343883442,-0.0167094262817121,6.12972529506007,0.509216998306014,0.000137109999386078,-0.04956,-0.04956,0.00352,1.43830364636964,-0.260205346111835,2.1483339705237,2.01261073940392
"4","2012_Q1",2.87096774193548,"Down",244000,244000,-69000,175000,-2206000,-1673000,-533000,-2031000,0,2000,0,-2031000,-2031000,-2031000,-2031000,-2031000,-2031000,1794000,1794000,50000,50000,861000,1e+05,1e+05,2805000,426000,1917000,1917000,2343000,5148000,935000,677000,258000,935000,941000,57817000,-53610000,4207000,4207000,5148000,-2031000,119000,123000,254000,-1535000,-46000,-46000,3065000,1484000,1484000,1484000,-1912000,1.77635683940025e-15,0.71721,-8.32377,-8.32377,-0.48277,-0.39452,3,0.22367,0,-0.43534,-0.43534,0.0523,0.90175,-0.48208,0.93828,0.88331
"5","2012_Q2",2.51301587301587,"Down",257000,257000,-129000,128000,-2490000,-1997000,-493000,-2362000,1000,1000,0,-2361000,-2361000,-2361000,-2361000,-2361000,-2361000,992000,992000,119000,119000,850000,189000,189000,2150000,357000,1908000,1908000,2265000,4415000,1373000,1025000,348000,1373000,1375000,59011000,-55971000,3040000,3040000,4415000,-2361000,117000,385000,376000,-1483000,-39000,-39000,720000,-802000,-802000,-802000,-2245000,0,0.49805,-9.19066,-9.18677,-0.77664,-0.53477,1.56591,0.4523,0,-0.46799,-0.46799,0.05094,0.60258,-0.77613,0.44187,0.41998
"6","2012_Q3",2.56666666666667,"Up",221000,221000,-40000,181000,-2374000,-1885000,-489000,-2193000,2.27373675443232e-13,0,0,-2193000,-2193000,-2193000,-2193000,-2193000,-2193000,626000,626000,16000,16000,889000,482000,482000,2013000,326000,1889000,1889000,2215000,4228000,1870000,1538000,332000,1870000,1881000,60511000,-58164000,2347000,2347000,4228000,-2193000,99000,250000,570000,-1274000,-49000,-49000,957000,-366000,-366000,-366000,-2094000,0,0.819,-9.92308,-9.92308,-0.93438,-0.51868,1.07647,0.80145,0,-0.41159,-0.41159,0.04148,0.44049,-0.93003,0.29895,0.28545
"7","2012_Q4",0.968387096774194,"Down",207000,207000,-37000,170000,-1996000,-1557000,-439000,-1826000,-3000,0,0,-1829000,-1829000,-1829000,-1829000,-1829000,-1829000,289000,289000,193000,193000,901000,432000,432000,1815000,291000,1951000,1951000,2242000,4057000,2284000,1875000,409000,2284000,2287000,61763000,-59993000,1770000,1770000,4057000,-1829000,83000,312000,217000,-1217000,-110000,-110000,990000,-337000,-337000,-337000,-1743000,0,0.82126,-8.82126,-8.83575,-1.03333,-0.45083,0.79466,1.29209,0,-0.31378,-0.31378,0.03551,0.30366,-1.03158,0.16581,0.15827
"8","2013_Q1",0.723833333333333,"Down",127000,127000,-58000,69000,-2442000,-2e+06,-442000,-2373000,-145000,-145000,-144000,-2518000,-2507000,-2507000,-2507000,-2507000,-2507000,877000,877000,373000,373000,654000,347000,347000,2251000,257000,1950000,1950000,2207000,4458000,2290000,1946000,344000,3637000,3640000,63318000,-62500000,818000,818000,4458000,-2507000,86000,668000,139000,-1614000,-51000,-149000,2351000,588000,588000,588000,-2287000,4.54747350886464e-13,0.54331,-18.68504,-19.74016,-3.06479,-0.56236,0.61892,4.44988,0,-0.39846,-0.39846,0.02019,0.13001,-3.05359,0.38347,0.36957
"9","2013_Q2",0.47734375,"Down",110000,110000,-31000,79000,-1871000,-1476000,-395000,-1792000,-590000,-588000,-588000,-2382000,-2154000,-2154000,-2154000,-2154000,-2154000,2450000,2450000,64000,64000,864000,80000,80000,3458000,226000,1988000,1988000,2214000,5672000,2499000,2094000,405000,2590000,2593000,67733000,-64654000,3079000,3079000,5672000,-2154000,73000,598000,242000,-1241000,-80000,-80000,2894000,1573000,1573000,1573000,-1719000,0,0.71818,-16.29091,-19.58182,-0.69958,-0.37976,1.33514,0.84216,0,-0.24699,-0.24699,0.01261,0.35306,-0.6989,1.42525,1.36719
"10","2013_Q3",0.67,"Up",263000,263000,-57000,206000,-2016000,-1287000,-299000,-1810000,-26000,-999.999999999884,-1000,-1836000,-1824000,-1824000,-1824000,-1824000,-1824000,920000,920000,95000,95000,836000,85000,85000,1936000,199000,1992000,1992000,2191000,4127000,1005000,621000,384000,1170000,2385000,68220000,-66478000,1742000,1742000,4127000,-1824000,85000,250000,21000,-1468000,-62000,-62000,0,-1530000,-1530000,-1530000,-1725000,86000,0.78327,-6.88213,-6.93536,-1.04707,-0.44197,1.6547,1.36912,0.02084,-0.16603,-0.16603,0.02394,0.15856,-0.59941,0.48348,0.46077
