"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.71,"Up",83936000,-53677000,30259000,-24517000,-20974000,-3543000,5742000,3120000,107000,2218000,795000,8862000,8824000,-1970000,6854000,6854000,6854000,6854000,42928000,42761000,59448000,59448000,39379000,24051000,5179000,12307000,165806000,120902000,93520000,33780000,7599000,27419000,24722000,257912000,423718000,35268000,14430000,2731000,18107000,15417000,15417000,50685000,74238000,28641000,5684000,39913000,74238000,124923000,43871000,267327000,-12403000,298795000,298795000,423718000,6854000,3796000,10025000,-8085000,12590000,-1314000,-1314000,-1314000,-26622000,5397306078.12316,380000,380000,380000,-13652000,-13652000,-1325000,-14977000,9538000,0,2109000,0.3605,0.06841,0.08166,0.02294,0.01618,0.3077,3.2713,0.41809,0,0.43679,0.43679,5.34911,19.04174,0.1344,6,0.01837,0.00565,-4.50073,-7.47614
"2","2010_Q3",29.3696875,"Down",96609000,-59274000,37335000,-29588000,-23709000,-5879000,7747000,2822000,-4000.00000000003,1757000,1069000,10569000,10435000,-2122000,8313000,8313000,8313000,8313000,44761000,44718000,64799000,64799000,44800000,24072000,4913000,12788000,178432000,116180000,94536000,32463000,7600000,29709000,24764000,251700000,430132000,38194000,13103000,861000,24230000,14974000,14974000,53168000,74613000,28641000,5732000,40240000,74613000,127781000,45757000,275640000,-19046000,302351000,302351000,430132000,8313000,4072000,1210000,-11066000,2529000,-1804000,-1804000,-1804000,1765000.00000001,3075816046.8739,115000,115000,114999.999999998,4409000,4409000,-2452000,1957000,11819000,0,1071000,0.38645,0.08019,0.08605,0.02749,0.01933,0.12883,3.356,0.42262,0,0.5269,0.52149,6.12334,19.16382,0.06788,6,0.02205,0.00284,-3.78721,-5.77785
"3","2010_Q4",34.04234375,"Up",101331000,-64496000,36835000,-25585000,-20793000,-4792000,11250000,1631000,71000,2373000,-813000,12881000,12786000,-3930000,8856000,8856000,8856000,8856000,53241000,53241000,69656000,69656000,46642000,24438000,4886000,13385000,193977000,118964000,97189000,32555000,6653000,33176000,24805000,255343000,449320000,41069000,11477000,2146000,27446000,14727000,14727000,55796000,70592000,24641000,6524000,39427000,70592000,126388000,47724000,284496000,-9288000,322932000,322932000,449320000,8856000,4066000,1565000,-8505000,5982000,-3647000,-3647000,-3647000,-1247000,1527523523.43695,312000,312000,312000,5047000,5047000,3476000,8523000,15316000,0,7094000,0.36351,0.11102,0.0874,0.02742,0.01971,0.80104,3.47654,0.39138,0,0.55993,0.55326,6.40681,20.41789,0.44853,6,0.0225,0.01803,-3.47617,-4.73253
"4","2011_Q1",43.8856451612903,"Up",91354000,-58834000,32520000,-25684000,-22144000,-3540000,6836000,2633000,9999.99999999994,2310000,313000,9469000,12356000,2172000,14528000,10548000,10548000,10548000,80321000,80135000,67028000,67028000,47525000,26709000,3644000,15455000,221583000,118804000,105895000,35984000,17120000,25452000,26056000,263291000,484874000,44382000,16162000,1528000,26692000,21059000,21059000,65441000,88901000,31980000,8745000,48176000,88901000,154342000,49035000,295044000,-13547000,330532000,330532000,484874000,14528000,3766000,-10463000,20421000,24664000,-5476000,-5476000,-5476000,3579999.99999999,599227507.812316,669000,669000,669000,28913000,28913000,-2019000,26894000,10602000,0,23375000,0.35598,0.07483,0.11546,0.03191,0.02175,2.21606,3.386,0.46695,-6.93889390390723e-18,0.6662,0.65378,5.76979,20.87592,1.47633,6,0.02515,0.05573,-7.57602,-11.74971
"5","2011_Q2",44.5815873015873,"Up",135928000,-93386000,42542000,-29310000,-24101000,-5209000,13232000,1200000,-1579000,1428000,1351000,14432000,14434000,-3369000,11065000,9434000,9434000,9434000,66135000,66135000,91010000,91010000,64860000,25742000,2905000,19392000,247747000,155934000,250787000,182603000,15696000,23875000,28613000,445296000,693043000,49838000,22711000,3018000,24109000,19943000,19943000,71527000,108034000,31980000,25286000,50768000,262130000,333657000,53409000,304478000,1499000,359386000,359386000,693043000,11065000,6183000,5300000,-40832000,-19952000,1839000,-4061000,-4061000,-137686000,137727000,3517000,3517000,141244000,-16394000,-16394000,2394000,-1.4e+07,19415000,155842000,-16209000,0.31297,0.09735,0.0694,0.02625,0.01361,-1.71815,3.46369,0.92841,0.22487,0.59358,0.57076,8.55244,22.61217,-1.01985,3,0.01514,-0.02601,4.6205,6.77955
"6","2011_Q3",47.03984375,"Up",143501000,-94930000,48571000,-32064000,-26436000,-5628000,16507000,337000,-1264000,1323000,278000,16844000,16874000,-3442000,13432000,12129000,12129000,12129000,75351000,71647000,94655000,94655000,71517000,26581000,3827000,18721000,268104000,155080000,254538000,185068000,15168000,25664000,28638000,441391000,709495000,52803000,22423000,4371000,26009000,22188000,22188000,76777000,105347000,31980000,24857000,48510000,249393000,326170000,58502000,316607000,8216000,383325000,383325000,709495000,13432000,6966000,4111000,-9606000,13592000,-3945000,-3945000,-3945000,-245000,-10179000,2343000,2343000,-7836000.00000003,5511000,5511000,999.999999999069,5512000.00000001,23473000,145832000,13364000,0.33847,0.11503,0.08452,0.03164,0.0171,1.10182,3.49198,0.8509,0.20554,0.7607,0.72723,9.00004,24.04123,0.83816,5,0.01912,0.02106,3.00264,4.26976
"7","2011_Q4",40.0265079365079,"Down",147344000,-96598000,50746000,-32825000,-27464000,-5361000,17921000,551000,-1041000,1290000,302000,18472000,18237000,-2579000,15658000,14356000,14356000,14356000,71148000,71148000,98920000,98920000,80865000,27572000,5185000,18368000,278505000,150096000,243030000,170603000,15609000,27663000,29155000,424157000,702662000,57303000,22642000,4021000,30640000,24015000,24015000,89225000,99599000,26980000,24794000,47825000,230248000,319473000,65200000,330963000,-12974000,383189000,383189000,702662000,15658000,6852000,-3056000,-14811000,3616000,-4472000,-4472000,-4472000,-372000,-6543000,4588000,4588000,-1955000,1289000,1289000,-1788000,-499000,24773000,138556000,8069000,0.3444,0.12163,0.09743,0.03746,0.02043,0.56206,3.12138,0.83372,0.19719,0.89134,0.84774,9.14836,23.79161,0.50099,4,0.0231,0.01299,2.72103,3.7614
"8","2012_Q1",38.3285483870968,"Down",121568000,-84442000,37126000,-30863000,-25531000,-5332000,6263000,394000,-1027000,1410000,10999.9999999999,6657000,6223000,-2128000,4095000,1136000,1136000,1136000,79728000,79728000,82733000,82733000,77935000,25236000,7028000,13819000,265632000,148182000,232854000,102178000,20117000,23868000,30242000,411996000,677628000,63003000,15731000,1799000,45473000,6698000,6698000,78797000,137965000,68871000,19259000,49835000,260575000,339372000,68959000,332099000,-62802000,338256000,338256000,677628000,4095000,6307000,-283000,10703000,19605000,-7238000,-8838000,-8838000,-7691000,-4566000,1379000,1379000,-3187000,8727000,8727000,-147000,8580000,12570000,131706000,18163000,0.30539,0.05152,0.00934,0.00336,0.00168,15.98856,3.37109,1.0033,0.19436,0.07013,0.0675800000000001,7.50442,20.88062,1.12121,4,0.00187,0.02988,4.13508,8.29922
"9","2012_Q2",38.7209523809524,"Up",120155000,-83751000,36404000,-29562000,-24239000,-5323000,6842000,-673000,-1190000,657000,-140000,6169000,-4425000,2839000,-1586000,-1808000,-1808000,-1808000,93517000,93517000,82950000,82950000,81347000,27159000,7261000,16678000,284973000,148368000,235005000,160817000,22881000,21637000,29670000,388373000,673346000,63095000,17208000,639000,45248000,6471000,6471000,96950000,128130000,58871000,19562000,49697000,231170000,328120000,70343000,330291000,-55408000,345226000,345226000,673346000,-1586000,6509000,10919000,-17611000,-2026000,-4181000,-4181000,-4181000,18157000,-1500000,524000,524000,-976000,15155000,15155000,-1366000,13789000,13351000,130424000,-11280000,0.30298,0.05694,-0.01505,-0.00524,-0.00269,6.23894,2.93938,0.95045,0.1937,-0.11138,-0.11138,7.40196,21.26711,-0.69489,2,-0.00299,-0.01868,2.76436,5.39418
"10","2012_Q3",39.9314285714286,"Up",125295000,-88641000,36654000,-26803000,-22329000,-4474000,9851000,494000,-1072000,1305000,261000,10345000,9511000,-3094000,6417000,6454000,6454000,6454000,95786000,95786000,87510000,87510000,74678000,25006000,6653000,16460000,282980000,146472000,226710000,153835000,20650000,22774000,29451000,378182000,661162000,59283000,15561000,31000,43691000,6471000,6471000,94814000,121550000,52862000,18489000,50199000,221005000,315819000,74906000,336745000,-66308000,345343000,345343000,661162000,6417000,7052000,2931000,-10062000,6327000,-4607000,-6586000,-6586000,-4607000,-1492000,3316000,3316000,1253000,2973000,2973000,-704000,2269000,16903000,128515000,5327999.99999999,0.29254,0.07862,0.05151,0.01869,0.00976,0.82553,2.98458,0.91451,0.19438,0.39573,0.3698,7.68254,21.17493,0.32669,3,0.01084,0.00895,1.93628,3.3224
