"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",0.232741935483871,"Up",3089903,-2093514,996389,-718887,-718887,277502,1638,279140,279140,-95977,183163,183163,183163,183163,2412168,2317168,2520407,2520407,270827,5203402,1321258,33364,33364,1354622,6558024,1416487,1205576,18227,1434714,53839,1488553,647961,4440728,-19218,5069471,5069471,6558024,183163,79401,9830,219399,491793,-17812,-112812,-4336,-4336,374645,374645,13397,388042,356903,72066,654467,0.32247,0.08981,0.05928,0.03613,0.02793,3.57314,3.62679,0.29363,0.01099,0.00883,0.00819,0.1489,0.2443,0.03154,0.03562,0.12729,-6.55669,-8.43274
"2","2011_Q2",0.246349206349206,"Up",3592671,-2416663,1176008,-658481,-658481,517527,3415,520942,520942,-164682,356260,356260,356260,356260,2035412.95153611,1940412.54674063,2943588.0164721,2943588.0164721,449229.2561703,5428230.22417851,1258875.77655123,10826.1826301475,10826.1826301475,1269701.95918137,6697932.18335988,585469.065591767,513564.356433564,25052.4501266063,610521.515718372,88105.4457639836,698626.961482355,649532.004985599,5389616.9065337,-39843.6882991437,5999305.22187753,5999305.22187753,6697932.18335988,356260,74713,2166,-327021,106118,-10065,-10065,-4424,-4424,91629,91629,-1817,89812,592240,0,419836,0.32734,0.14405,0.09916,0.300349725295696,0.24267047948006,1.17845,5.32383660117845,0.1661269817688,0.0153960469402319,0.01717,0.01585,0.17313,0.289199991076424,0.02023,0.29508479001073,-0.112608271015678,-2.30018749966781,-2.80295724817387
"3","2011_Q3",0.32546875,"Up",4586804,-3041804,1545000,-808245,-808245,736755,2363,739118,739118,-259426,479692,479692,479692,479692,2664867.25153611,2569866.84674063,3470384.9164721,3470384.9164721,475897.8561703,6611150.02417851,1241410.47655123,10069.7826301475,10069.7826301475,1251480.25918137,7862630.28335988,1000493.66559177,781818.756433564,28793.3501266063,1029287.01571837,101265.845763984,1130552.86148236,651698.304985599,6108004.1065337,-27624.9882991437,6732077.42187753,6732077.42187753,7862630.28335988,479692,74128,2166,-368959,187027,-56150,-56150,-5391,-5391,125486,125486,20523,146009,810883,0,645200,0.33684,0.16062,0.10458,0.314964725295696,0.25228447948006,1.34503,5.14093160117845,0.1907739817688,0.0157640469402319,0.02312,0.02134,0.22104,0.324469991076424,0.03109,0.30941479001073,-0.0887742710156783,-1.66355549966781,-1.74545824817387
"4","2011_Q4",0.506031746031746,"Up",5517832,-3518328,1999504,-831925,-831925,1167579,2755,1170334,1170334,328268,1498602,1498602,1498602,1498602,3683049,3588049,4117647,4117647,414085,8214781,1240514,20207,20207,1260721,9475502,1923450,1474259,30477,1953927,100273,2054200,654460,6775281,-8439,7421302,7421302,9475502,1498602,77895,2166,-524383,1054280,-2549,-2549,-7976,-7976,1043755,1043755,-8695,1035060,1245474,130750,390274,0.36237,0.2116,0.27159,0.20193,0.15816,0.26043,4.20424,0.2768,0.0138,0.0722,0.06656,0.26586,0.35757,0.0188,0.19844,0.0516799999999996,-2.85217,-3.04245
"5","2012_Q1",0.513064516129032,"Up",6235875,-4095436,2140439,-1110302,-1110302,1030137,4571,1034708,1033384,-208957,824427,824427,824427,824427,4411725,4316725,4864616,4864616,331441,9607782,1216111,28306,28306,1244417,10852199,2492495,1941658,31142,2523637,92237,2615874,656626,7599708,-20009,8236325,8236325,10852199,824427,94125,3490,-129194,792848,-54347,-54347,-7371,-7371,731130,731130,-2454,728676,1124262,123379,1149678,0.34325,0.1652,0.13221,0.1001,0.07597,1.39452,3.80712,0.3176,0.01137,0.03971,0.03625,0.3004,0.39676,0.05538,0.09862,0.13753,-3.81437,-4.16289
"6","2012_Q2",0.596190476190476,"Up",6359891,-4113246,2246645,-884700,-884700,1361945,1537,1363482,1363672,-217138,1146534,1146534,1146534,1146534,4263789,4168789,5746945,5746945,289019,10299753,1145717,24501,24501,1170218,11469971,2031384,1704509,31810,2063194,84032,2147226,658792,8746242,-82289,9322745,9322745,11469971,1146534,76293,1976,-1330844,-106041,-6279.99999999999,-6279.99999999998,-7537,-7537,-119858,-119858,-28078,-147936,1438238,115842,318252,0.35325,0.21415,0.18028,0.12298,0.09996,0.27758,4.99214,0.23032,0.0101,0.05523,0.0504,0.30637,0.4491,0.01533,0.12147,0.03372,-2.88405,-3.04561
"7","2012_Q3",0.577777777777778,"Down",7041431,-4645288,2396143,-970330,-970330,1425813,116,1425929,1425929,-237920,1188009,1188009,1188009,1188009,4070522,3975522,6944808,6944808,308964,11324294,1159275,28892,28892,1188167,12512461,1870794,1849681,32483,1903277,75658,1978935,675958,9934251,-76683,10533526,10533526,12512461,1188009,75408,17166,-1380294,-99711,-88878,-88878,-7701,-7701,-196290,-196290,3023,-193267,1501221,108141,269969,0.34029,0.20249,0.16872,0.11278,0.09495,0.22724,5.94989,0.18787,0.00864,0.05723,0.05198,0.3392,0.50743,0.01301,0.11164,0.02537,-2.63944,-2.77903
"8","2012_Q4",0.536774193548387,"Down",7655044,-5056218,2598826,-1026160,-1026160,1572666,405,1573071,1573071,-297173,1275898,1275898,1275898,1275898,5122185,5027185,7185615,7185615,445679,12753479,1137874,28374,28374,1166248,13919727,2064352,1814172,33160,2097512,67112,2164624,678124,11210150,-133171,11755103,11755103,13919727,1275898,80268,2166,-215272,1143060,-59983,-59983,-7869,-7869,1075208,1075208,-23545,1051663,1652934,100272,1674852,0.33949,0.20544,0.16667,0.10854,0.09166,1.31268,6.08029,0.18414,0.0072,0.06146,0.05541,0.36876,0.56627,0.08068,0.10762,0.14127,-3.03818,-3.19325
"9","2013_Q1",0.720166666666667,"Up",8170801,-5540688,2630113,-1256921,-1256921,1373192,1593,1374785,1392940,-316375,1076565,1076565,1076565,1076565,6633113,6538113,7580167,7580167,382773,14596053,1113371,25592,25592,1138963,15735016,2736082,2562462,39436,2775518,83912,2859430,680290,12286714,-91418,12875586,12875586,15735016,1076565,89763,-15989,371419,1521758,-13385,-13385,-9719,-9719,1498654,1498654,12274,1510928,1462955,123348,2137364,0.32189,0.16806,0.13176,0.08361,0.06842,1.98536,5.25886,0.22208,0.00784,0.05186,0.04655,0.39361,0.62025,0.10296,0.08282,0.16443,-4.44974,-4.74061
"10","2013_Q2",0.76671875,"Up",7654392,-5087624,2566768,-1276464,-1276464,1290304,229,1290533,1290533,-237288,1053245,1053245,1053245,1053245,7106951,7011951,7719623,7719623,435591,15262165,1114358,25755,25755,1140113,16402278,2159277,1894593,40231,2199508,73554,2273062,852315,13339959,-63058,14129216,14129216,16402278,1053245,81078,2166,-693503,442986,-81455,-81455,-9563,100296,461827,461827,12011,473838,1371382,113785,833712,0.33533,0.16857,0.1376,0.07454,0.06421,0.79157,6.9389,0.16088,0.00694,0.05067,0.04616,0.36825,0.67975,0.04011,0.07395,0.05853,-5.09936,-5.41978
