"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.374126984127,"Down",2.927e+09,-1.884e+09,1.043e+09,-9.1e+08,-6.83e+08,-2.27e+08,1.33e+08,-2.1e+07,-1.9e+07,-2e+06,1.12e+08,1.12e+08,-1.72e+08,-6e+07,-6e+07,-6.3e+07,-6.3e+07,2.673e+09,2.673e+09,2.254e+09,2.477e+09,6.11e+08,6.11e+08,8.015e+09,5.064e+09,4.087e+09,2.002e+09,5.56e+08,1.529e+09,9.151e+09,1.7166e+10,3.587e+09,6.97e+08,6.82e+08,4.284e+09,4.056e+09,2.167e+09,2.167e+09,6.223e+09,1.0507e+10,6.358e+09,6.83e+08,5.675e+09,-4.926e+09,7.03e+09,-2.033e+09,6.429e+09,2.3e+08,6.659e+09,1.7166e+10,-6e+07,-6e+07,1.66e+08,4.01e+08,3e+07,9.1e+07,2.8e+08,-2.28e+08,-3.3e+07,-9.4e+07,-1.01e+08,2.79e+08,-2.3e+08,-2.3e+08,-2.34e+08,-2.34e+08,-4.64e+08,-1.74e+08,5.89e+08,1.39e+08,1.19e+08,-6.6e+07,-6.6e+07,-4.7e+07,-1.13e+08,2.99e+08,4.753e+09,1.3e+07,0.35634,0.04544,-0.02152,-0.00946,-0.00367,-0.20635,1.87092,1.57786,0.27688,-0.10465,-0.10465,4.86213,10.6794,0.02159,0.28904,65.917224892535,0.00817,0.00096,-2.7619,6.95652,15.6391
"2","2010_Q3",19.4965625,"Down",3.194e+09,-1.556e+09,1.638e+09,-9.4e+08,-7.21e+08,-2.19e+08,6.98e+08,-2.8e+07,-2.5e+07,-3e+06,6.7e+08,6.7e+08,-1.33e+08,5.37e+08,5.37e+08,5.35e+08,5.35e+08,2.3e+09,2.3e+09,2.072e+09,2.384e+09,6.19e+08,6.19e+08,7.375e+09,4.983e+09,4.129e+09,1.956e+09,5.22e+08,1.651e+09,9.112e+09,1.6487e+10,3.39e+09,6.95e+08,6.8e+08,4.085e+09,4.119e+09,2.149e+09,2.149e+09,6.268e+09,1.0353e+10,6.385e+09,6.83e+08,5.702e+09,-5.515e+09,7.376e+09,-2.348e+09,5.898e+09,2.36e+08,6.134e+09,1.6487e+10,5.37e+08,5.37e+08,1.69e+08,1.58e+08,3.3e+07,2.9e+07,9.6e+07,-8.1e+07,-4999999.99999999,-2.5e+07,-5.1e+07,7.83e+08,-2.37e+08,-2.37e+08,-2e+07,-2e+07,-2.57e+08,-1.74e+08,-1999999.99999988,6.4e+07,-7.89e+08,-2.63e+08,-2.63e+08,-1.1e+08,-3.73e+08,8.67e+08,4.814e+09,6.82e+08,0.51284,0.21853,0.1675,0.08722,0.03245,1.27477,1.80539,1.68781,0.29199,0.90372,0.8887,5.39527,9.96284,1.15203,0.29392,34.3984582736306,0.05413,0.05207,0.325229999999999,2.89965,3.60172
"3","2010_Q4",22.1803125,"Up",3.224e+09,-1.565e+09,1.659e+09,-8.77e+08,-6.7e+08,-2.07e+08,7.82e+08,-1.41e+08,-2.4e+07,-1.17e+08,6.41e+08,6.41e+08,-1.17e+08,5.24e+08,5.24e+08,5.25e+08,5.25e+08,2.788e+09,2.788e+09,2.205e+09,2.5e+09,6.47e+08,6.47e+08,8.14e+09,5.208e+09,4.215e+09,2.027e+09,5.18e+08,1.67e+09,9.423e+09,1.7563e+10,3.676e+09,5.23e+08,5.08e+08,4.199e+09,4.36e+09,2.241e+09,2.241e+09,6.601e+09,1.08e+10,6.412e+09,6.83e+08,5.729e+09,-5.627e+09,7.717e+09,-1.971e+09,6.531e+09,2.32e+08,6.763e+09,1.7563e+10,5.24e+08,5.24e+08,1.71e+08,1.61e+08,2.9e+07,4.9e+07,8.3e+07,1.5e+08,1.1e+07,2.5e+07,1.14e+08,1.006e+09,-2.32e+08,-2.32e+08,-2e+07,-2e+07,-2.52e+08,-1.71e+08,2e+06,2.2e+07,-3.08e+08,4.46e+08,4.46e+08,4.2e+07,4.88e+08,9.53e+08,4.883e+09,9.88e+08,0.51458,0.24256,0.16284,0.07763,0.02989,1.8819,1.93856,1.59692,0.27803,0.89744,0.89438,5.51111,11.1641,1.68889,0.29231,14.9593833094522,0.05012,0.07115,0.32571,2.19832,2.67903
"4","2011_Q1",22.7383870967742,"Up",3.498e+09,-1.88e+09,1.618e+09,-1.095e+09,-8.33e+08,-2.62e+08,5.23e+08,-5.6e+07,-1.9e+07,-3.7e+07,4.67e+08,4.67e+08,-4.1e+07,4.26e+08,4.26e+08,4.23e+08,4.23e+08,2.685e+09,2.685e+09,2.265e+09,2.371e+09,6.68e+08,3.45e+08,7.989e+09,5.26e+09,4.24e+09,2.015e+09,5e+08,1.725e+09,9.5e+09,1.7489e+10,4.017e+09,2.4e+07,9000000.00000006,4.041e+09,4.363e+09,2.289e+09,2.289e+09,6.652e+09,1.0693e+10,6.436e+09,6.83e+08,5.753e+09,-5.655e+09,7.925e+09,-2.139e+09,6.567e+09,2.29e+08,6.796e+09,1.7489e+10,4.26e+08,4.26e+08,1.79e+08,2.47e+08,2.8e+07,-9.3e+07,3.12e+08,8.3e+07,-9.5e+07,1.14e+08,6.4e+07,9.35e+08,-2.64e+08,-2.64e+08,-2.7e+07,-4.5e+07,-2.91e+08,-1.69e+08,-4.98e+08,1.09e+08,-7.38e+08,-9.4e+07,-9.4e+07,-8999999.99999997,-1.03e+08,7.02e+08,4.387e+09,5.62e+08,0.46255,0.14951,0.12093,0.06224,0.02419,1.32861,1.97699,1.57343,0.25084,0.72806,0.72308,6.02065,11.30293,0.9673,0.29088,5,0.04394,0.04172,0.39953,2.4245,3.2543
"5","2011_Q2",25.7061904761905,"Up",3.284e+09,-1.609e+09,1.675e+09,-9.3e+08,-7.16e+08,-2.14e+08,7.45e+08,-1.4e+07,-1e+07,-4e+06,7.31e+08,7.31e+08,-1.54e+08,5.77e+08,5.77e+08,5.7e+08,5.7e+08,2.168e+09,2.168e+09,2.399e+09,2.517e+09,6.77e+08,6.77e+08,7.761e+09,5.419e+09,4.233e+09,2.06e+09,5e+08,1.673e+09,9.652e+09,1.7413e+10,3.866e+09,2.3e+07,9e+06,3.889e+09,4.351e+09,2.202e+09,2.202e+09,6.553e+09,1.0442e+10,6.42e+09,6.83e+08,5.737e+09,-6.127e+09,8.316e+09,-1.875e+09,6.734e+09,2.37e+08,6.971e+09,1.7413e+10,5.77e+08,5.77e+08,1.58e+08,-1e+08,2.8e+07,9.1e+07,-2.19e+08,-2.64e+08,-6.8e+07,-6.1e+07,-1.35e+08,3.71e+08,-1.98e+08,-1.98e+08,-1.4e+07,-1.4e+07,-2.12e+08,-1.8e+08,-1e+06,1.3e+08,-6.88e+08,-5.29e+08,-5.29e+08,1.2e+07,-5.17e+08,9.03e+08,4.374e+09,5.95e+08,0.51005,0.22686,0.17357,0.08177,0.03273,1.04386,1.99563,1.49792,0.25119,0.98787,0.98107,5.69151,11.67071,1.0312,0.31196,1.92030834527389,0.05536,0.04392,0.31579,2.44297,2.96107
"6","2011_Q3",25.2290625,"Down",3.536e+09,-1.701e+09,1.835e+09,-1.004e+09,-7.65e+08,-2.39e+08,8.31e+08,-2.8e+07,-1.5e+07,-1.3e+07,8.03e+08,8.03e+08,-1.74e+08,6.29e+08,6.29e+08,6.15e+08,6.15e+08,2.018e+09,2.018e+09,2.491e+09,2.648e+09,6.52e+08,6.52e+08,7.809e+09,5.481e+09,4.451e+09,2.168e+09,7.02e+08,1.581e+09,9.932e+09,1.7741e+10,4.009e+09,2.2e+07,9e+06,4.031e+09,4.378e+09,2.088e+09,2.088e+09,6.466e+09,1.0497e+10,6.434e+09,6.83e+08,5.751e+09,-6.419e+09,8.754e+09,-1.772e+09,6.997e+09,2.47e+08,7.244e+09,1.7741e+10,6.29e+08,6.29e+08,1.69e+08,65000000.0000001,3.3e+07,6.9e+07,-3.7e+07,-2.31e+08,-8.9e+07,-1.53e+08,1.1e+07,6.32e+08,-2.1e+08,-2.1e+08,-8.2e+07,-1.88e+08,-2.92e+08,-1.78e+08,-2e+06,1.6e+08,-4.98e+08,-1.58e+08,-1.58e+08,8e+06,-1.5e+08,1e+09,4.4e+09,7.33e+08,0.51895,0.23501,0.17393,0.0849,0.03467,1.19187,1.93724,1.44906,0.24801,1.08084,1.06957,6.21441,12.29701,1.28822,0.31283,3.12030834527389,0.05775,0.05338,0.28943,2.382,2.86643
"7","2011_Q4",23.6206349206349,"Down",3.479e+09,-1.708e+09,1.771e+09,-1.026e+09,-7.87e+08,-2.39e+08,7.45e+08,-1.8e+07,-1.4e+07,-4e+06,7.27e+08,7.27e+08,-1.49e+08,5.78e+08,5.78e+08,5.76e+08,5.76e+08,2.338e+09,2.338e+09,2.347e+09,2.621e+09,6.96e+08,6.96e+08,8.002e+09,5.426e+09,4.415e+09,2.119e+09,7.1e+08,1.586e+09,9.841e+09,1.7843e+10,4.07e+09,9.5e+07,8e+06,4.165e+09,4.447e+09,2.041e+09,2.041e+09,6.488e+09,1.0653e+10,6.455e+09,6.83e+08,5.772e+09,-6.608e+09,9.154e+09,-2.049e+09,6.952e+09,2.38e+08,7.19e+09,1.7843e+10,5.78e+08,5.78e+08,1.76e+08,1.37e+08,3.3e+07,5.8e+07,4.6e+07,3.1e+07,5.5e+07,-5.8e+07,3.4e+07,9.22e+08,-2.35e+08,-2.35e+08,-2.7e+07,-2.7e+07,-2.62e+08,-1.76e+08,7.3e+07,9.5e+07,-3.06e+08,3.54e+08,3.54e+08,-3.4e+07,3.2e+08,9.21e+08,4.542e+09,8.66e+08,0.50905,0.21414,0.16556,0.08011,0.03228,1.50347,1.92125,1.48164,0.25455,1.01587,1.0123,6.1358,12.26102,1.52734,0.31041,6,0.0546,0.06288,0.30556,2.39305,2.95839
"8","2012_Q1",25.5666129032258,"Up",3.594e+09,-1.829e+09,1.765e+09,-1.14e+09,-8.86e+08,-2.54e+08,6.25e+08,-7.7e+07,-1.5e+07,-6.2e+07,5.48e+08,5.48e+08,-7.6e+07,4.72e+08,4.72e+08,4.63e+08,4.63e+08,2.905e+09,2.905e+09,2.42e+09,2.628e+09,6.97e+08,4.02e+08,8.65e+09,5.525e+09,4.898e+09,2.317e+09,8.26e+08,1.755e+09,1.0423e+10,1.9073e+10,4.411e+09,4.46e+08,1.9e+08,4.857e+09,4.749e+09,2.639e+09,2.639e+09,7.388e+09,1.2245e+10,6.466e+09,6.83e+08,5.783e+09,-6.719e+09,9.429e+09,-2.591e+09,6.585e+09,2.43e+08,6.828e+09,1.9073e+10,4.72e+08,4.72e+08,1.67e+08,2.35e+08,2.5e+07,-4.6e+07,2.56e+08,1.8e+07,-1.27e+08,-4.3e+07,1.88e+08,8.92e+08,-3.17e+08,-3.17e+08,-3.44e+08,-3.61e+08,-6.61e+08,-1.75e+08,6.63e+08,3.7e+07,3.55e+08,5.86e+08,5.86e+08,-1.9e+07,5.67e+08,7.92e+08,5.195e+09,5.69e+08,0.4911,0.1739,0.12883,0.06781,0.02428,1.22894,1.78093,1.79335,0.27237,0.82238,0.81658,6.38366,11.69627,1.01066,0.31083,7,0.04351,0.03881,0.37797,2.89141,3.664
"9","2012_Q2",24.4422222222222,"Down",3.388e+09,-1.674e+09,1.714e+09,-1.021e+09,-7.52e+08,-2.69e+08,6.93e+08,3.9e+07,-1.8e+07,5.7e+07,7.32e+08,7.32e+08,-1.44e+08,5.88e+08,5.88e+08,5.88e+08,5.88e+08,2.272e+09,2.272e+09,2.341e+09,2.737e+09,7.67e+08,7.67e+08,8.117e+09,5.637e+09,5.03e+09,2.488e+09,9.17e+08,1.625e+09,1.0667e+10,1.8784e+10,4.059e+09,7.98e+08,4.85e+08,4.857e+09,4.411e+09,2.552e+09,2.552e+09,6.963e+09,1.182e+10,6.449e+09,6.83e+08,5.766e+09,-7.106e+09,9.831e+09,-2.449e+09,6.725e+09,2.39e+08,6.964e+09,1.8784e+10,5.88e+08,5.88e+08,1.75e+08,1.9e+07,2.8e+07,5.4e+07,-6.3e+07,-3.36e+08,2.4e+07,-7.2e+07,-2.88e+08,4.46e+08,-2.39e+08,-2.39e+08,-2.94e+08,-3.37e+08,-5.33e+08,-1.88e+08,5.9e+07,1.56e+08,-5.48e+08,-6.35e+08,-6.35e+08,2e+06,-6.33e+08,8.68e+08,5.209e+09,4.37e+08,0.5059,0.20455,0.17355,0.08443,0.0313,0.7432,1.6712,1.6973,0.27731,1.05188,1.0444,6.06082,12.03041,0.78175,0.33631,4,0.0527,0.02968,0.31973,3.38364,4.2381
"10","2012_Q3",26.7557142857143,"Up",3.572e+09,-1.7e+09,1.872e+09,-1.095e+09,-7.89e+08,-3.06e+08,7.77e+08,4e+07,-2.2e+07,6.2e+07,8.17e+08,8.17e+08,-1.56e+08,6.61e+08,6.61e+08,6.61e+08,6.61e+08,2.353e+09,2.353e+09,2.225e+09,2.73e+09,7.4e+08,7.4e+08,8.048e+09,5.623e+09,4.775e+09,2.467e+09,8.87e+08,1.421e+09,1.0398e+10,1.8446e+10,3.988e+09,8.82e+08,4.97e+08,4.87e+09,4.432e+09,2.532e+09,2.532e+09,6.964e+09,1.1834e+10,6.448e+09,6.83e+08,5.765e+09,-7.466e+09,1.0306e+10,-2.737e+09,6.551e+09,6.1e+07,6.612e+09,1.8446e+10,6.61e+08,6.61e+08,1.8e+08,5999999.99999997,3.5e+07,6.5e+07,-9.4e+07,1.21e+08,9e+07,-2.8e+07,59000000.0000001,9.68e+08,-2.64e+08,-2.64e+08,-1.1e+07,-4.2e+07,-2.75e+08,-1.86e+08,7.3e+07,-7.8e+07,-5.76e+08,1.17e+08,1.17e+08,-3.6e+07,8.1e+07,9.57e+08,5.314e+09,9.7e+08,0.52408,0.21753,0.18505,0.09997,0.03583,1.46747,1.65257,1.78978,0.28808,1.20401,1.1953,6.50638,11.9326,1.76685,0.3388,7,0.05858,0.06709,0.28139,3.09404,3.81081
