"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",15.6915625,"Down",1250000,-14581000,-2929000,-11652000,-13331000,377000,603000,-12954000,-12954000,-12954000,-12954000,-12954000,-12954000,280180000,198116000,82064000,1888000,1834000,54000,282068000,11813000,408000,408000,23331000,305399000,7530000,3920000,3610000,6732000,5e+06,1732000,14262000,24546000,17337000,7209000,24546000,38808000,352876000,-86188000,-97000,266591000,266591000,305399000,-12954000,828000,794000,-1915000,-13247000,-1054000,-1054000,-1054000,-15437000,-16491000,129563000,129563000,129428000,99690000,99690000,99690000,-12503000,0,-10.6648,-10.3632,-0.04859,-0.04242,19.77759,0.14557,0,-1.36525,-1.36525,0.13174,28.09666,-0.04449,22.40902,21.01718
"2","2018_Q3",12.7526984126984,"Down",1250000,-17150000,-3450000,-13700000,-15900000,1137000,1288000,-14763000,-13534000,-13534000,-13534000,-13534000,-13534000,265698000,169998000,95700000,1743000,1550000,193000.000000002,267441000,12513000,408000,408000,26424000,293865000,9730000,5388000,4342000,6650000,5e+06,1650000,16380000,22911000,16087000,6824000,22911000,39291000,354379000,-99722000,-83000,254574000,254574000,293865000,-13534000,915000,-218999.999999998,1961000,-10877000,-1304000,-1304000,-1304000,-14819000,-16123000,-1118000,-1118000,-1118000.00000003,-28118000,-28118000,-28118000,-14985000,0,-12.72,-10.8272,-0.05316,-0.04606,16.32729,0.15434,0,-0.3182,-0.3182,0.02939,5.98524,-0.04877,17.73093,16.71057
"3","2018_Q4",11.6730158730159,"Down",4291000,-16435000,-3577000,-12858000,-12144000,1333000,1519000,-10811000,-10811000,-10811000,-10811000,-10811000,-10811000,257837000,74889000,182948000,7443000,2329000,5114000,265280000,11762000,408000,408000,21441000,286721000,8776000,2109000,6667000,7835000,6250000,1585000,16611000,24989000,18546000,6443000,24989000,41600000,355762000,-110533000,-108000,245121000,245121000,286721000,-10811000,974000,-4704000,2776000,-11765000,-1127000,-1127000,-1127000,-82210000,-83337000,-7000,-7000,-7000,-95109000,-95109000,-95109000,-11170000,0,-2.83011,-2.51946,-0.0441,-0.03771,15.97014,0.16971,0,-0.25237,-0.25237,0.10017,5.72203,-0.04002,23.08299,21.23164
"4","2019_Q1",10.8532786885246,"Down",1562000,-15046000,-3610000,-11436000,-13484000,1189000,1512000,-12295000,-12295000,-12295000,-12295000,-12295000,-12295000,256544000,71064000,185480000,2404000,2321000,82999.9999999991,258948000,11107000,487000,487000,15977000,274925000,9125000,3102000,6023000,7810000,6250000,1560000,16935000,23048000,16984000,6064000,23048000,39983000,357877000,-122828000,-107000,234942000,234942000,274925000,-12295000,947000,5673000,-1432000,-7107000,-261810000,-261810000,-261810000,112466000,2511000,771000,771000,771000,-3825000,-3825000,-3825000,-12537000,0,-8.63252,-7.87132,-0.05233,-0.04472,15.2907,0.17018,0,-0.28191,-0.28191,0.03582,5.38699,-0.04766,20.46295,19.02581
"5","2019_Q2",10.0115873015873,"Down",1750000,-20523000,-4969000,-15554000,-18773000,1103000,1534000,-17670000,-17670000,-17670000,-17670000,-17670000,-17670000,241935000,68499000,173436000,3080000,3080000,-3040715.47374425,245015000,11026000,518000,518000,13515000,258530000,10458000,2829000,7629000,8545000,7e+06,1545000,19003000,17960000,12272000,5688000,17960000,36963000,359824000,-138286000,29000,221567000,221567000,258530000,-17670000,953000,1441000,-1563000,-16839000,-628000,-628000,-628000,14907000,14279000,1715518.60044785,1722614.23466732,-5000,-2565000,-2565000,-2565000,-17820000,0,-10.72743,-10.09714,-0.07975,-0.06835,12.89349,0.16683,0,-0.40613,-0.40613,0.04022,5.09249,-0.07377,13.5766,12.88739
"6","2019_Q3",8.03453125,"Down",1750000,-30909000,-5910000,-24999000,-29159000,1069000,1482000,-28090000,-28090000,-28090000,-28090000,-28090000,-28090000,224398000,76068000,148330000,3335000,3273000,62000.0000000019,227733000,10362000,522000,522000,11241000,238974000,1.8e+07,2448000,15552000,8513000,7e+06,1513000,26513000,15815000,10522000,5293000,15815000,42328000,362909000,-166376000,113000,196646000,196646000,238974000,-28090000,883000,1648000,5806000,-19753000,-551000,-551000,-551000,27224000,26673000,694999.999999998,694999.999999998,649000,7569000,7569000,7569000,-28276000,0,-16.66229,-16.05143,-0.14285,-0.11754,8.58948,0.21525,0,-0.64135,-0.64135,0.03996,4.48983,-0.13221,7.93599,7.69567
"7","2019_Q4",8.40921875,"Up",1750000,-2.5e+07,-7758000,-17242000,-23250000,898000,1256000,-22352000,-22352000,-22352000,-22352000,-22352000,-22352000,190989000,78992000,111997000,9499000,4223000,5276000,200488000,10011000,466000,466000,16469000,216957000,12567000,2905000,9662000,8490000,7e+06,1490000,21057000,18673000,13772000,4901000,18673000,39730000,365902000,-188728000,53000,177227000,177227000,216957000,-22352000,886000,-2749000,-3184000,-27399000,-550000,-550000,-550000,30914000,30364000,2000,2000,-41000,2924000,2924000,2924000,-22364000,0,-13.28571,-12.77257,-0.12612,-0.10303,9.5212,0.22418,0,-0.50865,-0.50865,0.03982,4.03304,-0.1141,8.54002,8.21458
"8","2020_Q1",12.436935483871,"Up",9750000,-27277000,-6591000,-20686000,-17527000,929000,929000,-16598000,-16598000,-16598000,-16598000,-16598000,-16598000,188270000,57937000,130333000,4435000,4052000,383000,192705000,9330000,1075000,1075000,10405000,203110000,14226000,4704000,9522000,8480000,7e+06,1480000,22706000,16562000,12022000,4540000,16562000,39268000,369104000,-205326000,64000,163842000,163842000,203110000,-16598000,856000,7156000,-885000,-9471000,-196000,-195999.999999998,-195999.999999998,-320800000,-12104000,426000.000000004,520000.000000004,519999.999999996,-21055000,-21055000,-21055000,-16671000,0,-1.79764,-1.70236,-0.1013,-0.08172,8.48696,0.23967,0,-0.37677,-0.37677,0.22132,3.71916,-0.092,11.29326,10.74171
"9","2020_Q2",26.9865079365079,"Up",1750000,-30150000,-7008000,-23142000,-28400000,165000,647000,-28235000,-27753000,-27753000,-27753000,-27753000,-27753000,157866000,67326000,90540000,8351000,8007000,344000,166217000,8761000,1166000,1166000,9927000,176144000,12596000,2426000,10170000,8408000,7e+06,1408000,21004000,14502000,10272000,4230000,14502000,35506000,373429000,-233079000,288000,140638000,140638000,176144000,-27753000,842000,3146000,-7512000,-31277000,-209000,-209000,-209000,-8885000,40056000,610000,643000,610000,9389000,9389000,9389000,-27558000,0,-16.22857,-15.85886,-0.19734,-0.15756,7.91359,0.25246,0,-0.62672,-0.62672,0.03952,3.17592,-0.17889,5.7285,5.55866
"10","2020_Q3",22.34109375,"Down",1750000,-47125000,-11432000,-35693000,-45375000,170000,301000,-45205000,-45074000,-45074000,-45074000,-45074000,-45074000,462473000,285185000,177288000,9126000,8665000,461000,471599000,8264000,1526000,1526000,9790000,481389000,31562000,12052000,19510000,8463000,7e+06,1463000,40025000,12654000,8522000,4132000,12654000,52679000,706719000,-278153000,144000,428710000,428710000,481389000,-45074000,787000,4667000,15682000,-23938000,-256000,-256000,-256000,-130804000,-87073000,328870000,328870000,328870000,217859000,217859000,217859000,-44588000,0,-25.92857,-25.75657,-0.10514,-0.09363,11.78261,0.12288,0,-0.92827,-0.92827,0.0360400000000001,8.82903,-0.10212,10.37214,10.19224
