"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","provision_for_doubtful_accounts","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",2.42734375,"Up",12733000,-3837000,8896000,-8069000,-6460000,-1703000,-4757000,-624000,-985000,827000,-609000,-609000,-855892.413068789,218000,468000,-295000,173000,173000,173000,173000,4586285.48440718,4586285.48440718,12352328.9602772,12352328.9602772,6572109.18111398,1177231.02268502,-976760.600787192,24687954.6484834,14464383.7901838,14464383.7901838,101193707.301263,26563214.8811614,375764.753488148,115658091.091446,140346045.73993,-406799.100796476,-301309.637087863,5456658.28187545,6481545.67894204,5853192.5914339,11531404.860021,28270829.5940548,60103945.2742323,71635350.1342533,87509301.9107943,-18490086.1465616,68710695.6056766,68710695.6056766,140346045.73993,0,0.69866,0.06495,0.01359,0.306355691189729,0.395808806763547,2.0779839123918,1.60611921091291,0.306368044183413,0.00869,0.00773,0.63951,3.67045676495508,0.40860329501396,8.60031794755089
"2","2011_Q1",2.66064516129032,"Up",13075000,-4066000,9009000,-12013000,-10308000,-2348000,-7960000,-644000,-1061000,-3004000,-829000,-571000,-258000,-3833000,-3416000,1259000,-2157000,-2157000,-2157000,-2157000,5014000,5014000,6679000,6679000,1699000,1897000,750000,15289000,16672000,16672000,98403000,33252000,1059000,115075000,130364000,2016000,2016000,5551000,4814000,4631000,12381000,27052000,32840000,45221000,87006000,-1799000,85143000,85143000,130364000,32603000,0.68902,-0.22975,-0.16497,-0.02533,-0.01655,1.23488,0.53112,0.25009,-0.10643,-0.12949,0.64512,4.20096,-0.01746,-9.18409
"3","2011_Q2",2.42888888888889,"Down",12957000,-3904000,9053000,-8826000,-6959000,-2442000,-4517000,-645000,-1222000,227000,-544000,-541000,-3000,-317000,-317000,146000,-171000,-171000,-171000,-171000,3704821.50519761,3704821.50519761,5481473.6799076,5481473.6799076,524963.606295339,2193339.65910499,1208086.86692906,11904598.4505055,17254872.0699387,17254872.0699387,83621097.5662458,33990511.7062795,1361411.74883728,100875969.636185,112780568.08669,2314516.36693216,2294103.21236262,5929530.57270818,3544401.44035265,3451269.1361887,11788448.379993,26250890.1353151,24076851.5752559,35865299.9552489,86925482.6964019,-9984054.6178128,76915268.1314411,76915268.1314411,112780568.08669,0,0.6987,0.01752,-0.0132,-0.315634397063243,-0.237102102254516,1.01076286253607,0.343881929695697,0.276877318605529,-0.00867,-0.00867,0.657,3.68767441168164,-0.247601098337987,14.5494481841497
"4","2011_Q3",1.6353125,"Down",13133000,-4144000,8989000,-8168000,-6577000,-2327000,-4250000,-664000,-927000,821000,-561000,-564000,3000,260000,-43870000,15985000,-27885000,-27885000,-27885000,-27885000,1723000,1723000,6727000,6727000,1406000,2185000,976000,12041000,16934000,16934000,64589000,31469000,1387000,81523000,93564000,1716000,1716000,6419000,2774000,2579000,10909000,25502000,25502000,36411000,87105000,-29854000,57153000,57153000,93564000,31921000,0.68446,0.06251,-2.12328,-0.4879,-0.29803,1.10377,0.63708,0.34117,-1.32277,-1.32277,0.62299,2.71116,-0.31305,36.78197
"5","2011_Q4",1.32730158730159,"Down",14505000,-5273000,9232000,-8347000,-6780000,-2320000,-4460000,-683000,-884000,885000,-659000,-541000,-118000,226000,-23153000,6530000,-16623000,-16623000,-16623000,-16623000,433000,433000,7983000,7983000,2155000,1985000,736000,12556000,16883000,16883000,50053000,28683000,1235000,66936000,79492000,1945000,1945000,6673000,2363000,2061000,10981000,24540000,27790000,38771000,87363000,-46477000,40721000,40721000,79492000,31213000,0.63647,0.06101,-1.14602,-0.40822,-0.20912,1.14343,0.95211,0.39266,-0.78904,-0.78904,0.68851,1.9329,-0.2211,34.77966
"6","2012_Q1",1.88693548387097,"Up",14042000,-5961000,8081000,-8778000,-7042000,-2282000,-4760000,-670000,-1066000,-697000,-540000,-547000,7000,-1237000,-1237000,473000.000000001,-764000,-764000,-764000,-764000,799000,799000,7350000,7350000,1309000,1714000,1032000,11172000,17672000,17672000,47419000,28221000,1011000,65091000,76263000,4063000,4004000,6576000,2493000,2235000,13132000,22966000,22966000,36098000,87543000,-47242000,40165000,40165000,76263000,29542000,0.57549,-0.04964,-0.0544100000000001,-0.0190199999999999,-0.01002,0.85075,0.89874,0.38737,-0.0362599999999998,-0.0362599999999998,0.66652,1.90648,-0.01096,-41.23816
"7","2012_Q2",2.02873015873016,"Up",14348000,-3912000,10436000,-10949000,-9018000,-2745000,-6273000,-684000,-1247000,-513000,-599000,-601000,2000,-1112000,-1112000,197000,-915000,-915000,-915000,-915000,0,0,8320000,8320000,3918000,1558000,877000,13796000,14864000,14864000,46970000,27597000,876000,61834000,75630000,3180000,3180000,6303000,5132000,4876000,14615000,21478000,21478000,36093000,87829000,-48157000,39537000,39537000,75630000,27781000,0.72735,-0.03575,-0.06377,-0.02314,-0.0121,0.94396,0.91289,0.36733,-0.0433,-0.0433,0.67895,1.87091,-0.01359,-54.154
"8","2012_Q3",1.87809523809524,"Down",14072000,-3798000,10274000,-10245000,-8678000,-2541000,-6137000,-674000,-893000,29000,-663000,-663000,0,-634000,-1186000,358000,-828000,-828000,-828000,-828000,804000,804000,7752000,7752000,3885000,1394000,748000,13835000,14440000,14440000,46448000,26924000,652000,60888000,74723000,4778000,4778000,6256000,4918000,4682000,15952000,19570000,19570000,35522000,88186000,-48985000,39201000,39201000,74723000,25826000,0.7301,0.00206,-0.05884,-0.02112,-0.01108,0.86729,0.90615,0.34562,-0.03906,-0.03906,0.6639,1.84945,-0.01273,862.82759
"9","2012_Q4",1.62370967741935,"Down",14175000,-3978000,10197000,-9276000,-7627000,-2349000,-5278000,-670000,-979000,921000,-1107000,-971000,-136000,-186000,-186000,219000,33000,33000,33000,33000,1464000,1464000,7629000,7629000,3804000,1282000,635000,14179000,14037000,14037000,45807000,26260000,545000,59844000,74023000,4899000,4857000,22403000,5457000,5234000,32759000,1928000,1928000,34687000,88288000,-48952000,39336000,39336000,74023000,24331000,0.71937,0.06497,0.00233,0.00084,0.00045,0.43283,0.88181,0.3287,0.00153,0.00153,0.65611,1.82071,0.00052,24.82845
"10","2013_Q1",1.662,"Up",16233000,-4229000,12004000,-10441000,-7603000,-2229000,-5374000,-706000,-2132000,1563000,-1112000,-1105000,-7000,451000,332000,-111000,221000,221000,221000,221000,2326000,2326000,8511000,8511000,1339000,2655000,684000,14831000,16564000,16564000,46128000,25541000,2781000,62692000,77523000,2144000,2135000,3953000,4098000,4098000,10195000,27315000,27315000,37510000,88744000,-48731000,40013000,40013000,77523000,31268000,0.73948,0.09629,0.01361,0.00552,0.00285,1.45473,0.93745,0.40334,0.01014,0.01014,0.74509,1.83658,0.0031,18.5169499999997
