"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.96,"Down",66300000,-9520000,56780000,-53110000,-43575000,-35826000,-7749000,-8640000,-895000,3670000,92000,92000,119000,3762000,3762000,-264000,3498000,3498000,3498000,3498000,180434000,172890000,45547000,45547000,23269000,249250000,6166000,25149000,1473000,31315000,280565000,24145000,2724000,21421000,83390000,83390000,107535000,15334000,8662000,6672000,15334000,122869000,245031000,-87415000,80000,157696000,157696000,280565000,3498000,923000,2583000,8915000,15919000,-773000,-773000,-773000,-2501000,-3274000,-8496000,554000,-7942000,4703000,4703000,-1331000,3372000,4593000,0,12999000,0.85641,0.05535,0.05276,0.02218,0.01247,3.71612,2.31785,0.77915,0,0.08103,0.07588,1.53586,3.65308,0.30113,5,0.02022,0.07513,-39.28456,-49.16458
"2","2010_Q3",22.67140625,"Up",75226000,-9517000,65709000,-56479000,-46951000,-38559000,-8392000,-8615000,-913000,9230000,128000,128000,154000,9358000,9358000,-3939000,5419000,5419000,5419000,5419000,178801000,172858000,52282000,52282000,23427000,254510000,6581000,25701000,1681000,32282000,286792000,26025000,2013000,24012000,87265000,87265000,113290000,17579000,10414000,7165000,17579000,130869000,251998000,-96325000,250000,155923000,155923000,286792000,5419000,944000,-21000,1190000,7532000,-1028000,-1028000,-1028000,1601000,573000,-13165000,2418000,-10747000,-2642000,-2642000,2610000,-32000,10174000,0,14275000,0.87349,0.1227,0.07204,0.03475,0.0189,2.63425,2.24654,0.83932,0,0.12629,0.11843,1.75311,3.63372,0.33267,5,0.03123,0.08228,-17.57431,-19.37172
"3","2010_Q4",28.95578125,"Up",83629000,-10154000,73475000,-62990000,-52412000,-43877000,-8535000,-9600000,-978000,10485000,135000,135000,162000,10620000,10620000,-3368000,7252000,7252000,7252000,7252000,193543000,191393000,65648000,65648000,22276000,281467000,6516000,25512000,1645000,32028000,313495000,30103000,1763000,28340000,90833000,90833000,120936000,19553000,12334000,7219000,19553000,140489000,261778000,-89073000,301000,173006000,173006000,313495000,7252000,1014000,4999000,-3260000,10005000,-1199000,-1199000,-1199000,3793000,2594000,4026000,1591000,5617000,18216000,18216000,319000,18535000,11499000,0,10408000,0.87858,0.12538,0.08672,0.04192,0.02313,1.43519,2.3274,0.81205,0,0.16741,0.15631,1.93058,3.99386,0.24027,6,0.03766,0.05405,-16.83129,-18.45904
"4","2011_Q1",34.1535483870968,"Up",89621000,-11824000,77797000,-65411000,-54323000,-44792000,-9531000,-10099000,-989000,12386000,189000,189000,215000,12575000,12575000,-7740000,4835000,4835000,4835000,4835000,218320000,217170000,73891000,73891000,20519000,312730000,6400000,23369000,1633000,29769000,342499000,35133000,1658000,33475000,98217000,98217000,133350000,21019000,14695000,6324000,21019000,154369000,272062000,-84239000,307000,188130000,188130000,342499000,4835000,1025000,8816000,4278000,18954000,-865000,-865000,-865000,1e+06,135000,3287000,2481000,5768000,24857000,24857000,920000,25777000,13411000,0,24564000,0.86807,0.1382,0.05395,0.0257,0.01412,5.08046,2.34518,0.82054,0,0.11055,0.10298,2.04914,4.30149,0.56164,4,0.02312,0.11745,-16.27917,-17.62635
"5","2011_Q2",39.0460317460317,"Up",91527000,-12043000,79484000,-69471000,-59175000,-49758000,-9417000,-9271000,-1025000,10013000,139000,139000,165000,10152000,10152000,-3113000,7039000,7039000,7039000,7039000,254157000,251011000,59789000,59789000,22338000,336284000,6859000,23736000,2126000,30595000,366879000,36678000,2191000,34487000,103071000,103071000,139749000,21743000,15036000,6707000,21743000,161492000,282328000,-77200000,259000,205387000,205387000,366879000,7039000,1063000,2530000,20461000,31093000,-1518000,-1518000,-1518000,-1996000,-3514000,4202000,1602000,5804000,33383000,33383000,458000,33841000,11076000,0,33132000,0.86842,0.1094,0.07691,0.03427,0.01919,4.70692,2.40634,0.78628,0,0.15936,0.14892,2.07211,4.64982,0.75008,7,0.03099,0.14587,-22.94664,-25.3827
"6","2011_Q3",38.428125,"Down",97458000,-13074000,84384000,-71303000,-60613000,-51224000,-9389000,-9591000,-1099000,13081000,131000,131000,158000,13212000,13212000,-5313000,7899000,7899000,7899000,7899000,219890000,216744000,69141000,69141000,22183000,311214000,7524000,25813000,4097000,33337000,344551000,37236000,2171000,35065000,107047000,107047000,144283000,24794000,17325000,7469000,24794000,169077000,283792000,-108141000,-177000,175474000,175474000,344551000,7899000,1134000,2818000,-793000,11058000,-1379000,-1379000,-1379000,0,-1379000,-43452000,1712000,-41740000,-32061000,-32061000,-2206000,-34267000,14215000,0,17356000,0.86585,0.13422,0.08105,0.04502,0.02293,2.19724,2.15697,0.96354,0,0.17976,0.16841,2.21793,3.9934,0.39498,5,0.03944,0.08666,-15.46887,-16.80988
"7","2011_Q4",44.3198412698413,"Up",103640000,-13610000,90030000,-77710000,-66503000,-56142000,-10361000,-10087000,-1120000,12320000,186000,186000,190000,12506000,12506000,-5346000,7160000,7160000,7160000,7160000,257152000,254006000,64604000,64604000,23729000,345485000,7822000,25306000,4719000,33128000,378613000,39904000,2828000,37076000,110619000,110619000,150523000,28048000,20135000,7913000,28048000,178571000,301396000,-100981000,-373000,200042000,200042000,378613000,7160000,-2197000,5654000,17115000,27732000,-1520000,-1520000,-1520000,0,-1520000,7625000,3712000,11337000,37549000,37549000,-287000,37262000,10123000,0,31064000,0.86868,0.11887,0.06909,0.03579,0.01891,4.33855,2.29523,0.89267,0,0.16335,0.15286,2.36454,4.56394,0.70872,4,0.03139,0.13619,-25.40275,-20.87273
"8","2012_Q1",50.2682258064516,"Up",114014000,-14680000,99334000,-85449000,-73353000,-61901000,-11452000,-10987000,-1109000,13885000,237000,237000,237000,14122000,14122000,-4280000,9842000,9842000,9842000,9842000,300234000,297088000,67793000,67793000,27323000,395350000,9137000,28201000,4340000,37338000,432688000,47735000,1847000,45888000,125314000,125314000,173049000,29655000,22059000,7596000,29655000,202704000,320884000,-91139000,239000,229984000,229984000,432688000,9842000,4484000,-10578000,26369000,30117000,-1379000,-1379000,-1379000,0,-1379000,4108999.99999999,8983000,13092000,41830000,41830000,1252000,43082000,18369000,0,47639000,0.87124,0.12178,0.08632,0.04279,0.02275,4.84038,2.28461,0.88138,0,0.2216,0.20592,2.56713,5.1783,1.07264,6,0.03791,0.18348,-16.3446,-21.6229
"9","2012_Q2",49.9488888888889,"Down",111267000,-15290000,95977000,-79561000,-67477000,-56387000,-11090000,-10951000,-1133000,16416000,236000,236000,236000,16652000,16652000,-6527000,10125000,10125000,10125000,10125000,320083000,318135000,56524000,56524000,26469000,403076000,9546000,28054000,4546000,37600000,440676000,37792000,2209000,35583000,119689000,119689000,157481000,31907000,24328000,7579000,31907000,189388000,332585000,-81014000,-283000,251288000,251288000,440676000,10125000,1160000,3105000,3519000,17909000,-1459000,-1459000,-1459000,976000,-483000,2751000,3060000,5811000,23237000,23237000,-2190000,21047000,17576000,0,26163000,0.86258,0.14754,0.091,0.04029,0.02298,2.584,2.55952,0.75367,0,0.2262,0.21279,2.4858,5.61399,0.5845,5,0.03575,0.09239,-18.21137,-19.49823
"10","2012_Q3",50.2009523809524,"Up",118162000,-15343000,102819000,-80466000,-67861000,-55700000,-12161000,-11431000,-1174000,22353000,261000,261000,261000,22614000,22614000,-8715000,13899000,13899000,13899000,13899000,353933000,351985000,69293000,69293000,25470000,448696000,10162000,29136000,6994000,39298000,487994000,44689000,2365000,42324000,128629000,128629000,173318000,33767000,26013000,7754000,33767000,207085000,347419000,-67115000,605000,280909000,280909000,487994000,13899000,1201000,4501000,4833000,24434000,-1283000,-1283000,-1283000,-390000,-1673000,4445000,4227000,8672000,31433000,31433000,2417000,33850000,23554000,0,35819000,0.87015,0.18917,0.11763,0.04948,0.02848,2.57709,2.58886,0.7372,0,0.30813,0.29042,2.61959,6.22761,0.79409,6,0.04417,0.11383,-15.02645,-15.8338
"11","2012_Q4",63.2177419354839,"Up",128147000,-16463000,111684000,-91457000,-77864000,-64547000,-13317000,-12367000,-1226000,20227000,299000,299000,299000,20526000,20526000,-8326000,12200000,12200000,12200000,12200000,397246000,395298000,71415000,71415000,29181000,497842000,11151000,29421000,6875000,40572000,538414000,49229000,2692000,46537000,134884000,134884000,184113000,34636000,26737000,7899000,34636000,218749000,374179000,-54915000,401000,319665000,319665000,538414000,12200000,1244000,-2546000,16561000,27459000,-1320000,-1320000,-1320000,-932000,-2252000,6881000,10827000,17708000,42915000,42915000,398000,43313000,21471000,0,45038000,0.87153,0.15784,0.0952,0.03816,0.02266,3.69164,2.704,0.68431,0,0.26672,0.25125,2.80158,6.98859,0.98463,6,0.03443,0.12712,-18.50151,-19.63939
"12","2013_Q1",75.4383333333333,"Up",138274000,-17856000,120418000,-98519000,-84613000,-71062000,-13551000,-12607000,-1299000,21899000,263000,263000,263000,22162000,22162000,-5177000,16985000,16985000,16985000,16985000,435912000,433964000,85033000,85033000,34553000,555498000,21112000,28244000,7078000,49356000,604854000,59437000,3860000,55577000,152967000,152967000,212404000,38433000,31303000,7130000,38433000,250837000,392236000,-37930000,-289000,354017000,354017000,604854000,16985000,1334000,-136000,24698000,42881000,-3759000,-3759000,-3759000,-7665000,-11424000,4051000,4966000,9017000,40474000,40474000,-1808000,38666000,23233000,0,49349000,0.87087,0.15837,0.12284,0.04798,0.02808,2.90545,2.61529,0.70855,0,0.3673,0.34436,2.99016,7.65558,1.06717,5,0.04328,0.12575,-18.76262,-19.90557
"13","2013_Q2",73.6346875,"Down",134408000,-17778000,116630000,-95233000,-80929000,-67201000,-13728000,-12851000,-1453000,21397000,242000,242000,242000,21639000,21639000,-8177000,13462000,13462000,13462000,13462000,458818000,458818000,75219000,75219000,33160000,567197000,35459000,30086000,6948000,65545000,632742000,49714000,5584000,44130000,156556000,156556000,206270000,39748000,32641000,7107000,39748000,246018000,413097000,-24468000,-1905000,386724000,386724000,632742000,13462000,1473000,-2771000,12410000,24574000,-1312000,-1312000,-1312000,-6767000,-8079000,3057000,8285000,11342000,27837000,27837000,-2983000,24854000,22870000,0,42145000,0.86773,0.15919,0.10016,0.03481,0.02128,3.13066,2.74978,0.63616,0,0.28924,0.27312,2.88789,8.30914,0.90553,5,0.03157,0.09882,-20.062,-21.4431
