"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.9752380952381,"Down",13029000,-10282000,2747000,-1987000,-1958000,-29000,760000,-1e+05,-60000,-40000,660000,-7000,653000,4000,657000,657000,-164000,493000,493000,41117544.3845789,-4131234.49141913,45248778.8759981,33885087.996559,33885087.996559,-15315676.9659618,-44355787.8043693,-1741360.35916023,-42819118.6047803,15331167.6108068,32204747.4431216,-9218474.08106306,-9219400.1429319,24108405.0868851,39439572.697692,-65444718.6379974,-22286492.1712743,124471.015489786,-43282697.4822129,260805.644833376,-32615278.6081024,41474310.4526058,-1872291.30137463,492545.64698591,39602019.1512311,6986740.54312868,15328879.7646616,-5827130.26443208,22107363.229991,31609112.7302206,843719.424342688,32452832.1545633,39439572.697692,655000,652000,16000,-3338000,-2015000,-583000,2384000,1801000,1047000,1051000,837000,837000,257000,1094000,1412000,0,-2513000,0.21084,0.05833,0.03784,-0.944109548081712,-0.587600473239685,-5.09736,10.6712908686193,0.252343391463934,1.13502825556716,0.15277,0.14175,4.0375,7.27956117198,-0.77874,-0.736443158609004,-2.44328380759177,44.5067990616579,12.970705806984
"2","2011_Q3",3.40625,"Down",-13006422,10265052,-2741370,1982501,1953617,28884.0000000001,-758869,100024,59880.9999999999,40142.9999999999,-658845,6993,-651852.000000001,-4158,-656010,-656010,163690,-492320,-492320,19513772.1922895,281882.754290436,19231889.437999,18432543.9982795,18432543.9982795,-4871838.48298088,-18838393.9021847,-552180.179580116,-18458559.3023901,14236083.8054034,23678373.7215608,-1144237.04053153,-1144700.07146595,23454202.5434426,37690286.348846,-25692359.3189987,-8788246.08563713,346235.507744893,-17250348.7411065,202902.822416688,-11176139.3040512,19588655.2263029,-79645.6506873164,486272.823492955,19509009.5756156,8332870.27156434,13819439.8823308,1467934.86778396,11873681.6149955,27161056.3651103,2196359.71217134,29357416.0772816,37690286.348846,-654012,-650721.999999999,-14539,3337619,2018346,581832,-2383371,-1801539,-1047999,-1051864,-835057,-835057,-256880,-1091937,-1409591,0,2514018,0.21077,0.05835,0.03785,-0.420949774040856,-0.264635236619842,-5.10647,5.96793543430967,0.299061695731967,0.538784127783581,-0.14932,-0.15001,-3.94493,7.15955558599,0.76252,-0.329821579304502,-1.09683190379589,19.0233495308289,5.98063790349202
"3","2011_Q4",2.48380952380952,"Down",28384422,-21351052,7033370,-6665501,-6490617,-174884,367869,256976,-172881,429857,624845,146007,770852,-194842,576010,576010,-358690,217320,217320,7866257.39742982,2487294.25143015,5378963.14599968,10031847.9994265,10031847.9994265,541387.172339705,-4414464.63406155,93273.2734732947,-4658186.43413004,14025027.9351345,18638457.9071869,3248254.31982282,3248099.97617802,22695734.1811475,36720762.116282,-3671119.77299956,-1315415.36187904,457745.169248298,-2813449.58036882,166634.274138896,1268953.56531626,7703551.74210096,850451.449770894,486090.941164318,8554003.19187185,9822956.75718811,13030146.6274436,4979311.62259465,6043893.87166517,24053352.1217034,2844453.23739045,26897805.3590939,36720762.116282,567012,1927722,1401539,820381,4716654,-2132832,561371,-1571461,-1941001,-1779136,1366057,1366057,32880,1398937,2295591,0,1177982,0.24779,0.01296,0.00766,-0.141766591346952,-0.0914284122066141,5.4205,3.25968514476989,0.369377231910656,0.21492137592786,0.06572,0.06367,8.58313,6.92607186199667,0.35621,-0.112880526434834,-0.361387301265296,5.48832651027631,1.90092263449734
"4","2012_Q1",2.23483870967742,"Down",7128000.00000001,-5848000,1280000,-2310000,-2235000,-75000,-1030000,202000,-69999.9999999999,272000,-828000,-71000,-899000,0,-899000,-903000,-3000,-906000,-906000,3310000,3111000,199000,6812000,6812000,2430000,1877000,348000,1392000,14429000,16189000,4974000,4974000,21927000,36356000,5545000,1874000,492000,3179000,148000,7173000,3039000,1167000,490000,4206000,11379000,12758000,5791000,3459000,22008000,2969000,24977000,36356000,-903000,688000,-196000,242000,-169000,-1795000,359000,-1436000,345000,349000,-1256000,-1256000,-278000,-1534000,-342000,3187000,-1895000,0.17957,-0.1445,-0.1271,-0.03627,-0.02492,2.09161,2.01157,0.45558,0.08766,-0.27281,-0.30413,2.14634,6.62692,-0.57061,-0.03089,-0.06461,0.35965,0.11942
"5","2012_Q2",1.79777777777778,"Down",8799000,-7399000,1400000,-2317000,-2242000,-75000,-917000,-17000,-61000,44000,-934000,-4000,-938000,-37000,-975000,-975000,172000,-803000,-803000,2980000,2779000,201000,6902000,6902000,2300000,2997000,365000,2502000,15179000,15434000,5048000,5048000,21242000,36421000,6882000,2522000,482000,3878000,143000,8989000,2815000,1119000,496000,3934000,12923000,12800000,4987000,2960000,20747000,2751000,23498000,36421000,-987000,686000,88000,-285000,-498000,-463000,3000,-460000,502000,502000,-456000,-456000,124000,-332000,-231000,2958000,-942000,0.15911,-0.10422,-0.09126,-0.03417,-0.02205,1.1731,1.68862,0.54996,0.08122,-0.24422,-0.24422,2.67609,6.30991,-0.2865,-0.02912,-0.03416,0.0952400000000002,0.02399
"6","2012_Q3",1.43857142857143,"Down",6619000,-5863000,756000,-2362000,-2289000,-73000,-1606000,-93000,-70000,-23000,-1699000,-1.45519152283669e-11,-1699000,136000,-1563000,-1563000,361000,-1202000,-1202000,3749000,2250000,1499000,7883000,7883000,1988000,2082000,311000,1641000,15702000,15485000,4691000,4691000,20947000,36649000,5542000,2407000,467000,2668000,146000,9179000,4003000,976000,503000,4979000,14158000,12932000,3784000,3372000,20088000,2403000,22491000,36649000,-1564000,679000,64000,-435000,-1256000,-669000,-1299000,-1968000,2540000,2540000,-684000,-684000,156000,-528000,-927000,4149000,-2167000,0.11422,-0.24263,-0.1816,-0.05344,-0.0328,1.80283,1.71064,0.6295,0.11321,-0.36183,-0.36183,1.99247,6.04696,-0.65232,-0.04353,-0.07847,-0.4315,-0.24907
"7","2012_Q4",1.58870967741935,"Up",7522000,-6598000,924000,-1857000,-1784000,-73000,-933000,74000,-84000,158000,-859000,0,-859000,15000,-844000,-846000,326000,-520000,-520000,2752000,2150000,602000,7884000,7884000,3e+06,2093000,339000,1619000,15729000,15446000,4918000,4918000,21136000,36865000,6451000,3271000,480000,2700000,153000,10196000,3823000,987000,509000,4810000,15006000,12951000,3266000,3536000,19753000,2106000,21859000,36865000,-844000,676000,-23000,-134000,-325000,-270000,910000,640000,-199000,-199000,116000,116000,-217000,-101000,-257000,3976000,-676000,0.12284,-0.12404,-0.06913,-0.02379,-0.01411,1.3,1.54266,0.68649,0.10785,-0.15495,-0.15495,2.24136,5.88588,-0.20143,-0.01939,-0.0252,-4.76265,-1.3119
"8","2013_Q1",1.99466666666667,"Up",8160000,-6101000,2059000,-1446000,-1372000,-74000,613000,304000,-56000,360000,917000,-9.09494701772928e-13,917000,-49000,868000,-980000,401000,-579000,-579000,1822000,1572000,250000,11311000,11311000,2324000,2599000,406000,2063000,18056000,15008000,4221000,4221000,19994000,38050000,8314000,4834000,469000,3011000,175000,12860000,3594000,1040000,543000,4634000,17494000,12962000,2687000,3187000,18836000,1720000,20556000,38050000,-980000,642000,469000,-1712000,-1581000,-194000,368000,174000,849000,849000,-558000,-558000,-20000.0000000001,-578000,1255000,3769000,-602000,0.25233,0.07512,-0.07096,-0.02817,-0.01522,1.03972,1.40404,0.85104,0.09905,-0.17429,-0.17429,2.45635,5.67008,-0.18122,-0.02283,-0.02373,1.55139,3.17618
"9","2013_Q2",2.11109375,"Up",9575000,-7736000,1839000,-1952000,-1879000,-73000,-113000,176000,-78000,254000,63000,3000,66000,124000,190000,-41000,24000,-17000,-17000,2341000,2088000,253000,11036000,11036000,1817000,2447000,480000,1832000,17641000,15497000,4359000,4359000,20629000,38270000,7012000,3658000,468000,2886000,176000,12859000,3461000,908000,545000,4369000,17228000,12973000,2670000,3620000,19263000,1779000,21042000,38270000,-41000,625000,-101000,-618000,-135000,-670000,56000,-614000,1363000,1363000,614000,614000,-98000,516000,512000,3637000,-9e+05,0.19206,-0.0118,-0.00178,-0.000810000000000005,-0.000440000000000001,52.94118,1.37188,0.81874,0.09504,-0.00512,-0.00512,2.8823,5.79862,-0.27092,-0.000660000000000001,-0.03517,2.53125,-11.46903
"10","2013_Q3",3.424375,"Up",6458000,-5191000,1267000,-1782000,-1710000,-72000,-515000,6000,-72000,78000,-509000,2000,-507000,-28000,-535000,-587000,44000,-543000,-543000,2895000,2790000,105000,6869000,6869000,2138000,1970000,287000,1683000,13872000,15166000,4214000,4214000,20161000,34033000,5713000,2631000,471000,2611000,151000,9224000,3308000,369000,13000,3677000,12901000,13264000,2164000,3739000,19167000,1965000,21132000,34033000,-594000,641000,-9000,3743000,3781000,-91999.9999999999,81000,-11000,-2943000,-2943000,827000,827000,-125000,702000,126000,3459000,3805000,0.19619,-0.07975,-0.08408,-0.0257,-0.01596,-7.00737,1.5039,0.6105,0.10164,-0.16346,-0.16346,1.94401,5.76972,1.14539,-0.02175,0.15244,4.47619,-1.09515
