"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.1157142857143,"Down",36556000,-15438000,21118000,-16263000,-12173000,-7883000,-4290000,-4090000,4855000,221000,221000,5076000,1770000,-598000,1172000,1172000,1172000,1172000,-407479082.04126,-407637674.459143,158592.417882232,-23287935.7098499,-23287935.7098499,30537278.0029529,31398999.5087895,-406842741.831629,12884724.7773125,112041674.044715,30830961.1657342,72375440.8532164,8837354.02807234,124926398.822028,-281916343.009602,9268154.30000149,10374828.8262814,-1106674.52627987,-35876683.0438581,-35876683.0438593,-26608528.7438566,46770219.7766704,28775303.1304828,13833152.5008384,4161764.14534915,46765644.4880223,20157115.7441657,-199527063.052135,-11490475.9357858,-125891668.619153,34835748.8533064,-302073458.753767,-302073458.753767,-281916343.009602,1172000,957000,5149000,-2627000,4651000,-1201000,0,-18201000,1841000,1841000,1808000,-11742000,-11742000,-267000,-12009000,5812000,0,2582000,0.57769,0.13281,0.03206,0.0926404746703078,0.0705771987394488,2.20307,-3.53879176826876,1.17655313253515,-6.98484379121808e-06,0.04803,0.04724,1.49814,-18.8635952693162,0.10582,0.0881189231180742,-0.323237397555396,40.1124071727688,40.3180433423562
"2","2010_Q3",14.28171875,"Down",40122000,-17476000,22646000,-17826000,-13073000,-8825000,-4248000,-4753000,4820000,-93000,-93000,4727000,1366000,-662000,704000,704000,704000,704000,-103470694.013754,-103556558.153048,85864.1392940772,11679688.0967167,11679688.0967167,15674092.667651,15961333.1695965,-78109913.9438764,14033574.9257708,107164224.681572,35485320.388578,67490813.6177388,4188784.67602411,121197799.607343,43087885.6634662,11768718.1000005,7737942.94209379,4030775.15790671,16425438.9853806,16425438.9853802,28194157.0853811,22294073.2588901,13461767.7101609,6151050.83361279,2681254.71511638,22292548.1626741,50486705.2480552,141669312.315955,-19559491.9785953,-132694889.539718,3186249.6177688,-7398819.58458909,-7398819.58458909,43087885.6634662,704000,1207000,5763000,2306000,9980000,-1327000,0,-1327000,7696000,7719000,7790000,16443000,16443000,257000,16700000,6027000,0,7668000,0.56443,0.12013,0.01755,0.0297334915567693,0.0221623995798162,10.89205,-0.248177256089587,0.685574377511718,-2.32828126373936e-06,0.02806,0.02715,1.59893,-2.03798175643874,0.30558,0.0280929743726914,-0.0891257991851319,8.86416239092294,8.1497477807854
"3","2010_Q4",18.57328125,"Up",39820000,-17552000,22268000,-17403000,-12444000,-8648000,-3796000,-4959000,4865000,45000,45000,4910000,1628000,-678000,950000,950000,950000,950000,58284000,58229000,55000,24935000,24935000,9491000,9491000,92710000,14527000,101639000,34641000,64852000,2146000,116166000,208876000,13833000,6306000,7527000,36452000,36452000,50285000,9936000,5563000,2400000,1973000,9936000,60221000,314845000,-22657000,-134454000,-9079000,148655000,148655000,208876000,950000,1200000,5835000,-4477000,3508000,-536000,0,-1353000,2718000,2718000,2722000,4877000,4877000,-1594000,3283000,6065000,0,1730000,0.55922,0.12217,0.02386,0.00639,0.00455,1.82105,1.84369,0.40511,0,0.03702,0.03462,1.55171,5.79281,0.06741,0.00599,0.01091,-9.60989,-11.98027
"4","2011_Q1",21.745,"Up",41492000,-18455000,23037000,-17762000,-12706000,-8657000,-4049000,-5056000,5275000,-266000,-438000,5009000,1744000,-616000,1128000,1128000,1128000,1128000,122809000,122758000,51000,26019000,26019000,8593000,8593000,157738000,14561000,97083000,31172000,64294000,1617000,111644000,269382000,15572000,5857000,9715000,37461000,37461000,53033000,5958000,2738000,1432000,1788000,5958000,58991000,375732000,-22657000,-133326000,-9358000,210391000,210391000,269382000,1128000,1201000,5816000,230000,8375000,-1304000,-2.22044604925031e-16,-1554000,58550000,58550000,58535000,65356000,65356000,-827000,64529000,6476000,-2.8421709430404e-14,6018000,0.55522,0.12713,0.02719,0.00536,0.00419,5.33511,2.97434,0.28039,0,0.0417,0.03944,1.53379,7.77728,0.22246,0.00521,0.02782,-18.96371,-23.28133
"5","2011_Q2",24.2230158730159,"Up",42038000,-18536000,23502000,-18300000,-13288000,-8553000,-4735000,-5012000,5202000,282000,282000,5484000,2602000,73000,2675000,2675000,2675000,2675000,136372000,136314000,58000,26807000,26807000,9274000,9274000,172453000,14434000,95988000,28531000,65969000,1488000,110422000,282875000,16461000,6012000,10449000,35160000,35160000,51621000,6291000,2661000,1770000,1860000,6291000,57912000,383296000,-21720000,-130651000,-5962000,224963000,224963000,282875000,2675000,1248000,4595000,-2172000,6346000,-723000,0,-723000,5901000,5901000,5901000,11524000,11524000,2032000,13556000,6450000,0,3482000,0.55907,0.12375,0.06363,0.01189,0.00946,1.30168,3.34075,0.25743,0,0.08698,0.08364,1.36691,7.31492,0.11322,0.01157,0.01506,-21.14295,-26.2153
"6","2011_Q3",22.5625,"Down",44283000,-19002000,25281000,-19279000,-13803000,-9258000,-4545000,-5476000,6002000,33000.0000000001,32999.9999999999,6035000,3130000,-1065000,2065000,2065000,2065000,2065000,143997000,143936000,61000,36840000,36840000,8139000,8139000,188976000,14342000,99971000,29592000,69712000,667000,114313000,303289000,16611000,6549000,10062000,42807000,42807000,59418000,7197000,2991000,2266000,1940000,7197000,66615000,393269000,-21720000,-128586000,-6289000,236674000,236674000,303289000,2065000,1270000,5636000,-1397000,7574000,-1190000,0,-7152000,6860999.99999999,6861000,7124000,7546000.00000001,7546000.00000001,76000,7622000.00000001,7272000,0,5750000,0.5709,0.13554,0.04663,0.00873,0.00681,2.7845,3.18045,0.28146,8.470329472543e-22,0.06591,0.0621,1.41344,7.55423,0.18353,0.00847,0.02358,-19.80157,-23.9915
"7","2011_Q4",22.1895238095238,"Down",48811000,-23193000,25618000,-21735000,-15568000,-10440000,-5128000,-6167000,3883000,133000,133000,4016000,1231000,-136000,1095000,1095000,1095000,1095000,147441000,147379000,62000,36625000,36625000,8566000,8566000,192632000,13996000,116550000,38881000,77046000,623000,130546000,323178000,23354000,8622000,14732000,40506000,40506000,63860000,9443000,2970000,4473000,2e+06,9443000,73303000,402607000,-20779000,-127491000,-4462000,249875000,249875000,323178000,1095000,1261000,5881000,-263000,7974000,-689000,0,-9301000,3798000,3798000,3967000,2640000,2640000,803000,3443000,5144000,0,4328000,0.52484,0.07955,0.02243,0.00438,0.00339,3.95251,3.01647,0.29336,0,0.0342,0.03207,1.52453,7.80445,0.13518,0.00422,0.01669,-28.66271,-37.9709
"8","2012_Q1",27.5545161290323,"Up",54249000,-24954000,29295000,-21852000,-16645000,-11551000,-5094000,-5207000,7443000,110000,-248000,7553000,3463000,26595000,30058000,30058000,30058000,30058000,112017000,111953000,64000,41535000,41535000,14943000,7646000,168860000,16098000,178376000,74549000,98524000,5303000,194474000,363334000,27677000,8971000,18706000,40510000,40510000,68187000,9473000,5438000,2208000,1827000,9473000,77660000,408410000,-20779000,-97433000,-4524000,285674000,285674000,363334000,30058000,1361000,-20766000,-2046000,8607000,-2090000,0,-47234000,2904000,2904000,3038000,-35589000,-35589000,163000,-35426000,8804000,7.27595761418343e-12,-21927000,0.54001,0.1372,0.55407,0.10522,0.08273,-0.72949,2.47643,0.27185,-6.7762635780344e-21,0.92375,0.87299,1.6672,8.77943,-0.67387,0.10184,-0.07429,-12.72342,-15.04998
"9","2012_Q2",20.7965079365079,"Down",52476000,-23251000,29225000,-22107000,-16175000,-11242000,-4933000,-5932000,7118000,-113000,-113000,7005000,3121000,-1380000,1741000,1741000,1741000,1741000,124867000,124808000,59000,38722000,38722000,18942000,18942000,182531000,17050000,169725000,70235000,96083000,3407000,186775000,369306000,23329000,7965000,15364000,38879000,38879000,62208000,7530000,4003000,1761000,1766000,7530000,69738000,422209000,-20321000,-95692000,-6628000,299568000,299568000,369306000,1741000,1374000,5822000,-3549000,5388000,-2462000,0,-2462000,1509000,1509000,11046000,13972000,13972000,-1117000,12855000,8492000,0,3861000,0.55692,0.13564,0.03318,0.00581,0.00471,2.21769,2.9342,0.2328,0,0.05165,0.04997,1.55669,8.88662,0.11454,0.00567,0.01257,-14.70407,-17.54243
"10","2012_Q3",21.4773015873016,"Up",55094000,-24548000,30546000,-22274000,-16342000,-11430000,-4912000,-5932000,8272000,28000,28000,8300000,4867000,-2403000,2464000,2464000,2464000,2464000,131394000,131332000,62000,46368000,46368000,18156000,18156000,195918000,17111000,169570000,69233000,96871000,3466000,186681000,382599000,24587000,7756000,16831000,42441000,42441000,67028000,8215000,4313000,2099000,1803000,8215000,75243000,427833000,-20321000,-93228000,-6928000,307356000,307356000,382599000,2464000,1411000,5791000,-720000,8946000,-1473000,4.54747350886464e-13,-4413000,1195000,1195000,2212000,6745000.00000001,6745000.00000001,-221000,6524000,9683000,5.82076609134674e-11,9893000,0.55443,0.15014,0.04472,0.00802000000000002,0.00644,4.01502,2.92293,0.24481,0,0.07213,0.0702200000000001,1.61282,8.99754,0.28961,0.00781,0.03135,-13.56955,-15.88419
