"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",3.4690625,"Up",27077000,-20448000,6629000,-3853000,-3853000,2776000,24000,24000,2800000,2800000,2800000,-1205000,-1205000,-2647000,37256000,37256000,24235000,1388000,1388000,70763000,24399000,5113000,5113000,29512000,100275000,13669000,4013000,9656000,28718000,15285000,42387000,1880000,1880000,1880000,44267000,594527000,-538521000,56008000,56008000,100275000,-1205000,642000,343000,-11990000,-12210000,-403000,-403000,4227000,4227000,3070000,-9543000,-9543000,-9543000,3418000,0,0.24482,0.10252,-0.09776,-0.04726,-0.0264,1.66945,0.79037,0,-0.05912,-0.05898,0.60475,1.25087,-0.02705,-10.89994,-13.42075
"2","2018_Q3",5.9284126984127,"Up",12782000,-16242000,-3460000,-3596000,-3596000,-7056000,13000,13000,-7043000,-8301000,-8301000,-12624000,-12624000,-13705000,27727000,27727000,16518000,1223000,1223000,48976000,27148000,2503000,2503000,29651000,78627000,12194000,2739000,9455000,21356000,13883000,33550000,2171000,2171000,2171000,35721000,594049000,-551145000,42906000,42906000,78627000,-12624000,658000,4685000,23000,-7258000,-1406000,-1406000,294000.000000001,293999.999999999,-865000,-9529000,-9529000,-9529000,-6398000,0,-0.27069,-0.55203,-1.07221,-0.31942,-0.1743,1.45979,0.83254,0,-0.3039,-0.3046,0.28343,0.95136,-0.28005,4.3337,3.92956
"3","2018_Q4",5.21793650793651,"Down",6819000,-10951000,-4132000,-4824000,-4824000,-8956000,28000,28000,-8928000,-8928000,-8928000,-11004000,-11004000,-12085000,17938000,17938000,14218000,906000,906000,41029000,26325000,2503000,2503000,28828000,69857000,11290000,1911000,9379000,24984000,18351000,36274000,2064000,2064000,2064000,38338000,593666000,-562149000,31519000,31519000,69857000,-11004000,645000,-3646000,5372000,-8633000,-335000,-335000,287000,287000,-821000,-9789000,-9789000,-9789000,-8311000,0,-0.60595,-1.31339,-1.77225,-0.38342,-0.173,1.13109,1.21635,0,-0.26721,-0.26721,0.15078,0.69688,-0.32764,2.15834,2.0029
"4","2019_Q1",4.07950819672131,"Down",6943000,-8904000,-1961000,-4183000,-4183000,-6144000,10000,10000,-6134000,-6134000,-6134000,3020000,3020000,1938000,42265000,42265000,16129000,5679000,679000,67827000,26479000,1454000,1454000,27933000,95760000,4473000,1909000,2564000,28840000,28840000,33313000,6709000,2159000,6709000,40022000,614865000,-559129000,55738000,55738000,95760000,3020000,617000,-6152000,4624000,2109000,1351000,1351000,21948000,21948000,20867000,24327000,24327000,24327000,-5527000,0,-0.28244,-0.88492,0.27913,0.0347700000000001,0.02024,2.03605,0.71804,4.2351647362715e-22,0.03646,0.03646,0.13062,1.04855,0.04834,7.64701,6.87907
"5","2019_Q2",4.12285714285714,"Up",12589000,-11397000,1192000,-3215000,-3215000,-2023000,62000,62000,-1961000,-1961000,-1961000,-1961000,-1961000,-3403000,37484000,37484000,9168000,7317000,528000,56920000,26336000,1452000,1452000,27788000,84708000,5152000,3122000,2030000,18603000,18603000,23755000,4207000,2145000,4207000,27962000,615095000,-558351000,56746000,56746000,84708000,-1961000,642000,297000,-6426000,-7448000,2808000,2808000,1014000,1014000,-141000,-4781000,-4781000,-4781000,-1381000,0,0.09469,-0.1607,-0.27032,-0.05997,-0.04017,2.39613,0.49276,0,-0.06102,-0.06102,0.22573,1.01746,-0.03809,27.14265,18.52892
"6","2019_Q3",6.2078125,"Up",10178000,-9844000,334000,-2816000,-2816000,-2482000,119000,119000,-2363000,-2363000,-2190000,-1451000,-1451000,-2532000,32694000,32694000,9736000,5866000,774000,52493000,26279000,1452000,1452000,27731000,80224000,5052000,3223000,1829000,17740000,17740000,22792000,2635000,2126000,2635000,25427000,614597000,-559802000,54797000,54797000,80224000,-1451000,683000,-1118000,-4827000,-6713000,2746000,2746000,258000,257999.999999996,-823000.000000002,-4790000,-4790000,-4790000,-1799000,9.09494701772928e-13,0.03282,-0.24386,-0.24877,-0.04621,-0.03156,2.30313,0.46402,0,-0.04521,-0.04521,0.18172,0.97833,-0.02526,18.17343,13.17244
"7","2019_Q4",5.8346875,"Down",13781000,-11731000,2050000,-3242000,-3242000,-1192000,9000,9000,-1183000,-1183000,-1139000,-1139000,-1139000,-2220000,27758000,27758000,8660000,4479000,567000,48782000,25876000,1452000,1452000,27328000,76110000,5465000,2916000,2549000,15258000,15258000,20723000,2323000,2105000,2323000,23046000,614003000,-560941000,53064000,53064000,76110000,-1139000,681000,-3230000,606000,-3082000,-802000,-802000,30000,30000,-1052000,-4936000,-4936000,-4936000,-511000,0,0.14876,-0.0865,-0.16109,-0.04184,-0.02917,2.354,0.43431,0,-0.03959,-0.03959,0.24579,0.94637,-0.02055,54.32094,23.28691
"8","2020_Q1",6.05129032258065,"Up",17055000,-13407000,3648000,-3573000,-3573000,75000.0000000002,92000,-201000,167000,167000,234000,336000,336000,-746000,32351000,32351000,6557000,5036000,709000,51318000,25625000,1452000,1452000,27077000,78395000,7892000,4352000,3540000,15270000,15270000,23162000,2165000,2165000,2165000,25327000,613671000,-560605000,53068000,53068000,78395000,336000,740000,4773000,-201000,5648000,-208000,-208000,234000,234000,-847000,4593000,4593000,4593000,815000,0,0.2139,0.00439999999999999,-0.04374,-0.01406,-0.00952,2.21561,0.47726,-5.42101086242752e-20,-0.0133,-0.0133,0.30414,0.94631,0.00607,-39.69448,-431.34667
"9","2020_Q2",5.58238095238095,"Down",15254000,-14168000,1086000,-4459000,-4459000,-3373000,209000,209000,-3164000,-3164000,-3164000,-3164000,-3164000,-4606000,28944000,28944000,8031000,6366000,777000,51564000,26453000,24053000,24053000,50506000,102070000,8688000,5458000,3230000,20247000,20247000,28935000,23451000,0,23451000,52386000,613451000,-563769000,49684000,49684000,102070000,-3164000,726000,603000,-633000,-2468000,-38000,-38000,258000,258000,-901000,-3407000,-3407000,-3407000,-2647000,0,0.07119,-0.22112,-0.30195,-0.09271,-0.04513,1.78206,1.05438,0,-0.08201,-0.08201,0.27158,0.88454,-0.0482,10.93464,8.58109
"10","2020_Q3",7.573125,"Up",18313000,-14953000,3360000,-3889000,-3534000,-529000,99000,-209000,-430000,-430000,-430000,-430000,-430000,-1511000,33960000,33960000,7809000,7036000,926000,56227000,26990000,22033000,22033000,49023000,105250000,9486000,6126000,3360000,24186000,24186000,33672000,22394000,22394000,22394000,56066000,613381000,-564199000,49184000,49184000,105250000,-430000,741000,1019000,4554000,5884000,-947000,-947000,360000,360000,-721000,4216000,4216000,4216000,212000.000000001,2.3283064365387e-10,0.18348,-0.0288900000000001,-0.08251,-0.03072,-0.01436,1.66984,1.13992,-4.33680868994202e-19,-0.02686,-0.02686,0.32555,0.8743,-0.00601,-160.18868,64.1966000000001
"11","2020_Q4",9.14171875,"Up",13585000,-12800000,785000,-2996000,-2996000,-2211000,107000,-254061.147798297,-2104000,-2104000,-2104000,-2104000,-2104000,-3185000,30687000,30687000,9565000,6874000,763000,57277000,26850000,21089000,21089000,47939000,105216000,8317000,5332000,2985000,28237000,28237000,36554000,21584000,21584000,21584000,58138000,613379000,-566303000,47078000,47078000,105216000,-2104000,809000,595000,64000,-636000,-2040000,-2040000,485000,485000,-597000,-3273000,-3273000,-3273000,-1402000,0,0.05778,-0.16275,-0.23445,-0.06765,-0.03027,1.56691,1.23493,0,-0.05647,-0.05647,0.24085,0.83461,-0.03063,21.88802,13.87924
"12","2021_Q1",16.6155737704918,"Up",12550000,-13849000,-1299000,-3173000,-3528000,-4472000,59000,-8000,-4413000,-4768000,-4768000,-4768000,-4768000,-5850000,36262000,36262000,10883000,4012000,712000,59763000,27105000,20752000,20752000,47857000,107620000,8945000,5926000,3019000,31156000,31156000,44480000,21244000,21244000,21244000,65724000,612965000,-571071000,41896000,41896000,107620000,-4768000,815000,295000,6705000,3047000,-787000,-787000,17000,17000.0000000001,3315000,5575000,5575000,5575000,-3657000,4379000,-0.10351,-0.35633,-0.46614,-0.13963,-0.05436,1.34359,1.56874,0.04069,-0.10358,-0.10358,0.22221,0.74176,-0.07063,8.71834999999998,7.12947
"13","2021_Q2",21.3593650793651,"Up",25392000,-16848000,8544000,-3825000,-3825000,4719000,11000,11000,4730000,4730000,4730000,4730000,4730000,3288000,169915000,169915000,11871000,7176000,1064000,207804000,37455000,20251000,20251000,57706000,265510000,18051000,9257000,8794000,52885000,52885000,70936000,19889000,19889000,116838000,187774000,637595000,-559859000,77736000,77736000,265510000,4730000,830000,730000,-8563000,-2273000,-489000,-489000,264000,264000,-5289000,-8051000,-8051000,-8051000,5549000,96949000,0.33648,0.18585,0.12949,0.0423,0.01238,2.92946,2.41553,0.36514,0.05817,0.05779,0.44923,1.3753,0.02245,-13.1494,-15.46217
"14","2021_Q3",24.139375,"Up",21064000,-14646000,6418000,-4166000,-4166000,2252000,32000,-15000,2284000,2284000,2284000,2284000,2284000,1203000,35664000,35664000,9723000,17739000,828000,63126000,30232000,20237000,20237000,50469000,113595000,10504000,5654000,4850000,33155000,33155000,43659000,20550000,20550000,20550000,64209000,613441000,-564057000,49386000,49386000,113595000,2284000,854000,1025000,6243000,10406000,-2491000,-2491000,619000,619000,-462000,7453000,7453000,7453000,3106000,-1.49011611938477e-08,0.30469,0.10691,0.05711,0.02436,0.01059,1.44589,1.30015,0,0.02123,0.02101,0.37175,0.87157,0.03266,-11.48229,-15.83659
"15","2021_Q4",28.616875,"Up",21806000,-15604000,6202000,-4018000,-4018000,2184000,23000,0,2207000,2207000,2207000,2207000,2207000,1126000,70894000,70894000,11946000,33471000,813000,116311000,32162000,19705000,19705000,51867000,168178000,13355000,6855000,6500000,49220000,49220000,62575000,20233000,20233000,20233000,82808000,647218000,-561850000,85370000,85370000,168178000,2207000,856000,999000,1127000,5189000,-2737000,-2737000,33860000,33860000,32778000,35230000,35230000,35230000,3040000,0,0.28442,0.10016,0.05164,0.01319,0.0067,1.85875,0.96999,0,0.01913,0.01876,0.37045,1.45028,0.02091,-23.32039,-32.46062
