"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",18.9071875,"Down",30872000,-3052000,27820000,-51532000,-13556000,-37976000,-23712000,-3562000,-5230000,-27274000,-27274000,-27461000,-27461000,-27461000,-27461000,433694000,98012000,26574000,26574000,4393000,19809000,19809000,484470000,4937000,10999000,495469000,35517000,3628000,31889000,1247000,1247000,119224000,8485000,6006000,2479000,111181000,230405000,744503000,-478569000,265064000,265064000,495469000,-27461000,566000,7422000,-2704000,-22177000,-839000,-35900000,4977000,4977000,-12651000,-70728000,-70728000,-70728000,-23146000,185156000,0.90114,-0.76807,-0.88951,-0.1036,-0.05542,4.06353,0.86924,0.3737,-0.1925,-0.1925,0.21641,1.85806,-0.05987,10.73784,10.48153
"32","2018_Q3",17.5171428571429,"Down",35202000,-836000,34366000,-54439000,-14353000,-40086000,-20073000,-2787000,-4770000,-22860000,-22860000,-22893000,-22893000,-22893000,-22893000,398894000,55173000,33582000,33582000,8404000,21152000,21152000,462032000,4789000,12722000,474754000,41217000,6187000,35030000,4247000,4247000,132429000,8320000,6006000,2314000,87400000,219829000,757122000,-501461000,254925000,254925000,474754000,-22893000,620000,9133000,-5718000,-18858000,-418000,-7607000,3141000,3141000,-16374000,-42839000,-42839000,-42839000,-19453000,166045000,0.97625,-0.57022,-0.65033,-0.0898,-0.04822,3.4889,0.86233,0.34975,-0.15946,-0.15946,0.24519,1.77564,-0.05333,11.96982,11.60011
"33","2018_Q4",15.9530158730159,"Down",25556000,-626000,24930000,-50404000,-14864000,-35540000,-25474000,-2376000,-4286000,-27850000,-27850000,-27850000,-27850000,-27850000,-27850000,364366000,55019000,27656000,27656000,18285000,19619000,19619000,429926000,6790000,14581000,444507000,46351000,3331000,43020000,4247000,4247000,139119000,7710000,5507000,2203000,65650000,204769000,769527000,-529311000,239738000,239738000,444507000,-27850000,612000,7698000,613000,-18927000,-333000,35191000,3538000,3538000,-16418000,-154000,-154000,-154000,-24862000,146461000,0.9755,-0.99679,-1.08976,-0.11617,-0.06265,3.09035,0.85414,0.32949,-0.19347,-0.19347,0.17754,1.66544,-0.0707,8.76458,8.55402
"34","2019_Q1",16.2032786885246,"Up",60232000,-5622000,54610000,-54681000,-18031000,-36650000,-71000,-1738000,-3755000,-1809000,-1809000,-2126000,-2126000,-2126000,-2126000,354526000,57936000,30005000,30005000,22625000,20693000,20693000,427849000,7465000,12399000,440248000,53608000,4079000,49529000,4247000,4247000,149361000,7126000,5008000,2118000,4.2e+07,191361000,780602000,-531438000,248887000,248887000,440248000,-2126000,590000,10055000,1943000,10462000,-3073000,10809000,2063000,2063000,-18354000,2917000,2917000,2917000,519000,126380000,0.90666,-0.00117999999999996,-0.0352999999999999,-0.00854000000000001,-0.00483000000000001,2.86453,0.76887,0.28707,-0.01474,-0.01474,0.41763,1.72571,-0.00556000000000001,-439.58767,3213.32394
"35","2019_Q2",16.1360317460317,"Down",56949000,-4649000,52300000,-49334000,-18006000,-31328000,2966000,-1148000,-3205000,1818000,1818000,1796000,1796000,1796000,1796000,328717000,60595000,28164000,28164000,31241000,20914000,20914000,409036000,14542000,20073000,429109000,47752000,4089000,43663000,4247000,4247000,138662000,11658000,4509000,7149000,30400000,169062000,789628000,-529642000,260047000,260047000,429109000,1796000,990000,8253000,-15463000,-4424000,-927000,28813000,-449000,-449000,-21730000,2659000,2659000,2659000,3956000,105405000,0.91837,0.05208,0.03154,0.00691,0.00419,2.94988,0.65012,0.24564,0.01241,0.01218,0.39345,1.79661,0.00476,-56.44894,-75.29063
"36","2019_Q3",16.47125,"Up",39148000,-1877000,37271000,-51248000,-17338000,-33910000,-13977000,-630000,-2613000,-14607000,-14607000,-14624000,-14624000,-14624000,-14624000,287465000,67041000,32219000,32219000,43900000,28122000,28122000,391706000,15079000,26124000,417830000,58028000,12467000,45561000,6511000,6511000,135417000,8278000,1746000,6532000,22361000,157778000,803928000,-544266000,260052000,260052000,417830000,-14624000,1034000,8675000,-19871000,-24786000,-1368000,47457000,4467000,4467000,-16225000,6446000,6446000,6446000,-12943000,84961000,0.95205,-0.35703,-0.37356,-0.05623,-0.035,2.89259,0.60672,0.20334,-0.10061,-0.10253,0.26932,1.78903,-0.04139,15.64583,14.48837
"37","2019_Q4",17.318125,"Up",46230000,-22333000,23897000,-48434000,-17979000,-30455000,-24537000,-465000,-2078000,-25002000,-25002000,-25015000,-25015000,-25015000,-25015000,237998000,59202000,40744000,40744000,36051000,27248000,27248000,342041000,15398000,28315000,370356000,49993000,4314000,45679000,3511000,3511000,108041000,7654000,1247000,6407000,16962000,125003000,814242000,-569281000,245353000,245353000,370356000,-25015000,1002000,4375000,-9950000,-29588000,-1104000,40999000,2075000,2075000,-19250000,-7839000,-7839000,-7839000,-23535000,63845000,0.51692,-0.53076,-0.5411,-0.10196,-0.06754,3.16584,0.50948,0.17239,-0.1711,-0.1711,0.3162,1.67817,-0.07895,7.39975,7.09757
"38","2020_Q1",18.9803225806452,"Up",53665000,-16687000,36978000,-69040000,-23929000,-45111000,-32062000,-2398000,-3731000,-34460000,-34460000,-34397000,-34397000,-34397000,-34397000,421262000,120179000,59442000,59442000,29359000,33373000,33373000,543436000,10855000,22438000,565874000,62083000,6434000,55649000,4012000,4012000,85637000,5427000,1247000,4180000,388472000,474109000,695203000,-603678000,91765000,91765000,565874000,-34397000,1042000,11985000,-5255000,-26625000,-641000,-122818000,-191867000,8131000,210420000,60977000,60977000,60977000,-31020000,402587000,0.68905,-0.59745,-0.64096,-0.37484,-0.06079,6.34581,5.16656,0.71144,-0.24393,-0.24393,0.38057,0.65076,-0.06882,0.60203,0.58247000000001
"39","2020_Q2",22.5592063492063,"Up",25354000,-5787000,19567000,-22790000,-12632000,-10158000,-3223000,-2869000,-5348000,-6092000,-6092000,-6103000,-6103000,-6103000,-6103000,368183000,104820000,29749000,29749000,41452000,28587000,28587000,467971000,11752000,24382000,492353000,35131000,8320000,26811000,4012000,4012000,42002000,5738000,641000,5097000,392309000,434311000,667812000,-609781000,58042000,58042000,492353000,-6103000,857000,6590000,-6188000,-4844000,624000,38109000,-31857000,19717000,-48624000,-15359000,-15359000,-15359000,-2366000,389430000,0.77175,-0.12712,-0.24071,-0.10515,-0.0124,11.14164,7.4827,0.79096,-0.04449,-0.04449,0.18481,0.42309,-0.01347,-8.98014,-6.59231
"40","2020_Q3",27.84703125,"Up",55221000,-5740000,49481000,-19926000,-10975000,-8951000,29555000,-3680000,-5004000,25875000,25875000,25817000,25817000,25817000,25817000,385446000,133606000,37401000,37401000,48271000,29240000,29240000,500358000,11169000,26639000,526997000,25325000,4067000,21258000,748000,748000,26073000,5268000,641000,4627000,395347000,421420000,688455000,-583964000,105577000,105577000,526997000,25817000,824000,4417000,-27764000,3294000,-515000,11899000,16386000,18382000,13593000,28786000,28786000,28786000,30379000,390079000,0.89605,0.53521,0.46752,0.24453,0.04899,19.19066,3.99159,0.74019,0.18989,0.18989,0.40616,0.77654,0.05154,0.152509999999999,0.156760000000003
"41","2020_Q4",35.945,"Up",65316000,-5568000,59748000,-19449000,-11702000,-7747000,40299000,-4029000,-4990000,36270000,36270000,36207000,36207000,36207000,36207000,346706000,65741000,62551000,62551000,57697000,31941000,31941000,498895000,10252000,25134000,524029000,26228000,433000,25795000,748000,748000,26976000,4434000,641000,3793000,398065000,425041000,646319000,-547757000,98988000,98988000,524029000,36207000,803000,8270000,-39196000,6084000,-53000,-30095000,-43854000,12546000,-43854000,-67865000,-67865000,-67865000,41102000,393631000,0.91475,0.61699,0.55434,0.36577,0.06909,18.49403,4.29386,0.75116,0.2651,0.24669,0.47822,0.72476,0.07284,1.14167,1.16442
"42","2021_Q1",45.6527868852459,"Up",121703000,-26272000,95431000,-17807000,-10427000,-7380000,77624000,-4375000,-5036000,73249000,73249000,73164000,73164000,73164000,73164000,368013000,147703000,97730000,97730000,60747000,28274000,28274000,554764000,10593000,25160000,579924000,22411000,1928000,20483000,1746000,1746000,421385000,7492000,4026000,3466000,7491999.99999994,428877000,625618000,-474593000,151047000,151047000,579924000,73164000,8e+05,12174000,-35218000,50920000,-1484000,58441000,-27399000,12748000,-27399000,81962000,81962000,81962000,78424000,397228000,0.78413,0.63782,0.60117,0.48438,0.12616,1.31653,2.83936,0.68497,0.54156,0.50133,0.90084,1.11805,0.13165,0.37253,0.37637
"43","2021_Q2",44.2615873015873,"Down",89022000,-18219000,70803000,-20068000,-11059000,-9009000,50735000,-1689000,-1965000,49046000,28086000,27895000,27895000,27895000,27895000,764306000,499450000,88391000,88391000,58343000,30679000,30679000,941719000,10366000,24863000,966582000,16633000,535000,16098000,1746000,1746000,107421000,6835000,4026000,2809000,791566000,898987000,501329000,-433725000,67595000,67595000,966582000,27895000,738000,5812000,23851000,58296000,-270000,-45250000,-76781000,-602000,338701000,351747000,351747000,351747000,51473000,873773000,0.79534,0.56992,0.31335,0.41268,0.02886,8.76662,13.29961,0.90398,0.20221,0.18779,0.64531,0.48999,0.02942,2.12669,2.15762
"44","2021_Q3",41.80828125,"Down",136455000,-23018000,113437000,-20390000,-12321000,-8069000,93047000,-1531000,-1752000,91516000,91516000,91458000,91458000,91458000,91458000,755309000,446966000,153196000,153196000,58554000,32691000,32691000,999750000,10132000,26113000,1025863000,23837000,4563000,19274000,1247000,1247000,114251000,6293000,4026000,2267000,791864000,906115000,462039000,-342267000,119748000,119748000,1025863000,91458000,735000,6249999.99999999,-61554000,36889000,-533000,-44616000,-44662000,4180000,-44756999.9999999,-52484000,-52484000,-52484000,93782000,874738000,0.83131,0.68189,0.67024,0.76375,0.08915,8.75047,7.56685,0.85269,0.66297,0.61571,0.98915,0.86804,0.09139,1.27347,1.28353
"45","2021_Q4",37.3309375,"Down",115830000,-18589000,97241000,-21655000,-13169000,-8486000,75586000,-1480000,-1754000,74106000,74106000,216587000,216587000,216587000,216587000,815920000,491683000,112099000,112099000,55978000,33302000,33302000,1017299000,9588000,168121000,1185420000,21657000,3322000,18335000,2245000,2245000,113153000,4139000,2530000,1609000,790593000,903746000,407370000,-125682000,281674000,281674000,1185420000,216587000,751000,-136226000,40627000,121739000,-496000,-16954000,-60068000,4648000,-60068000,44717000,44717000,44717000,76337000,875705000,0.83951,0.65256,1.86987,0.76893,0.18271,8.99047,3.20848,0.73873,1.5381,1.46687,0.82257,2.00031,0.18647,0.78317,0.79095
"46","2022_Q1",35.6203225806452,"Down",102003000,-21587000,80416000,-23882000,-13774000,-10108000,56534000,-1724000,-2055000,54810000,54810000,66770000,66770000,66770000,66770000,740922000,118719000,90975000,90975000,53908000,53896000,53896000,939701000,8794000,164728000,1104429000,25982000,1541000,24441000,1746000,1746000,117147000,3074000,2530000,544000,790329000,907476000,256485000,-58912000,196953000,196953000,1104429000,66770000,773000,148633000,-133660000,82516000,-158000,-299469000,-156011000,4310000,-156011000,-372964000,-372964000,-372964000,57307000,876674000,0.78837,0.55424,0.65459,0.33901,0.06046,8.02155,4.60758,0.79378,0.45846,0.46431,0.70038,1.35234,0.06201,2.36886,2.40125
"47","2022_Q2",43.2496774193548,"Up",117279000,-15922000,101357000,-25687000,-13834000,-11853000,75670000,-1261000,-1759000,74409000,74409000,60108000,60108000,60108000,60108000,786140000,117835000,113762000,113762000,47761000,41026000,41026000,988689000,8513000,173559000,1162248000,20399000,1266000,19133000,1746000,1746000,111691000,2202000,2031000,171000,790301000,901992000,261851000,1196000,260256000,260256000,1162248000,60108000,778000,5652000,-18741000,47797000,-490000,-49305000,624000,624000,624000,-884000,-884000,-884000,76448000,877645000,0.86424,0.64521,0.51252,0.23096,0.05172,8.852,3.46579,0.75513,0.42866,0.41668,0.83637,1.856,0.05272,1.19696,1.20926
"48","2022_Q3",44.20109375,"Up",152365000,-33943000,118422000,-84362000,-57476000,-15483000,34060000,-4049000,-3104000,30011000,30011000,22685000,22685000,22685000,22685000,209360000,90932000,189368000,189368000,97615000,71878000,71878000,568221000,37091000,1213169000,1781390000,96333000,12232000,84101000,4131000,4131000,199512000,141578000,2739000,5551000,1288707000,1488219000,271307000,23881000,293171000,293171000,1781390000,22685000,12546000,7526000.00000003,-2532000,40225000,15053000,-434946000,3821000,3821000,367818000,-26903000,-26903000,-26903000,46606000,1246177000,0.77723,0.22354,0.14889,0.07738,0.01273,2.84805,5.07628,0.69955,0.16178,0.15726,1.08658,2.09073,0.0135,22.24643,30.4409
