"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",6.36875,"Down",11834000,-739000,11095000,-29590000,-7556000,-22034000,-18495000,-793000,-848000,-19288000,-19288000,-19288000,-19288000,-19288000,-19288000,87426024,39017804,10375733,10375733,2737387,10571334,10571334,111110478,3975052,5755817,116866295,12062368,2884794,9177574,6326158,6326158,19750581,35661421,34318481,436849,65434654,85185235,349572208,-317862017,31681060,31681060,116866295,-19288000,295000,2949000,5294000,-10750000,-534000,-49481000,57000,57000,-252000,-60483000,-60483000,-60483000,-18200000,31135288,0.93755,-1.56287,-1.62988,-0.60882,-0.16504,5.62568,2.68884,0.26642,-0.17158,-0.17158,0.10527,0.28182,-0.19586,3.0929,3.04357
"12","2013_Q3",8.33125,"Up",14453000,-1284000,13169000,-35291000,-7300000,-27991000,-22122000,-790000,-848000,-22912000,-22912000,-22912000,-22912000,-22912000,-22912000,76010187,27927551,10831828,10831828,2466999,11111833,11111833,100420847,4576506,6966491,107387338,22770413,7480982,15289431,6419681,6419681,32833250,35234904,33681996,678700,63410411,96243661,351956514,-340773528,11143677,11143677,107387338,-22912000,297000,3037000,8623000,-10955000,-80000.0000000001,-80000,9999.99999999953,10000.0000000005,-55000.0000000037,-11090000,-11090000,-11090000,-21825000,31818663,0.91116,-1.53062,-1.58528,-2.05605,-0.21336,3.05851,8.63662,0.2963,-0.20369,-0.20369,0.12849,0.09907,-0.293,2.02481,1.99763
"13","2013_Q4",12.86140625,"Up",16014000,-683000,15331000,-33824000,-8135000,-25689000,-18493000,-799000,-851000,-19292000,-19292000,-19292000,-19292000,-19292000,-19292000,65310982,17492131,24521742,24521742,3846290,9139014,9139014,102818028,4935928,7327098,110145126,26216264,5591763,20624501,7437433,7437433,39623816,47675660,45940511,921460,74007615,113631431,356563812,-360065896,-3486305,-3486305,110145126,-19292000,301000,2907000,3670000,-12414000,-325000,-325000,1929000,1929000,2303000,-10436000,-10436000,-10436000,-18192000,32302074,0.95735,-1.1548,-1.2047,5.53365,-0.17515,2.59485,-32.59366,0.29327,-0.17108,-0.17108,0.14201,-0.03092,-0.25221,1.81447,1.78494
"14","2014_Q1",14.8429508196721,"Up",12498000,-3540000,8958000,-30282000,-9356000,-20926000,-21324000,-663000,-727000,-21987000,-21987000,-21987000,-21987000,-21987000,-21987000,71503000,27357000,9097000,9097000,6170000,8425000,8425000,95195000,3422000,6598000,101793000,17504000,3135000,14369000,7398000,7398000,24902000,47109000,45745000,1364000,96881000,121783000,362045000,-382052000,-19990000,-19990000,101793000,-21987000,334000,1817000,4616000,-15220000,-1358000,2017000,3083000,3083000,23068000,9865000,9865000,9865000,-20990000,49772000,0.71675,-1.70619,-1.75924,1.0999,-0.216,3.82279,-6.0922,0.48895,-0.19363,-0.19363,0.11006,-0.17604,-0.28595,1.0353,1.01909
"15","2014_Q2",8.48380952380952,"Down",11966000,-5520000,6446000,-31665000,-10250000,-21415000,-25219000,-1329000,-1376000,-26548000,-26548000,-26548000,-26548000,-26548000,-26548000,164489000,76570000,10956000,10956000,6765000,8704000,8704000,190914000,3628000,6773000,197687000,20930000,8658000,12272000,13026000,13026000,36360000,47190000,44847000,2343000,94579000,130939000,475373000,-408600000,66748000,66748000,197687000,-26548000,397000,3006000,5515000,-17630000,-411000,-43191000,110034000,110034000,110034000,49213000,49213000,49213000,-24822000,49793000,0.53869,-2.10755,-2.21862,-0.39773,-0.13429,5.25066,1.96169,0.25188,-0.2232,-0.2232,0.1006,0.56118,-0.16214,4.62074,4.548
"16","2014_Q3",9.5240625,"Up",18385000,-5924000,12461000,-27401000,-8752000,-18649000,-14940000,-1333000,-1451000,-16273000,-16273000,-16273000,-16273000,-16273000,-16273000,147648000,56135000,12895000,12895000,7114000,7966000,7966000,175623000,3343000,6429000,182052000,20365000,3910000,16455000,5153000,5153000,31721000,51419000,48565000,2854000,95032000,126753000,480169000,-424873000,55299000,55299000,182052000,-16273000,443000,5748000,-5684000,-15766000,-350000,-5870000,1201000,1201000,1201000,-20435000,-20435000,-20435000,-14497000,49816000,0.67778,-0.81262,-0.88512,-0.29427,-0.08939,5.53649,2.29214,0.27364,-0.13154,-0.13154,0.14861,0.44701,-0.10396,6.74843,6.54833
"17","2014_Q4",8.88484375,"Down",14606000,-5141000,9465000,-28491000,-8587000,-19904000,-19026000,-1254000,-1376000,-20280000,-20280000,-20280000,-20280000,-20280000,-20280000,134464000,46375000,8275000,8275000,6916000,8945000,8945000,158600000,3249000,6026000,164626000,19365000,4342000,15023000,5153000,5153000,34593000,50331000,47572000,2759000,90093000,124686000,485139000,-445153000,39940000,39940000,164626000,-20280000,464000,4983000,1650000,-13183000,-371000,2628000,795000,795000,795000,-9760000,-9760000,-9760000,-18562000,49837000,0.64802,-1.30262,-1.38847,-0.50776,-0.12319,4.58474,3.12183,0.30273,-0.16349,-0.16349,0.11775,0.32199,-0.14475,4.55915,4.44797
"18","2015_Q1",14.4196721311475,"Up",30377000,-6147000,24230000,-28081000,-8353000,-19728000,-3851000,-1423000,-1378000,-5274000,-5274000,-5274000,-5274000,-5274000,-5274000,135623000,61389000,9149000,9149000,6406000,10143000,10143000,161321000,2951000,4656000,165977000,16964000,3003000,13961000,7367000,7367000,24331000,50434000,47267000,3167000,100294000,124625000,491820000,-450427000,41352000,41352000,165977000,-5274000,458000,-318000,4195000,-939000,-236000,13482000,2471000,2471000,2471000,15014000,15014000,15014000,-3393000,49860000,0.79764,-0.12677,-0.17362,-0.12754,-0.03178,6.63027,3.01376,0.3004,-0.04251,-0.04251,0.24485,0.33331,-0.03723,25.27645,22.27032
"19","2015_Q2",17.5760317460317,"Up",18666000,-6494000,12172000,-26083000,-9399000,-16684000,-13911000,-1197000,-1299000,-15108000,-15108000,-15108000,-15108000,-15108000,-15108000,128499000,44287000,7725000,7725000,7482000,9623000,9623000,153329000,2732000,5796000,159125000,16112000,3299000,12813000,6367000,6367000,26209000,49386000,46259000,3127000,95371000,121580000,503107000,-465535000,37545000,37545000,159125000,-15108000,421000,4627000,-3779000,-13839000,-130000,-10420000,7157000,7157000,7157000,-17102000,-17102000,-17102000,-13490000,49715000,0.65209,-0.74526,-0.80939,-0.4024,-0.09494,5.85024,3.23825,0.31243,-0.12058,-0.12058,0.14897,0.29964,-0.11056,5.84018,5.66343
"20","2015_Q3",20.07859375,"Up",43384000,-8144000,35240000,-31009000,-9814000,-21195000,4231000,-1212000,-1299000,3019000,3019000,3019000,3019000,3019000,3019000,140715000,67769000,9738000,9738000,7723000,10266000,10266000,168442000,2594000,5605000,174047000,18959000,4138000,14821000,6424000,6424000,35039000,48681000,45252000,3429000,88779000,123818000,512785000,-462516000,50229000,50229000,174047000,3019000,395000,6484000,-960000,8938000,-260000,10771000,3773000,3773000,3773000,23482000,23482000,23482000,4626000,49754000,0.81228,0.0975199999999998,0.0695900000000003,0.0601,0.01735,4.80727,2.46507,0.28587,0.02393,0.02244,0.34392,0.39819,0.02031,-19.66299,-21.4987
