"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.41015625,"Up",7915932,-4375609,3540323,-2216996,-1082228,-395670,-686558,-162740,-972028,1323327,16105,16105,16105,1339432,1339432,-465952,873480,873480,873480,873480,-2577464.26799573,-2577464.26799573,10672807.5626301,10672807.5626301,2711911.51575014,-1898.02015632903,529880.157747041,10805356.7902282,5955097.33050394,1457032.53337754,48989.5920675496,1046926.35051487,361116.591185805,7412129.86388148,18217486.6541097,3948929.20391223,2457266.24861173,892294.045730526,231544.583212307,4180473.314654,-440966.613819256,3739506.70083475,7742567.86435655,6737408.31434543,14479976.1674104,14477979.9532749,18217486.6541097,873480,162740,91258,-648625,478853,-224355,-62631,-286986,-606350,-414483,-414483,-414483,1486067,0,1079039,0.44724,0.16717,0.11034,0.0045065189034412,0.00275736804815958,1.23533,2.31984187791879,0.26660576487397,-1.97384517501482e-06,0.14405,0.13848,1.30546,2.40639264774633,0.17795,0.0487996614128866,-0.0651988034173657,-1.05652665733852,-1.66789858376984
"2","2011_Q1",6.95693548387097,"Up",8970437,-4726285,4244152,-2494995,-1143615,-450888,-692727,-166239,-1185141,1749157,17527,17527,17527,1766684,1766684,-604566,1162118,1162118,1162118,1162118,3344490,3344490,4823257,4823257,4124188,1215052,649970,13506987,6275406,1656415,59218,1046944,550253,7931821,21438808,3414281,1540930,1266353,261410,3675691,1109002,4784693,8242140,8411975,16654115,16654115,21438808,1162118,166239,467209,-384821,1410745,-765308,-71692,-837000,-585280,-11535,-11535,-11535,1915396,0,1369833,0.47313,0.19499,0.12955,0.06978,0.05421,1.17874,3.67468,0.2873,0,0.19205,0.18475,1.48248,2.7523,0.22638,0.09956,0.07712,-1.74611,-1.91206
"3","2011_Q2",7.08984126984127,"Up",8637924,-4633272,4004652,-2606660,-1179775,-440219,-739556,-168905,-1257980,1397992,16887,16887,16887,1414879,1414879,-495220,919659,919659,919659,919659,4874489.25599858,4874489.25599858,3080399.56245662,3080399.56245662,4649264.74474995,1481291.50671878,741920.86408432,14085445.0699239,6466525.72316535,1687439.82220749,52757.3859774835,1046949.88316171,587732.552938065,8153965.54537284,22239410.6152968,3159511.76536259,1207905.41712942,1341561.06808982,252559.472262564,3412071.39511533,1370447.45460642,4782518.84972175,8462583.62854782,8993642.72855152,17456226.3608632,17456891.765575,22239410.6152968,919659,168905,141613,1604851,2835028,-1044641,22553,-1022088,-583739,1229201,1229201,1229201,1566897,0,2622327,0.46361,0.16184,0.10647,0.0750169936988529,0.0590233773172801,2.85141,4.1364052073604,0.27333724504201,6.57948391671607e-07,0.15134,0.14584,1.4215,2.87166328408456,0.43154,0.102027612862371,0.0910379344724552,-2.2562411142205,-2.41192963874339
"4","2011_Q3",6.3028125,"Down",7575788,-3577614,3998174,-2594478,-1101947,-384911,-717036,-190261,-1302270,1403696,13972,13972,13972,1417668,1417668,-506115,911553,911553,911553,911553,4065000,4065000,3646297,3646297,4591961,1279015,788031,13582273,6714092,1625011,37783,1046944,540284,8339103,21921376,3093960,1215713,1265724,220719,3314679,1043102,4357781,8541370,9022225,17563595,17563595,21921376,911553,190261,237348,-1155401,183761,-92915.0000000001,-12840,-105755,-586697,-508691,-508691,-508691,1593957,-1.77635683940025e-15,851756,0.52776,0.18529,0.12032,0.0519,0.04158,0.9344,4.09761,0.24811,0,0.14929,0.14471,1.24076,2.87657,0.1395,0.08169,0.04578,-2.55026,-2.89593
"5","2011_Q4",6.06238095238095,"Down",8279910,-4681398,3598512,-2497384,-1200846,-400263,-800583,-194129,-1102409,1101128,15270,15270,15270,1116398,1116398,-391430,724968,724968,724968,724968,3151497,3151497,4560094,4560094,4320690,1232542,730318,13264823,7351692,1554739,25139,1046944,482656,8906431,22171254,3208838,1348840,1247397,183500,3392338,1000694,4393032,8643630,9134592,17778222,17778222,22171254,724968,194129,120789,-691025,348861,-671352,21511,-649841,-612523,-913503,-913503,-913503,1295257,0,324310,0.43461,0.13299,0.08756,0.04078,0.0327,0.44734,3.91023,0.2471,0,0.11834,0.11534,1.3516,2.90209,0.05294,0.07122,0.01727,-2.43311,-2.86206
"6","2012_Q1",6.35306451612903,"Up",10133270,-5416952,4716318,-2766260,-1245647,-458253,-787394,-197565,-1323048,1950058,12775,12775,12775,1962833,1962833,-642981,1319852,1319852,1319852,1319852,4125444,4125444,4078158,4078158,4119073,1776692,564507,14099367,8515644,1547959,22111,1046944,478904,10063603,24162970,3386193,1355818,1414136,156000,3542193,1884957,5427150,8897615,9838205,18735820,18735820,24162970,1319852,197565,1158727,103257,2779401,-1398930,53051,-1345879,-459575,973947,973947,973947,2147623,0,1494931,0.46543,0.19244,0.13025,0.07045,0.05462,1.13265,3.98041,0.28967,-8.470329472543e-22,0.21505,0.20984,1.65103,3.05265,0.24357,0.09371,0.0725,-1.92093,-2.11555
"7","2012_Q2",7.26698412698413,"Up",9658193,-5022236,4635957,-3013857,-1301278,-461182,-840096,-237140,-1475439,1622100,11294,11294,11294,1633394,1633394,-571065,1062329,1062329,1062329,1062329,5051215,5051215,3488379,3488379,3743495,1417653,740885,13700742,8452052,1523797,19617,1046944,457236,9975849,23676591,2768495,924430,1168334,145500,2913995,1862085,4776080,8675708,10224803,18900511,18900511,23676591,1062329,237140,169204,661869,2130542,-252852,21260,-231592,-973179,925771,925771,925771,1859240,0,2839322,0.48,0.16795,0.10999,0.05621,0.04487,2.67273,4.7017,0.2527,0,0.17247,0.16834,1.56803,3.06854,0.46097,0.08085,0.13675,-2.71682,-3.114
"8","2012_Q3",8.99428571428571,"Up",7729837,-3669575,4060262,-2792307,-1110547,-408805,-701742,-230406,-1451354,1267955,11487,11487,11487,1279442,1279442,-450660,828782,828782,828782,828782,3762812,3762812,3735991,3735991,4446095,1195453,710328,13140351,7821098,1476095,17123,1046944,412028,9297193,22437544,2727284,917833,1143921,174000,2901284,1661776,4563060,7486429,10388055,17874484,17874484,22437544,828782,230406,-37206,-811213,210769,403439,57266,460705,-1959877,-1288403,-1288403,-1288403,1498361,0,1541247,0.52527,0.16403,0.10722,0.04637,0.03694,1.85965,4.52915,0.25528,0,0.1371,0.13367,1.2787,2.95687,0.25496,0.07701,0.07889,-2.51129,-2.96762
"9","2012_Q4",7.95306451612903,"Down",8635804,-4769166,3866638,-2721156,-1295749,-447887,-847862,-224044,-1201363,1145482,10368,10368,10368,1155850,-822366,312882,-509484,-509484,-509484,-509484,3535782,3535782,4496155,4496155,4391324,1069538,528588,13492799,5794191,1492661,15295,1046944,430422,7286852,20779651,2954007,1008945,1279531,139930,3093937,891378,3985315,7581296,9213040,16794336,16794336,20779651,-509484,224044,2096684,-1248830,562414,-172780,48866,-123914,-665530,-227030,-227030,-227030,1369526,0,-364966,0.44774,0.13264,-0.059,-0.03034,-0.02452,0.71634,4.36105,0.2373,0,-0.08421,-0.08243,1.42734,2.7758,-0.06032,0.00882,-0.02064,-2.58176,-3.08672
"10","2013_Q1",8.88466666666667,"Up",10291367,-5494159,4797208,-3645833,-2078372,-621132,-1457240,-243787,-1323674,1151375,10518,10518,10518,1161893,493024,-524617,-31592.9999999998,-31592.9999999998,96585,96585,5321696,5321696,3916320,3916320,4221036,1084881,456248,14543933,6777143,2512869,800635,1046944,665290,9290012,23833945,5145655,1998897,2479226,417484,5563139,881694,6444833,7741496,8642093,16383589,17389112,23833945,-31593,243787,-281426,3524575,3455343,-631978,-436566,-1070232,-599197,1785914,1785914,1785914,1395162,-3.63797880709171e-12,4812376,0.46614,0.11188,0.00939000000000002,0.00555000000000001,0.00404999999999999,49.82529,2.61434,0.37062,1.0842021724855e-19,0.01594,0.01562,1.69838,2.70378,0.79419,0.04171,0.26339,-3.81439,-4.62204
