"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",1.31409836065574,"Down",819000,-242000,577000,-1206000,-802000,-404000,-629000,9000,9000,-620000,-620000,-330000,-950000,-950000,-950000,-950000,19468000,18938000,276000,276000,20558000,10814000,5155000,11010000,31568000,764000,136000,628000,764000,764000,61388000,-30553000,30804000,30804000,31568000,-950000,340000,407000,433000,230000,21000,-754000,-646000,-646000,-646000,-289000,0,0.70452,-0.76801,-1.15995,-0.03084,-0.03009,26.90838,0.0248,0,-0.03627,-0.03228,0.03127,1.17595,-0.03084,67.36332,30.95072
"2","2014_Q2",1.38079365079365,"Up",4491000,-1314000,3177000,-1034000,-598000,-436000,2143000,9000,9000,2152000,2152000,-756000,1396000,1396000,1396000,1396000,18886000,18362000,214000,214000,23620000,9718000,4770000,10009000,33629000,1638000,107000,1531000,1638000,1638000,61413000,-29385000,31991000,31991000,33629000,1396000,409000,738000,-2770000,-227000,-202000,-230000.000000001,-576000,-576000,-576000,2552000,0,0.70741,0.47718,0.31084,0.04364,0.04151,14.42002,0.0512,0,0.05416,0.05023,0.17423,1.24114,0.04364,-7.40047000000001,-8.81288000000001
"3","2014_Q3",1.67046875,"Up",5166000,-1506000,3660000,-1159000,-615000,-544000,2501000,12000,12000,2513000,2513000,-912000,1601000,1601000,1601000,1601000,17099000,16579000,206000,206000,22442000,8470000,4377000,8856000,31298000,1791000,86000,1705000,1791000,1791000,61043000,-31495000,29507000,29507000,31298000,1601000,409000,990000,-456000,2544000,-2675000,-4216000,-1783000,-1783000,-1783000,2910000,0,0.70848,0.48413,0.30991,0.05426,0.05115,12.53043,0.0607,0,0.06283,0.05804,0.20272,1.15789,0.05426,-5.87595,-6.83687
"4","2014_Q4",1.76,"Up",1367000,-337000,1030000,-1121000,-668000,-453000,-91000,8000,8000,-83000,-83000,47000,-36000,-36000,-36000,-36000,19707000,19193000,156000,156000,21182000,8135000,4007000,8616000,29798000,650000,88000,562000,650000,650000,61107000,-31913000,29148000,29148000,29798000,-36000,408000,10000,2727000,3109000,-362000,-362000,2614000,2614000,2614000,317000,4.2351647362715e-22,0.75347,-0.06657,-0.02634,-0.00124,-0.00121,32.58769,0.0223,0,-0.00144,-0.00131,0.05483,1.16916,-0.00124,-62.16719,216.56044
"5","2015_Q1",1.83295081967213,"Up",1285000,-353000,932000,-2762000,-152000,-2610000,-1830000,8000,8000,-1822000,-1873000,678000,-1195000,-1195000,-1195000,-1195000,18741000,17662000,242000,242000,20232000,8344000,3601000,8920000,29152000,2211000,338000,1873000,2211000,2211000,61220000,-34262000,26941000,26941000,29152000,-1195000,424000,-438000,1545000,336000,-1218000,-1168000,-1531000,-1531000,-1531000,-1406000,0,0.72529,-1.42412,-0.92996,-0.04436,-0.04099,9.15061,0.08207,0,-0.04879,-0.04803,0.05247,1.10001,-0.04436,13.3293,10.24098
"6","2015_Q2",1.72539682539683,"Down",5627000,-1689000,3938000,-1618000,-659000,-959000,2320000,21000,21000,2341000,2341000,-811000,1530000,1530000,1530000,1530000,15211000,14112000,180000,180000,20993000,7205000,3218000,7781000,28774000,2067000,230000,1837000,2067000,2067000,61309000,-34605000,26707000,26707000,28774000,1530000,413000,856000,-4437000,-1638000,-1882000,-1882000,-3550000,-3550000,-3550000,2733000,0,0.69984,0.4123,0.2719,0.05729,0.05317,10.15627,0.0774,0,0.06351,0.06,0.23359,1.10868,0.05729,-5.56568000000002,-6.55647
"7","2015_Q3",1.7553125,"Up",1747000,-478000,1269000,-1606000,-792000,-814000,-337000,12000,12000,-325000,-325000,105000,-220000,-220000,-220000,-220000,17818000,16751000,166000,166000,19825000,6887000,2810000,7077000,26902000,886000,236000,650000,886000,886000,61382000,-35337000,26016000,26016000,26902000,-220000,413000,370000,2596000,3159000,-515000,-515000,2639000,2639000,2639000,76000,0,0.72639,-0.1929,-0.12593,-0.00846,-0.00818,22.37585,0.03406,0,-0.00939,-0.00898,0.07455,1.11019,-0.00846,-234.44737,52.8724
"8","2015_Q4",1.65625,"Down",3008000,-927000,2081000,-1397000,-440000,-957000,684000,11000,11000,695000,695000,-288000,407000,407000,407000,407000,19091000,18012000,116000,116000,20907000,6213000,2398000,6403000,27310000,963000,173000,790000,963000,963000,61450000,-35086000,26347000,26347000,27310000,407000,413000,331000,269000.000000001,1420000,-158000,-158000,1261000,1261000,1261000,1097000,0,0.69182,0.22739,0.13531,0.01545,0.0149,21.71028,0.03655,1.61558713389263e-27,0.01749,0.01651,0.12924,1.13204,0.01545,-17.40292,-27.91082
"9","2016_Q1",1.59295081967213,"Down",6183000,-2412000,3771000,-2511000,-983000,-1528000,1260000,14000,14000,1274000,1274000,1116000,2390000,2390000,2390000,2390000,21669000,20608000,196000,196000,23402000,6979000,2021000,6979000,30381000,1691000,139000,1552000,1691000,1691000,61481000,-32756000,28690000,28690000,30381000,2390000,416000,-924000,810000,2692000,-57000,-57000,2596000,2596000,2596000,1676000,0,0.6099,0.20378,0.38654,0.0833,0.07867,13.83915,0.05894,0,0.10297,0.10274,0.26638,1.23604,0.0833,-12.929,-17.19762
"10","2016_Q2",1.89828125,"Up",5190000,-1486000,3704000,-1281000,-403000,-878000,2423000,10000,10000,2433000,2433000,1387000,3820000,3820000,3820000,3820000,21826000,20739000,122000,122000,27150000,8005000,1609000,8005000,35155000,2592000,263000,2329000,2592000,2592000,61552000,-28981000,32563000,32563000,35155000,3820000,414000,-1426000,-2690000,118000,59000,15000,131000,131000,131000,2837000,1.73472347597681e-18,0.71368,0.46686,0.73603,0.11731,0.10866,10.47454,0.0796,-2.58493941422821e-26,0.16428,0.15742,0.2232,1.40039,0.11731,-7.69334,-9.00784
