"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.17171875,"Up",14828000,-6787000,8041000,-7158000,-3389000,-3699000,883000,-636000,247000,-56000,-28000,-84000,-84000,-84000,-84000,38400568.3497952,38423969.6075549,21951185.6551519,21951185.6551519,765450.723897196,786493.98357471,61117204.7288443,863539.88698433,3632751.77445301,2151564.07300002,5476190.08620674,66593394.815051,3920647.17887939,73308.5616716838,3847338.61720771,6512555.92146588,2140944.51346122,10550059.4446271,5846553.65465665,5846553.65465665,5846553.65465665,16396613.0992837,205639859.016688,-22332545.7721092,-131910052.840273,-1200478.6885388,50196781.7157673,50196781.7157673,66593394.815051,-84000,190000,975000,442000,1523000,-62000,-62000,-62000,-62000,372000,372000,345000,1806000,1806000,667000,2473000,1073000,0,1481000,0.54228,0.05955,-0.00566,0.0254824765224443,0.0181342109993222,-17.63095,5.59978874853783,0.325592658024661,0.00177565827027052,-0.00306,-0.00306,0.54091,1.94538774632269,0.05403,0.0230187782634561,0.0725050227583837,89.2062478884016,114.459032200262
"2","2011_Q1",6.08806451612903,"Up",16218000,-7212000,9006000,-7535000,-3481000,-3997000,1471000,-10000,1461000,847000,-522000,325000,325000,325000,325000,38154000,38154000,22121000,22121000,3185000,3185000,63460000,797000,3417000,2048000,4932000,68392000,7680000,1080000,6600000,4823000,3021000,12611000,4949000,4949000,4949000,17560000,200870000,-19298000,-130669000,-71000,50832000,50832000,68392000,325000,139000,1262000,1847000,3573000,7.27595761418343e-12,7.27595761418343e-12,7.27595761418343e-12,7.27595761418343e-12,4.65661287307739e-10,0,-20000,3553000,3553000,36000,3589000,1610000,108000,3979000,0.55531,0.0907,0.02004,0.00639,0.00475,12.24308,5.03211,0.34545,0.00158,0.01192,0.01183,0.595,1.86492,0.14598,0.00582,0.07119,-23.63106,-25.86404
"3","2011_Q2",6.19444444444444,"Up",15017000,-6594000,8423000,-8717000,-4839000,-3827000,-294000,-379000,-673000,-662000,-96000,-758000,-758000,-758000,-758000,39529060.5500683,39521260.130815,22127604.781616,22127604.781616,4012516.4253676,4007752.0054751,65669181.7570519,776653.371005223,2575166.07518233,1390061.97566666,4010019.97126442,69679201.7283163,9033700.94037354,1324897.14610944,7708803.7942641,4469898.02617804,3105518.49551293,13590480.1851243,4528065.44844778,4528065.44844778,4528065.44844778,18118545.6335721,201192880.327771,-19188734.7426303,-130785149.053242,341659.562846266,51560656.0947442,51560656.0947442,69679201.7283163,-758000,131000,988000,184000,545000,-42000,-42000,-42000,-42000,719000,719000,692000,1195000,1195000,47000,1242000,-163000,0,75000,0.5609,-0.01958,-0.05048,-0.00286415884081478,-0.00199140366644075,-0.09894,4.83812208382072,0.35149411399178,0.00124144724324316,-0.02726,-0.02726,0.53999,1.84509325122577,0.0027,-0.00261959275448536,0.0688883257472055,-59.6351167961339,-70.2097057334207
"4","2011_Q3",5.21046875,"Down",17160000,-7419000,9741000,-9010000,-5242000,-3717000,731000,-31999.9999999999,699000,821000,-922000,-101000,-101000,-101000,-101000,41712000,41712000,22176000,22176000,3869000,3869000,67757000,820000,1639000,685000,3177000,70934000,8970000,1155000,7815000,4834000,2824000,13863000,4377000,4377000,4377000,18240000,204313000,-20667000,-131242000,290000,52694000,52694000,70934000,-101000,113000,1505000,1878000,3395000,-196000,-196000,-196000,-196000,-898000,130000,-927000,2272000,2272000,44000,2316000,844000,59000,3448000,0.56766,0.0426,-0.00589,-0.00192,-0.00142,-34.13861,4.88761,0.34615,0.00083,-0.00359000000000001,-0.00358999999999999,0.61046,1.87456,0.12266,-0.00177,0.06035,-49.3519,-56.98085
"5","2011_Q4",5.56206349206349,"Up",16939000,-7805000,9134000,-7577000,-4158000,-3368000,1557000,202000,1759000,1755000,-1129000,626000,626000,626000,626000,44187000,44187000,21588000,21588000,3587000,3587000,69362000,798000,1362000,615000,2944000,72306000,8399000,923000,7476000,5226000,2636000,13653000,4326000,4326000,4326000,17979000,207585000,-22344000,-130902000,-12000,54327000,54327000,72306000,626000,111000,1292000,57000,2086000,-115000,-115000,-115000,-115000,597000,2079000,569000,2540000,2540000,-65000,2475000,1668000,28000,2739000,0.53923,0.09192,0.03696,0.01152,0.00866,4.3754,5.08035,0.33094,0.00039,0.02226,0.02208,0.6023,1.9317,0.09739,0.01067,0.04668,-26.47422,-28.36159
"6","2012_Q1",7.23661290322581,"Up",17596000,-8224000,9372000,-7230000,-4119000,-3060000,2142000,282000,2424000,2405000,-292000,2113000,2113000,2113000,2113000,46041000,46041000,20863000,20863000,3717000,3708000,70621000,777000,2202000,1629000,3763000,74384000,8335000,974000,7361000,5050000,2961000,13385000,4156000,4156000,4156000,17541000,208830000,-22899000,-128789000,-299000,56843000,56843000,74384000,2113000,104000,1205000,-1235000,2187000,-52000,-52000,-52000,-52000,-198000,241000,-226000,1909000,1909000,-55000,1854000,2246000,3.63797880709171e-12,1251000,0.53262,0.12173,0.12008,0.03717,0.02841,0.592050000000001,5.27613,0.30859,0,0.07466,0.07173,0.62177,2.00859,0.0442,0.03464,0.02051,-20.49911,-21.4944
"7","2012_Q2",8.85222222222222,"Up",20643000,-8728000,11915000,-8113000,-4905000,-3157000,3802000,-142000,3660000,3668000,-169000,3499000,3499000,3499000,3499000,45531000,45531000,27876000,27876000,2481000,2481000,75888000,2145000,1983000,1651000,4912000,80800000,10178000,1420000,8758000,4654000,3311000,14832000,3497000,3497000,3497000,18329000,210787000,-22918000,-125290000,-108000,62471000,62471000,80800000,3499000,297000,9e+05,-6109000,-1413000,-127000,-127000,-127000,-127000,1052000,1052000,1052000,-488000,-488000,-22000,-510000,4099000,0,-1968000,0.57719,0.18418,0.1695,0.05601,0.0433,-0.56245,5.1165,0.2934,0,0.12327,0.12046,0.72728,2.20092,-0.06933,0.05304,-0.02983,-11.10783,-11.97554
"8","2012_Q3",11.0249206349206,"Up",22531000,-8906000,13625000,-8061000,-4719000,-3291000,5564000,155000,5719000,5628000,-808000,4820000,4820000,4820000,4820000,50960000,50176000,26976000,26976000,2800000,2800000,80736000,2420000,1591000,1414000,4011000,84747000,11240000,1546000,9694000,3547000,2646000,14787000,3426000,3426000,3426000,18213000,212416000,-25062000,-120470000,-350000,66534000,66534000,84747000,4820000,-106000,1543000,611999.999999999,6869000,-512000,-512000,-512000,-512000,-1672000,310000,-1672000,4685000,4685000,-40000,4645000,5458000,4.54747350886464e-13,6366000,0.60472,0.24695,0.21393,0.07244,0.05688,1.32075,5.45993,0.27374,-6.7762635780344e-21,0.16877,0.16306,0.7889,2.32962,0.2229,0.0689,0.09099,-9.33675,-9.15888
"9","2012_Q4",13.8390322580645,"Up",22551000,-9457000,13094000,-7752000,-4498000,-3203000,5342000,-179000,5163000,5163000,-170000,4993000,4993000,4993000,4993000,51432000,50932000,34213000,34213000,3234000,3234000,88879000,3577000,1287000,1161000,4864000,93743000,11771000,818000,10953000,3228000,2445000,14999000,3254000,3254000,3254000,18253000,218038000,-26977000,-115477000,-94000,75490000,75490000,93743000,4993000,125000,1282000,-7212000,-812000,-1427000,-1427000,-1427000,-952000,2459000,4368000,2459000,695000,695000,61000,756000,5467000,0,-3002000,0.58064,0.23689,0.22141,0.06614,0.05326,-0.60124,5.92566,0.24179,0,0.17385,0.16544,0.7852,2.62848,-0.10453,0.06341,-0.03812,-9.40772,-9.62785
"10","2013_Q1",15.645,"Up",23815000,-9406000,14409000,-8098000,-4477000,-3600000,6311000,-82000.0000000001,6229000,4423000,19476000,23899000,23899000,23899000,23899000,61637000,61637000,33959000,33959000,7002000,3413000,102598000,3898000,17764000,1189000,21662000,124260000,15659000,2054000,13605000,4039000,3232000,19698000,3502000,3502000,3502000,23200000,220365000,-27778000,-91578000,51000,101060000,101060000,124260000,23899000,199000,-18879000,4893000,10112000,-268000,-268000,-268000,232000,297000,773999.999999999,411000,10755000,10755000,-50000,10705000,6510000,0,-8341000,0.60504,0.265,1.00353,0.23648,0.19233,-0.34901,5.20855,0.22957,-4.2351647362715e-22,0.82026,0.78486,0.81737,3.46856,-0.28628,0.22856,-0.07977,-9.46805,-9.7666
"11","2013_Q2",17.4096875,"Up",24110000,-9657000,14453000,-8176000,-4794000,-3364000,6277000,250000,6527000,6579000,-1848000,4731000,4731000,4731000,4731000,63183000,63183000,32383000,32383000,12434000,4692000,1.08e+08,4953000,13514000,2171000,18467000,126467000,9251000,1347000,7904000,4411000,3763000,13662000,3267000,3267000,3267000,16929000,224133000,-27630000,-86847000,-118000,109538000,109538000,126467000,4731000,258000,2346000,-6985000,350000,-1211000,-1211000,-1211000,-1211000,1747000,1747000,2494000,1633000,1633000,-87000,1546000,6535000,0,187000,0.59946,0.26035,0.19623,0.04319,0.03741,0.03953,7.90514,0.15455,0,0.16118,0.15353,0.82138,3.73175,0.00637,0.04194,0.00166,-9.6684,-10.0658
"12","2013_Q3",20.56640625,"Up",24776000,-9741000,15035000,-7607000,-4404000,-3184000,7428000,-76000,7352000,7343000,-2791000,4552000,4552000,4552000,4552000,76767000,76767000,26602000,26602000,10463000,4246000,113832000,5799000,13449000,2100000,19248000,133080000,9971000,1049000,8922000,3406000,2890000,13377000,3256000,3256000,3256000,16633000,226686000,-28008000,-82295000,64000,116447000,116447000,133080000,4552000,317000,2739000,6346000,13954000,-1326000,-1326000,-1326000,-1326000,1609000,1609000,941000,13569000,13569000,15000,13584000,7745000,1.77635683940025e-15,15556000,0.60684,0.29981,0.18373,0.03909,0.0342,3.4174,8.50953,0.14284,0,0.15352,0.14611,0.83562,3.92739,0.52465,0.03803,0.12995,-9.91181,-10.33481
"13","2013_Q4",22.99484375,"Up",25489000,-10507000,14982000,-7227000,-3812000,-3396000,7755000,-283000,7472000,7464000,-2640000,4824000,4824000,4824000,4824000,85233000,85233000,28288000,28288000,8392000,3524000,121913000,6265000,12864000,1893000,19129000,141042000,8882000,659000,8223000,2661000,2375000,11543000,3557000,3557000,3557000,15100000,231130000,-28017000,-77471000,3e+05,125942000,125942000,141042000,4824000,386000,3647000,-2274000,6583000,-835000,-835000,-835000,-835000,2231000,2231000,2591000,8339000,8339000,127000,8466000,8141000,0,7672000,0.58778,0.30425,0.18926,0.0383,0.0342,1.59038,10.56164,0.1199,0,0.1608,0.15255,0.84963,4.19807,0.25573,0.03725,0.05924,-10.4696,-10.99072
"14","2014_Q1",22.072131147541,"Down",27078000,-9565000,17513000,-7403000,-4015000,-3370000,10110000,45000,10155000,9923000,-3101000,6822000,6822000,6822000,6822000,89371000,89371000,34860000,34860000,9552000,3632000,133783000,7064000,10317000,1687000,17381000,151164000,10429000,1129000,9300000,2439000,2096000,12868000,3584000,3584000,3584000,16452000,233818000,-28905000,-70649000,448000,134712000,134712000,151164000,6822000,424000,2287000,-5057000,4476000,-1256000,-1256000,-1256000,-1256000,1069000,1069000,983000,4203000,4203000,-65000,4138000,10534000,-1.11022302462516e-16,7322000,0.64676,0.37337,0.25194,0.05064,0.04513,1.07329,10.39657,0.12213,3.30872245021211e-24,0.22514,0.21332,0.89363,4.44579,0.24164,0.04933,0.05294,-8.48405,-8.83986
"15","2014_Q2",19.1211111111111,"Down",27086000,-9705000,17381000,-7943000,-4329000,-3596000,9438000,-87000,9351000,9294000,-3039000,6255000,6255000,6255000,6255000,100994000,100994000,32515000,32515000,8295000,4110000,141804000,7582000,9927000,1479000,17509000,159313000,9931000,961000,8970000,5117000,4526000,15048000,3366000,3366000,3366000,18414000,236940000,-32043000,-64394000,396000,140899000,140899000,159313000,6255000,458000,3586000,1790000,12089000,-929000,-929000,-929000,-929000,448000,1416000,489000,11649000,11649000,-26000,11623000,9896000,0,13796000,0.6417,0.34845,0.23093,0.04439,0.03926,2.2056,9.42344,0.13069,0,0.20524,0.19568,0.88874,4.62313,0.45267,0.04336,0.09563,-10.20554,-10.70078
"16","2014_Q3",19.8375,"Up",24610000,-8847000,15763000,-8010000,-4661000,-3337000,7753000,-27000,7726000,7726000,-3030000,4696000,4696000,4696000,4696000,106909000,106909000,30705000,30705000,9502000,5321000,147116000,8497000,9793000,1597000,18290000,165406000,8625000,933000,7692000,3570000,3442000,12195000,3409000,3409000,3409000,15604000,242519000,-33326000,-59698000,307000,149802000,149802000,165406000,4696000,482000,1703000,-616000,6265000,-882000,-1017000,-1017000,-882000,-984000,1614000,518000,5901000,5901000,14000,5915000,8235000,6.93889390390723e-18,9767000,0.64051,0.31503,0.19082,0.03135,0.02839,2.07986,12.06363,0.10416,0,0.15351,0.14729,0.80451,4.89709,0.31929,0.03065,0.06375,-12.98227,-13.78937
"17","2014_Q4",13.085,"Down",22406000,-11613000,10793000,-7847000,-4497000,-3349000,2946000,32000,2978000,2978000,-1218000,1760000,1760000,1760000,1760000,116121000,116121000,27064000,27064000,7215000,3169000,150400000,8679000,8882000,1292000,17561000,167961000,7737000,992000,6745000,2637000,2637000,10374000,3274000,3274000,3274000,13648000,245812000,-33326000,-57937000,-236000,154313000,154313000,167961000,1760000,519000,4890000,2295000,9464000,-1328000,-1328000,-1328000,-1328000,1469000,1469000,1080000,9216000,9216000,-4000,9212000,3465000,0,5650000,0.4817,0.13148,0.07855,0.01141,0.01048,3.21023,14.49778,0.08844,0,0.057,0.05486,0.72568,4.99783,0.18299,0.01117,0.03585,-33.51255,-39.4165
