"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",8.79666666666667,"Up",380661000,380661000,-248972000,131689000,-48839000,-10701000,-36296000,82850000,-7694000,-7544000,-7595000,51000,-150000,75156000,75156000,-168000,74988000,74988000,74988000,74988000,996769970.026021,996769970.026021,44266751.9183551,44266751.9183551,28739188.3719605,72105481.4603083,45406298.3167118,26699183.1435965,1141881391.77664,883138462.096859,1376757354.09605,-493618891.99919,27797305.7380696,27797305.7417566,909821075.766309,2051702467.54295,45258220.3659568,33496939.2399951,8306833.94815564,3454447.17780601,17629336.1786456,14245935.0120707,14245935.0120707,77133491.5566731,1450257735.84531,167949408.747469,2766404.84339506,2766404.84339506,165183003.904074,1618207144.59278,1695340636.14945,391679219.612896,-35317388.2198844,356361831.393012,356361831.393503,2051702467.54295,106646000,-77356000,101000,101000,-77457000,-77457000,6610000,-70746000,23171000,-1222000,-22704000,13196000,13196000,12914000,0,0.34595,0.21765,0.19699,0.412906988221249,0.0937846502023688,8.11474258555979,4.235727445011,0.876350284153534,1.02189,1.02189,5.18742,4.85960140096041,0.105834062043557,1.4102997152819
"2","2010_Q3",10.35265625,"Up",400343000,400343000,-255523000,144820000,-51849000,-11628000,-35677000,92971000,-7087000,-7391000,-7439000,48000,304000,85884000,85884000,-423000,85461000,85461000,85461000,85461000,9669000,9669000,121877000,121877000,52931000,11684000,3560000,8124000,196161000,902648000,1510054000,-607406000,54693000,54693000,957341000,1153502000,112984000,66943000,15683000,30358000,18310000,24097000,24097000,155391000,427314000,179687000,19618000,19618000,160069000,607001000,762392000,407721000,-16611000,391110000,391110000,1153502000,152221000,-97390000,1000.00000000006,1000.00000000006,-97391000,-97391000,-15491000,-112881000,-18331000,0,-64090000,-24750000,-24750000,-24801000,445624000,0.36174,0.23223,0.21347,0.21851,0.07409,1.26237,1.9493,0.38632,1.16378,1.16378,5.45174,5.32601,0.1291,4.68915
"3","2010_Q4",12.25203125,"Up",410448000,410448000,-271499000,138949000,-57627000,-14304000,-37587000,81322000,-7126000,-7586000,-7633000,47000,460000,74196000,74196000,-995000,73201000,73201000,73201000,73201000,20294000.0000001,20294000.0000001,128038000,128038000,41125000,6980000,669000,6311000,196437000,924280000,1566865000,-642585000,55389000,55389000,979669000,1176106000,120595000,69710000,15368000,35517000,18302000,26956000,26956000,165853000,404240000,186010000,19127000,19127000,166883000,590250000,756103000,434735000,-14732000,420003000,420003000,1176106000,135376000,-58674000,251000,251000,-58925000,-58925000,4180000,-54494000,-23082000,0,-70316000,10566000,10566000,10625000,422542000,0.33853,0.19813,0.17834,0.17429,0.06224,1.1844,1.80023,0.35927,0.99683,0.99683,5.58935,5.71946,0.11709,4.94636
"4","2011_Q1",14.8227419354839,"Up",418613000,418613000,-267525000,151088000,-56462000,-14185000,-37321000,94626000,-7104000,-7341000,-7395000,54000,237000,87522000,87522000,-155000,87367000,87367000,87367000,87367000,339562000,339562000,112942000,112942000,31548000,19285000,10024000,9261000,503337000,949247000,1598130000,-648883000,48694000,48694000,997941000,1501278000,110504000,63339000,13901000,33264000,18295000,25806000,25806000,154605000,704165000,186725000,13296000,13296000,173429000,890890000,1045495000,474504000,-18721000,455783000,455783000,1501278000,126345000,-56073000,28000,28000,-56101000,-56101000,-796999.999999998,-56870000,299918000,-1417000,249793000,319268000,319268000,319268000,722460000,0.36093,0.22605,0.20871,0.19169,0.0582,3.25563,2.29384,0.48123,1.18974,1.18974,5.70055,6.20672,0.09969,4.04644
"5","2011_Q2",15.0609523809524,"Up",423258000,423258000,-265418000,157840000,-54071000,-12420000,-37862000,103769000,-8618000,-9205000,-9310000,105000,587000,95151000,95151000,229000,95380000,95380000,95380000,95380000,338976000,338976000,123777000,123777000,55631000,13561000,7231000,6330000,531945000,978922000,1652197000,-673275000,51539000,51539000,1030461000,1562406000,121328000,68218000,17065000,36045000,18817000,23935000,23935000,164080000,707002000,182766000,13029000,13029000,169737000,889768000,1053848000,527213000,-18655000,508558000,508558000,1562406000,120848000,-63728000,54000,54000,-63782000,-63782000,-4308000,-68036000,-166000,-2237000,-53398000,-586000,-586000,-586000,725819000,0.37292,0.24517,0.22535,0.18755,0.06105,3.24199,2.07223,0.46455,1.29773,1.29773,5.75878,6.91936,0.10329,3.72792
"6","2011_Q3",14.94015625,"Down",457946000,457946000,-292823000,165123000,-57944000,-13002000,-39100000,107179000,-8676000,-9069000,-9156000,87000,393000,98503000,98503000,-325000,98178000,98178000,98178000,98178000,347111000,347111000,145826000,145826000,52081000,10490000,4100000,6390000,555508000,1019461000,1730668000,-711207000,51041000,51041000,1070502000,1626010000,132688000,79683000,18754000,34251000,18771000,26717000,26717000,178176000,706835000,185819000,10809000,10809000,175010000,892654000,1070830000,573768000,-18588000,555180000,555180000,1626010000,140537000,-78583000,68000,68000,-78651000,-78651000,-406000,-78989000,-213000.00000003,0,-53413000,8135000,8135000,8135000,725606000,0.36057,0.23404,0.21439,0.17684,0.06038,3.11775,1.9288,0.44625,1.33481,1.33481,6.22617,7.54815,0.10322,3.53143
"7","2011_Q4",14.972380952381,"Up",487747000,487747000,-302217000,185530000,-73415000,-13276000,-40275000,112115000,-8339000,-8699000,-8782000,83000,360000,103776000,103776000,317000,104093000,104093000,104093000,104093000,307177000,307177000,144201000,144201000,45835000,8846000,1582000,7264000,506059000,1088074000,1838660000,-750586000,47913000,47913000,1173106000,1679165000,148547000,86425000,18073000,44049000,18724000,27564000,27564000,194835000,688666000,190437000,10489000,10489000,179948000,879103000,1073938000,623749000,-18522000,605227000,605227000,1679165000,170951000,-73532000,343000,343000,-73875000,-73875000,-27806000,-137038000,-18216000,0,-73847000,-39934000,-39934000,-39934000,707390000,0.38038,0.22986,0.21342,0.17199,0.06199,2.59737,1.77444,0.42127,1.41523,1.41523,6.63134,8.22858,0.10627,3.56967
"8","2012_Q1",15.4685483870968,"Up",474609000,474609000,-303231000,171378000,-81519000,-13636000,-43098000,89859000,1633000,5394000,5294000,1e+05,-357000,91492000,91492000,210000,91702000,91702000,91702000,91702000,273528000,273528000,128643000,128643000,33837000,28146000,11945000,16201000,464154000,1181320000,1974520000,-793200000,45926000,45926000,1267364000,1731518000,150813000,96869000,15873000,38071000,18676000,25331000,25331000,194820000,688497000,224443000,27538000,27538000,196905000,912940000,1107760000,664218000,-40460000,623758000,623758000,1731518000,141647000,-104551000,1061000,1061000,-105612000,-105612000,-5494000,-117045000,-217000,0,-58251000,-33649000,-33649000,-33649000,707173000,0.36109,0.18933,0.19322,0.14702,0.05296,2.38248,1.77595,0.40841,1.24707,1.24707,6.4543,8.4826,0.09627,4.82584
"9","2012_Q2",12.4320634920635,"Down",443586000,443586000,-280100000,163486000,-71503000,-14289000,-43033000,91983000,-9382000,-5819000,-5912000,93000,215000,82601000,82601000,367000,82968000,82968000,82968000,82968000,188959000,188959000,119608000,119608000,73503000,20197000,8913000,11284000,402267000,1261859000,2087996000,-826137000,47675000,47675000,1351186000,1753453000,142142000,82658000,19233000,40251000,33662000,29356000,29356000,205160000,673340000,230253000,27400000,27400000,202853000,903593000,1108753000,684536000,-39836000,644700000,644700000,1753453000,114804000,-105324000,15000,15000,-105339000,-105339000,-25172000,-134896000,-171000,-3584000,-64477000,-84569000,-84569000,-84569000,707002000,0.36856,0.20736,0.18704,0.12869,0.04732,1.96075,1.7198,0.40321,1.1283,1.1283,6.03241,8.7674,0.09083,5.63194
"10","2012_Q3",13.4098412698413,"Up",529864000,529864000,-340088000,189776000,-84315000,-16052000,-52109000,105461000,-10263000,-8217000,-8268000,51000,2384000,95198000,95198000,257000,95455000,95455000,95455000,95455000,11364000,11364000,164459000,164459000,68652000,15555000,6493000,9062000,260030000,1476895000,2274804000,-797909000,58048000,58048000,1598823000,1858853000,176992000,116780000,21219000,38993000,19037000,32385000,32385000,228414000,710115000,240960000,24723000,24723000,216237000,951075000,1179489000,718521000,-39157000,679364000,679364000,1858853000,140667000,-132987000,3999.99999999988,3999.99999999988,-132991000,-132991000,3759000,-255428000,4766000,-4272000,-62834000,-177595000,-177595000,-177595000,729152000,0.35816,0.19903,0.18015,0.14051,0.05135,1.13842,1.73617,0.39226,1.29811,1.29811,7.20572,9.2388,0.09626,6.80619
