"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.66765625,"Up",188199000,-120858000,67341000,-65217000,-51577000,-13640000,2124000,-8348000,-8602000,254000,-6224000,13993000,7769000,3238000,11007000,5154000,-74000,5080000,5080000,49599000,49599000,74139000,74139000,23594000,147332000,134556000,240984000,62740000,27496000,375540000,522872000,101632000,45562000,53902000,53902000,156696000,242947000,33983000,8268000,276930000,433626000,85391000,13052595.9154747,-2225000,2336000,85502000,3744000,89246000,522872000,5154,5154,14301,-7528,8938,20865,-6224,46,-5903,-402,-290115360.082515,-402,14560,14560,1063,15623,2138301,244109000,-1096985,0.35782,0.01129,0.02699,0.05692,0.00972,-0.21594,0.94024,4.85877,0.46686,0.52258,0.52258,19.36005,8.7956,-0.11285,0.01383,-0.00299,90.96474,91.57721
"2","2011_Q1",0.971774193548387,"Up",-293792000,231917000,-61875000,46067000,36541000,9526000,-15808000,-9454000,-8670000,-784000,-25262000,-15018000,-40280000,-775999.999999999,-41056000,-10339000,209000,-10130000,-10130000,41534000,41534000,76828000,76828000,19439000,137801000,138488000,238170000,63731000,26690000,376658000,514459000,93263000,46491000,42462000,42462000,136868000,242748000,32711000,503000.000000002,275459000,412327000,86994000,7302735.54928484,-12355000,4751000,79390000,22742000,102132000,514459000,-19183147,-19183147,68167286,5348573,-17749171,36583541,-20943432,-520914,-21341621,-13852423,-125698293.541258,-13852423,1389497,1389497,-2400558,-1011061,52359286,243891000,14442683,0.21061,0.05381,0.03448,-0.09919,-0.0196899999999997,-1.42573,1.00682,4.0372,0.47407,-1.04207,-1.04207,-30.22241,8.16686,1.48572,-0.0267499999999998,0.03813,3.86478,-12.8009200000001
"3","2011_Q2",0.929365079365079,"Down",216952000,-146847000,70105000,-68035000,-53095000,-14940000,2070000,-8766000,-8679000,-87000,-6696000,-15118000,-21814000,830000,-20984000,-20622000,1367000,-19255000,-19255000,65665000,65665000,90719000,90719000,20667000,177051000,157519000,251625000,71208000,31201000,409144000,586195000,124981000,52666000,44175000,44175000,170328000,242680000,35119000,3042000,277799000,448127000,137982000,3462367.77464242,-31610000,5838000,112210000,25858000,138068000,586195000,-20622000,-20622000,15124000,18021000,3437000,15960000,-6373000,-2e+05,7514000,-276000,-36449859.5137525,-34000,23440000,23440000,691000,24131000,17194000,243852000,13428000,0.32314,0.00954,-0.08875,-0.13946,-0.03285,-0.69738,1.03947,3.2457,0.41599,-1.72722,-1.72722,19.46107,10.06548,1.20452,-0.04617,0.0322,10.36332,86.08068
"4","2011_Q3",0.8171875,"Down",-69760000.0000001,73984000.0000001,4224000,-7091000,-3756999.99999999,-3334000,-2867000,-8118000,-7799000,-319000,-10985000,13301000,2316000,-239000,2077000,-6252000,-89999.9999999998,-6342000,-6342000,31476000,31476000,99133000,99133000,18593000,149202000,154346000,245954000,71113000,30410000,400300000,549502000,124085000,51247000,38684000,38684000,163679000,218607000,34637000,2954000,253244000,416923000,141102000,1153870.59154747,-37952000,4769000,107919000,24660000,132579000,549502000,-6252000,-6252000,17095000,3714000,-15525000,-968000,-7507000,77000,-7831000,-24186000,-1205000,-24465000,-33264000,-33264000,-925000,-34189000,14228000,219517000,-8565000,-0.06055,0.0411,0.09091,-0.0478400000000011,-0.0115400000000012,1.35052,0.91155,3.14471,0.39948,-0.47381,-0.47381,-5.21179999999999,8.06268,-0.6399,-0.0163999999999982,-0.0221499999999999,13.21626,-65.58807
"5","2011_Q4",0.764920634920635,"Down",74308000,-36808000,37500000,-35872000,-27242000,-8630000,1628000,-5373000,-7576000,2203000,-3745000,-960000,-4705000,34000,-4671000,-9553000,-457000,-10010000,-10010000,27233,27233,83168,83168,18428,128829,156968,253499,69083,48162,410467,539296,103515,43212,38529,38529,144464,251703,33526,2826,285229,429693,141876,-378,-47962,2400,95936,13667,109603,539296,26837573,26837573,-32170113,-21706436,12072974,-14966002,13857211,122923,307820,24435296,1201343,24469463,9811281,9811281,232418,10043699,-30542113,254123,-4645928,0.50466,0.02191,-0.13471,-91.32962,-18.56124,0.46413,0.89177,3.92045,0.47121,-0.72986,-0.72986,5.41801,0.00699,-0.33875,-25.19811,-11.69517,-0.00743,0.13937
"6","2012_Q1",0.87758064516129,"Up",190483000,-279741000,-89258000,62063000,41795000,20268000,-27195000,22332000,23960000,-1628000,-4863000,-13425000,-18288000,-1691000,-19979000,3158000,-6281000,-3123000,-3123000,41052000,41052000,81609000,81609000,15539000,138200000,152180000,253444000,71902000,45865000,405624000,543824000,107517000,44384000,36361000,36361000,145826000,245814000,34282000,2971000,280096000,425922000,142810000,-378000,-51085000,2416000,93763000,24139000,117902000,543824000,-33232573,-33232573,65099113,24118436,-13078974,42906002,-17283211,-77923,-2322820,-33318296,-6141343,-38728463,1854719,1854719,-2322418,-467699.000000007,37904113,247762000,9232928,-0.46859,-0.14277,-0.0164,-0.0264900000000097,-0.00573999999999231,-2.95643,0.9477,3.61251,0.45559,-0.22749,-0.22749,13.87551,6.83006,0.67256,-0.00780999999999565,0.0230900000000016,5.4535,-7.60103
"7","2012_Q2",1.07095238095238,"Up",68002000,-33505000,34497000,-34753000,-27156000,-7597000,-256000,-6875000,-6879000,4000,-7131000,-5339000,-12470000,1106000,-11364000,-6752000,-106000,-6858000,-6858000,46181000,46181000,71880000,71880000,17566000,135627000,152368000,249385000,71479000,44345000,401753000,537380000,100752000,41002000,35879000,35879000,138920000,243786000,34345000,2502000,278131000,417051000,143609000,-378000,-57943000,3410000,88698000,31631000,120329000,537380000,-6752000,-6752000,14521000,7484000,2775000,18028000,-8111000,-85000,-9529000,-1823000,-2068000,-3861000,4638000,4638000,491000,5129000,14265000,246075000,7823000,0.50729,-0.00376,-0.10085,-0.05699,-0.01276,-1.14071,0.9763,3.46592,0.45792,-0.49898,-0.49898,4.94776,6.45358,0.56919,-0.01711,0.01952,14.0129,-780.83594
"8","2012_Q3",1.06888888888889,"Down",-68002000,33505000,-34497000,19728000,12133000,7595000,-14769000,6973000,6879000,94000.0000000002,-7796000,556000,-7240000,-1593000,-8833000,69042000,-183000.000000001,68859000,68859000,209728000,209728000,18944000,18944000,62083000,290755000,60525000,169085000,62632000,29454000,229610000,520365000,58373000,35359000,45256000,45256000,103679000,236195000,16080000,519000,252275000,355954000,131193000,-378000,10916000,-6856000,134875000,29536000,164411000,520365000,69042000,69042000,13124000,-82157000,-1857999.99999999,-1849000,-10616000,0,167105000,173000,-1363000,-1167000,164089000,164089000,-542000,163547000,-1645000,236245000,-12526000,0.50729,0.21718,-1.0126,0.418819999999999,0.13233,-0.18191,2.80438,2.16503,0.454,4.97572,4.97572,-4.91379,9.74601,-0.90512,0.16523,-0.0300600000000002,-16.11976,-1.79544999999996
"9","2012_Q4",0.97258064516129,"Down",152921812.852775,0,0,-4058000,-4057000,-1000,-4058000,2000,0,2000,-4056000,2977000,-1079000,-137000,-1216000,-25344000,307000,-25037000,-25037000,66024000,66024000,19119000,19119000,59876000,145019000,64680000,158416000,65081000,17548000,223096000,368115000,45055000,20707000,47581000,47581000,92752000,117882000,16508000,894000,134390000,227142000,140874000,-378000,-14121000,-6514000,119861000,21112000,140973000,368115000,-25344000,-25344000,7515000,19820000,5684000,7675000,-6391000,0,-6765000,-119075000,-11009000,-143848000,-142938000,-142938000,-766000,-143704000,3457000,117998000,2887000,0.198088652800268,0.134151104922532,-0.530260049509814,-0.1776,-0.06801,-0.11531,1.56351,1.61124,0.32055,-1.80252,-1.80252,10.9668164702347,8.6293,0.20785,-0.04078,0.01048,15.03442,-12.80779
"10","2013_Q1",0.9795,"Up",302959000,-285631000,17328000,-29323000,-26122000,-3201000,-11995000,-37000,-27000,-10000,-12032000,-15182000,-27214000,3756000,-23458000,-9077000,0,-9077000,-9077000.00000001,23197000,23197000,17871000,17871000,45858000,86926000,65315000,148949000,60744000,25181000,214264000,301190000,42240000,20565000,36117000,36117000,78423000,127046000,12314000,947000,139360000,217783000,98548000,-378000,-23198000,-6469000,68503000,14904000,83407000,301190000,-9077000,-9077000,8079000,12375000,-11662000,-285000,-6604000,151000,-1073000,-38000,-793000,-42261000,-43619000,-43619000.0000001,792000,-42827000,-3916000,127112000,-25938000,0.0572,-0.03959,-0.0299600000000004,-0.10883,-0.03014,2.85755,1.10842,2.61109,0.42203,-0.652880000000002,-0.652879999999999,21.79091,4.92721,-1.86564,0.14533,-0.1164,-26.53601,-8.66319
