"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.0011111111111,"Down",2.627e+09,-2.305e+09,3.22e+08,-1.16e+08,-1.16e+08,2.06e+08,-1.8e+07,-1.8e+07,-35855686.5352556,1.88e+08,1.88e+08,-6.4e+07,1.24e+08,1.25e+08,1.25e+08,1.25e+08,2468872496.8809,2468872496.8809,1383334212.62831,1383334212.62831,715626028.238451,482286016.910659,4567832737.74766,410312157.210566,1264873028.28976,-179718400.413132,133363935.816897,1675185185.50032,6243017923.24798,1106890430.80146,1106621100.69041,-672257379.973201,549127871.006659,4153783478.2525,216427989.436987,216427989.087968,4370211467.68949,4919339338.69614,1772730976.60384,-498606687.095086,49554294.2964257,1323678583.80518,1323678583.80128,6243017922.49742,1.24e+08,2.4e+07,9e+06,-2.6e+07,1.31e+08,-2.4e+07,-1.64e+08,-357012187.909596,-6655684.7578189,-2.78e+08,1.3e+07,-2.91e+08,1.4e+07,-2.64e+08,-2.97e+08,-2.91e+08,-2.93e+08,2.3e+08,0,2.44e+08,0.12257,0.07842,0.04758,0.0391273168312469,0.00584078714115203,1.952,3.77156365044043,2.61737963832814,0.568482279150989,1.33333,1.32275,28.02133,16.0667881693472,2.60267,4.36872515111047,0.00120493246737888,-0.215756612013872,3.20372065106786,14.7085855472941,1.41988497037752
"2","2010_Q3",22.9634375,"Down",2.749e+09,-2.351e+09,3.98e+08,-1.26e+08,-1.26e+08,2.72e+08,-2e+07,-1.8e+07,-2e+06,2.52e+08,2.52e+08,-9.5e+07,1.57e+08,1.9e+08,1.9e+08,1.9e+08,6.04e+08,6.04e+08,2.032e+09,2.032e+09,3.2e+08,3.2e+08,2.956e+09,3.82e+08,1.836e+09,1.3e+08,7.1e+07,2.218e+09,5.174e+09,1.616e+09,1.616e+09,3e+06,1.619e+09,1.102e+09,1.73e+08,1.73e+08,1.275e+09,2.894e+09,2.077e+09,2.41e+08,-3.8e+07,2.28e+09,2.28e+09,5.174e+09,1.57e+08,2.7e+07,3e+07,-1.04e+08,1.1e+08,-1e+07,-1e+07,-158506093.954798,-1e+06,-1.45e+08,9e+06,-1.54e+08,-1e+06,-1.47e+08,-4.7e+07,36000000.0000001,3.6e+07,2.99e+08,1.105e+09,2.8e+08,0.14478,0.09895,0.06912,0.08333,0.03672,1.47368,1.82582,1.2693,0.21357,2.09366,2.08791,30.29201,25.12397,3.0854,1.93888757555523,0.0534,0.0787,1.44234032553393,1.67559,1.84191
"3","2010_Q4",22.46125,"Down",2.821e+09,-2.445e+09,3.76e+08,-1.24e+08,-1.24e+08,2.52e+08,-1.2e+07,-1.9e+07,7e+06,2.4e+08,2.4e+08,-8.9e+07,1.51e+08,1.73e+08,1.73e+08,1.73e+08,6.44e+08,6.44e+08,2.203e+09,2.203e+09,3.24e+08,3.24e+08,3.171e+09,3.61e+08,2.006e+09,2.16e+08,6.6e+07,2.367e+09,5.538e+09,1.804e+09,1.804e+09,3e+06,1.807e+09,1.101e+09,1.45e+08,1.45e+08,1.246e+09,3.053e+09,2.112e+09,4.1e+08,-3.7e+07,2.485e+09,2.485e+09,5.538e+09,1.51e+08,2.9e+07,2.4e+07,1.17e+08,3.21e+08,-1.1e+07,-2.3e+08,-46168697.9849327,-1e+06,5e+06,8e+06,-3e+06,0,4e+06,9.5e+07,3.9e+07,4e+07,2.81e+08,1.104e+09,4.76e+08,0.13329,0.08933,0.06133,0.06962,0.03124,2.75145,1.75484,1.22857,0.19935,1.92222,1.9116,31.34444,27.61111,5.28889,0.564470858518412,0.04633,0.12748,0.427606775177976,1.63701,1.8254
"4","2011_Q2",24.3707936507937,"Up",2.688e+09,-2.357e+09,3.31e+08,-1.01e+08,-1.01e+08,2.3e+08,-2.3e+07,-2.7e+07,4e+06,2.07e+08,2.07e+08,-7.7e+07,1.3e+08,1.31e+08,1.31e+08,1.31e+08,1.282e+09,1.282e+09,2.15e+09,2.15e+09,4.13e+08,3.6e+08,3.845e+09,3.51e+08,1.987e+09,2e+08,8.4e+07,2.338e+09,6.183e+09,1.776e+09,1.776e+09,3e+06,1.805e+09,1.848e+09,1.35e+08,1.35e+08,1.983e+09,3.788e+09,2.033e+09,3.69e+08,-7e+06,2.395e+09,2.395e+09,6.183e+09,1.3e+08,2.8e+07,1.7e+07,-2.1e+07,1.54e+08,6e+06,7999999.99999994,0,-1e+06,-2.39e+08,7e+06,-2.46e+08,-2e+06,-2.42e+08,-8e+07,-8.6e+07,-8.5e+07,2.58e+08,1.851e+09,3.2e+08,0.12314,0.08557,0.04874,0.0547,0.02119,2.44275,2.13019,1.58163,0.29937,1.51009,1.50575,30.98559,27.60807,3.68876,0,0.0299,0.07304,0,2.20543,2.47391
"5","2011_Q3",20.7109375,"Down",2.596e+09,-2.258e+09,3.38e+08,-1.29e+08,-1.29e+08,2.09e+08,-2.7e+07,-2.8e+07,1e+06,1.82e+08,1.82e+08,-7e+07,1.12e+08,1.78e+08,1.78e+08,1.78e+08,1.336e+09,1.336e+09,2.124e+09,2.124e+09,3.07e+08,3.07e+08,3.767e+09,3.54e+08,1.992e+09,1.96e+08,9.1e+07,2.346e+09,6.113e+09,1.695e+09,1.695e+09,5.53e+08,2.248e+09,1.299e+09,1.43e+08,1.43e+08,1.442e+09,3.69e+09,1.989e+09,4.37e+08,-3e+06,2.423e+09,2.423e+09,6.113e+09,1.12e+08,2.7e+07,-1e+06,-8.2e+07,5.6e+07,4.2e+07,1.1e+07,0,-1e+06,-1.64e+08,7e+06,-1.71e+08,0,-1.65e+08,-9.8e+07,5.4e+07,5.4e+07,2.36e+08,1.852e+09,2.66e+08,0.1302,0.08051,0.06857,0.07346,0.02912,1.49438,1.67571,1.52291,0.30296,2.11276,2.10651,30.81306,28.75964,3.15727,0,0.04029,0.06021,-2.77555756156289e-17,2.18644,2.4689
"6","2011_Q4",17.515873015873,"Down",2.742e+09,-2.436e+09,3.06e+08,-3.32e+08,-3.32e+08,-2.6e+07,-2.9e+07,-2.7e+07,-2e+06,-5.5e+07,-5.5e+07,-4.1e+07,-9.6e+07,-8.9e+07,-8.9e+07,-8.9e+07,1.463e+09,1.463e+09,2.219e+09,2.219e+09,3.09e+08,3.09e+08,3.991e+09,3.49e+08,2.123e+09,1.86e+08,7.6e+07,2.472e+09,6.463e+09,2.145e+09,2.145e+09,5.53e+08,2.698e+09,1.299e+09,1.4e+08,1.4e+08,1.439e+09,4.137e+09,2.003e+09,3.26e+08,-3e+06,2.326e+09,2.326e+09,6.463e+09,-9.6e+07,3.1e+07,3.5e+07,4.47e+08,4.17e+08,-1.2e+07,-2.04e+08,-23980436.240583,-1e+06,-4.6e+07,7e+06,-5.3e+07,-2.3283064365387e-10,-4.7e+07,1.66e+08,1.27e+08,1.27e+08,5e+06,1.852e+09,4.81e+08,0.1116,-0.00948,-0.03246,-0.03826,-0.01377,-5.40449,1.47924,1.77859,0.28655,-1.07879,-1.07553,33.23636,28.19394,5.8303,0.292178036574007,-0.02061,0.11139,0.231297984486235,77.8,-14.96154
"7","2012_Q2",16.812380952381,"Down",2.764e+09,-2.433e+09,3.31e+08,-1.23e+08,-1.23e+08,2.08e+08,-2.5e+07,-2.7e+07,2e+06,1.83e+08,1.83e+08,-6.6e+07,1.17e+08,1.17e+08,1.17e+08,1.17e+08,1.167e+09,1.167e+09,2.171e+09,2.171e+09,4.53e+08,4.53e+08,3.791e+09,3.39e+08,2.09e+09,1.66e+08,7.5e+07,2.429e+09,6.22e+09,1.957e+09,1.957e+09,5.53e+08,2.51e+09,1.298e+09,1.46e+08,1.46e+08,1.444e+09,3.954e+09,2.038e+09,2.29e+08,-1e+06,2.266e+09,2.266e+09,6.22e+09,1.17e+08,2.7e+07,2.4e+07,-5.29e+08,-3.61e+08,-8e+06,-7e+06,-4.1e+07,-1e+06,-1.5e+07,4e+06,-1.9e+07,3254017.36161598,-5.7e+07,-4.25e+08,-4.25e+08,-4.25e+08,2.35e+08,1.851e+09,-2.36e+08,0.11975,0.07525,0.04233,0.05163,0.01881,-2.01709,1.51036,1.74492,0.29759,1.41818,1.41818,33.50303,27.46667,-2.86061,0.49697,0.03706,-0.05536,0.35043,2.91064000000001,3.28846
"8","2012_Q3",17.2833333333333,"Up",2.825e+09,-2.484e+09,3.41e+08,-1.51e+08,-1.51e+08,1.9e+08,-1.8e+07,-2.2e+07,4e+06,1.72e+08,1.72e+08,-6.3e+07,1.09e+08,1.1e+08,1.1e+08,1.1e+08,7.56e+08,7.56e+08,1.992e+09,1.992e+09,4.3e+08,4.3e+08,3.178e+09,3.24e+08,2.078e+09,1.56e+08,7.4e+07,2.402e+09,5.58e+09,1.778e+09,1.778e+09,3e+06,1.781e+09,1.297e+09,1.43e+08,1.43e+08,1.44e+09,3.221e+09,2.064e+09,2.96e+08,-1e+06,2.359e+09,2.359e+09,5.58e+09,1.09e+08,2.9e+07,1.8e+07,4.8e+07,2.04e+08,-2.3e+07,-2.3e+07,-4.2e+07,-5.51e+08,5e+06,6e+06,-1e+06,5795932.87368323,-5.88e+08,-4.07e+08,-4.11e+08,-4.11e+08,2.19e+08,1.3e+09,3.07e+08,0.12071,0.06726,0.03894,0.04663,0.01971,2.79091,1.78439,1.36541,0.23297,1.31737,1.31737,33.83234,28.2515,3.67665,0.50299,0.03998,0.08075,0.38182,2.48402,2.86316
"9","2012_Q4",16.5917741935484,"Down",-6.9e+08,6.99e+08,9e+06,-9.3e+07,-9.3e+07,-8.4e+07,-1.7e+07,-1.9e+07,2e+06,-1.01e+08,-1.01e+08,4e+07,-6.1e+07,1.12e+08,1.12e+08,1.12e+08,5.31e+08,5.31e+08,1.943e+09,1.943e+09,5.88e+08,5.54e+08,3.062e+09,3.19e+08,2.485e+09,2.14e+08,7.6e+07,2.804e+09,5.866e+09,1.956e+09,1.956e+09,2000000.00000006,1.966e+09,1.297e+09,1.48e+08,1.48e+08,1.445e+09,3.411e+09,2.089e+09,3.67e+08,-1e+06,2.455e+09,2.455e+09,5.866e+09,-6.1e+07,1.7e+07,-4e+06,5.4e+07,6e+06,2e+06,-4.76e+08,-4.1e+07,2e+06,4e+06,5e+06,-1e+06,0,-3.5e+07,-5.05e+08,-2.25e+08,-2.25e+08,-6.7e+07,1.299e+09,-5.1e+07,-0.01304,0.12174,-0.16232,0.04562,0.01909,-0.45536,1.55748,1.38941,0.22145,1.3494,1.3494,-8.31325,29.57831,-0.61446,0.49398,0.03921,-0.01307,0.36607,-11.46269,-9.14286
"10","2013_Q2",21.86890625,"Up",1.597e+09,-1.377e+09,2.2e+08,-1.28e+08,-1.28e+08,9.2e+07,-1.5e+07,-1.6e+07,1e+06,7.7e+07,6.1e+07,-2.1e+07,4e+07,8.1e+07,8.1e+07,8.1e+07,5.63e+08,5.63e+08,2.063e+09,2.063e+09,3.93e+08,3.93e+08,3.019e+09,3.15e+08,2.456e+09,1.73e+08,7.4e+07,2.771e+09,5.79e+09,2.016e+09,1.659e+09,1e+06,2.017e+09,1.297e+09,1.72e+08,1.72e+08,1.469e+09,3.486e+09,2.124e+09,1.82e+08,-2e+06,2.304e+09,2.304e+09,5.79e+09,4e+07,2.6e+07,1.6e+07,-1.84e+08,-1.02e+08,7e+06,9000000.00000006,-4.1e+07,174492807.630577,-1.2e+07,4e+06,-1.6e+07,0,-53000000.0000001,-1.46e+08,-1.73e+08,-1.73e+08,1.18e+08,1.298e+09,-37999999.9999999,0.13776,0.05761,0.05072,0.03516,0.01399,-0.46914,1.49678,1.51302,0.22418,0.96429,0.96429,19.0119,27.42857,-0.452379999999999,0.4881,0.03233,-0.01007,0.50617,6.22881,7.98913
