"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",16.1039682539683,"Up",21406000,-6333000,15073000,-13831000,-7871000,-7871000,-5960000,1242000,18000,259219.657092179,1260000,1260000,-404000,856000,856000,856000,856000,18782802.4480586,18782872.4321741,260040300.140752,260040300.140752,-129752712.305182,-129930106.43481,149070390.283628,35844105.835502,7990391.97631555,3904611.44405964,43834497.8118175,192904888.095446,13425958.6497781,-88280321.2179634,101706279.867742,110186435.565111,110186435.565111,123612394.214891,19066441.6866437,15604073.3772935,19068468.6180628,142680862.832954,64979021.9868809,-13938000,-1034357.85963395,50227197.9324769,50224025.2624924,192904888.095446,856000,367000,5212000,-503000,5932000,-697000,-697000,-697000,-1025000,1066000,1066000,-319000,747000,5654000,5654000,5654000,1609000,0,813000,0.70415,0.05802,0.03999,0.160100386072201,0.0839727371521652,0.94977,-2.94237972067021,2.22118384570693,6.57633075443611e-06,0.03219,0.03119,0.80492,1.71006822984064,0.03057,0.150701559258629,5.15832894293259,102.376362615331,137.561645801315
"2","2011_Q3",14.90453125,"Down",23785000,-6467000,17318000,-15264000,-9115000,-9115000,-6149000,2054000,38000,56000,2092000,2092000,-651000,1441000,1441000,1441000,1441000,45831901.2240293,45831936.216087,137051650.070376,137051650.070376,-50513856.1525909,-50602553.217405,132369695.141814,17932552.917751,6639695.98815777,4596805.72202982,24572248.9059088,156941944.047723,16401479.3248891,-34216660.6089817,50618139.9338708,68891217.7825556,68891217.7825556,85292697.1074454,9954220.84332186,8223036.68864677,9955234.30903139,95247931.4164768,71120010.9934405,-13938000,4408821.07018303,61695598.9662385,61694012.6312462,156941944.047723,1441000,415000,-546999.999999999,1381000,2690000,-613000,-613000,-613000,-248000,497000,497000,-42000,455000,2897000,2897000,2897000,2469000,0,3888000,0.72811,0.08636,0.06058,0.0974951930361006,0.0529663685760826,2.69813,-0.133544860335107,1.42514692285346,3.28816537721805e-06,0.05371,0.05187,0.88654,2.23967411492032,0.14492,0.0923157796293144,2.35879947146629,37.5971663076656,53.3671779006577
"3","2011_Q4",15.4960317460317,"Up",25208000,-6352000,18856000,-16177000,-9334000,-9334000,-6843000,2679000,-89000,-89000,2590000,2590000,-658000,1932000,1932000,1932000,1932000,61243300.4080098,61243312.072029,65959550.0234586,65959550.0234586,-7902618.7175303,-7932184.40580166,119300231.713938,8229850.97258366,6011231.99605259,5330268.57400994,14241082.9686363,133541314.682574,14874826.4416297,-5607220.2029939,20482046.6446236,44503739.2608518,44503739.2608519,59378565.7024818,4974073.61444062,4313012.22954892,4974411.4363438,64352977.1388256,75222670.3311468,-13938000,7869273.69006101,69188866.3220795,69188337.5437487,133541314.682574,1932000,407000,-547000,671000,2463000,-622000,-622000,-622000,-622000,174000,174000,-8000,166000,2007000,2007000,2007000,3086000,0,3793000,0.74802,0.10628,0.07664,0.0548617310120335,0.0313021228586942,1.96325,1.6026383798883,0.916992307617821,1.09605512573935e-06,0.07175,0.0694,0.93612,2.56199470497344,0.14086,0.0523252598764381,0.777026490488765,-1.54909456411148,1.90063930021924
"4","2012_Q1",17.553064516129,"Up",26240000,-7150000,19090000,-16290000,-9571000,-9571000,-6719000,2800000,-108000,-108000,2692000,2692000,-571000,2121000,2121000,2121000,2121000,68457000,68457000,33864000,33864000,8353000,8353000,110674000,4703000,5882000,5882000,10585000,121259000,11246000,4915000,6331000,33094000,33094000,44340000,2976000,2850000,2976000,47316000,77965000,-13938000,9916000,73943000,73943000,121259000,2121000,420000,-3508000,4125000,3158000,-1070000,-1070000,-1070000,-1070000,137000,137000,-171000,-34000,2054000,2054000,2054000,3220000,0,6846000,0.72752,0.10671,0.08083,0.02868,0.01749,3.22772,2.49603,0.6399,0,0.07863,0.07581,0.97276,2.7412,0.25379,0.02757,0.089,-21.25994,-24.44893
"5","2012_Q2",17.1155555555556,"Down",27021000,-7938000,19083000,-16953000,-10256000,-10256000,-6697000,2130000,22000,22000,2152000,2152000,-961000,1191000,1191000,1191000,1191000,70913000,70913000,27865000,27865000,8525000,8525000,107303000,5319000,6029000,6029000,11348000,118651000,7915000,4717000,3198000,30732000,30732000,38647000,2810000,2810000,2810000,41457000,80025000,-13938000,11118000,77194000,77194000,118651000,1191000,427000,6636000,-4830000,3424000,-1031000,-1031000,-1031000,-1031000,488000,488000,-425000,63000,2456000,2456000,2456000,2557000,0,-2343000,0.70623,0.07883,0.04408,0.01543,0.01004,-1.96725,2.77649,0.53705,0,0.04384,0.04211,0.99463,2.84146,-0.08624,0.01489,-0.02929,-27.73289,-33.29249
"6","2012_Q3",16.2509523809524,"Down",28134000,-7500000,20634000,-18656000,-11884000,-11884000,-6772000,1978000,-128000,-128000,1850000,1850000,-855000,995000,995000,995000,995000,71162000,71162000,36528000,36528000,3922000,3922000,111612000,7995000,6155000,6155000,14150000,125762000,8608000,2600000,6008000,33663000,33663000,42271000,3126000,3126000,3126000,45397000,82201000,-13938000,12113000,80365000,80365000,125762000,995000,511000,-4880000,6903000,3529000,-3048000,-3048000,-2233000,-3048000,22999.9999999999,22999.9999999999,-255000,-232000,249000,249000,249000,2489000,2.8421709430404e-14,7199000,0.73342,0.07031,0.03537,0.01238,0.00791,7.23518,2.64039,0.56489,0,0.03635,0.03513,1.02771,2.93566,0.26297,0.01192,0.08622,-28.5906,-35.97674
"7","2012_Q4",18.0487096774194,"Up",29913000,-8669000,21244000,-19433000,-12384000,-12384000,-7049000,1811000,-15000,-15000,1796000,1796000,-440000,1356000,1356000,1356000,1356000,72644000,72644000,46953000,46953000,4816000,4816000,124413000,10698000,6037000,6037000,16735000,141148000,15725000,5931000,9794000,37957000,37957000,53682000,2774000,2774000,2774000,56456000,85171000,-13938000,13470000,84692000,84692000,141148000,1356000,608000,-7633000,9585000,3916000,-2690000,-2690000,-2127000,-2690000,522000,522000,-266000,256000,1482000,1482000,1482000,2419000,0,9754000,0.71019,0.06054,0.04533,0.01601,0.00961,7.19322,2.31759,0.6666,0,0.04944,0.04783,1.09066,3.08797,0.35564,0.0155,0.11152,-30.03059,-40.11264
"8","2013_Q1",23.633,"Up",32723000,-9678000,23045000,-20784000,-13691000,16296000,-7093000,2261000,-42000,-42000,2219000,2219000,-795000,1424000,1424000,1424000,1424000,83558000,83558000,38801000,38801000,5067000,5067000,127426000,12788000,6265000,1680000,19053000,146479000,14702000,3775000,10927000,39774000,39774000,54476000,3334000,2007000,3334000,57810000,87725000,-13938000,14882000,88669000,88669000,146479000,1424000,740000,11436000,183000,13783000,-2758000,-2758000,-2123000,-2758000,321000,321000,-432000,-111000,10914000,10914000,10914000,3001000,0,1221000,0.70424,0.0691,0.04352,0.01606,0.00972,0.85744,2.33912,0.65198,0,0.05179,0.04958,1.19018,3.22502,0.04441,0.01548,0.01327,-27.84339,-36.95621
"9","2013_Q2",27.82265625,"Up",33626000,-10553000,23073000,-22384000,-14288000,-14288000,-8096000,689000,-103000,-103000,586000,586000,1148000,1734000,1734000,1734000,1734000,82462000,82462000,42742000,42742000,6199000,6199000,131403000,14709000,6284000,6284000,20993000,152396000,13284000,5743000,7541000,42097000,42097000,55381000,3759000,2432000,3759000,59140000,90576000,-13938000,16618000,93256000,93256000,152396000,1734000,967000,-527000,-913000,1261000,-1744000,-1744000,-948000,-1744000,1409000,1409000,-2022000,-613000,-1096000,-1096000,-1096000,1656000,0,-2149000,0.68617,0.02049,0.05157,0.01859,0.01138,-1.23933,2.37271,0.63417,6.7762635780344e-21,0.06247,0.05905,1.21142,3.35968,-0.07742,0.01787,-0.02215,-49.79589,-119.6836
"10","2013_Q3",32.37875,"Up",35527000,-10786000,24741000,-23960000,-15935000,-15935000,-8025000,781000,-131000,-131000,650000,650000,-70000.0000000002,580000,580000,580000,580000,88227000,88227000,37553000,37553000,6041000,6041000,131821000,14838000,6088000,6088000,20926000,152747000,13489000,4532000,8957000,36013000,36013000,49502000,4159000,3149000,4159000,53661000,95827000,-13938000,17197000,99086000,99086000,152747000,580000,1032000,9323000,-4262000,6673000,-1962000,-1962000,-1224000,-1962000,1362000,1362000,-308000,1054000,5765000,5765000,5765000,1813000,-7.27595761418343e-12,-4341000,0.6964,0.02198,0.01633,0.00585,0.0038,-7.48448,2.66294,0.54156,0,0.02071,0.0193,1.26853,3.53796,-0.155,0.00562,-0.04205,-48.66354,-112.96671
"11","2013_Q4",35.8940625,"Up",36813000,-11027000,25786000,-23714000,-15713000,-15713000,-8001000,2072000,84000,84000,2156000,1479000,-486000,993000,993000,993000,993000,90774000,90774000,44627000,44627000,6406000,6406000,141807000,14911000,5319000,5319000,20230000,162037000,17935000,6012000,11923000,35788000,35788000,53723000,3757000,2787000,3757000,57480000,100306000,-13938000,18189000,104557000,104557000,162037000,993000,1081000,-2156000,3307000,3225000,-1195000,-1195000,-464000,-866000,308000,308000,-120000,188000,2547000,2547000,2547000,3153000,0,5751000,0.70046,0.05628,0.02697,0.0095,0.00613,5.79154,2.6396,0.54975,5.42101086242752e-20,0.03534,0.03268,1.31024,3.72138,0.20469,0.00917,0.0531,-28.78972,-43.80985
"12","2014_Q1",36.2573770491803,"Up",38871000,-10769000,28102000,-25933000,-17588000,21890000,-8345000,2169000,-115000,-115000,2054000,558000,-419000,139000,139000,139000,139000,44688000,44688000,46566000,46566000,45875000,6157000,137129000,15587000,27112000,1351000,42699000,179828000,22728000,7839000,14889000,42274000,42274000,65002000,3523000,2977000,3523000,68525000,106913000,-13938000,18328000,111303000,111303000,179828000,139000,1227000,-345000,4791000,5812000,-1374000,-1374000,-765000,-54194000,248000,248000,2048000,2296000,-46086000,-46086000,-46086000,3396000,-5.82076609134674e-11,7232000,0.72296,0.0558,0.00358000000000001,0.00125,0.00077,52.02878,2.10961,0.61566,0,0.00493999999999999,0.00454,1.38057,3.95311,0.25686,0.00121,0.06298,-13.15901,-20.60304
"13","2014_Q2",25.9980952380952,"Down",40913000,-14546000,26367000,-33477000,-22455000,-8249000,-11022000,-7110000,-972000,-972000,-8082000,-9472000,560000,-8912000,-8912000,-8455000,-8455000,47040000,47040000,50501000,50501000,10320000,7842000,107861000,17750000,60844000,1501000,78594000,186455000,32662000,12473000,20189000,47278000,47278000,79940000,7355000,3871000,7355000,87295000,100197000,-13938000,9873000,96106000,99160000,186455000,-8912000,2591000,10939000,-1209000,3409000,-2386000,-2386000,-1656000,12806000,944000,944000,-14756000,-13812000,2403000,2403000,2352000,-4519000,0,-8674000,0.64447,-0.17378,-0.20666,-0.08527,-0.04535,1.0259,1.34927,0.88034,0,-0.29493,-0.29493,1.42713,3.35238,-0.30257,-0.07938,-0.08143,10.40938,6.61603
"14","2014_Q3",25.67234375,"Down",44368000,-14753000,29615000,-34777000,-24267000,-8873000,-10510000,-5162000,-571000,-571000,-5733000,-8442000,1240000,-7202000,-7202000,-6996000,-6996000,30034000,30034000,62047000,62047000,13367000,10866000,105448000,16761000,59518000,1434000,76279000,181727000,31300000,12249000,19051000,46347000,46347000,77647000,6753000,3437000,6753000,84400000,106078000,-13938000,2879000,95176000,97327000,181727000,-7202000,2825000,-3428000,-4690000,-12495000,-3757000,-3757000,-2864000,-3779000,147000.000000002,147000.000000002,-973000,-825999.999999993,-17100000,-17100000,-17006000,-2337000,0,-12024000,0.66749,-0.11635,-0.15768,-0.07188,-0.0385,1.7187,1.35804,0.86718,0,-0.24159,-0.24159,1.53215,3.28669,-0.41522,-0.06722,-0.11553,12.85152,5.81829
"15","2014_Q4",26.46125,"Up",46719000,-14277000,32442000,-35537000,-24422000,-9170000,-11115000,-3095000,-466000,-466000,-3561000,-4186000,257000,-3929000,-3929000,-3734000,-3734000,40413000,40413000,52111000,52111000,15412000,13090000,107936000,17446000,56570000,1810000,74016000,181952000,29902000,10061000,19841000,50111000,50111000,80013000,4084000,2639000,4084000,84097000,112366000,-13938000,-1076000,95931000,97855000,181952000,-3929000,2551000,15645000,-2074000,12193000,-2313000,-2313000,-1770000,-2135000,299000,299000,-354000,-55000,10003000,10003000,10379000,-544000,0,-5188000,0.69441,-0.06625,-0.07992,-0.03816,-0.02052,1.38939,1.34898,0.8594,-1.38777878078145e-17,-0.12876,-0.12876,1.61097,3.30791,-0.17889,-0.03663,-0.05089,74.2886,13.0575100000002
"16","2015_Q1",24.6901639344262,"Down",53829000,-14510000,39319000,-39300000,-28773000,-9097000,-10527000,19000.0000000009,-642000,-642000,-623000,-2958000,-14550000,-17508000,-17508000,-17459000,-17459000,161019000,161019000,71095000,71095000,8175000,8075000,240289000,15788000,44048000,2290000,59836000,300125000,31073000,10564000,20509000,57313000,57313000,88386000,2292000,1121000,112740000,201126000,134409000,-13938000,-19223000,98999000,98999000,300125000,-17508000,2476000,2188000,11491000,-1352999.99999999,-1348000,-1348000,-1209000,974000,138681000,138681000,-17683000,120998000,120619000,120619000,120606000,2495000,110448000,27188000,0.73044,0.000350000000000017,-0.32434,-0.17636,-0.05817,-1.55725,2.71863,2.0316,0.36801,-0.6013,-0.6013,1.8539,3.40959,0.93637,-0.08246,0.1284,-20.26894,-2661.63158
