"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.95587301587302,"Up",253889000,-129080000,124809000,-72519000,-72519000,52290000,-3121000,-3189000,68000,49169000,49169000,-16021000,33148000,33148000,33148000,33148000,-8673579.48938925,-8673579.48938925,5816250.68526068,5816250.68526068,61166479.0562088,26162910.4329333,18015519.5888151,84472060.6850136,137998400.118512,283469926.14371,208192755.480035,72164116.5542746,3016982.28979294,421468326.262222,505940386.947235,-89354325.6253554,-62001889.7783635,-37835722.9008786,10483287.0538867,-89355457.3859825,363166615.06944,58398802.084627,37460021.8015659,20938780.2830611,421565417.154067,332209959.768085,173730427.179151,505940386.947235,33148000,7585000,4092000,-21505000,23320000,-2758000,-2758000,-2758000,-3901242.79061586,-2758000,95587000,-91692000,8308000,-1e+08,1289000,5184000,25746000,25746000,-1366000,24380000,59875000,0,51633000,0.49159,0.20596,0.13056,-0.371680155727729,0.0230753565570186,1.55765,3.07106844573215,1.52719090726941,0.691062221045761,0.11304,0.1095,0.86577,0.17607,0.000792560402950421,-0.200547789475396,9.50631286047302,11.5241392958722
"2","2010_Q3",7.24546875,"Down",263044000,-135003000,128041000,-74191000,-74191000,53850000,-3859000,-3786000,-73000.0000000001,49991000,49991000,-16485000,33506000,33506000,33506000,33506000,15367000,15367000,112338000,112338000,65310000,34636000,14174000,227651000,159528000,284758000,210475000,69985000,4298000,444286000,671937000,142729000,48664000,14584000,79481000,142729000,4.35e+08,38900000,30689000,8211000,473900000,616629000,55308000,671937000,33506000,8121000,1995000,880000,44502000,-3940000,-3940000,-3940000,-184000,-22816000,43436000,-88838000,11162000,-1e+08,1324000,-44078000,-22392000,-22392000,-663000.000000001,-23055000,61971000,4.35e+08,75396000,0.48677,0.20472,0.12738,0.60581,0.04986,2.25022,1.59499,11.149,0.64738,0.11843,0.11451,0.92975,0.26649,0.06331,0.14247,6.77144,7.79263
"3","2010_Q4",8.67046875,"Up",295785000,-145031000,150754000,-82600000,-82600000,68154000,-4632000,-4068000,-564000,63522000,63522000,-19324000,44198000,44198000,44198000,44198000,38048000,38048000,127453000,127453000,68175000,34182000,15027000,267858000,162910000,285182000,211723000,69179000,4280000,448092000,715950000,177105000,62798000,19846000,94461000,177105000,4.36e+08,34986000,30732000,4254000,470986000,648091000,67859000,715950000,44198000,8164000,6636000,12894000,71892000,-5632000,-5632000,-5632000,32000.0000000002,-5600000,1e+06,-47455000,2545000,-5e+07,669000,-45786000,20506000,20506000,2175000,22681000,76318000,4.36e+08,102904000,0.50967,0.23042,0.14943,0.65132,0.06173,2.32825,1.51242,9.55055,0.60898,0.15968,0.15468,1.0686,0.37177,0.08202,0.19097,5.21439,5.83901
"4","2011_Q1",11.2262903225806,"Up",292682000,-140886000,151796000,-80190000,-80190000,71606000,-3388000,-3457000,69000.0000000001,68218000,68218000,-21870000,46348000,46348000,46348000,46348000,53623000,53623000,115630000,115630000,69856000,32371000,18646000,271480000,159807000,284716000,212468000,68745000,3503000,444523000,716003000,146234000,48288000,12477000,85469000,146234000,4.07e+08,36736000,32315000,4421000,443736000,589970000,126033000,716003000,46348000,8530000,4477000,-14969000,44386000,-5770000,-5770000,-5770000,-548000,-6326000,-29023000,6585000.00000001,6585000,7.45058059692383e-09,718000,-21720000,16340000,16340000,-746000,15594000,80136000,4.07e+08,81267000,0.51864,0.24465,0.15836,0.36774,0.06473,1.75341,1.85648,4.68108,0.56843,0.1705,0.16334,1.0767,0.29896,0.08135,0.14263,4.40972,4.93502
"5","2011_Q2",14.9174603174603,"Up",325838000,-155528000,170310000,-95030000,-95030000,75280000,-3142000,-2539000,-603000,72138000,72138000,-23878000,48260000,48260000,48260000,48260000,59360000,59360000,134407000,134407000,71716000,35835000,22932000,301318000,161076000,284118000,213212000,67737000,3169000,445194000,746512000,169030000,65332000,22423000,81275000,169030000,3.95e+08,35300000,30866000,4434000,430300000,599330000,147182000,746512000,48260000,8341000,2168000,-3044000,55725000,-5215000,-5215000,-5215000,171000,-5044000,-1.2e+07,-44390000,16717000,-61107000,7953000,-48437000,2244000,2244000,3493000,5737000,83621000,3.95e+08,99240000,0.52268,0.23104,0.14811,0.32789,0.06465,2.05636,1.78263,4.07203,0.52913,0.17596,0.17024,1.18806,0.36185,0.08357,0.17185,4.01382,4.45855
"6","2011_Q3",15.0553125,"Up",342212000,-161194000,181018000,-98188000,-98188000,82830000,-2764000,-2646000,-118000,80066000,80066000,-26982000,53084000,53084000,53084000,53084000,86739000,86739000,140413000,140413000,86279000,36532000,24333000,349963000,162081000,289981000,213602000,66940000,9439000,452062000,802025000,167763000,63246000,18714000,85803000,167763000,4.75e+08,35299000,30787000,4512000,510299000,678062000,123963000,802025000,53084000,8249000,6727000,-19835000,48225000,-6883000,-6883000,-6883000,-2141000,-9024000,8e+07,-93234000,5669000,-98903000,71000.0000000028,-13163000,26038000,26038000,1341000,27379000,91079000,4.75e+08,91343000,0.52896,0.24204,0.15512,0.42822,0.06619,1.72073,2.08606,5.46987,0.59225,0.19528,0.18954,1.25889,0.33602,0.08369,0.14401,4.2629,4.68744
"7","2011_Q4",14.3909523809524,"Down",383085000,-182491000,200594000,-103987000,-103987000,96607000,-3494000,-3265000,-229000,93113000,93113000,-31164000,61949000,61949000,61949000,61949000,103015000,103015000,151419000,151419000,91046000,34978000,23456000,380458000,158567000,289611000,212768000,67715000,9128000,448178000,828636000,186040000,70411000,26173000,89456000,186040000,508500000,34659000,29368000,5291000,543159000,729199000,99437000,828636000,61949000,8750000,4645000,-315000,75029000,-6743000,-6743000,-6743000,-10000,-11319000,33500000,-77957000,2033000,-79990000,3740000,-40717000,22993000,22993000,-6717000,16276000,105357000,508500000,129463000,0.52363,0.25218,0.16171,0.623,0.07476,2.08983,2.04503,7.33328,0.61366,0.23235,0.22586,1.43682,0.48557,0.0964,0.20147,3.84868,4.19726
"8","2012_Q1",17.7753225806452,"Up",366765000,-175587000,191178000,-105395000,-105395000,85783000,-2700000,-3450000,750000,83083000,83083000,-26776000,56307000,56307000,56307000,56307000,111400000,111400000,142400000,142400000,91200000,34800000,20100000,379800000,160500000,297900000,213300000,66500000,9e+06,458400000,838200000,1.67e+08,69900000,20500000,76600000,167600000,5.85e+08,54800000,33300000,21500000,639800000,807400000,30800000,838200000,56307000,8960000,-1540000,5994000,69721000,-10659000,-10659000,-10659000,-20000,-10713000,76500000,-124019000,1881000,-125900000,935999.999999998,-46583000,12425000,12425000,-4017000,8408000,94743000,5.85e+08,116854000,0.52125,0.23389,0.15352,1.82815,0.06718,2.0753,2.26611,26.21429,0.69792,0.21583,0.21029,1.40585,0.44792,0.08397,0.17425,4.99879,5.52091
"9","2012_Q2",12.3720634920635,"Down",384400000,-178400000,2.06e+08,-119900000,-119900000,86100000,-4600000,-4100000,-5e+05,81500000,81500000,-25300000,56200000,56200000,56200000,56200000,134016000,134016000,152961000,152961000,97670000,41257000,25423000,425904000,1.61e+08,287556000,213824000,65261000,8471000,448556000,874460000,166594000,67622000,28260000,70712000,166594000,5.65e+08,42455000,20105000,22350000,607455000,774049000,100411000,874460000,56200000,8700000,3e+05,-20600000,44600000,-6600000,-6600000,-6600000,0,-6600000,-2e+07,-7600000,7300000,-14900000,8400000,-19200000,18800000,18800000,3800000,22600000,94800000,5.65e+08,92900000,0.5359,0.22399,0.1462,0.5597,0.06427,1.65302,2.55654,7.70881,0.64611,0.21987,0.21385,1.50391,0.36346,0.07939,0.13124,4.54624,5.00562
"10","2012_Q3",7.25444444444444,"Down",329500000,-162600000,166900000,-119400000,-119400000,47500000,-3600000,-4100000,5e+05,43900000,43900000,-14800000,29100000,29100000,29100000,29100000,134198000,134198000,131192000,131192000,106056000,41309000,24148000,412755000,166310000,286475000,213150000,64959000,8366000,452785000,865540000,153820000,69179000,8632000,76009000,153820000,681500000,42360000,19568000,22792000,723860000,877680000,-12140000,865540000,29100000,8900000,2700000,1200000,41900000,-1.4e+07,-1.4e+07,-1.4e+07,0,-15700000,116500000,-134900000,2800000,-137700000,-1100000,-19500000,6700000,6700000,-6500000,2e+05,56400000,681500000,58400000,0.50653,0.14416,0.08832,-2.39703,0.03362,2.00687,2.68336,-72.29654,0.78737,0.11566,0.11314,1.30962,0.23211,0.04089,0.08205,9.70394,11.52215
