"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",26.4384375,"Up",176765000,-16453000,160312000,-178434000,-124716000,-53718000,-18122000,-1224000,-1590000,366000,-19346000,-9556000,-28902000,-26049000,-26049000,-26049000,-26049000,536759000,233539000,303220000,33568000,33568000,25205000,25205000,595532000,85745000,2481172000,563540000,1909820000,7812000,2566917000,3162449000,86003000,6124000,79879000,20980000,20980000,106983000,152025000,152025000,382025000,489008000,2924056000,-250885000,270000,2673441000,2673441000,3162449000,-26049000,19584000,31725000,-2818000,22442000,-19953000,19132000,-87518000,3777000,3777000,-3657000,-68733000,-68733000,-68733000,1462000,2.3e+08,0.90692,-0.10252,-0.14737,-0.00974,-0.00824,5.5666,0.18291,0.07273,-0.14695,-0.14695,0.99718,15.08169,-0.00853,-209.82148,16.92744
"2","2016_Q1",20.904262295082,"Down",169370000,-13618000,155752000,-181025000,-139331000,-41694000,-25273000,-1173000,-1589000,416000,-26446000,-1066000,-27512000,-25720000,-25720000,-25720000,-25720000,520289000,229138000,291151000,29789000,29789000,24016000,24016000,574094000,85523000,2476083000,558881000,1909167000,8035000,2561606000,3135700000,57800000,3361000,54439000,22622000,22622000,80422000,146225000,146225000,376225000,456647000,2956129000,-276605000,-471000,2679053000,2679053000,3135700000,-25720000,21355000,25911000,-37475000,-15929000,-14603000,10929000,5808999.99999999,5924000,5924000,5719000,-4401000,-4401000,-4401000,-3918000,2.3e+08,0.9196,-0.14922,-0.15186,-0.0096,-0.0082,7.13852,0.17045,0.07335,-0.14441,-0.14441,0.95093,15.04156,-0.00842,74.0911199999999,11.48613
"3","2016_Q2",27.73359375,"Up",185982000,-16203000,169779000,-217263000,-156892000,-60371000,-47484000,-892000,-1573000,681000,-48376000,-593000,-48969000,-47605000,-47605000,-47605000,-47605000,513661000,232443000,281218000,32270000,32270000,21006000,21006000,566937000,92839000,2475477000,549267000,1919777000,6433000,2568316000,3135253000,71614000,4995000,66619000,25952000,25952000,97566000,146232000,146232000,376232000,473798000,2985496000,-324210000,169000,2661455000,2661455000,3135253000,-47605000,23807000,29094000,13622000,18918000,-16926000,10143000,-17178000,1682000,1682000,1565000,3305000,3305000,3305000,-23677000,2.3e+08,0.91288,-0.25532,-0.25597,-0.01789,-0.01518,5.8108,0.17802,0.07336,-0.26642,-0.26642,1.04083,14.89459,-0.01567,11.98045,5.97382
"4","2016_Q3",35.77984375,"Up",208403000,-16745000,191658000,-346784000,-283388000,-63396000,-155126000,-819000,-1572000,753000,-155945000,-204000,-156149000,-156149000,-156149000,-156149000,-156149000,420143000,155210000,264933000,35494000,35494000,15728000,15728000,471365000,98799000,2466937000,539965000,1919777000,7195000,2565736000,3037101000,89922000,17144000,72778000,26866000,26866000,116788000,147541000,147541000,377541000,494329000,3022754000,-480359000,377000,2542772000,2542772000,3037101000,-156149000,25550000,30042000,21110000,-79447000,-19788000,16116000,-3672000,6055000,6055000,5886000,-77233000,-77233000,-77233000,-129576000,2.3e+08,0.91965,-0.74436,-0.74926,-0.06141,-0.05141,4.03607,0.19441,0.07573,-0.87016,-0.87016,1.16136,14.16997,-0.05347,1.46741999999999,1.22573
"5","2016_Q4",35.2384126984127,"Down",224592000,-17608000,206984000,-200301000,-135805000,-64496000,6683000,-1034000,-1595000,561000,5649000,1158000,6807000,6807000,6807000,6807000,6807000,444605000,190760000,253845000,39939000,39939000,17238000,17238000,501782000,94045000,2468677000,537177000,1923480000,8020000,2562722000,3064504000,66053000,6697000,59356000,28241000,28241000,94294000,148504000,148504000,378504000,472798000,3065060000,-473552000,198000,2591706000,2591706000,3064504000,6807000,25495000,25594000,-27803000,30093000,-16845000,10546000,-7061000,12724000,12724000,12518000,35550000,35550000,35550000,32178000,2.3e+08,0.9216,0.02976,0.03031,0.00263,0.00222,5.32146,0.18243,0.07505,0.03769,0.03769,1.24361,14.35077,0.00229,-6.66931,-32.11208
"6","2017_Q1",35.6146774193548,"Up",227612000,-18706000,208906000,-205661000,-138341000,-67320000,3244999.99999999,-1952000,-2668000,716000,1292999.99999999,-23290000,-21997000,-23491000,-23491000,-23491000,-23491000,507515000,243592000,263923000,40527000,40527000,34817000,34817000,582859000,98288000,2468530000,527464000,1923480000,17586000,2566818000,3149677000,66741000,4257000,62484000,30501000,30501000,97242000,151444000,151444000,518848000,616090000,3030872000,-497043000,-242000,2533587000,2533587000,3149677000,-23491000,25738000,50957000,-14123000,39081000,-18163000,-7683000,-37808000,10750000,10750000,51559000,52832000,52832000,52832000,28983000,367404000,0.91782,0.0142599999999999,-0.10321,-0.00926999999999999,-0.00746,5.9939,0.24317,0.11665,-0.12917,-0.12917,1.25154,13.93114,-0.0077,-4.83425,-43.1775
"7","2017_Q2",41.892380952381,"Up",245775000,-20232000,225543000,-224274000,-151406000,-72868000,1269000,-5770000,-6723000,953000,-4501000,-105000,-4606000,-4606000,-4606000,-4606000,-4606000,559044000,261524000,297520000,41868000,41868000,29559000,29559000,630471000,94945000,2471678000,525771000,1927450000,18457000,2566623000,3197094000,74495000,4157000,70338000,32326000,32326000,106821000,149530000,149530000,521287000,628108000,3071682000,-502429000,-267000,2568986000,2568986000,3197094000,-4606000,27135000,32688000,11741000,66958000,-19471000,-34901000,-59795000,11006000,11006000,10769000,17932000,17932000,17932000,28404000,371757000,0.91768,0.00516,-0.01874,-0.00179,-0.00144,5.90213,0.2445,0.11628,-0.02515,-0.02515,1.34187,14.02606,-0.00149,-6.59368,-147.58629
"8","2017_Q3",42.2230158730159,"Up",266850000,-20260000,246590000,-263105000,-184564000,-78541000,-16515000,-5287000,-6897000,1610000,-21802000,-43000,-21845000,-21845000,-21845000,-21845000,-21845000,598928000,276465000,322463000,47716000,47716000,39979000,39979000,686623000,103004000,2470458000,514513000,1927450000,28495000,2573462000,3260085000,69870000,2037000,67833000,32660000,32660000,102530000,150793000,150793000,527052000,629582000,3155221000,-524274000,-444000,2630503000,2630503000,3260085000,-21845000,27022000,38115000,-25358000,17934000,-18921000,-25271000,-54192000,51257000,51257000,51199000,14941000,14941000,14941000,10507000,376259000,0.92408,-0.06189,-0.08186,-0.0083,-0.0067,6.6968,0.23934,0.11541,-0.11779,-0.11779,1.43892,14.18428,-0.00692,-21.19244,13.48283
"9","2017_Q4",41.1319047619048,"Down",281839000,-22152000,259687000,-244723000,-161334000,-83389000,14964000,-5499000,-6906000,1407000,9465000,-218000,9247000,9206000,9206000,9206000,9206000,680980000,319942000,361038000,53951000,53951000,30014000,30014000,764945000,110741000,2465015000,505696000,1931260000,28059000,2575756000,3340701000,85765000,4915000,80850000,32990000,32990000,118755000,152159000,152159000,532954000,651709000,3204403000,-515066000,-345000,2688992000,2688992000,3340701000,9206000,27419000,37147000,18259000,92031000,-22565000,-38549000,-66259000,17747000,17747000,17705000,43477000,43477000,43477000,42383000,380795000,0.9214,0.05309,0.03266,0.00342,0.00276,6.44137,0.24236,0.11399,0.04904,0.04904,1.50129,14.32364,0.00286,-7.08267,-20.06048
"10","2018_Q1",48.2327868852459,"Up",282330000,-22559000,259771000,-246900000,-161713000,-85187000,12871000,-5576000,-6991000,1415000,7295000,-174097000,-166802000,-77175000,-77175000,-77175000,-77175000,762539000,352095000,410444000,54396000,54396000,24590000,24590000,841525000,112271000,2276721000,319711000,1931076000,25934000,2388992000,3230517000,84069000,3587000,80482000,34318000,34318000,118387000,65891000,65891000,451307000,569694000,3254166000,-592243000,-1100000,2660823000,2660823000,3230517000,-77175000,28579000,121505000,8359000,81268000,-17678000,-49084000,-67148000,18061000,18061000,18033000,32153000,32153000,32153000,41450000,385416000,0.9201,0.04559,-0.27335,-0.029,-0.02389,7.10826,0.2141,0.1193,-0.40732,-0.40732,1.4901,14.04343,-0.0248,-9.09826,-29.30021
