"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",12.3893442622951,"Down",55108000,-35597000,19511000,-13318000,-2272000,-7998000,-3048000,6193000,-8436000,-8436000,-8440000,4000,-2243000,-14629000,-16872000,-88000,-16960000,-16960000,5571000,-11389000,-11389000,143776000,143776000,15127000,7029000,318000,12248000,2233000,10015000,171469000,765326000,25624000,2631000,22993000,790950000,962419000,18524000,17279000,1245000,621882000,653922000,5370000,5370000,5370000,659292000,247089000,-101062000,146027000,157100000,303127000,962419000,-16960000,7998000,5e+05,12037000,3575000,-10974000,-10974000,-10974000,-10974000,70017.1288707717,-1940000,139027000,137087000,129688000,129688000,129688000,14191000,621882000,15342000,0.35405,0.11238,-0.20667,-0.03757,-0.01183,-1.34709,0.26222,2.17497,0.64617,-0.70279,-0.70279,3.40058,9.01098,0.94672,0.0228232987382416,-0.01224,0.01649,-2.62671964938537,33.69079,77.20103
"2","2014_Q2",11.8492063492063,"Down",61806000,-39780000,22026000,-13464000,-1024000,-8773000,-3667000,8562000,-8985000,-8985000,-8989000,4000,-423000,-3802000,-4225000,-226000,-4451000,-4451000,1573000,-2878000,-2878000,176418000,176418000,19178000,11080000,641000,14720000,4064000,10656000,210957000,1012137000,26005000,2609000,23298000,1038142000,1249099000,31538000,29833000,1705000,769054000,802607000,5478000,5478000,5498000,808105000,391112000,-79782000,311330000,129664000,440994000,1249099000,-4451000,8773000,333000,-9142999.99999999,-4487999.99999999,-179150000,-179150000,-179150000,-179150000,-1245000,77963000,-4461000,216280000,32642000,32642000,32642000,17335000,769074000,-170732000,0.35637,0.13853,-0.04657,-0.00653,-0.0023,59.32314,0.26284,1.83246,0.6157,-0.12773,-0.12773,2.74314,13.8178,-7.57762,0.05526,-0.00134,-0.14046,-0.43259,34.1884,69.21934
"3","2014_Q3",12.33390625,"Up",83967000,-48914000,35053000,-16061000,-971000,-10706000,-4384000,18992000,-10027000,-10027000,-10033000,6000,8965000,-4229000,4736000,-211000,4525000,4525000,-1028000,3497000,3497000,178232000,178232000,23363000,15265000,647000,35499000,4292000,31207000,237741000,1004808000,10275000,2587000,7641000,1015083000,1252824000,29642000,28165000,1477000,767124000,801777000,5915000,5915000,5928000,807705000,391337000,-94714000,296616000,148503000,445119000,1252824000,4525000,10706000,1830000,10250000,27311000,-3351000,-3351000,-3351000,-21825000,-1705000,-1937000,12000,-3672000,1814000,1814000,1814000,29698000,767137000,36808000,0.41746,0.22618,0.04165,0.00786,0.00279,10.52559,0.29652,1.81458,0.61233,0.13681,0.08017,3.28496,11.6042,1.44,0.0667,0.00427,0.03022,0.48756,19.82979,31.00806
"4","2014_Q4",12.571875,"Up",84784000,-51733000,33051000,-15191000,-458000,-10657000,-4076000,17860000,-10127000,-10127000,-10137000,10000,7733000,-3159000,4574000,-185000,4389000,4389000,-1017000,3372000,3372000,182782000,182782000,24235000,16137000,624000,36723000,3231000,33492000,244364000,997844000,10788000,2565000,8173000,1008632000,1252996000,29917000,28440000,1477000,765164000,799252000,5872000,5872000,5878000,805130000,391350000,-74921000,316419000,131447000,447866000,1252996000,4389000,10657000,854999.999999999,1555000,17456000,-4862999.99999999,-4862999.99999999,-4862999.99999999,-7180000.00000001,-1727000,-1966999.99999999,-1984000,-5726000,4550000,4550000,4550000,28517000,765170000,25394000,0.38983,0.21065,0.03977,0.00753,0.00269,7.53084,0.30574,1.7977,0.61067,0.13189,0.09692,3.31613,12.376,0.99323,0.06755,0.00418,0.02083,0.51216,20.42248,32.60851
"5","2015_Q1",12.6809836065574,"Up",76751000,-48624000,28127000,-15386000,-789000,-10550000,-4047000,12741000,-9865000,-9865000,-9872000,7000,2876000,-3326000,-450000,-475000,-925000,-925000,-1127000,-2052000,-2052000,171439000,171439000,20480000,12382000,696000,33272000,2422000,30850000,225887000,990303000,9815000,2542000,7238000,1000118000,1226005000,30698000,29273000,1425000,761727000,793637000,8370000,8370000,8370000,802007000,377114000,-98210000,278904000,145094000,423998000,1226005000,-925000,10550000,1209000,3741000,14575000,-5782000,-5782000,-5782000,-4608000,-1725000,60000,-4199000,-21310000,-11343000,-11343000,-11343000,23291000,761727000,21725000,0.36647,0.166,-0.02674,-0.00484,-0.00167,-10.58723,0.28462,1.89153,0.62131,-0.08139,-0.06091,3.04427,11.06252,0.86171,0.06842,-0.00027,0.01819,-0.84064,25.34404,46.3298
"6","2015_Q2",11.9396825396825,"Down",77789000,-50075000,27714000,-16235000,-1123000,-10517000,-4595000,11479000,-9440000,-9579000,-9583000,4000,2039000,-1983000,56000,-481000,-425000.000000001,-425000.000000001,219000,-206000,-206000,171115000,109203000,21516000,13418000,673000,36267000,3782000,32485000,229571000,984953000,11308000,2520000,8777000,996261000,1225832000,31639000,30250000,1389000,764341000,796592000,18963000,18963000,18963000,815555000,390864000,-95056000,272706000,137571000,410277000,1225832000,-425000.000000001,10517000,-50268000,802999.999999999,-39373000,-4596000,-4596000,-4596000,-3500000,-1674000,-889000,-8030000,-19363000,-62236000,-62236000,-62236000,21996000,764341000,18684000,0.35627,0.14757,-0.00265000000000001,-5e-04,-0.00017,-90.69903,0.28819,1.98782,0.62353,-0.00847000000000005,-0.00847000000000001,3.19978,11.21753,0.76855,0.06886,0.00123,0.01565,-8.12621,26.96972,51.67924
"7","2015_Q3",10.9028125,"Down",92837000,-54376000,38461000,-16345000,-1185000,-10559000,-4601000,22116000,-8791000,-9124000,-9129000,5000,13325000,-4373000,8952000,172000,9124000,9124000,-2400000,6724000,6526000,180467000,180467000,21282000,13184000,682000,37029000,3149000,33880000,239460000,978678000,68411000,2498000,15438000,1047089000,1286549000,33706000,30685000,3021000,762358000,797644000,8347000,8347000,8347000,805991000,394177000,-75506000,358441000,122117000,480558000,1286549000,9124000,10559000,2199000,-3272000,18610000,-7852000,-7852000,-7852000,-7724000,-1636000,-1983000,60998000,60378000,71264000,71264000,71264000,32675000,762358000,21379000,0.41429,0.23822,0.0703,0.01358,0.00507,3.27597,0.30021,1.6772,0.59256,0.26905,0.15772,3.82736,12.18734,0.88138,0.06745,0.00652,0.01709,0.250690000000002,17.80845,26.31086
"8","2015_Q4",11.0603125,"Up",90759000,-56339000,34420000,-17395000,-1502000,-11308000,-4585000,17025000,-12794000,-9336000,-9348000,12000,4231000,-11451000,-7220000,-62000,-7282000,-7282000,441999.999999999,-6840000,-7735000,85708000,85708000,21812000,13714000,809000,39558000,3684000,35874000,147887000,1034073000,83767000,23240000,11659000,1130205000,1278092000,40802000,37482000,3320000,760344000,801344000,8429000,8429000,8429000,809773000,456469000,-83564000,413418000,54901000,468319000,1278092000,-7282000,11308000,12710000,-3139000,13597000,-83071000,-83277000,-83277000,-101548000,-4415000,-2014000,-379000,-6808000,-94759000,-94759000,-94759000,28333000,760344000,-57815000,0.37925,0.18758,-0.08523,-0.01652,-0.00605,7.47447000000001,0.18455,1.72911,0.59491,-0.28114,-0.74433,3.29872,12.76029,-2.10134,0.16047,-0.00268,-0.04673,-0.57078,23.81096,39.6262
"9","2016_Q1",8.26180327868853,"Down",88160000,-56877000,31283000,-17500000,-1324000,-11440000,-4736000,13783000,-8464000,-9756000,-9769000,13000,5319000,-11535000,-6216000,108000,-6108000,-6108000,-282000,-6390000,-7283000,105039000,105039000,21468000,13370000,1451000,37022000,3132000,33890000,164980000,1091479000,85914000,23160000,13636000,1187770000,1352750000,47007000,43568000,3439000,835592000,883285000,12390000,12390000,12390000,895675000,438632000,-99773000,401107000,55968000,457075000,1352750000,-6108000,11440000,4342000,6464000,16138000,-67229000,-67229000,-67229000,-66575000,-4094000,79888000,-2536000,73257000,22820000,22820000,22820000,25223000,835592000,-35650000,0.35484,0.15634,-0.08261,-0.01593,-0.00538,4.89496,0.18678,1.95958,0.6177,-0.25548,-0.25548,3.09255,11.88677,-1.25056,0.14361,-0.00244,-0.02732,-0.56213,28.96376,53.00392
"10","2016_Q2",9.35453125,"Up",99797000,-65410000,34387000,-20870000,-3923000,-11904000,-5043000,13517000,-13262000,-10602000,-10634000,32000,255000,-24000,230999.999999999,-370000,-138999.999999999,-138999.999999999,5000,-134000,-1028000,101891000,101891000,22660000,14562000,1467000,41980000,5056000,36924000,167998000,1082812000,90018000,23080000,16819000,1181714000,1349712000,52087000,47762000,4325000,834110000,886329000,11447000,11447000,11447000,897776000,437166000,-92656000,406746000,45190000,451936000,1349712000,-138999.999999999,11904000,944000,-565999.999999999,12143000,-3357000,-3357000.00000001,-3357000.00000001,-2684000,-3405000,-2143000.00000001,-3820000,-9368000,91000.0000000149,91000.0000000149,91000.0000000149,25421000,834110000,21868000,0.34457,0.13544,-0.0103,-0.00227,-0.000760000000000001,-21.27237,0.18954,1.98651,0.61799,-0.03591,-0.03591,3.48618,12.03468,0.76391,0.11895,0.00183,0.01685,-3.31226,28.80371,54.17023
