"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"12","2019_Q3",60.3103125,"Down",1864700000,-960700000,9.04e+08,-654500000,-537100000,-117400000,249500000,-45200000,-44400000,-8e+05,204300000,204300000,-2.9e+07,175300000,174600000,174600000,157400000,1092100000,1092100000,1315200000,1315200000,693700000,335300000,313900000,3436300000,514700000,12517100000,7750900000,3813200000,9.53e+08,13031800000,16468100000,1722800000,697900000,1024900000,2791200000,5196500000,1457500000,1457500000,6.654e+09,9445200000,3268800000,3810400000,-67600000,7011600000,11300000,7022900000,16468100000,175300000,110400000,15900000,-41400000,258800000,-24500000,-3237100000,-3261600000,-23400000,391500000,-2900000,365200000,-2637600000,-2637600000,800000.000000002,-2636800000,359900000,6196500000,3.23e+08,0.4848,0.1338,0.0844099999999997,0.02241,0.00955999999999999,2.0521,1.23112,1.34491,0.37627,0.39236,0.38728,4.64825,17.47825,0.80516,0.05833,0.01232,0.02201,0.14867,14.18283,20.45852
"13","2019_Q4",59.16109375,"Down",1.86e+09,-932300000,927700000,-685600000,-566500000,-119100000,242100000,-48200000,-4.7e+07,-1200000,193900000,235100000,-27800000,207300000,207100000,207100000,189800000,1060500000,1060500000,1.332e+09,1.332e+09,680700000,392700000,374900000,3465900000,519800000,12674700000,7995500000,3660600000,1018600000,13194500000,16660400000,1848400000,693800000,1154600000,2916300000,5015600000,1564900000,1564900000,6580500000,9496800000,3294600000,3976700000,-119600000,7151700000,11900000,7163600000,16660400000,207300000,116800000,-24500000,79400000,3.81e+08,-31100000,-150600000,-181700000,46800000,-196800000,-61400001,-211400001,-12100001,-12100001,-19500000,-31600001,358900000,6015600000,4.35e+08,0.49876,0.13016,0.10204,0.0265,0.01139,2.29189,1.18846,1.3257,0.36107,0.4727,0.46783,4.6324,17.81157,1.08338,-0.11656,0.0097,0.0295,-0.24658,13.80635,20.46716
"14","2020_Q1",57.3040322580645,"Down",-753700000,592500001,-161199999,-103800000,-1.29e+08,25200000,-264999999,-29700000,-25900000,-3800000,-294699999,-295099999,16600000,-278499999,192800001,192800001,175600001,1205200000,1205200000,890700000,890700000,416200000,1176700000,338600000,3688800000,4.16e+08,13334200000,7241500000,3570700000,513700000,13750200000,1.7439e+10,1246800000,4.49e+08,797800000,3467200000,4826200000,1745400000,1472800000,6571600000,10038800000,3314500000,4128800000,-56300000,7.387e+09,13200000,7400200000,1.7439e+10,-278500000,32400000,-1100000,148800000,475400000,5100000,-552100000,-587300000,-93800000,299300000,42600001,237900001,126000001,126000001,18700000,144700001,-232599999,6326200000,-95299999,0.21388,0.3516,-0.23298,0.02373,0.01007,-0.54271,1.06391,1.35656,0.36276,0.43682,0.43105,-1.87488,18.37571,-0.23707,0.23333,0.01741,-0.00616,0.53417,-22.01634,-19.32453
"15","2020_Q2",51.2098412698413,"Down",1108100000,-496100000,6.12e+08,-496600000,-415800000,-80800000,115400000,-43100000,-38600000,-4500000,72300000,72300000,-17500000,54800000,41900000,41900000,24600000,1040500000,1040500000,1317600000,1317600000,650400000,437100000,433800000,3445600000,5.2e+08,12966100000,8271100000,3.751e+09,9.44e+08,13486100000,16931700000,1817800000,745400000,1072400000,2121100000,5826100000,1731200000,1731200000,7557300000,9678400000,3337100000,4098600000,-193600000,7242100000,11200000,7253300000,16931700000,54800000,98400000,12800000,-44300000,1.91e+08,-26200000,-1100000,-44200000,-23500000,-2.59e+08,3e+05,-283200000,-136400000,-136400000,-28300000,-164700000,213800000,6076100000,160800000,0.5523,0.10414,0.0222,0.00339,0.00145,6.53659,1.62444,1.33434,0.35886,0.06112,0.06055,2.75321,17.99387,0.39953,0.05839,0.00319,0.01068,0.95528,23.55285,43.63605
"16","2020_Q3",59.9246875,"Up",1041600000,-458800000,582800000,-480200000,-402800000,-77400000,102600000,-30600000,-36200000,5600000,7.2e+07,7.2e+07,-12200000,59800000,1.3e+08,1.3e+08,112800000,1.063e+09,1.063e+09,1129200000,1129200000,664500000,393700000,390400000,3250400000,519800000,12935500000,8297700000,3671300000,966500000,13455300000,16705700000,1.825e+09,7.33e+08,1.092e+09,2876400000,4686200000,1736200000,1736200000,6422400000,9298800000,3364100000,4187800000,-156600000,7395300000,11600000,7406900000,16705700000,59800000,99500000,16900000,132900000,479300000,-19300000,-699999.999999881,-21100000,-23600000,-391200000,-27600000,-445300000,12900000,12900000,9599999.99999999,22500000,202100000,5.685e+09,327900000,0.55952,0.0985,0.10829,0.01523,0.00675,2.90691,1.13002,1.25542,0.3403,0.27977,0.27779,2.58338,18.34184,0.81326,0.05853,0.0092,0.02211,0.20922,22.86987,45.04873
"17","2020_Q4",67.6384375,"Up",1159800000,-508200000,651600000,-5.14e+08,-434800000,-79200000,137600000,-38300000,-36900000,-1400000,99300000,99300000,-13300000,8.6e+07,225800000,225800000,208500000,1489100000,1489100000,1207600000,1207600000,661799999,416200000,414100000,3774699999,513600000,12911400000,8.341e+09,3595600000,974800000,1.3425e+10,17199699999,1987100000,777100000,1.21e+09,3.041e+09,4699200000,1771400000,1771400000,6470600000,9511600000,3395100000,4372700000,-91700000,7676100000,1.2e+07,7688100000,17199700000,8.6e+07,95100000,15600000,20800000,481700000,-13400000,-13400000,-39800000,47100000,0,-78500000,-31700000,410200000,410200000,1.6e+07,426200000,232700000,5698400000,253400000,0.56182,0.11864,0.17977,0.02712,0.01212,1.21535,1.24127,1.23718,0.33131,1.011,1.00125,5.62379,37.22088,1.22872,-0.22838,0.01065,0.01672,-0.2259,18.08896,30.59084
"18","2021_Q1",68.1104918032787,"Up",1324900000,-562800000,762100000,-578300000,-4.95e+08,-83300000,183800000,-38900000,-36800000,-2100000,144900000,1264100000,-12500000,1251600000,1215600000,1215600000,1198400000,1824800000,1824800000,810300000,810300000,455500000,1356300000,206700000,4446900000,4.22e+08,11182600000,7359200000,3290600000,532800000,11604600000,16051500000,1380700000,480800000,899900000,2860799999,2830300000,1387700000,1387700000,4.218e+09,7078799999,3557900000,5547400000,-141100000,8964200000,8500000,8972700000,16051499999,1251600000,9.1e+07,-1204800000,191600000,284700000,-11500000,-25200000,-43300000,-94400000,-1480800000,1655500000,64100000,305500000,305500000,30100000,335600000,274800000,4230100000,467400000,0.57521,0.13873,0.90452,0.13356,0.07466,0.39002,1.55443,0.78893,0.26353,3.54871,2.88493,3.9233,26.54486,1.38407,0.27954,0.08861,0.03203,0.07877,8.75291,13.08651
"19","2021_Q2",71.024126984127,"Up",1259200000,-547300000,711900000,-514300000,-428100000,-86200000,197600000,-3.1e+07,-27700000,-3300000,166600000,118700000,-7e+06,111700000,110200000,110200000,92900000,1299600000,1299600000,829500000,829500000,466600000,205200000,205200000,2800900000,410100000,11067900000,7340400000,3209700000,517800000,1.1478e+10,14278900000,1301400000,464500000,836900000,2474800000,1441500000,1345900000,1345900000,2787400000,5262200000,3567200000,5616600000,-174800000,9.009e+09,7700000,9016700000,14278900000,111700000,9.7e+07,63800000,-120500000,144800000,-8400000,-2e+05,-8600000,-172641304.63735,-611100000,-43800000,-654900000,-518700000,-518700000,-6500000,-525200000,294600000,2567500000,172700000,0.56536,0.15693,0.07378,0.0103,0.00651,1.85899,1.13177,0.58361,0.17981,0.27437,0.27188,3.71884,26.60662,0.51004,0.557282859101314,0.00718,0.01336,0.408528441388858,4.3038,6.4165
"20","2021_Q3",72.2059375,"Up",1319700000,-564200000,755500000,-544200000,-456400000,-87800000,211300000,-29800000,-25200000,-4600000,181500000,207500000,-25500000,1.82e+08,180900000,180900000,163700000,1565800000,1565800000,817900000,817900000,4.88e+08,214700000,214700000,3086400000,4e+08,11009100000,7347300000,3133700000,528100000,11409100000,14495500000,1389400000,489400000,9e+08,2569700000,1441800000,1274300000,1274300000,2716100000,5285800000,3605700000,5756600000,-157300000,9.205e+09,4700000,9209700000,14495500000,1.82e+08,95700000,-5800000,19100000,279500000,-8700000,1099999.99999997,-6500000.00000003,-142582648.405587,1.19209289550781e-07,-12900000,-12900000,260100000,260100000,6100000,266200000,3.07e+08,2576400000,342900000,0.57248,0.16011,0.12404,0.01777,0.01129,2.09469,1.20107,0.57394,0.17774,0.48346,0.47908,3.89752,27.18547,1.0127,0.444429273973564,0.01253,0.02625,0.550025553611092,3.29186,4.78277
"21","2021_Q4",74.61953125,"Up",1.301e+09,-555300000,745700000,-543400000,-455600000,-87800000,202300000,-26700000,-25100000,-1600000,175600000,175600000,-2.3e+07,152600000,152300000,152300000,152300000,838400000,838400000,830400000,830400000,506800000,249700000,249700000,2425300000,3.95e+08,12155800000,8221500000,3392100000,542200000,12550800000,14976100000,1464100000,494900000,969200000,2868900000,1442100000,1342300000,1342300000,2784400000,5653300000,3627900000,5882200000,-192100000,9.318e+09,4800000,9322800000,14976100000,152600000,98800000,18400000,-6900000,262200000,-10900000,-1157600000,-1168500000,-72600000.0000001,2.15e+08,40300000,182700000,-723600000,-723600000,-3800000,-727400000,301100000,2800300000,306300000,0.57317,0.1555,0.11706,0.01634,0.01017,2.01116,0.84538,0.6064,0.18698,0.42435,0.42049,3.62497,25.96266,0.85344,0.20228,0.0167,0.02275,0.47669,6.51578,9.69797
"22","2022_Q1",65.3641935483871,"Down",1374800000,-580800000,7.94e+08,-592400000,-499400000,-9.3e+07,201600000,-29800000,-25200000,-4600000,171800000,175700000,-7800000,167900000,1.65e+08,1.65e+08,1.65e+08,819300000,819300000,930200000,930200000,512700000,252700000,252700000,2514900000,395500000,13555100000,9.152e+09,3890200000,512900000,13950600000,16465500000,1563200000,557900000,1005300000,3714900000,1807300000,1426300000,1426300000,3233600000,6948500000,3673600000,6023600000,-1.85e+08,9512200000,4800000,9.517e+09,16465500000,167900000,1.04e+08,-22700000,37800000,274600000,-17500000,-1413400000,-1.432e+09,-25100000,1149700000,12500000,1137100000,-20300000.0000002,-20300000.0000002,1200000,-19100000,305600000,3.959e+09,333700000,0.57754,0.14664,0.12002,0.01734,0.01002,2.02242,0.67698,0.73011,0.24044,0.45974,0.45555,3.83059,26.50376,0.92979,0.06994,0.01276,0.02239,0.15212,10.27389,15.57391
"23","2022_Q2",58.5201612903226,"Down",1376500000,-584500000,7.92e+08,-579700000,-480600000,-99100000,212300000,-21500000,-18800000,-2700000,190800000,190800000,-25700000,165100000,165100000,165100000,165100000,684300000,684300000,9.29e+08,9.29e+08,553300000,281100000,281100000,2447700000,412600000,13406100000,9132900000,3788900000,484300000,13818700000,16266400000,1561800000,576100000,985700000,2561600000,2738900000,1399200000,1399200000,4138100000,6699700000,3622700000,6226400000,-223900000,9561400000,5300000,9566700000,16266400000,165100000,117800000,19900000,-8.8e+07,214800000,-18800000,9e+05,-17900000,-38611976.5214685,-225800000,-4.3e+07,-332600000,-135700000,-135700000,7e+05,-1.35e+08,330100000,3738700000,2.49e+08,0.57537,0.15423,0.11994,0.01726,0.01015,1.50818,0.95554,0.70031,0.22984,0.4595,0.45495,3.83106,26.61119,0.69301,0.197731066537439,0.01123,0.01693,-0.499408002500025,9.25295,14.38719
"24","2022_Q3",61.92375,"Up",1463300000,-629800000,833500000,-5.85e+08,-484900000,-100100000,248500000,-24100000,-2.1e+07,-3100000,224400000,208200000,-35200000,1.73e+08,1.73e+08,1.73e+08,1.73e+08,682900000,682900000,940900000,940900000,547700000,273800000,273800000,2445300000,407600000,1.3218e+10,9058200000,3678500000,481300000,13625600000,16070900000,1611400000,581700000,1029700000,2611300000,2682200000,1.328e+09,1.328e+09,4010200000,6621500000,3654800000,6374500000,-342100000,9444300000,5100000,9449400000,16070900000,1.73e+08,116200000,34300000,-29100000,294400000,-18300000,-2500000,-20800000,-145695929.564405,-52400000,-18800000,-250300000,23300000,23300000,-24700000,-1399999.99999994,364700000,3682100000,352500000,0.5696,0.16982,0.11823,0.01831,0.01076,2.03757,0.93643,0.70073,0.22912,0.48149,0.47672,4.07264,26.28528,0.98107,0.713779199612316,0.01196,0.02438,-1.56344800750007,8.22375,12.06922
