"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",2.8175,"Up",21209468,-16297510,4911958,-3919003,-2464456,-1830999,-633457,-1053768,-400779,992955,-26917,-26917,966038,141981,1108019,-24863,1083156,1083156,1083156,1083156,2184504.84175265,2184504.84175265,2617099.86878124,2617099.86878124,39113239.2892763,40331881.3397656,-592673.422133044,43544590.3717783,1790898.29310935,53531732.4600624,23663411.6089791,21194411.1065171,12842751.7528938,55322630.7531718,98867221.1249501,2299708.94345659,734180.255497367,3809936.81789486,761601.856880089,54910892.5629455,51903955.5922351,65938545.6538679,25709947.2028661,16602331.9445586,25709947.2029379,91648492.8568058,51613762.1911899,-44255955.8612767,7218728.22464066,7218728.26814434,98867221.1249501,1083156,271492,460231,60714,1875593,-33111,-33111,-478561,0,-478561,1363921,1363921,1363921,1264447,0,1316913,0.23159,0.04682,0.05107,-0.591938350161474,-0.145684906365217,1.21581,0.636778756108648,5.84039971989317,0.0814658300687805,0.07555,0.0732,1.47927,0.2228321140759,0.09185,-0.324535326665857,0.217644958264748,-2.57275055720614,30.635869382092
"2","2011_Q1",3.19725806451613,"Up",22077286,-17084235,4993051,-6305792,-4810787,-1737526,-3073261,-1091180,-403825,-1312741,-16385,-16385,-1329126,2541570,1212444,24260,1236704,1236704,1236704,1236704,4205729,4205729,3021995,3021995,40834707,39380747,620000,48062431,1552349,51865887,16883401,17990807,12836079,53418236,101480667,3558252,1664006,2106509.29073691,1894246,50948286,49792686,55812421,21747009,16907009,21747009,77559430,52025453,-28104216,23921237,23921237,101480667,1236704,2022653,-1498239,580147,2341265,-296264,-296264,-478560,-2792301,-3270861,-1225860,-1225860,-1225860,709912,1305883,969535,0.22616,-0.05946,0.05602,0.0517,0.01219,0.78397,0.86114,3.24228,0.01287,0.08532,0.08251,1.52304,1.65025,0.06688,0.02633,0.02064,-4.0848,2.209
"3","2011_Q2",3.21142857142857,"Up",22555207,-17213939,5341268,-5140890,-3588477,-2024703,-1563774,-1199236,-353177,200378,311789,-11540,512167,354144,866311,-138365,727946,727946,727946,727946,4603786.55274912,4603786.55274912,3599296.79373959,3599296.79373959,43070546.8202412,41250836.0534115,795846.557377681,51345648.7927406,1385151.98563022,51073477.1799792,15151054.7136736,17290572.2978276,12810352.8323687,52458629.1656094,103804277.95835,3989170.18551447,1881250.66483421,1032346.64536846,2281499.63103997,51767145.6456848,50966108.219255,55030895.3653774,20894474.682378,16961419.1851471,20894474.682354,75925370.0477314,52234113.18627,-24384150.6295744,27878907.9251198,27878907.9106186,103804277.95835,727946,282868,537855,-786173,762496,-328958,-328958,-478561,3460,-475101,-41563,-41563,-41563,483246,0,-493520,0.23681,0.00888,0.03227,0.167511950053825,0.0406708021217389,-0.67796,0.928209581297118,2.68912009336894,-0.00616361002292682,0.05449,0.05223,1.68834,2.04084512864137,-0.03694,0.0900851088886191,-0.0204374860882494,-3.83048398093129,-7.78755229403067
"4","2011_Q3",3.03484375,"Down",23045923,-17679953,5365970,-4770582,-3215744,-1771971,-1443773,-1231593,-323245,595388,42991,-8657,638379,117229,755608,-189949,565659,565659,565659,565659,4348256,4348256,4150559,4150559,45399589,44405737,460000,53898404,1295658,51263877,16251850,17990807,12776220,52559535,106457939,3964204,1689950,444729.881789486,2274254,55074648,53823895,59387614,21724293,16884293,21724293,81111907,52156643,-26810611,25346032,25346032,106457939,565659,869044,-61108.9999999998,-548876,824718,-162068,-162068,-478560,2.3283064365387e-10,-478560,184090,184090,184090,1464432,348762,943437,0.23284,0.02583,0.02454,0.0223199999999999,0.00530999999999997,1.66785,0.90757,3.20018,0.00328,0.04234,0.04055,1.72484,1.89699,0.07061,0.01193,0.0199,-2.73109,-6.71746
"5","2011_Q4",3.02380952380952,"Down",25094056,-19035468,6058588,-4949988,-3478981,-1867085,-1611896,-1220953,-250054,1108600,-18718,-18718,1089882,-1845550,-755668,-422592,-1178260,-1178260,-1178260,-1178260,4653765,4653765,4289462,4289462,47093101,46761918,330093,56036328,1313611,52882074,17741695,18873127,12698252,54195685,110232013,3785205,1301612,200940,2282653,58039167,56276416,63384094,22548575,16743492,22548575,85932669,52288215,-27962750,24299344,24299344,110232013,-1178260,433205,2271856,88433,1615234,-138909,-2531370,1210960,10685,1221645,305509,305509,305509,1541805,1559722,1913921,0.24144,0.04418,-0.04695,-0.04849,-0.01069,-1.62436,0.88408,3.53642,0.01415,-0.08817,-0.08817,1.87787,1.8184,0.14322,-0.02434,0.03954,-2.00677,-2.79095
"6","2012_Q1",3.54516129032258,"Up",26369781,-19832722,6537059,-4738000,-3256075,-1778922,-1477153,-1216446,-265479,1799059,-11489,-11489,1787570,796789,2584359,3470527,6054886,6054886,6054886,6054886,6408209,6408209,3880184,3880184,47832434,46965341,867093,58326424,1437564,55925571,17482590,18873127,12602454,57363135,115689559,3847210,1051115,158258,2637837,58547480,56886445,63244690,22025882,16674703,22025882,85270572,52352972,-21933985,30418987,30418987,115689559,6054886,442883,-3834849,19901.0000000001,2682821,-221073,-217414,-709722,-1241.00000000023,-710963,1754444,1754444,1754444,2241942,850000,-1429757,0.2479,0.06822,0.22961,0.19905,0.05234,-0.23613,0.92223,2.8032,0.00735,0.45284,0.41757,1.97216,2.275,-0.10693,0.11361,-0.02683,-2.47919,-3.08951
"7","2012_Q2",5.20444444444444,"Up",27537306,-20707343,6829963,-5347678,-3968088,-2184635,-1783453,-1113145,-266445,1482285,467831,-40969,1950116,562109,2512225,-848606,1663619,1663619,1663619,1663619,6366302,6366302,4894913,4894913,51219206,50797151,284082,62480421,1365438,56030113,17215576,18873127,13002262,57395551,119875972,4902944,1864847,194320,2843777,61737255,60422875,70951866,22541770,17223970,22541770,93493636,46652702,-20270366,26382336,26382336,119875972,1663619,449773,-911583,882489,2084298,174863,174863,3461667,-5762735,-2301068,-41907,-41907,-41907,1932058,4311667,3838016,0.24803,0.05383,0.06041,0.06306,0.01388,2.30703,0.8806,3.5438,0.03597,0.14397,0.13593,2.38308,2.28312,0.33214,0.03125,0.07209,-1.06344,-1.38613
"8","2012_Q3",4.84730158730159,"Down",28152614,-21525623,6626991,-5184258,-3814131,-2065729,-1748402,-1105575,-264552,1442733,-33602.0000000001,-54513,1409131,-383838,1025293,-329295,695998,695998,695998,695998,4511561,4511561,4917015,4917015,53587282,52854903,634661,63015858,1330274,55675550,16953335,18873127,13105951,57005824,120021682,4798263,1547897,166407,3083959,62954802,61710457,71753065,22499930,17210030,22499930,94252995,45343055,-19574368,25768687,25768687,120021682,695998,456100,215359,-1363734,3722.99999999953,-174054,-174054,-311667,-1372743,-1684410,-1854741,-1854741,-1854741,1898833,4e+06,690340,0.2354,0.05125,0.02472,0.02701,0.0058,0.99187,0.87823,3.65766,0.03333,0.06064,0.0563,2.45272,2.24503,0.06014,0.01332,0.01321,-0.26941,-0.35458
"9","2012_Q4",5.20870967741936,"Up",29246069,-22798082,6447987,-4800621,-3523661,-2037338,-1486323,-1010949,-266011,1647366,-50228,-50228,1597138,615245,2212383,-577383,1635000,1635000,1635000,1635000,4969733,4969733,4826776,4826776,52587350,51684009,434666,62383859,1413952,54965079,16683253,18873127,12734182,56379031,118762890,4665195,1716725,192716,2755754,62150449,61046479,70815644,21993645,16731645,21993645,92809289,43892969,-17939368,25953601,25953601,118762890,1635000,459124,-280741,423453,2236836,-162207,-162207,0,-1616457,-1616457,458172,458172,458172,2106490,4e+06,2945119,0.22047,0.05633,0.0559,0.063,0.01377,1.8013,0.88093,3.57597,0.03368,0.14503,0.13509,2.59419,2.30214,0.26124,0.03147,0.05669,-0.46035,-0.58866
"10","2013_Q1",7.17,"Up",29790912,-23486685,6304227,-5349068,-4006385,-2413744,-1592641,-1073151,-269532,955159,-47153,-47153,908006,-229609,678397,-248872,429525,429525,429525,429525,6415679,6415679,4413265,4413265,52395150,50251575,1730631,63811198,1352144,53609801,16415651,18873127,12318723,54961945,118773143,6218643,1928459,1255108,3035076,60867987,59953558,70786630,21436306,16202206,21436306,92222936,44015946,-17509843,26550207,26550207,118773143,429525,456823,761189,374701,2022238,-330502,-330502,-3e+05,54210.0000000005,-245790,1445946,1445946,1445946,1411982,3700000,1705053,0.21162,0.03206,0.01442,0.01618,0.00362,3.96962,0.90146,3.47353,0.03115,0.03727,0.03455,2.58473,2.30356,0.14793,0.00831,0.03299,-1.92331,-2.84317
