"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.08984126984127,"Down",61773000,-43559000,18214000,-15963000,-13237000,-6482000,-6755000,-1906000,-820000,2251000,-137000,-137000,2114000,2114000,-570000,1544000,1544000,1544000,1544000,231423000,32913000,24372000,24372000,5769000,2553000,3216000,261564000,10602000,49310000,409000,44815000,4086000,59912000,321476000,35174000,4884000,30290000,35174000,1370000,1370000,1370000,36544000,1307332000,-1023632000,284932000,284932000,321476000,1544000,1544000,1763000,2280000,-235000,5352000,-742000,-742000,-742000,-57051000,-146000,1472000,1472000,-464000,862000,-50837000,-50837000,-50837000,4014000,0,3607000,0.29485,0.03644,0.02499,0.00542,0.0048,2.33614,7.43629,0.12826,0,0.04414,0.04358,1.7658,8.14487,0.10311,0.00539,0.0126,-57.65396,-102.80897
"2","2010_Q3",7.5153125,"Down",52363000,-29142000,23221000,-17419000,-14065000,-7314000,-6751000,-2540000,-814000,5802000,-3522000,-3522000,2280000,2280000,-849999.999999998,1430000,670000.000000002,670000.000000002,670000.000000002,223355000,55131000,20079000,20079000,7070000,3263000,3807000,250504000,9595000,75584000,1705000,69878000,4001000,85179000,335683000,45119000,7318000,37801000,45119000,1304000,1304000,1304000,46423000,1310930000,-1022962000,289260000,289260000,335683000,1430000,670000.000000002,1714000,4179000,4067000,11390000,71000,-235000,-235000,21999000,-145000,368000,368000,-822000,-599000,32790000,22218000,22218000,7516000,0,12504000,0.44346,0.1108,0.0128,0.00232,0.002,18.66269,5.55207,0.16049,0,0.0188199999999999,0.01801,1.4705,8.12323,0.35115,0.00231,0.04303,-29.71727,-38.49621
"3","2010_Q4",8.15953125,"Up",50524000,-36140000,14384000,-19519000,-16518000,-7305000,-9213000,-2197000,-804000,-5135000,-493000,-493000,-5628000,-5628000,1225000,-4403000,-6584000,-6584000,-6584000,227904000,136035000,16721000,16721000,6959000,2888000,4071000,251584000,8432000,75449000,1536000,69878000,4035000,83881000,335465000,42212000,6258000,35954000,42212000,1304000,1304000,1304000,43516000,1313550000,-1023064000,291949000,291949000,335465000,-4403000,-6584000,9026000,4629000,1000,9253000,-598000,-599000,-599000,75419000,-148000,396000,396000,-1464000,-1216000,83456000,80904000,80904000,3891000,0,2069000,0.2847,-0.10163,-0.13031,-0.02255,-0.01963,-0.31425,5.96001,0.14905,0,-0.18302,-0.20086,1.40442,8.11533,0.05751,-0.02245,0.00706,-58.57209,44.38247
"4","2011_Q1",8.3541935483871,"Up",49683000,-30154000,19529000,-19696000,-17168000,-7044000,-10124000,-1828000,-7e+05,-167000,19399000,19399000,19232000,19232000,-8530000,10702000,9050000,9050000,9050000,253736000,155645000,19189000,19189000,19509000,2163000,1185000,292434000,7304000,52982000,3910000,44815000,3951000,60286000,352720000,42217000,2699000,39518000,49994000,955000,955000,955000,50949000,1322269000,-1020496000,301771000,301771000,352720000,10702000,9050000,3290000,-6091000,16010000,23911000,-1318000,-1318000,-1318000,-6440000,-150000,305000,305000,1004000,1159000,18630000,19610000,19610000,3123000,1.45519152283669e-11,26345000,0.39307,-0.00336000000000003,0.18215,0.02999,0.02566,2.91105,5.84938,0.16883,-2.71050543121376e-20,0.24896,0.22556,1.36676,8.30159,0.72474,0.0299,0.08703,-81.24752,1519.37725
"5","2011_Q2",8.8784126984127,"Up",51650000,-32674000,18976000,-14453000,-12127000,-6967000,-5160000,-1664000,-662000,4523000,75000,75000,4598000,4598000,-1702000,2896000,1323000,1323000,1323000,249766000,149053000,20637000,20637000,4827000,2955000,1872000,275230000,7521000,75474000,1262000,69878000,4334000,82995000,358225000,38572000,14299000,24273000,38572000,1025000,1025000,1025000,39597000,1327939000,-1009338000,318628000,318628000,358225000,2896000,1323000,2409000,-148000,-6685000,-1528000,-1191000,-1191000,-1191000,-3723000,-151000,2473000,2473000,65000,2387000,-2864000,-6592000,-6592000,6932000,0,758000,0.3674,0.08757,0.02561,0.00415,0.00369,0.57294,7.13549,0.12427,0,0.03641,0.03568,1.42134,8.76821,0.02086,0.00414,0.00237,-36.03087,-55.22131
"6","2011_Q3",9.20921875,"Up",54292000,-36579000,17713000,-12208000,-9872000,-4902000,-4970000,-1784000,-552000,5505000,107000,107000,5612000,5612000,-1936000,3676000,-4678000,-4678000,-4678000,263402000,70698000,19758000,19758000,5839000,1577000,4262000,288999000,6814000,62011000,282000,57465000,4264000,68825000,357824000,33282000,12503000,20779000,33282000,757000,757000,757000,34039000,1337024000,-1013248000,323785000,323785000,357824000,3676000,-4678000,2148000,2260000,1950000,10034000,-1018000,-1018000,-1018000,-93042000,-69999.9999999998,9396000,9396000,-1607000,7719000,-75289000,-78355000,-78355000,7653000,-2.3283064365387e-10,10521000,0.32625,0.1014,-0.08616,-0.01445,-0.01307,-2.24904,8.68334,0.10513,-4.33680868994202e-19,-0.12499,-0.12267,1.45061,8.65111,0.28111,-0.01441,0.03242,-34.41814,-47.8477699999997
"7","2011_Q4",9.3247619047619,"Up",56257000,-38755000,17502000,-13682000,-11401000,-4888000,-6513000,-1806000,-475000,3820000,-456000,-456000,3364000,3364000,-1289000,2075000,2075000,2075000,2075000,279275000,59805000,20095000,20095000,3617000,1314000,2303000,302987000,6055000,50475000,1662000,44815000,3998000,56530000,359517000,29501000,8685000,20816000,29501000,758000,758000,758000,30259000,1351008000,-1021776000,329258000,329258000,359517000,2075000,2075000,1633000,3095000,-2253000,4550000,-298000,-298000,-298000,-26969000,0,11795000,11795000,-269000,11526000,-10893000,-10893000,-10893000,5453000,0,4191000,0.31111,0.0679,0.03688,0.0063,0.00577,2.01976,10.2704,0.0919,0,0.05377,0.05297,1.45793,8.53287,0.10861,0.00629,0.0127,-51.21493,-73.10864
"8","2012_Q1",12.3461290322581,"Up",66614000,-46954000,19660000,-12029000,-9652000,-4753000,-4899000,-1904000,-473000,7631000,-972000,-972000,6659000,6659000,16215000,22874000,22874000,22874000,22874000,293551000,81897000,25019000,25019000,2500000,1958000,542000,321070000,5277000,68792000,1315000,44815000,3560000,74069000,395139000,39196000,28947000,10249000,39197000,837000,816000,836999.999999996,40034000,1353975000,-998902000,355105000,355105000,395139000,22874000,22874000,1266000,-19238000,7305000,12207000,-172000,-172000,-172000,8261000,3.72529029846191e-09,762000,762000,862000,1624000,22092000,22092000,22092000,8897000,0,-185000.000000002,0.29513,0.11456,0.34338,0.06441,0.05789,-0.00808999999999971,8.19119,0.11274,0,0.57963,0.57055,1.68801,8.99843,-0.00469000000000001,0.06426,-0.000520000000000003,-32.99438,-38.46822
"9","2012_Q2",12.1971428571429,"Down",115696000,-59547000,56149000,-35730000,-30509000,-19443000,-11066000,-2573000,-2648000,20419000,-1555000,-1555000,18864000,18864000,-7458000,11406000,11406000,11406000,11406000,129868000,101840000,31438000,31438000,6246000,5125000,1121000,167552000,5878000,402670000,148391000,230980000,2134000,408548000,576100000,51437000,35561000,15876000,64841000,52920000,2732000,130188000,195029000,1368561000,-987496000,381071000,381071000,576100000,11406000,11406000,4575000,-10401000,13468000,19048000,-193000,-193000,-193000,-94909000,81704000,2252000,2252000,11848000,95804000,19943000,19943000,19943000,24994000,84182000,45727000,0.48531,0.17649,0.09859,0.02993,0.0198,4.00903,2.58404,0.51179,0.14612,0.28736,0.27834,2.91484,9.6007,1.15205,0.02201,0.08825,-1.82788,-2.23743
"10","2012_Q3",15.1904761904762,"Up",100883000,-64227000,36656000,-20373000,-14225000,-8869000,-5356000,-2448000,-3700000,16283000,-930000,-930000,15353000,15353000,-5655000,9698000,9698000,9698000,9698000,141867000,135836000,32961000,32961000,3775000,3050000,725000,178603000,6456000,398585000,143143000,230980000,3297000,405041000,583644000,48542000,35023000,13519000,54977000,52242000,3430000,126549000,181526000,1380197000,-977798000,402118000,402118000,583644000,9698000,9698000,6204000,-6780000,3189000,12311000,-301000,-301000,-301000,21900000,-1e+07,3433000,3433000,6352000,-214999.99999997,33996000,33996000,33996000,22487000,74307000,31030000,0.36335,0.1614,0.09613,0.02412,0.01662,3.19963,3.24869,0.45142,0.12732,0.24175,0.23513,2.51478,10.02388,0.77351,0.01834,0.05869,-3.0044,-4.14911
