"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.8484375,"Up",1719850000,-1562556000,157294000,-44090000,-44090000,113204000,-24170000,-25846000,-877000,2553000,89034000,89034000,-30512000,58522000,58522000,-596000,57926000,57926000,268311635.295604,268627473.903722,230585489.888526,1021133272.44534,5738436.07499284,-141460897.860195,55178453.8069269,1525768833.70447,1336722220.3735,74012825.551535,49064250.0904425,67416483.6348202,1385731518.11238,2911500351.81684,626633085.169072,282221368.937117,344411716.231955,122515604.913678,719779562.021302,1138173260.80763,-10212181.8126061,-25628840.6986781,1127961078.99502,1847740641.01633,1463952581.61885,-417617702.903901,8249088.22425095,1054583967.04587,9175743.754647,1063759710.80052,2911500351.81684,58522000,57924000,42011000,-121207000,37250000,-31639000,-30624000,11391000,3642000,10268000,10268000,-538000,9730000,171128000,0,48794000,0.09146,0.06582,0.03368,-0.13041057881914,0.00710027017690683,0.84235,2.1105931673179,2.02261967599168,0.440097591359509,0.27033,0.27033,8.02611,3.19724154663001,0.22771,0.00604890251008547,0.137157461976224,-183.281276579457,131.794028081344
"2","2011_Q1",5.53677419354839,"Up",1811293000,-1692104000,119189000,-66456000,-66456000,52733000,-17970000,-22541000,665000,3906000,34763000,23037000,19543000,42580000,42580000,-736000,41844000,41844000,107631000,106077000,321300000,1029254000,252280000,81250000,61418000,1710465000,1358136000,138702000,48950000,67143000,1508433000,3218898000,641746000,329780000,311966000,58144000,738635000,1281160000,120507000,117031000,1401667000,2140302000,1444953000,-348653000,-23637000,1072663000,5933000,1078596000,3218898000,42580000,55648000,-93547000,-12384000,-7702999.99999999,-67178000,-16551000,84498000,84340000,60086000,60086000,-222000,59864000,108381000,1339304000,9276000,0.0658,0.02911,0.0231,0.03879,0.013,0.22168,2.31571,1.98434,0.41608,0.16273,0.16273,7.04405,4.17155,0.03607,0.01648,0.00365,11.36429,23.35678
"3","2011_Q2",4.21571428571429,"Down",1892476000,-1945586000,-53110000,-53666000,-53666000,-106776000,-22991000,-26797000,2735000,1071000,-129767000,-129767000,9872000,-119895000,-119895000,-865000,-120760000,-120760000,42127538.2347988,40480675.365426,359974503.370491,1006729409.18489,319753271.308336,136030132.620065,70611348.7310244,1728584722.09851,1367366926.54217,153459641.482822,48173999.9698525,66401172.1217266,1540758743.96254,3269343466.06105,657438471.610309,342675710.354294,314762761.256015,26052881.6954407,734814812.659566,1387745329.73079,167833227.270869,166641113.566226,1555578557.00166,2290393369.66122,1438738639.46038,-433896265.6987,-29772279.4080836,975070094.318043,3880002.08178433,978950096.399828,3269343466.06105,-119895000,50852000,-14950000,-18410000,-102403000,-59558000,-60080000,118986000,118986000,-43497000,-43497000,433000,-43064000,-55924000,0,-143764000,-0.02806,-0.05642,-0.06381,-0.0136781403936201,-0.0102417567256356,1.19049,2.35520311089403,2.31150844133611,0.43102496954683,-0.53672,-0.53672,8.41115,4.18476281779,-0.63896,-0.0126938008366952,-0.035899987325408,28.0642030264857,-15.8021768604481
"4","2011_Q3",2.9821875,"Down",1922690000,-1968918000,-46228000,-52478000,-52478000,-98706000,-25756000,-27148000,-2735000,4127000,-124462000,-124462000,-3470000,-127932000,-127932000,-209000,-128141000,-128141000,35388000,34564000,364995000,967067000,281089000,96289000,75191000,1648539000,1358378000,144061000,46954000,64804000,1514663000,3163202000,665497000,335009000,330488000,15607000,719848000,1448280000,167377000,163765000,1615657000,2335505000,1445329000,-596074000,-24368000,824887000,2810000,827697000,3163202000,-127932000,52223000,7685000,30255000,-37769000,-38717000,-38944000,50977000,48367000,-28346000,-28346000,-103000,-28449000,-46483000,1463887000,-51475000,-0.02404,-0.05134,-0.06665,-0.15482,-0.04051,0.40171,2.29012,2.82169,0.46279,-0.56953,-0.56953,8.54544,3.66623,-0.22878,-0.05211,-0.02093,-30.73164,-14.47226
"5","2011_Q4",3.91857142857143,"Up",1891224000,-1953611000,-62387000,-62669000,-62669000,-125056000,-37804000,-27607000,-11235000,1038000,-162860000,-162860000,60000,-162800000,-162800000,284000,-162516000,-162516000,46956000,46904000,355349000,919550000,215608000,44987000,63329000,1537463000,1317692000,142734000,45519000,62124000,1462223000,2999686000,656379000,326308000,330071000,15609000,710732000,1458890000,166142000,161391000,1625032000,2335764000,1445478000,-758590000,-25492000,661396000,2526000,663922000,2999686000,-162800000,53631000,22371000,97490000,10692000,-16092000,-5248000,10499000,10499000,15943000,15943000,-3603000,12340000,-71425000,1474499000,9913000,-0.03299,-0.06612,-0.08593,-0.24478,-0.05418,-0.061,2.16321,3.51813,0.49155,-0.72231,-0.72231,8.40559,2.93959,0.04406,-0.07052,0.0043,-19.9866,-11.41523
"6","2012_Q1",4.61483870967742,"Up",1829308000,-1809120000,20188000,-63241000,-63241000,-43053000,-26984000,-28515000,-1366000,2897000,-70037000,-70037000,-15026000,-85063000,-85063000,-292000,-85355000,-85355000,41766000,41609000,349222000,879094000,194111000,52350000,28878000,1464193000,1241752000,173103000,44083000,57921000,1415352000,2879545000,622314000,328864000,293450000,15611000,717173000,1408001000,195941000,195941000,1603942000,2321115000,1445627000,-843945000,-46070000,555612000,2818000,558430000,2879545000,-85063000,52355000,60694000,-27497000,489000.000000004,7443000,46083000,-51001000,-51002000,-4430000,-4430000,-865000,-5295000,9302000,1423612000,4274000,0.01104,-0.02354,-0.04666,-0.15285,-0.02964,-0.05007,2.04162,4.1565,0.49439,-0.37936,-0.37936,8.1304,2.46943,0.019,-0.03919,0.00196,148.55364,-32.09639
"7","2012_Q2",5.51873015873016,"Up",1888773000,-1778708000,110065000,-48141000,-48141000,61924000,-21673000,-27971000,5928000,370000,40251000,40251000,-653000,39598000,39598000,-425000,39173000,39173000,47726000,47570000,350832000,910430000,178782000,40588000,24090000,1487770000,1224880000,165200000,42656000,51445000,1390671000,2878441000,592107000,293131000,298976000,15614000,687049000,1249510000,144906000,144906000,1394416000,2081465000,1644155000,-804772000,-45650000,793733000,3243000,796976000,2878441000,39598000,35766000,5053000,-51035000,29382000,-13604000,-13692000,-208602000,-10223000,5467000,5467000,494000,5961000,97690000,1265124000,33704000,0.05827,0.03279,0.02074,0.04915,0.01361,0.86039,2.16545,2.6117,0.43952,0.17522,0.17517,8.44854,3.55039,0.15076,0.01775,0.01527,12.46185,19.65955
"8","2012_Q3",3.85349206349206,"Down",1974469000,-1830380000,144089000,-44828000,-44828000,99261000,-32466000,-24569000,-8212000,315000,66795000,66795000,2358000,69153000,69153000,205000,69358000,69358000,48744295.1669679,48823295.8073614,356251364.855672,963387356.76382,172977900.377342,43834543.6220311,22170312.6333876,1541360917.1638,1212520173.18955,153013284.265444,41256152.9865327,49553382.1769039,1365793002.69512,2907153919.85892,613297364.31598,297496583.352357,315800780.963623,15278349.7814538,699095220.398033,1168080224.60799,134736289.571537,134433356.043967,1302816514.17953,2001911734.57756,1693012284.08641,-740356449.38425,-50721714.6750553,901934116.178205,3308069.10315408,905242185.281359,2907153919.85892,69153000,36214000,7404999.99999999,-61832000,50940000,-11496000,-11512000,-35002000,-35099000,4329000,4329000,-2672000,1657000,135475000,0,59789000,0.07298,0.05027,0.03513,0.096925677390628,0.0245754594499448,0.86203,2.20364581677899,2.04097689963375,0.406935765944391,0.26808,0.26796,7.63151,3.77190627576694,0.23109,0.0323707469277492,0.040798559524579,-33.8303545704306,26.1053832939951
"9","2012_Q4",4.5491935483871,"Up",2068478000,-1962343000,106135000,-44429000,-44429000,61706000,-17716000,-25004000,7701000,-413000,43990000,43990000,-1049000,42941000,42941000,-10000,42931000,42931000,55030000,55030000,367854000,979243000,161350000,54884000,12696000,1563477000,1196964000,159833000,39803000,48931000,1356797000,2920274000,636747000,320004000,316743000,15619000,731685000,1151127000,144746000,144746000,1295873000,2027558000,1644373000,-692483000,-62222000,889668000,3048000,892716000,2920274000,42941000,36431000,-2642000,-1091000,75639000,-8323000,-7693000,-63604000,-63604000,4342000,4342000,1461000,5803000,98137000,1166746000,89772000,0.05131,0.02983,0.02075,0.04809,0.0147,2.09108,2.13682,2.27122,0.39953,0.16593,0.16586,7.99486,3.43865,0.34698,0.01948,0.04073,11.3282,18.01634
"10","2013_Q1",6.52883333333333,"Up",2189662000,-2114119000,75543000,-48092000,-48092000,27451000,-25425000,-25985000,-607000.000000004,1167000,2026000,2026000,20324000,22350000,22350000,422000,22772000,22772000,68180000,68180000,384930000,950296000,139322000,56047000,1514000,1542728000,1189921000,181220000,38266000,45523000,1371141000,2913869000,609809000,312365000,297444000,15886000,730177000,1148870000,125825000,125825000,1274695000,2004872000,1644593000,-669711000,-68511000,906371000,2626000,908997000,2913869000,22350000,39003000,5721000,-23411000,43663000,-27504000,-27504000,-2102999.99999999,-2103000,14056000,14056000,-906000.000000001,13150000,66454000,1164756000,-4784999.99999999,0.0345,0.01254,0.0104,0.02505,0.00782,-0.210129999999999,2.11281,2.20559,0.39973,0.08779,0.08773,8.44158,3.49424,-0.01845,0.01035,-0.00218,16.50128,39.94667
