"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",31.7831746031746,"Down",25949000,-2973000,22976000,-26250000,-20836000,-16390000,-4446000,-5414000,-3274000,-33000,-33000,-18912.542301301,-3307000,-3910000,0,-3910000,-3910000,-3910000,-3910000,-2106287340.27298,-2106207457.24032,233808652.235601,233808652.235601,5006962.08327605,5006962.0703814,-1867471725.9541,7739383.37587803,36755511.5185283,36784317.0833327,44447531.3247069,-1823024194.6294,97633285.7447568,-13838149.355177,111471435.099934,64288413.0174685,64288413.0174685,171908514.029644,451715627.013638,12289926.389518,439425700.62412,465007650.99233,636916165.021974,-2564905700.14271,105413748.041766,-448407.550426439,-2459940359.65137,-2459940359.65137,-1823024194.6294,-3910000,497000,1319000,2907000,813000,-2825000,-2825000,383000,383000,201932.411793463,1669000,-343000,-343000,-343000,-2777000,0,-2695000,0.88543,-0.12617,-0.15068,1.9931874766128,1.08273165394157,0.68926,-33.5196301955299,-33.0656692109313,0.283129263791334,-0.19536,-0.19763,1.29654,-154.266598720759,-0.13466,0.664425953601138,4.15505221238096,-3506.15328154726,326.361223101698
"2","2012_Q4",29.4811290322581,"Down",31173000,-3193000,27980000,-31024000,-24549000,-19179000,-5370000,-6475000,-3044000,-27000,-27000,-5637.51410043367,-3071000,-3510000,-50000,-3560000,-3560000,-3560000,-3560000,-680815113.424327,-680788485.746773,96297884.0785337,96297884.0785337,4502654.02775868,4502654.02346047,-580014575.318035,8262461.12529268,13300170.5061761,13309772.3611109,21546843.7749023,-558467731.543132,48065095.2482523,-3383049.785059,51448145.0333112,47671804.3391562,47671804.3391562,99720504.6765479,184940209.004546,9379642.12983934,175560566.874707,190242216.997443,289962721.673991,-848635900.04757,351249.347255275,-145802.516808813,-848430453.217124,-848430453.217124,-558467731.543132,-3560000,584000,1480000,8197000,6701000,-2186000,-2186000,983000,983000,67310.8039311544,699000,5214000.00000001,5214000.00000001,5214000,-2460000,0,3601000,0.89757,-0.09765,-0.1142,0.636099158870933,0.314570551313856,-1.01152,-10.29569339851,-13.0255097369771,0.112936421263778,-0.16387,-0.16762,1.43489,-49.0617762402529,0.16575,0.114521984533713,1.73126073746032,-1421.11092718242,127.588377700566
"3","2013_Q1",34.9695,"Up",43199000,-3435000,39764000,-40369000,-33035000,-26445000,-6590000,-7334000,-605000,-24000,-24000,0,-629000,-1148000,-128000,-1276000,-1276000,-1276000,-1276000,31599000,31599000,34495000,34495000,4261000,4261000,70355000,8919000,2949000,2949000,11868000,82223000,25308000,1455000,23853000,42923000,42923000,69213000,53349000,9742000,43607000,54656000,123869000,12396000,-54018000,-24000,-41646000,-41646000,82223000,-1276000,691000,2012000,8580000,10007000,-2084000,-1956000,364000,364000,0,551000,8602000,8602000,8602000,86000,2289000,6710000,0.92048,-0.014,-0.02954,0.03064,-0.01552,-5.25862,1.0165,-2.97433,0.02784,-0.05891,-0.05702,1.99441,-1.92271,0.30979,-0.09119,0.47956,-340.81395,48.44628
"4","2013_Q2",43.16921875,"Up",37191000,-4265000,32926000,-39115000,-31012000,-24166000,-6846000,-8103000,-6189000,-17000,-19000,2000,-6206000,-20293000,-177000,-20470000,-20470000,-20470000,-20470000,266077000,266077000,23480000,23480000,4353000,4353000,293910000,9700000,844000,844000,10544000,304454000,20942000,2558000,18384000,46676000,46676000,67618000,12890000,12466000,424000,12890000,80508000,298451000,-74488000,-17000,223946000,223946000,304454000,-20470000,931000,16759000,14348000,11568000,-1877000,-1877000,546000,546000,0,224769000,234460000,234460000,234478000,-5258000,0,7390000,0.88532,-0.16641,-0.5504,-0.09141,-0.06724,-0.361020000000001,4.34662,0.3595,3.46944695195361e-18,-0.71376,-0.71376,1.2968,7.80871,0.25768,-0.08643,0.0312,50.6042200000001,42.99192
"5","2013_Q3",53.20671875,"Up",44483000,-4645000,39838000,-44378000,-34987000,-27740000,-7247000,-9391000,-4540000,101000,101000,0,-4439000,-4439000,-136000,-4575000,-4575000,-4575000,-4575000,268278000,268278000,33681000,33681000,4807000,4807000,306766000,10316000,1574000,1574000,11890000,318656000,25840000,1844000,23996000,54145000,54145000,79985000,13899000,13523000,376000,13899000,93884000,303871000,-79063000,-36000,224772000,224772000,318656000,-4575000,1218000,3866000,3327000,3836000,-1597000,-1597000,1279000,1279000,0,-8000,2231000,2231000,2201000,-3322000,0,-1456000,0.89558,-0.10206,-0.10285,-0.02035,-0.01436,0.31825,3.83529,0.41769,0,-0.04753,-0.04753,0.46215,2.33522,-0.01513,-0.01917,-0.0061,80.75798,59.09207
"6","2013_Q4",64.86453125,"Up",52045000,-5879000,46166000,-51546000,-40472000,-32847000,-7625000,-11074000,-5380000,31000,33000,-2000,-5349000,-5349000,-125000,-5474000,-5474000,-5474000,-5474000,273324000,273324000,40178000,40178000,5694000,5694000,319196000,10758000,281000,281000,11039000,330235000,31582000,1195000,30387000,61964000,61964000,93546000,12324000,12002000,322000,12324000,105870000,308917000,-84537000,-15000,224365000,224365000,330235000,-5474000,1208000,4685000,6034000,6453000,-2246000,-1732000,298000,298000,0,297999.99999997,5019000,5019000,5046000.00000003,-4172000,5.82076609134674e-11,-259000,0.88704,-0.10337,-0.10518,-0.0244,-0.01658,0.04731,3.41218,0.47187,4.33680868994202e-19,-0.05648,-0.0564799999999999,0.53698,2.31493,-0.00267,-0.02313,-0.00109,65.5139,50.80372
"7","2014_Q1",81.592131147541,"Up",65225000,-6635000,58590000,-64514000,-51229000,-40345000,-10884000,-13285000,-5924000,37000,37000,0,-5887000,-5887000,-275000,-6162000,-6162000,-6162000,-6162000,305939000,305939000,63948000,63948000,6861000,6861000,376748000,13205000,492000,492000,13697000,390445000,37391000,1632000,35759000,79568000,79568000,116959000,35942000,35144000,798000,35942000,152901000,328378000,-90699000,-135000,237544000,237544000,390445000,-6162000,1317000,7514000,22122000,24791000,-3357000,-3357000,10083000,10083000,462000,11176000,32610000,32610000,32615000,-4607000,0,14433000,0.89828,-0.09082,-0.09447,-0.02594,-0.01578,-2.34226,3.2212,0.64367,0,-0.06216,-0.06216,0.65797,2.39626,0.1456,-0.02253,0.05277,66.40742,51.64399
"8","2014_Q2",52.4742857142857,"Down",57207000,-6681000,50526000,-66223000,-51759000,-41313000,-10446000,-14464000,-15697000,-33000,61000,-94000,-15730000,-15730000,-404000,-16134000,-16134000,-16134000,-16134000,331252000,331252000,37916000,37916000,7191000,7191000,376359000,12695000,460000,460000,13155000,389514000,33145000,2533000,30612000,84933000,84933000,118078000,33459000,32404000,1055000,33459000,151537000,344959000,-106833000,-149000,237977000,237977000,389514000,-16134000,1425000,9636000,24924000,19851000,-1263000,-1263000,6607000,6607000,111000,6718000,25306000,25306000,25313000,-14272000,0,9793000,0.88321,-0.27439,-0.28203,-0.0678,-0.04142,-0.60698,3.18738,0.63677,-2.71050543121376e-20,-0.15815,-0.15815,0.56077,2.33276,0.096,-0.05944,0.03608,23.20992,21.10289
"9","2014_Q3",49.77765625,"Down",66873000,-7421000,59452000,-72756000,-56546000,-44634000,-11912000,-16210000,-13304000,-24000,58000,-82000,-13328000,-13328000,-365000,-13693000,-13693000,-13693000,-13693000,347114000,347114000,40746000,40746000,10547000,10547000,398407000,13855000,403000,403000,14258000,412665000,35917000,1805000,34112000,96908000,96908000,132825000,32029000,30727000,1302000,32029000,164854000,368580000,-120526000,-243000,247811000,247811000,412665000,-13693000,1455000,11768000,6721000,6251000,-1967000,-1967000,11992000,11992000,-356000,11636000,15920000,15920000,15862000,-11849000,0,-6730000,0.88903,-0.19894,-0.20476,-0.05526,-0.03318,0.49149,2.99949,0.66524,0,-0.13149,-0.13149,0.64218,2.37971,-0.06463,-0.04893,-0.02405,29.29479,26.09095
"10","2014_Q4",61.3671875,"Up",78633000,-10525000,68108000,-84930000,-65969000,-53052000,-12917000,-18961000,-16822000,-228000,55000,-283000,-17050000,-17050000,5e+05,-16550000,-16550000,-16550000,-16550000,351895000,351895000,53995000,53995000,8669000,8669000,414559000,14437000,10830000,502000,25267000,439826000,45454000,2018000,43436000,107712000,107712000,153166000,36578000,33433000,3145000,36578000,189744000,387314000,-137076000,-156000,250082000,250082000,439826000,-16550000,1620000,15121000,13126000,13317000,-4035000,-12993000,6342000,6342000,-1968000,4374000,4697999.99999999,4697999.99999999,4780999.99999999,-15202000,0,-6611000.00000001,0.86615,-0.21393,-0.21047,-0.06618,-0.03763,0.39946,2.7066,0.75873,1.6940658945086e-21,-0.15607,-0.15607,0.74155,2.3584,-0.0623399999999999,-0.05773,-0.02306,23.14794,20.91874
