"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",11.9065573770492,"Up",19529000,-5009000,-1856000,-3153000,10460000,-2203000,-2203000,0,8257000,8257000,-2949000,5308000,5308000,0,5308000,5308000,98073000,98073000,98073000,828691000,1397230000,-568539000,2673000,2673000,831364000,929437000,0,0,14612000,14612000,14612000,392302000,473183000,487795000,436701000,5257000,-316000,441642000,441642000,929437000,5308000,3153000,1521000,10866000,20848000,0,-459000,0,0,0,-7338000,77677000,98066000,98066000,98066000,13613000,392302000,0.53561,0.2718,0.01202,0.00571,6.71181,1.1045,0.42209,0.85525,0.84739,3.1466,71.15941,0,0.0058,0,21.61383,28.12897
"2","2016_Q2",13.8678125,"Up",31051000,-8504000,-3317000,-5187000,17849000,-4122000,-4182000,60000,13727000,13727000,80556000,94283000,94283000,0,94283000,94283000,36088000,36088000,36088000,823509000,1397235000,-573726000,5076000,5076000,828585000,864673000,14509000,14509000,20035000,20035000,34544000,392700000,392925000,427469000,437023000,6955000,-6774000,437204000,437204000,864673000,94283000,5187000,-79936000,-3438000,16096000,-51800.0191444984,-5000,-78076000,0,0,0,-78076000,-61985000,-61985000,-61985000,23036000,392700000,0.57483,3.03639,0.21565,0.10904,1.0447,0.97773,0.45416,1.949,1.60517,0.64188,9.03781000000001,1.61397,0.20763,0.8281,15.48064,19.97938
"3","2016_Q3",15.611875,"Up",30894000,-7610000,-2509000,-5101000,18691000,-3839000,-3857000,18000,14852000,14852000,-50000,14802000,14802000,0,14802000,14802000,38732000,38732000,38732000,818427000,1397254000,-578827000,7541000,7541000,825968000,864700000,14509000,14509000,21058000,21058000,35567000,393098000,393304000,428871000,437443000,7248000,-8862000,435829000,435829000,864700000,14802000,5101000,799000,-3529000,17173000,0,-19000,-14510000,0,0,0,-14510000,2644000,2644000,2644000,23792000,393098000,0.605,0.47912,0.03396,0.01712,1.08899,0.98404,0.45461,0.2474,0.24734,0.51636,7.28442,0.24252,0.03535,0.98027,14.89433,18.95918
"4","2016_Q4",14.7528571428571,"Down",30806000,-7667000,-2608000,-5059000,18830000,-3539000,-3549000,10000,15291000,15291000,-51000,15240000,15240000,0,15240000,15240000,18870000,18870000,31188000,824768000,1407638000,-582870000,10429000,10429000,835197000,866385000,14510000,14510000,18819000,18819000,33329000,393496000,393692000,427021000,437844000,7978000,-6458000,439364000,439364000,866385000,15240000,5059000,804000,-2739000,18364000,0,-23718000,-14508000,-1.16415321826935e-10,-1.16415321826935e-10,0,-14508000,-19862000,-19862000,-19862000,23889000,393496000,0.61124,0.49471,0.03469,0.01759,0.93576,0.97191,0.45418,0.25471,0.25458,0.51487,7.34317,0.24247,0.03571,0.95197,15.68195,19.89517
"5","2017_Q1",16.2972580645161,"Up",31267000,-7773000,-2543000,-5230000,19241000,-3231000,-3240000,9000,16010000,32633000,-108000,32525000,32525000,-41000,32484000,32484000,26643000,26643000,26643000,894258000,1477565000,-583307000,16250000,16250000,910508000,937151000,14519000,14519000,13424000,13424000,27943000,438895000,439091000,467034000,438870000,25943000,207000,465020000,470117000,937151000,32525000,5230000,-15833000,-2616000,19306000,-150000,-35580000,-14510000,640000,640000,0,24047000,7773000,7773000,7773000,24471000,438895000,0.61538,1.03892,0.0691,0.03466,0.95348,0.99344,0.46833,0.5423,0.54295,0.52199,7.76328,0.24224,0.05169,0.44668,16.84655,21.42571
"6","2017_Q2",18.4387301587302,"Up",32707000,-8272000,-2863000,-5409000,19767000,-4089000,-4094000,5000,15678000,15678000,-45000.0000000005,15633000,15633000,-117000,15516000,15516000,18070000,18070000,19780000,904127000,1490613000,-586486000,19991000,19991000,924118000,943898000,14536000,14536000,12347000,12347000,26883000,439293000,439468000,466351000,440348000,26923000,1482000,468753000,477547000,943898000,15633000,5409000,871000,-2924000,18989000,0,-11722000,-14519000,984000.000000002,984000.000000002,0,-15840000,-8573000.00000001,-8573000.00000001,-8573000.00000001,25176000,439293000,0.60437,0.47439,0.03249,0.01644,0.73578,0.97656,0.4654,0.25891,0.25862,0.54576,7.82177,0.24227,0.03275,0.93574,16.73113,21.3094
"7","2017_Q3",19.4109523809524,"Up",33150000,-8873000,-3453000,-5420000,19694000,-4476000,-4510000,34000,15218000,18509000,-61000,18448000,18448000,-128000,18320000,18320000,81328000,81328000,83019000,949428000,1539341000,-589913000,21846000,21846000,971274000,1054293000,14820000,14820000,13160000,13160000,27980000,518018000,518175000,546155000,468939000,30423000,1059000,500421000,508138000,1054293000,18448000,5420000,-2190000,-1433000,20245000,-122000,-47412000,-14535000,27887000,27887000,-2927000,90425000,63258000,63258000,63258000,25114000,518018000,0.59409,0.55264,0.03605,0.01738,2.96708,1.07482,0.49134,0.30371,0.30316,0.54957,8.2961,0.24096,0.03201,0.7934,17.38831,22.17376
"8","2017_Q4",20.0488888888889,"Up",33514000,-8324000,-2899000,-5425000,20618000,-5290000,-5462000,172000,15328000,19370000,-33000,19337000,19337000,-129000,19208000,19208000,82865000,82865000,84577000,948283000,1541892000,-593609000,28914000,28914000,977197000,1061774000,14820000,14820000,14754000,14754000,29574000,518353000,518517000,548091000,469577000,34811000,1545000,505933000,513683000,1061774000,19337000,5425000,-2861000,-956000,20945000,-635000,-1255000,-14821000,-84000,-84000,-218000,-15123000,4567000,4567000,4567000,26043000,518353000,0.61521,0.57313,0.03739,0.01809,2.85984,1.06698,0.4882,0.31431,0.31357,0.5484,8.27878,0.24252,0.03297,0.77161,16.72188,21.12174
"9","2018_Q1",18.2124590163934,"Down",33838000,-8601000,-3044000,-5557000,20408000,-5290000,-5403000,113000,15118000,18317000,157000,18474000,18474000,-124000,18350000,18350000,64466000,64466000,64466000,966109000,1564955000,-598846000,38084000,34249000,1004193000,1068659000,16843000,16843000,14009000,14009000,30852000,515539000,515539000,546391000,473691000,36318000,4478000,514487000,522268000,1068659000,18474000,5293000,-1500000,-3537000,18730000,-190000,-20025000,-14820000,3358000,3358000,-3803000,-15265000,-16560000,-16560000,-16560000,25701000,515539000,0.60311,0.54229,0.03514,0.01717,2.08952,1.04619,0.48242,0.30009,0.30032,0.55337,8.41374,0.24236,0.03196,0.80763,17.5508,22.10275
"10","2018_Q2",18.32578125,"Up",34803000,-9014000,-3669000,-5345000,20919000,-4497000,-4855000,358000,16422000,16422000,-58000,16364000,16364000,-109000,16255000,16255000,53066000,53066000,53066000,980094000,1584149000,-604055000,42591000,42591000,1022685000,1075751000,16855000,16855000,14909000,14909000,31764000,515994000,515994000,547758000,474875000,35251000,10055000,520181000,527993000,1075751000,16364000,5345000,1411000,-1370000,21750000,-50000,-21100000,-16843000,0,0,-112000,-16955000,-16305000,-16305000,-16305000,26264000,515994000,0.60107,0.46706,0.03079,0.01511,1.67063,1.03743,0.47966,0.26521,0.26468,0.56783,8.48698,0.2748,0.0317,1.03617,17.62595,22.12955
