"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",1.21453125,"Down",65405000,-45667000,19738000,-17499000,-1515000,2239000,-180000,-187000,7000,2059000,-3322000,-21000,-3343000,-3343000,-3343000,-3343000,1408000,1297000,7040000,7040000,37633000,3310000,3310000,49391000,27123000,4833000,1669000,31956000,81347000,32530000,23055000,9475000,35000,16829000,16829000,49394000,69000,2061000,1711000,2130000,51524000,165336000,-135895000,378000,29823000,29823000,81347000,-3343000,3744000,471000,467000,1339000,-2623000,-2729000,-4133000,5823000,5823000,-30000,1660000,270000,270000,-3000,267000,5983000,104000,3848000,0.30178,0.03423,-0.05111,-0.11209,-0.0411,-1.15106,0.99994,1.72766,0.00128,-0.10735,-0.10735,2.10029,0.95755,0.12357,-0.10451,0.1203,-0.21795,-0.5824
"12","2013_Q3",1.0465625,"Down",67889000,-48876000,19013000,-17287000,-1316000,1726000,-156000,-228000,72000,1570000,-9498000,-69000,-9567000,-9567000,-9567000,-9567000,969000,851000,5344000,5344000,34181000,4481000,4481000,44975000,21009000,3312000,1492000,24321000,69296000,27061000,19611000,7450000,148000,7236000,7236000,34445000,9437000,2568000,2152000,12005000,46450000,167957000,-145526000,411000,22846000,22846000,69296000,-9567000,3733000,6508000,-1077000,-403000,-2192000,-2192000,-8882000,2451000,216000,8569000,2138000,-457000,-457000,11000,-446000,5459000,9585000,2259000,0.28006,0.02542,-0.14092,-0.41876,-0.13806,-0.23612,1.3057,2.03318,0.13832,-0.28887,-0.28887,2.04985,0.68969,0.06821,-0.27335,0.06454,1.57831,4.99189
"13","2013_Q4",2.18734375,"Up",61724000,-43817000,17907000,-14936000,-1204000,2971000,-152000,-287000,135000,2819000,-1398000,-1000,-1399000,-1399000,-1399000,-1399000,1192000,1099000,5044000,5044000,40177000,3716000,3716000,50129000,20408000,3209000,1472000,23617000,73746000,27325000,20505000,6820000,285000,12172000,12172000,39782000,9558000,2672000,2235000,12230000,52012000,168296000,-146985000,419000,21734000,21734000,73746000,-1399000,2558000,325000,-4339000,-2855000,-1822000,-1822000,4966000,0,0,-29000,4937000,260000,260000,-12000,248000,5529000,9843000,-631000,0.29011,0.04813,-0.02267,-0.06437,-0.01897,0.45104,1.26009,2.39312,0.13347,-0.04212,-0.04212,1.85815,0.65416,-0.019,-0.04085,-0.01842,1.56466,2.91181
"14","2014_Q1",2.47213114754098,"Up",59735000,-42260000,17475000,-14399000,-1093000,3076000,-336000,-270000,-66000,2740000,-1373000,48000,-1325000,-1325000,-1325000,-1325000,865000,818000,5029000,5029000,36986000,3234000,3234000,46114000,19663000,3405000,1804000,23068000,69182000,25628000,19669000,5959000,269000,10456000,10456000,36353000,9502000,2521000,2186000,12023000,48376000,168726000,-148370000,446000,20806000,20806000,69182000,-1325000,2521000,172000,1418000,2786000,-1641000,-1589000,-1596000,161000,161000,-87999.9999999991,-1523000,-326000,-326000,45000,-281000,5597000,9771000,5326000,0.29254,0.05149,-0.02218,-0.0636800000000001,-0.01915,-4.01962,1.26851,2.3251,0.14124,-0.03978,-0.03978,1.79331,0.6245,0.15989,-0.04003,0.16092,1.59121,2.89532
"15","2014_Q2",3.2815873015873,"Up",68028000,-47327000,20701000,-15494000,-1148000,5207000,-262000,-259000,-3000,4945000,233000,-32000,201000,201000,201000,201000,1431000,1392000,4882000,4882000,36613000,2959000,2959000,45885000,18810000,3237000,1720000,22047000,67932000,28336000,21469000,6867000,277000,6133000,6133000,34746000,9431000,2249000,2184000,11680000,46426000,169276000,-148228000,454000,21506000,21506000,67932000,201000,2452000,409000,5080000,8142000,-1558000,-1558000,-6087000,74000,74000,0,-6013000,571000,571000,3000,574000,7659000,9708000,11213000,0.3043,0.07654,0.00295,0.00935,0.00296,55.78607,1.32058,2.15875,0.14291,0.00602,0.00588,2.03774,0.64408,0.33588,0.00601,0.33509,1.08069,1.58959
"16","2014_Q3",3.096875,"Down",76947000,-56527000,20420000,-16976000,-1264000,3444000,-220000,-238000,18000,3224000,-2159000,-21000,-2180000,-2180000,-2180000,-2180000,2461000,1675000,3731000,3731000,35178000,3e+06,3e+06,44370000,17936000,3183000,1355000,21119000,65489000,29223000,21784000,7439000,256000,4180000,4180000,33659000,9387000,2342000,1955000,11729000,45388000,170145000,-150468000,420000,20101000,20101000,65489000,-2180000,2378000,690000,2378000,3266000,-1472000,-1472000,-815000,144000,144000,-845000,-1516000,278000,278000,5000,283000,5822000,9643000,6749000,0.26538,0.04476,-0.02833,-0.10845,-0.03329,-3.09587,1.31822,2.258,0.14725,-0.06515,-0.06515,2.29967,0.60063,0.2017,-0.06794,0.21034,1.2336,2.08537
"17","2014_Q4",2.67765625,"Down",67965000,-49551000,18414000,-15374000,-1228000,3040000,-263000,-287000,24000,2777000,-2479000,-15000,-2494000,-2494000,-2494000,-2494000,1294000,1255000,3958000,3958000,44816000,3052000,3052000,53120000,17321000,3243000,1421000,20564000,73684000,28617000,21715000,6902000,209000,14851000,14851000,43677000,9392000,2236000,1915000,11628000,55305000,171003000,-153023000,395000,18379000,18379000,73684000,-2494000,2319000,692000,-11215000,-10698000,-1335000,-590000,10827000,47000,47000,-1000,10873000,-415000,-415000,-5000,-420000,5359000,9601000,-7176000,0.27093,0.04473,-0.0367,-0.1357,-0.03385,2.87731,1.2162,3.00914,0.1303,-0.07438,-0.07438,2.02687,0.54798,-0.214,-0.08254,-0.23749,1.5501,2.73257
"18","2015_Q1",2.45803278688525,"Down",70568000,-51653000,18915000,-16150000,-1223000,2765000,-291000,-317000,26000,2474000,-2543000,-70000,-2613000,-2613000,-2406000,-2406000,7715000,7653000,3804000,3804000,48362000,2669000,2669000,62550000,16966000,3391000,1684000,20357000,82907000,33109000,25362000,7747000,269000,14527000,14527000,47905000,9270000,3509000,1891000,12779000,60684000,174402000,-155489000,360000,19277000,22223000,82907000,-2613000,2196000,639000,311000.000000002,533000,-1364000,-1364000,91000,30000,30000,7100000,7221000,6390000,6390000,8000,6398000,4961000,9539000,3978000,0.26804,0.03918,-0.03409,-0.10827,-0.02902,-1.65337,1.30571,2.73068,0.11506,-0.07165,-0.07334,2.10149,0.57394,0.11846,-0.06821,0.11278,0.36767,0.65967
"19","2015_Q2",2.14698412698413,"Down",76388000,-54910000,21478000,-16436000,-1288000,5042000,-350000,-373000,23000,4692000,-368000,52000,-316000,-316000,-60000,-60000,7983000,7917000,4209000,4209000,48347000,3321000,3321000,63860000,16690000,3289000,1672000,19979000,83839000,35089000,26591000,8498000,276000,14045000,14045000,49410000,9197000,3211000,1661000,12408000,61818000,174586000,-155609000,350000,19331000,22021000,83839000,-316000,2049000,450000,2367000,4550000,-2248000,-2248000,-1602000,13000,13000,-438000,-2027000,275000,275000,-11000,264000,7091000,9473000,7158000,0.28117,0.06601,-0.00079,-0.00272,-0.00072,-119.3,1.29245,2.80723,0.11299,-0.00178,-0.00178,2.26536,0.57316,0.21228,-0.00173,0.20625,0.21013,0.29552
"20","2015_Q3",2.20703125,"Up",76462000,-55594000,20868000,-16997000,-1250000,3871000,-262000,-272000,10000,3609000,-1369000,347000,-1022000,-1022000,-775000,-775000,6667000,6608000,3118000,3118000,45220000,2929000,2929000,57934000,17044000,3137000,1635000,20181000,78115000,31395000,23854000,7541000,339000,12444000,12444000,44178000,9437000,2836000,1673000,12273000,56451000,175308000,-156443000,352000,19221000,21664000,78115000,-1022000,1937000,232000,789000,1936000,-1596000,-1596000,-1565000,27000,27000,-99999.9999999991,-1638000,-1298000,-1298000,-11000,-1309000,5808000,9776000,4654000,0.27292,0.05063,-0.01014,-0.03577,-0.00992,-6.00515999999998,1.31138,2.60575,0.12515,-0.02282,-0.02282,2.25133,0.56582,0.13703,-0.02261,0.13578,0.5353,0.80315
"21","2015_Q4",2.36703125,"Up",70648000,-49606000,21042000,-16383000,-1292000,4659000,-269000,-277000,8000,4390000,-491000,203000,-288000,-288000,8000,8000,5739000,5676000,3543000,3543000,46185000,3338000,3338000,58805000,18514000,2942000,1555000,21456000,80261000,32273000,24802000,7471000,551000,12452000,12452000,45276000,10278000,2598000,1659000,12876000,58152000,176094000,-156496000,360000,19962000,22109000,80261000,-288000,1977000,420000,-1247000,862000,-1968000,-1968000,140000,62000,62000,0,202000,-904000,-904000,-28000,-932000,6636000,10829000,3218000,0.29784,0.06595,0.00011,0.00036,1e-04,402.25,1.29881,2.63024,0.13492,0.00024,0.00024,2.07678,0.58669,0.0946,0.00023,0.09056,0.76703,1.09251
"22","2016_Q1",2.7727868852459,"Up",67335000,-47547000,19788000,-11991000,-1003000,7797000,-299000,-294000,-5000,7498000,2180000,-690000,1490000,-798000,-1597000,-1597000,5602000,5537000,3236000,3236000,51216000,2475000,2475000,62529000,18431000,2796000,1320000,21227000,83756000,32790000,25523000,7267000,521000,15613000,15613000,48924000,10168000,2521000,1577000,12689000,61613000,176907000,-157011000,440000,20340000,22143000,83756000,-798000,2011000,482000,-3298000,-1603000,-1980000,-1980000,3326000,32000,32000,0,3358000,-225000,-225000,86000,-139000,9808000,10689000,5220000,0.29387,0.11579,-0.02372,-0.07212,-0.01907,-3.26862999999997,1.27808,2.7825,0.12762,-0.04686,-0.04686,1.97562,0.59666,0.15316,-0.04517,0.14765,0.51866,0.65243
"23","2016_Q2",3.463125,"Up",80746000,-56214000,24532000,-16583000,-1244000,7949000,-341000,-347000,6000,7608000,1570000,-33000,1537000,990000,990000,990000,4607000,4542000,3461000,3461000,46937000,3109000,3109000,58114000,18138000,2609000,1253000,20747000,78861000,35314000,27635000,7679000,530000,7456000,7456000,43300000,10128000,2332000,1566000,12460000,55760000,176954000,-155819000,421000,21560000,23101000,78861000,990000,1971000,646000,6644000,10251000,-1401000,-1401000,-8900000,127000,127000,-1070000,-9843000,-993000,-993000,-2000,-995000,9920000,10658000,15196000,0.30382,0.09844,0.01226,0.04286,0.01255,15.34949,1.34212,2.41375,0.13515,0.0287,0.02515,2.34067,0.62487,0.4405,0.02743,0.42105,0.60998,0.76123
"24","2016_Q3",3.8078125,"Up",77999000,-54298000,23701000,-16474000,-1397000,7227000,-240000,-251000,11000,6987000,1329000,-113000,1216000,681000,681000,681000,4990000,4913000,2971000,2971000,44421000,3489000,3489000,55871000,17900000,2447000,1212000,20347000,76218000,33997000,26545000,7452000,533000,4174000,4174000,38704000,10053000,2367000,1677000,12420000,51124000,178314000,-154944000,432000,23806000,25094000,76218000,681000,1974000,810000,1290000,4755000,-1611000,-1611000,-3172000,409000,409000,999.999999999767,-2762000,382000,382000,-11000,371000,9201000,10586000,8993000,0.30386,0.09266,0.00873,0.02714,0.00893,13.20558,1.44355,2.0373,0.13889,0.0196,0.01702,2.24438,0.68489,0.25877,0.0179,0.23637,0.60819,0.77432
"25","2016_Q4",3.08873015873016,"Down",73452000,-51081000,22371000,-16136000,-1517000,6235000,-283000,-291000,8000,5952000,356000,59000,415000,-360000,-360000,-360000,7537000,7505000,2991000,2991000,49471000,3291000,3291000,63290000,18005000,2171000,1056000,20176000,83466000,40793000,33130000,7663000,534000,4146000,4146000,45473000,9915000,2360000,1710000,12275000,57748000,179335000,-155107000,456000,24688000,25718000,83466000,-360000,2017000,787000,1846000,4290000,-1683000,-1683000,-136000,198000,198000,0,1000,2608000,2608000,-16000,2592000,8252000,10449000,8356000,0.30457,0.08489,-0.0049,-0.014,-0.00431,-23.21111,1.39181,2.24543,0.12519,-0.01031,-0.00887,2.10271,0.70663,0.23921,-0.00776,0.21689,0.35288,0.46704
"26","2017_Q1",3.37241935483871,"Up",71127000,-49684000,21443000,-15614000,-1467000,5829000,-328000,-349000,21000,5501000,-182000,-12999.9999999998,-195000,-1914000,-1914000,-1914000,6673000,6643000,3266000,3266000,50904000,2815000,2815000,63658000,16478000,1998000,1029000,18476000,82134000,40557000,33697000,6860000,542000,5690000,5690000,46789000,9770000,2253000,2097000,12023000,58812000,180188000,-156520000,557000,22853000,23322000,82134000,-1914000,2030000,1259000,9e+05,2275000,-1783000,-1782000,-137000,-1213000,174000,0,-1350000,-857000,-857000,-5000,-862000,7859000,10312000,6989000,0.30147,0.08195,-0.02691,-0.08207,-0.0233,-3.65152,1.36053,2.52174,0.12555,-0.05488,-0.07696,2.03931,0.65511,0.20038,-0.05333,0.19475,0.46304,0.62429
"27","2017_Q2",3.37253968253968,"Up",80833000,-57046000,23787000,-16500000,-1273000,7287000,-362000,-378000,16000,6925000,843000,-27000,816000,257000,257000,257000,7206000,7198000,3161000,3161000,57186000,2824000,2824000,70377000,16044000,1744000,887000,17788000,88165000,51157000,43334000,7823000,550000,5562000,5562000,57269000,9626000,2049000,2049000,11675000,68944000,178880000,-156588000,555000,19221000,19221000,88165000,257000,1745000,1105000,4451000,7558000,-1223000,-1223000,-136000,-2239000,33000,-3273000,-5768000,567000,567000,-12000,555000,9032000,10176000,12287000,0.29427,0.09015,0.00318,0.01337,0.00291,47.80934,1.22888,3.58691,0.11542,0.00745,0.00643,2.34231,0.55685,0.35604,0.01199,0.39073,0.32883,0.40758
"28","2017_Q3",2.86333333333333,"Down",80208000,-56964000,23244000,-15806000,-1136000,7438000,-450000,-469000,19000,6988000,1059000,25859000,26918000,26918000,26918000,26918000,9936000,9928000,2698000,2698000,52195000,2743000,2743000,67572000,15667000,27479000,853000,43146000,110718000,47770000,39771000,7999000,557000,4865000,4865000,53192000,9477000,2154000,2154000,11631000,64823000,178688000,-129720000,554000,45895000,45895000,110718000,26918000,1749000,-25326000,1571000,4912000,-1232000,-1232000,-142000,205000,205000,-956000,-942000.000000001,2738000,2738000,-8000,2730000,9187000,10034000,-16333000,0.2898,0.09273,0.3356,0.58651,0.24312,-0.606769999999997,1.27034,1.41242,0.09063,0.76186,0.67408,2.27012,1.29888,-0.46227,0.46428,-0.2812,0.01067,0.01318
"29","2017_Q4",2.48809523809524,"Down",73807000,-51930000,21877000,-14961000,-1163000,6916000,-385000,-4e+05,15000,6531000,947000,-28000,919000,919000,919000,919000,6680000,6673000,2930000,2930000,53719000,3015000,3015000,66344000,15179000,27377000,798000,42556000,108900000,45389000,37320000,8069000,567000,5548000,5548000,51504000,9325000,2242000,2242000,11567000,63071000,179284000,-128854000,563000,45829000,45829000,108900000,919000,1667000,568000,-3550000,-396000,-1178000,-1178000,-140000,-1531000,20000,0,-1671000,-3245000,-3245000,-10000,-3255000,8583000,9892000,3883000,0.29641,0.0937,0.01245,0.02005,0.00844,4.22524,1.28813,1.37622,0.09084,0.02563,0.02327,2.05843,1.27806,0.10829,0.01585,0.06699,0.37423,0.46443
