"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",2.37714285714286,"Up",222087000,-169911000,52176000,-21158000,-21158000,31018000,-14108000,-18805000,4571000,126000,16910000,1950000,18860000,-6922000,11938000,11938000,11938000,11938000,532011462.488552,532011462.488552,-21747311.7957596,-21747311.7957596,105505925.365719,111668266.701734,99334739.8371516,727438342.760245,51092391.5860124,34049454.9260795,331211828.097598,107505219.778185,121875229.567871,51679939.8854232,416353674.60969,1143792017.36994,193703119.286525,10737099.5018602,211615589.748693,-275363551.317938,-288041438.565347,129955157.717279,730729998.278968,254406305.79146,43530068.4485415,36979263.0568776,173896974.286041,985136304.070428,1115091461.78771,6045922.56295506,5807440.2168819,29704201.060994,28700563.8405502,28700555.5822283,1143792017.36994,13163000,-3792000,6328000,1287000,3823000,-30024000,6403000,-21661880.6731925,-23483000,-6497000,-6497000,-6497000,0,0.23493,0.13967,0.05375,-2.97563191065048,0.0443290906256125,4.30129144681591,-107.353819335569,0.899010699355158,0.10543,0.10533,1.96137,-1.02749170562535,0.26516,0.0441998951567956,2.51499,9.1906710060719
"2","2010_Q3",2.82,"Up",268460000,-210994000,57466000,-22028000,-22028000,35438000,-10711000,-20770000,7207000,2852000,24727000,5875000,30602000,-11379000,19223000,19223000,19223000,19223000,285530000,285530000,6743000,6743000,100749000,92793000,77191000,485815000,46341000,70314000,247516000,107511000,56111000,36752000,364171000,849986000,68062000,15387000,31974000,96938000,72973000,196974000,413724000,258886000,35135000,49261000,174490000,672610000,869584000,7135000,-9299000,-4577000,-19598000,-19598000,849986000,42689000,-5449000,-3232000,310000.000000004,-8371000,-27895000,78288000,-2507000,48255000,82573000,82573000,82573000,445698000,0.21406,0.132,0.0716,-0.98087,0.02262,2.46639,-44.37106,0.52436,0.16679,0.16679,2.32932,-0.17004,0.24203,0.06879,1.45113,4.51967
"3","2010_Q4",2.7971875,"Down",295124000,-239160000,55964000,-26088000,-26088000,29876000,-17042000,-21511000,7060000,-2591000,12834000,4702000,17536000,-6629000,10907000,10907000,10907000,10907000,258564000,258564000,5975000,5975000,101724000,104926000,80777000,471189000,50227000,86196000,251392000,107511000,57514000,37017000,387815000,859004000,54421000,14352000,17254000,154208000,121251000,225883000,410601000,260216000,35583000,52664000,171969000,670817000,896700000,7491000,-27731000,-4599000,-37696000,-37696000,859004000,45211000,-6302000,-4339000,-12301000,-22942000,-29878000,-19876000,46000.0000000009,-49235000,-26966000,-26966000,-26966000,427855000,0.18963,0.10123,0.03696,-0.28934,0.0127,2.08599,-23.78767,0.49808,0.09456,0.07582,2.55868,-0.32682,0.25904,0.06271,2.73934,5.66645
"4","2011_Q1",2.63177419354839,"Down",277618000,-225041000,52577000,-21435000,-21435000,31142000,-16764000,-23010000,5125000,1121000,14378000,4194000,18572000,-6556000,12016000,12016000,12016000,12016000,299825000,299825000,1849000,1849000,107079000,118010000,86224000,526763000,55412000,86616000,280804000,107511000,80416000,41114000,422832000,949595000,75332000,11617000,51345000,100195000,63232000,226872000,506052000,262905000,38742000,51815000,172348000,768957000,995829000,7494000,-45327000,4456000,-46234000,-46234000,949595000,-22684000,-7661000,-28317000,6961000,-29017000,-29662000,124686000,-2347000,92962000,41261000,41261000,41261000,557397000,0.18939,0.11218,0.04328,-0.2599,0.01265,2.32185,-21.53889,0.58698,0.17938,0.17938,4.14447,-0.69021,0.44281,0.05384,2.46854,8.27089
"5","2011_Q2",2.92539682539683,"Up",260378000,-205177000,55201000,-23725000,-23725000,31476000,-19948000,-24928000,4904000,76000,11528000,20494000,32022000,-12649000,19373000,19373000,19373000,19373000,276416000,276416000,16881000,16881000,115157000,106577000,73213000,515031000,55283000,74551000,279696000,107511000,83752000,38954000,409530000,924561000,63240000,10164000,29864000,127087000,92970000,220191000,501751000,263974000,39049000,51417000,173508000,765725000,985916000,7500000,-55931000,-67000.0000000009,-61355000,-61355000,924561000,554000,8974000,23218000,2500000,34692000,-31076000,-28244000,665000,-58655000,-23409000,-23409000,-23409000,531615000,0.212,0.12089,0.0744,-0.31575,0.02095,2.33902,-16.06904,0.57499,0.16764,0.16704,2.25317,-0.53093,0.26891,0.06871,1.60409,8.10773
"6","2011_Q3",2.978125,"Up",291180000,-231073000,60107000,-22140000,-22140000,37967000,-18745000,-25082000,6197000,140000,19222000,29624000,48846000,-18545000,30301000,30301000,30301000,30301000,319989000,319989000,20722000,20722000,117895000,106210000,69476000,564816000,55068000,40772000,280503000,107511000,91703000,37959000,376343000,941159000,74279000,3306000,26578000,206346000,173831000,307203000,486989000,197036000,39356000,55029000,102651000,684025000,991228000,7572000,-42530000,-2254000,-50069000,-50069000,941159000,36033000,5792000,40204000,862000,46858000,-30770000,-9657000,143000,-39318000,43573000,43573000,43573000,513567000,0.20643,0.13039,0.10406,-0.60518,0.0322,1.83858,-19.79724,0.54568,0.26161,0.23641,2.51397,-0.43228,0.26566,0.09246,1.01548,5.09859
"7","2011_Q4",3.10761904761905,"Up",288995000,-227863000,61132000,-23277000,-23277000,37855000,-18790000,-25421000,6496000,135000,19065000,10935000,3e+07,-12451000,17549000,17549000,17549000,17549000,328411000,328411000,17516000,17516000,110539000,102933000,64684000,559399000,55898000,35781000,279874000,107511000,92146000,37106000,371553000,930952000,41779000,6105000,26864000,238173000,208608000,306816000,490729000,200077000,39665000,58878000,101534000,690806000,997622000,7944000,-56593000,-5164000,-66670000,-66670000,930952000,27428000,-3450000,10822000,3195000,10567000,-31141000,1492000,13000,-29573000,8422000,8422000,8422000,517593000,0.21153,0.13099,0.06072,-0.26322,0.01885,1.82324,-14.96358,0.55598,0.15031,0.13844,2.47525,-0.57103,0.26672,0.07479,1.77452,4.99754
"8","2012_Q1",3.21935483870968,"Up",292827000,-228770000,64057000,-28034000,-28034000,36023000,-21521000,-25275000,2369000,1385000,14502000,-2213000,12289000,-4492000,7797000,7797000,7797000,7797000,240923000,240923000,24869000,24869000,109228000,134721000,82217000,509741000,56556000,35454000,326017000,107511000,124469000,52973000,418027000,927768000,74755000,6597000,50844000,189599000,153714000,315198000,493356000,208244000,45982000,60642000,101620000,701600000,1016798000,7944000,-80440000,-3677000,-89030000,-89030000,927768000,-5588999.99999999,-3320000,-56566000,-13331000,-73217000,-32312000,23630000,0,-8681999.99999999,-87488000,-87488000,-87488000,544200000,0.21875,0.12302,0.02663,-0.08758,0.0084,1.61721,-11.42085,0.58657,0.06675,0.08187,2.50683,-0.76217,0.27662,0.06046,4.14416,8.41898
"9","2012_Q2",3.13444444444444,"Down",257606000,-200181000,57425000,-23979000,-23979000,33446000,-23457000,-26252000,2863000,-68000,9989000,-21171000,-11182000,3492000,-7690000,-7690000,-7690000,-7690000,219551000,219551000,10812000,10812000,108683000,124490000,71216000,463536000,56042000,43342000,323162000,107511000,124292000,50785000,422546000,886082000,58357000,6707000,24484000,235106000,204196000,317947000,500076000,200728000,46165000,52746000,101817000,700804000,1018751000,7945000,-119737000,-8020000,-132669000,-132669000,886082000,40576000,-2232000,-5e+06,1486000,-5746000,-32975000,-23125000,-146000,-56202000,-21372000,-21372000,-21372000,524560000,0.22292,0.12983,-0.02985,0.05796,-0.00868,1.4579,-7.67889,0.592,-0.06583,-0.06583,2.20537,-1.13578,0.2823,0.04267,-4.28804,9.11945
"10","2012_Q3",3.2415873015873,"Up",276594000,-211752000,64842000,-23914000,-23914000,40928000,-20694000,-26509000,5232000,583000,20234000,-15106000,5128000,-1233000,3895000,3895000,3895000,3895000,208748000,208748000,10825000,10825000,105988000,122717000,74695000,448278000,58277000,35125000,344058000,107511000,130803000,51933000,437460000,885738000,63001000,6817000,24246000,112851000,84186000,200098000,516058000,289119000,45137000,68684000,175298000,805177000,1005275000,8141000,-104043000,-10778000,-119537000,-119537000,885738000,17253000,-4758000,-1076000,-5839000,-11673000,-33137000,16918000,-165000,-16383000,-10803000,-10803000,-10803000,540304000,0.23443,0.14797,0.01408,-0.03258,0.0044,2.24029,-8.40974,0.61,0.03321,0.03313,2.35851,-1.01929,0.28256,0.05217,8.50757,8.10096
