"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",22.96875,"Down",114331,-559872,-213896,-345976,-445541,707,707,-444834,-444834,-444834,-444834,-444834,-444834,5167924.60578173,5167914.11062876,278924.035901922,309340.030744715,309340.171761506,5756188.67242835,-799046.83360411,239213.712063558,67428.2094236311,-559911.142952928,5196277.52947542,798831.05348112,348128.126478795,450702.927002324,1324901.9532686,-32289.388740638,-406.263214751021,70588.6229091884,1395490.57617779,5904464.84881612,-2103687.79291187,3800786.59559404,3800786.95329763,5196277.52947542,-444834,6466,49845,176080,-212443,0,0,0,0,0,0,-212443,-212443,-212443,-439075,0,-3.89694,-3.89076,0.523723200033442,0.517361018108945,-3.66231951236352,0.41332758220425,0.00698068110905853,-0.04263,-0.04263,0.01096,0.347545207237184,0.522654438893355,68.4271029286581,65.8996621168502
"2","2011_Q1",8.06451612903226,"Down",511772,-700517,-284079,-416438,-188745,669,669,-188076,-188076,-188076,-188076,-188076,-188076,5277578,5277578,246045,29811,29811,5553434,95927,38420,38420,134347,5687781,403957,181799,222158,603957,0,0,0,603957,7952324,-2868500,5083824,5083824,5687781,-188076,6467,85774,-32772,-128607,-1,-1,-1,3440495,3440495,3440495,3311887,3311887,3311887,-182278,0,-0.36881,-0.3675,-0.03699,-0.03307,9.19508,0.1188,0,-0.01802,-0.01802,0.04904,0.48716,-0.03699,28.95346,27.96142
"3","2011_Q2",7.38095238095238,"Down",235365,-921450,-332806,-588644,-686085,1642,1642,-684443,-684443,-684443,-684443,-684443,-684443,4154651.54807276,4154655.04645708,166480.238032693,-51517.5102482382,-51517.5572538353,4269614.27585722,600235.61120137,-24674.4873545192,32587.3468587896,575587.130984309,4845201.40684153,325333.815506293,148881.541173735,176452.274332559,366643.515577134,10763.1295802127,135.421071583674,-23529.5409697295,343113.974607405,8170637.38372796,-3668546.65236271,4502087.55146865,4502087.43223412,4845201.40684153,-684443,13414,76569,166772,-427688,-135847,-135847,-135847,-43,-43,-43,-563578,-563578,-563578,-672671,0,-2.91498,-2.90801,-0.282099400011147,-0.261468672702982,10.8386281707878,0.0600291392652499,-0.00232689370301951,-0.06559,-0.06559,0.02255,0.436972430920939,-0.281743146297785,9.17259652378063,8.89356679438328
"4","2011_Q3",6.01953125,"Down",74156,-1163527,-527226,-636301,-1089371,1734,1734,-1087637,-1087637,-1087637,-1087637,-1087637,-1087637,2922339,2922339,81134,4761,4761,3008234,849510,38247,38247,887757,3895991,425023,202751,222272,425023,0,0,0,425023,8111548,-4640580,3470968,3470968,3895991,-1087637,43612,74823,-217050,-1186252,-613284,-613284,-613284,7875.00000000047,7875,7875.00000000047,-1791661,-1791661,-1791661,-1045759,0,-14.69026,-14.66688,-0.31335,-0.27917,7.07781,0.12245,0,-0.10422,-0.10422,0.00711,0.3326,-0.31335,2.79447,2.68259
"5","2011_Q4",5.25,"Down",91756,-795422,-158969,-636453,-703666,1378,1378,-702288,-702288,-702288,-702288,-702288,-702288,2270416,2270416,32607,41342,41342,2344365,927993,38247,38247,966240,3310605,471994,236929,235065,471994,0,0,0,471994,8181479,-5342868,2838611,2838611,3310605,-702288,46996,69931,-5084,-590445,-61478,-61478,-61478,0,0,0,-651923,-651923,-651923,-656670,0,-7.66888,-7.65386,-0.24741,-0.21213,4.96694,0.16628,0,-0.0673,-0.0673,0.00879,0.27201,-0.24741,3.45747,3.22655
"6","2012_Q1",8.68548387096774,"Up",127907,-891227,-182219,-709008,-763320,1197,1197,-762123,-762123,-762123,-762123,-762123,-762123,3466549,3466549,61238,29869,29869,3557656,988445,22726.9999999999,22727,1011172,4568828,359339,224742,134597,359339,-7.27595761418343e-12,-1.13686837721616e-13,2.91038304567337e-11,359339,10314480,-6104991,4209489,4209489,4568828,-762123,55197,76711,91225,-538990,-241128,-241128,-241128,1976251,1976251,1976251,1196133,1196133,1196133,-708123,-5.82076609134674e-11,-5.96777,-5.95842,-0.18105,-0.16681,9.90056,0.08536,1.73472347597681e-18,-0.07303,-0.07303,0.01226,0.40337,-0.18105,4.89541,4.54141
"7","2013_Q2",6.16796875,"Up",134000,-2648000,-1250000,-1398000,-2514000,-8000,-8000,-2522000,-2522000,-2522000,-2522000,-2522000,-2522000,9638768,9638768,134063,688691,688691,10461522,1549684,187119,97119,1736803,12198325,998177,707148,291029,1265809,0,0,608256,1874065,23796898,-13472638,10324260,10324260,12198325,-2522000,103000,253000,-316000,-2482000,-207000,-207000,-207000,6361000,6361000,7237000,4548000,4548000,4548000,-2411000,875888,-18.76119,-18.8209,-0.24428,-0.20675,8.26469,0.18152,0.0718,-0.20484,-0.20484,0.01088,0.83855,-0.22518,3.63454,3.48563
"8","2013_Q3",7.95203125,"Up",142000,-3649000,-1507000,-2142000,-3507000,-20000,-20000,-3527000,-4737000,-4737000,-4737000,-4737000,-4737000,5754579,5754579,92748,75044.9999999999,75045,5922372,1449458,416934.999999999,328185,1866393,7788765,1191983,735727,456256,1483945,0,-1.81898940354586e-12,535266,2019211,23978803,-18209249,5769554,5769554,7788765,-4737000,226000,193000,503000,-3815000,-21000,-21000,-21000,-9.31322574615479e-10,0,-48999.9999999991,-3885000,-3885000,-3885000,-3281000,827228,-24.69718,-33.35915,-0.82103,-0.60818,3.99096,0.34998,0.10621,-0.35219,-0.35219,0.01056,0.42896,-0.71808,1.50178,1.405
"9","2013_Q4",8.656875,"Up",83000,-3077000,-995000,-2082000,-2994000,-49000,-49000,-3043000,-3356000,-3356000,-3356000,-3356000,-3356000,6429712,6429712,36564,407560,407560,6873836,1661551,29447228,452805,31108779,37982615,2318471,1407516,910955,2318471,0,0,4785320,7103791,52444519,-21565695,30878824,30878824,37982615,-3356000,309000,211000,-145000,-2981000,-642000,-642000,-516000,0,0,4173000,676000,676000,676000,-2685000,4785320,-36.07229,-40.43373,-0.10868,-0.08836,2.96481,0.23005,0.12599,-0.23742,-0.23742,0.00587,2.18456,-0.0941,0.61244,0.54923
"10","2014_Q1",11.0668852459016,"Up",101000,-11946000,-2565000,-9381000,-11849000,-166000,-166000,-12015000,-11296000,-11296000,-11296000,-11296000,-11296000,31667000,31667000,394000,571000,571000,32632000,2440000,57510000,148000,59950000,92582000,4202000,2153000,2049000,5480000,15862000,117000,20293000,25773000,99670000,-32861000,66809000,66809000,92582000,-11296000,652000,3037000,396000,-7211000,-61000,-61000,241000,31357000,31357000,32207000,25237000,25237000,25237000,-11197000,4805000,-117.31683,-111.84158,-0.16908,-0.12201,5.95474,0.38577,0.0519,-0.55681,-0.55681,0.00498,3.29319,-0.12913,2.39904,2.26703
