"","YQ","p","d","revenue","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2015_Q3",32.37828125,"Up",232100000,-189100000,-48800000,-140300000,4.3e+07,-30100000,-25500000,-4600000,12900000,-4700000,8200000,-3e+05,7900000,7800000,3e+05,3e+05,159600000,159600000,128900000,36300000,75400000,288500000,147700000,3206900000,2223900000,128700000,3354600000,3643100000,73200000,30600000,36300000,43400000,37700000,27600000,154300000,1.639e+09,6.6e+07,54500000,10300000,1200000,1.705e+09,1859300000,797600000,3e+05,0,797900000,1783800000,3643100000,7800000,48800000,12800000,-29700000,39700000,-14600000,-1.4e+07,-28600000,-408800000,-51600000,18900000,3e+07,3e+07,3e+07,91800000,1682400000,47800000,0.18526,0.00129,0.00017,8e-05,159.33333,1.86973,1.04233,0.4618,0.00466,0.00443,3.60404,12.38975,0.74224,8e-05,0.01353
"2","2015_Q4",34.03640625,"Up",233600000,-180100000,-48700000,-131400000,53500000,-1.7e+07,-1.7e+07,1.86264514923096e-09,36500000,-1e+05,36400000,-6600000,29800000,3e+07,9900000,9900000,166900000,166900000,181300000,37300000,136600000,348200000,148600000,3192400000,2223900000,142200000,3.341e+09,3689200000,92600000,3.2e+07,50200000,43400000,48400000,39500000,184400000,1628300000,62300000,5.5e+07,6e+06,1300000,1690600000,1.875e+09,798100000,10200000,-1e+05,808200000,1814200000,3689200000,3e+07,48700000,6900000,7700000,93300000,-8500000,-12100000,-20600000,-1.1e+07,-2300000,-13300000,59400000,59400000,59400000,102200000,1671700000,1.08e+08,0.22902,0.04238,0.00546,0.00268,10.90909,1.88829,1.03351,0.45313,0.15373,0.14623,3.62733,12.54969,1.67702,0.00279,0.03044
"3","2016_Q1",29.6045901639344,"Down",237800000,-184200000,-50900000,-133300000,53600000,-16500000,-16500000,0,37100000,-6e+05,36500000,-6400000,30100000,30100000,9800000,9800000,138700000,138700000,221800000,28200000,193600000,360500000,1.52e+08,3191200000,2220100000,174400000,3343200000,3703700000,94300000,42100000,52200000,43500000,40400000,40400000,178200000,1.618e+09,62500000,56200000,4700000,1600000,1680500000,1858700000,798900000,19900000,-1e+05,818700000,1.845e+09,3703700000,30100000,50900000,7800000,5e+05,89300000,-10300000,-10900000,-21200000,-1.1e+07,-1e+05,-11100000,5.7e+07,5.7e+07,5.7e+07,104500000,1661500000,101100000,0.2254,0.04121,0.00531,0.00265,10.31633,2.02301,1.00743,0.44861,0.06507,0.06422,1.57902,5.43625,0.67131,0.00275,0.02833
"4","2016_Q2",33.13734375,"Up",241900000,-1.85e+08,-48200000,-136800000,56900000,-17600000,-16800000,-8e+05,39300000,0,39300000,-6200000,33100000,33100000,11400000,11400000,1.35e+08,1.35e+08,169300000,37900000,131400000,304300000,151900000,3177300000,2223900000,183100000,3329200000,3633500000,86100000,35500000,40200000,43500000,46700000,39800000,176300000,1557700000,68600000,60400000,4500000,3700000,1626300000,1802600000,801400000,31300000,-1800000,830900000,1830900000,3633500000,33100000,48200000,3200000,-26600000,57900000,-6800000,-9800000,-16600000,-6.1e+07,-4.8e+07,-1.09e+08,-67700000,-67700000,-67700000,105100000,1601200000,77900000,0.23522,0.04713,0.00623,0.00314,6.83333,1.72604,0.98454,0.44068,0.0757,0.07471,1.60624,5.51726,0.51726,0.00326,0.02225
"5","2016_Q3",39.1565625,"Up",255500000,-193600000,-49200000,-144400000,61900000,-20900000,-16900000,-4e+06,4.1e+07,-1100000,39900000,-6700000,33200000,33200000,11400000,11400000,144300000,144300000,8e+07,4.2e+07,3.8e+07,224300000,166400000,3313100000,2301400000,194300000,3479500000,3703800000,103700000,58800000,44900000,43500000,38200000,38200000,185400000,1577300000,75500000,63200000,6600000,5700000,1652800000,1838200000,804600000,42800000,-1200000,846200000,1865600000,3703800000,33200000,49200000,6200000,-24100000,64500000,-10600000,-12300000,-173100000,1.9e+07,-5e+05,18500000,-90100000,-90100000,-90100000,111100000,1620800000,83100000,0.24227,0.04462,0.00611,0.00308,7.28947,1.20982,0.98531,0.4376,0.07565,0.07466,1.69542,5.61513,0.55143,0.0032,0.02333
"6","2016_Q4",38.1814285714286,"Down",267100000,-2.09e+08,-56800000,-152200000,58100000,-18300000,-16900000,-1400000,39800000,-1100000,38700000,-6300000,32400000,32400000,11200000,11200000,163100000,163100000,105400000,36700000,68700000,268500000,164200000,3280800000,2304300000,193100000,3.445e+09,3713500000,104100000,55900000,48200000,53400000,46500000,46500000,2.04e+08,1527100000,79800000,67800000,8400000,3600000,1606900000,1810900000,807700000,5.4e+07,-7e+05,8.61e+08,1902600000,3713500000,32400000,56800000,5800000,-6900000,88100000,-6600000,-9800000,-16400000,-4.1e+07,0,-4.1e+07,30700000,30700000,30700000,114900000,1580500000,107700000,0.21752,0.04193,0.00589,0.00302,9.61607,1.31618,0.9518,0.42561,0.16995,0.16495,4.05311,13.06525,1.63429,0.00314,0.03023
"7","2017_Q1",37.5890322580645,"Down",261500000,-203300000,-54100000,-149200000,58200000,-17200000,-1.7e+07,-2e+05,4.1e+07,-1e+05,40900000,-6600000,34300000,34300000,11800000,11800000,155800000,155800000,183400000,45400000,1.38e+08,339200000,1.73e+08,3249800000,2303800000,196500000,3422800000,3.762e+09,116300000,55200000,61100000,63400000,47400000,47400000,227100000,1506800000,88700000,77300000,7900000,3500000,1595500000,1822600000,810800000,65700000,-8e+05,875700000,1939400000,3.762e+09,34300000,54100000,3100000,23700000,115200000,-14100000,-1e+07,-24100000,-1.6e+07,-1e+05,-16100000,7.5e+07,7.5e+07,7.5e+07,112300000,1570200000,128500000,0.22256,0.04512,0.00608,0.00314,10.88983,1.49362,0.93978,0.41738,0.17906,0.17378,3.96813,13.28832,1.94992,0.00328,0.03571
"8","2017_Q2",39.5238095238095,"Up",258100000,-198300000,-52800000,-145500000,59800000,-18700000,-16700000,-2e+06,41100000,-1200000,39900000,-6e+06,33900000,33900000,12200000,12200000,160300000,160300000,1.62e+08,53200000,108800000,322300000,177800000,3231800000,2306800000,203200000,3409600000,3731900000,90400000,63100000,27300000,73400000,51300000,51300000,215100000,1486900000,95400000,81900000,7900000,5600000,1582300000,1797400000,811900000,77900000,-1400000,888400000,1934500000,3731900000,33900000,52800000,6300000,-44100000,48900000,-3700000,-12500000,-16200000,-15300000,-43800000,-59100000,-26400000,-26400000,-26400000,112600000,1560300000,70800000,0.23169,0.04727,0.00631,0.00327,5.80328,1.49837,0.92913,0.4181,0.18047,0.07979,3.81805,13.14201,1.04734,0.0034,0.01972
"9","2017_Q3",42.4230158730159,"Up",262200000,-192100000,-50100000,-1.42e+08,70100000,-28500000,-1.4e+07,-14500000,41600000,-3300000,38300000,-9100000,29200000,29200000,8200000,8200000,163600000,163600000,1.69e+08,58700000,110300000,332600000,170700000,3215900000,2306800000,211100000,3386600000,3719200000,84900000,45800000,39100000,5.5e+07,47200000,47200000,187100000,1499700000,106500000,91200000,12400000,2900000,1606200000,1793300000,816500000,86100000,1e+05,856100000,1925900000,3719200000,29200000,50100000,22100000,-26900000,74500000,-3e+05,-1.4e+07,-14300000,-14500000,-7300000,-68400000,-8200000,-8200000,-8200000,120200000,1554700000,102100000,0.26735,0.03127,0.00426,0.0022,12.45122,1.77766,0.93115,0.41802,0.12112,0.05359,3.87297,12.64549,1.50812,0.00229,0.02846
"10","2017_Q4",45.1944444444444,"Up",263800000,-1.92e+08,-51300000,-140700000,71800000,-14700000,-14100000,-600000.000000002,57100000,-4e+06,53100000,-9200000,43900000,43900000,14700000,14700000,169200000,169200000,207200000,42500000,164700000,376400000,1.65e+08,3208600000,2306800000,231200000,3373600000,3.75e+09,91300000,52100000,39200000,55100000,54200000,54200000,200600000,1486900000,412400000,98100000,301800000,12500000,1899300000,2099900000,1594900000,54200000,1e+06,1650100000,1650100000,3.75e+09,43900000,51300000,5700000,15500000,116400000,-1300000,-14600000,-15900000,-16500000,-37100000,-53600000,46900000,46900000,46900000,123100000,1.542e+09,146500000,0.27218,0.05572,0.00891,0.00392,9.96599,1.87637,1.27259,0.4112,0.21649,0.2146,3.88513,24.30191,2.15758,0.00408,0.04064
