"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","long_term_borrowings","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",45.4449206349206,"Up",3.763e+09,2.379e+09,2.905e+09,-5.26e+08,1.384e+09,4.59e+08,9.51e+08,-7.51e+08,3.012e+09,-2.113e+09,-2.113e+09,8.99e+08,8.99e+08,8.99e+08,-2.51e+08,6.48e+08,6.71e+08,5e+06,6.76e+08,-3.43e+08,3.33e+08,3.563e+09,1.974e+09,6.07e+08,6.9457e+10,5.7606e+10,1.0256e+10,1.51947e+11,-5.319e+09,1.57266e+11,9.425e+09,2.5741e+10,2.65396e+11,1.82523e+11,1.39401e+11,4.3122e+10,3.1339e+10,3.1339e+10,1.6589e+10,2.35962e+11,1.5266e+10,2.676e+09,1.259e+10,-5e+08,1.334e+10,-1.288e+09,2.6818e+10,2.616e+09,2.9434e+10,2.65396e+11,6.71e+08,2.26e+08,7.51e+08,2.23e+08,4.01e+08,2.272e+09,-3.102e+09,8.455e+09,2.64e+08,5.617e+09,-1.38e+08,-1.153e+09,-4.237e+09,-2.527e+09,-5.59e+08,-8.614e+09,-7.25e+08,-7.25e+08,-7.25e+08,1.125e+09,3.685e+10,0.23891,0.08849,0.01131,0.00125,8.01665,0.13885,0.66867,0.666,7.55622,53.85141,0.27711,0.00177,0.41441,29.58844,37.0267
"2","2010_Q3",40.4225,"Down",3.912e+09,2.435e+09,2.873e+09,-4.38e+08,1.477e+09,4.52e+08,9.72e+08,-8.23e+08,3.089e+09,-2.002e+09,-2.002e+09,1.087e+09,1.087e+09,1.087e+09,-3.06e+08,7.81e+08,8.03e+08,9e+06,8.12e+08,-2.6e+07,7.86e+08,3.558e+09,7.237e+09,5.028e+09,6.4758e+10,5.3717e+10,1.0159e+10,1.49006e+11,-5.336e+09,1.54342e+11,9.41e+09,2.4998e+10,2.61695e+11,1.78799e+11,1.34487e+11,4.4312e+10,3.092e+10,3.092e+10,1.7296e+10,2.30705e+11,1.5303e+10,2.678e+09,1.2625e+10,-5.57e+08,1.4073e+10,-4.42e+08,2.8377e+10,2.613e+09,3.099e+10,2.61695e+11,8.03e+08,2.16e+08,8.23e+08,2.06e+08,-5.1e+07,1.997e+09,5.275e+09,-2.101e+09,3.29e+08,3.659e+09,-7.8e+07,-1.834e+09,-16999999.999999,-4.914e+09,1.182e+09,-5.661e+09,-5e+06,-5e+06,-5e+06,1.303e+09,3.461e+10,0.27786,0.20092,0.02536,0.003,7.4445,0.13225,1.5,1.49146,7.46565,54.15458,0.14885,0.0033,0.09924,23.83116,28.5667
"3","2010_Q4",40.43171875,"Up",3.598e+09,2.215e+09,2.701e+09,-4.86e+08,1.383e+09,4.13e+08,9.2e+08,-4.86e+08,3.112e+09,-2.158e+09,-2.158e+09,9.54e+08,9.54e+08,9.54e+08,-1.79e+08,7.75e+08,1.103e+09,-2e+06,1.101e+09,-7e+06,1.094e+09,3.724e+09,2.509e+09,4.15e+08,7.4553e+10,6.3461e+10,1.0137e+10,1.44896e+11,-5.231e+09,1.50127e+11,8.166e+09,2.3933e+10,2.60133e+11,1.79183e+11,1.33118e+11,4.6065e+10,3.0637e+10,3.0637e+10,1.2986e+10,2.27467e+11,1.5334e+10,2.68e+09,1.2654e+10,-5.52e+08,1.5114e+10,1.46e+08,3.0042e+10,2.624e+09,3.2666e+10,2.60133e+11,1.103e+09,3.11e+08,4.86e+08,-6.3e+08,-1.101e+09,1.69e+08,-9.657e+09,8.409e+09,9.3e+07,1.168e+09,-5.7e+07,-6.17e+08,-3.1e+07,-1.656e+09,1.19e+09,-1.171e+09,1.66e+08,1.66e+08,1.66e+08,1.265e+09,3.5298e+10,0.26515,0.30406,0.03349,0.00421,6.96342,0.13569,2.09178,2.07985,6.87954,57.44168,0.10899,0.00442,0.0521,24.95968,33.09644
"4","2011_Q1",44.8451612903226,"Up",3.903e+09,2.201e+09,2.671e+09,-4.7e+08,1.702e+09,4.35e+08,1.243e+09,-4.42e+08,3.461e+09,-2.34e+09,-2.34e+09,1.121e+09,1.121e+09,1.121e+09,-3.01e+08,8.2e+08,8.2e+08,3e+06,8.23e+08,-2.5e+07,7.98e+08,3.297e+09,5.314e+09,1.61e+09,7.5308e+10,6.4262e+10,9.22e+09,1.45708e+11,-4.887e+09,1.50595e+11,8.149e+09,2.3904e+10,2.64284e+11,1.8339e+11,1.33371e+11,5.0019e+10,2.8789e+10,2.8789e+10,1.5123e+10,2.31446e+11,1.5386e+10,2.682e+09,1.2704e+10,-5.72e+08,1.5859e+10,-4.31e+08,3.0242e+10,2.596e+09,3.2838e+10,2.64284e+11,8.2e+08,3.06e+08,4.42e+08,4.63e+08,-1.657e+09,3.74e+08,-8.36e+08,-3.669e+09,6.7e+07,-4.715e+09,-7.7e+07,-2.138e+09,-1.2e+07,2.53e+08,5.888e+09,3.914e+09,-4.27e+08,-4.27e+08,-4.27e+08,1.427e+09,3.2933e+10,0.28721,0.20446,0.0243,0.00302,7.04811,0.12461,1.52581,1.51423,7.46272,57.82409,0.14723,0.00331,0.09649,20.76804,26.43711
"5","2011_Q2",44.312380952381,"Down",3.631e+09,2.176e+09,2.583e+09,-4.07e+08,1.455e+09,3.86e+08,1.066e+09,-4.21e+08,3.21e+09,-2.07e+09,-2.07e+09,1.14e+09,1.14e+09,1.14e+09,-3.08e+08,8.32e+08,8.32e+08,5e+06,8.37e+08,-4e+06,8.33e+08,3.389e+09,3.599e+09,1.359e+09,7.2841e+10,6.0992e+10,9.595e+09,1.44628e+11,-4.759e+09,1.49387e+11,8.146e+09,2.4157e+10,2.59378e+11,1.8199e+11,1.33283e+11,4.8707e+10,2.5654e+10,2.5654e+10,1.3938e+10,2.25661e+11,1.5385e+10,2.682e+09,1.2703e+10,-5.84e+08,1.664e+10,-3.09e+08,3.1132e+10,2.585e+09,3.3717e+10,2.59378e+11,8.32e+08,2.79e+08,4.21e+08,3.4e+07,-8.39e+08,7.27e+08,2.438e+09,2.755e+09,-8e+07,5.113e+09,-5.6e+07,-4.319e+09,-1.9e+07,-8.8e+07,-1.266e+09,-5.748e+09,9.2e+07,9.2e+07,9.2e+07,1.419e+09,2.9733e+10,0.31396,0.22941,0.02471,0.00321,6.6928,0.11463,1.58969,1.58365,6.92939,59.41221,0.10687,0.00343,0.06723,18.56519,23.10877
"6","2011_Q3",37.33609375,"Down",3.602e+09,2.15e+09,2.547e+09,-3.97e+08,1.452e+09,4.19e+08,9.9e+08,-2.8e+08,3.322e+09,-2.176e+09,-2.176e+09,1.146e+09,1.146e+09,1.146e+09,-2.34e+08,9.12e+08,9.12e+08,1e+06,9.13e+08,-2.5e+07,8.88e+08,3.865e+09,6.865e+09,4.508e+09,7.1265e+10,5.9414e+10,9.776e+09,1.45692e+11,-4.627e+09,1.50319e+11,8.182e+09,2.4836e+10,2.63117e+11,1.81891e+11,1.29208e+11,5.2683e+10,2.4906e+10,2.4906e+10,1.7635e+10,2.28244e+11,1.5355e+10,2.682e+09,1.2673e+10,-5.33e+08,1.7344e+10,6.9e+07,3.2235e+10,2.638e+09,3.4873e+10,2.63117e+11,9.12e+08,2.9e+08,2.8e+08,-1.09e+08,1.605e+09,2.978e+09,2.842e+09,-4.678e+09,-3.07e+08,-1.882e+09,-2.08e+08,1e+07,-8999999.99999997,-4.297e+09,3.884e+09,-6.2e+08,4.76e+08,4.76e+08,4.76e+08,1.436e+09,2.8718e+10,0.31816,0.24653,0.02546,0.00337,6.54501,0.10915,1.69466,1.68501,6.87405,61.51718,0.39695,0.00417,0.23423,17.3071,21.68674
"7","2011_Q4",39.0050793650794,"Up",3.544e+09,2.175e+09,2.53e+09,-3.55e+08,1.369e+09,4.27e+08,9.09e+08,-2.61e+08,3.283e+09,-2.14e+09,-2.14e+09,1.143e+09,1.143e+09,1.143e+09,-3.09e+08,8.34e+08,8.34e+08,-4e+06,8.3e+08,-4e+06,8.26e+08,3.982e+09,4.579e+09,2.773e+09,7.498e+10,6.2105e+10,9.915e+09,1.50036e+11,-4.507e+09,1.54543e+11,8.207e+09,2.5737e+10,2.6947e+11,1.87732e+11,1.32552e+11,5.518e+10,2.6569e+10,2.6569e+10,1.4822e+10,2.32228e+11,1.6372e+10,2.682e+09,1.369e+10,-5.35e+08,1.7985e+10,3.97e+08,3.4219e+10,3.023e+09,3.7242e+10,2.6947e+11,8.34e+08,2.81e+08,2.61e+08,5.89e+08,-1.085e+09,8.8e+08,-5.442e+09,-1.658e+09,1.43e+08,-6.957e+09,-1.89e+08,-8.46e+08,9.85e+08,3.344e+09,2.9e+09,6.194e+09,1.17e+08,1.17e+08,1.17e+08,1.424e+09,2.9674e+10,0.32252,0.23307,0.02218,0.00307,6.23565,0.11012,1.57634,1.57034,6.76336,65.30344,0.36069,0.00377,0.22881,18.04213,22.47769
"8","2012_Q1",44.8633870967742,"Up",3.549e+09,2.199e+09,2.534e+09,-3.35e+08,1.35e+09,3.9e+08,9.42e+08,-1.9e+08,3.359e+09,-2.719e+09,-2.719e+09,6.4e+08,6.4e+08,6.4e+08,-1.47e+08,4.93e+08,4.93e+08,-1.7e+07,4.76e+08,-2.5e+07,4.51e+08,4.105e+09,3.374e+09,1.169e+09,7.3281e+10,6.0634e+10,1.0134e+10,1.54667e+11,-4.347e+09,1.59014e+11,8.285e+09,2.5634e+10,2.71205e+11,1.87966e+11,1.28918e+11,5.9048e+10,2.7081e+10,2.7081e+10,1.1657e+10,2.33959e+11,1.6392e+10,2.683e+09,1.3709e+10,-4.87e+08,1.8253e+10,-1.05e+08,3.4053e+10,3.193e+09,3.7246e+10,2.71205e+11,4.93e+08,2.9e+08,1.9e+08,8.89e+08,-4.14e+08,1.448e+09,-1.31e+08,-2.945e+09,83999999.9999999,-2.823e+09,-2.07e+08,1.877e+09,3e+07,-3.822e+09,3.62e+09,1.498e+09,1.23e+08,1.23e+08,1.23e+08,9.3e+08,3.4336e+10,0.18033,0.12708,0.01211,0.00166,6.28145,0.12661,0.86069,0.85905,6.7729,64.98664,0.39504,0.00243,0.45898,32.50645,47.23594
"9","2012_Q2",46.2914285714286,"Up",3.732e+09,2.291e+09,2.597e+09,-3.06e+08,1.441e+09,4.11e+08,1.011e+09,-1.85e+08,3.547e+09,-2.455e+09,-2.455e+09,1.092e+09,1.092e+09,1.092e+09,-2.81e+08,8.11e+08,8.11e+08,-6e+06,8.05e+08,-3.9e+07,7.66e+08,4.162e+09,3.455e+09,2.084e+09,7.7545e+10,6.4554e+10,1.0352e+10,1.72018e+11,-4.196e+09,1.76214e+11,9.169e+09,2.7515e+10,2.95883e+11,2.06127e+11,1.43664e+11,6.2463e+10,2.9243e+10,2.9243e+10,1.7445e+10,2.57647e+11,1.6397e+10,2.685e+09,1.3712e+10,-4.67e+08,1.8834e+10,2.81e+08,3.5045e+10,3.191e+09,3.8236e+10,2.95883e+11,8.11e+08,2.69e+08,1.85e+08,1.29e+08,1.382e+09,2.776e+09,-1.014e+09,-2.753e+09,-1.2e+07,-7.108e+09,-2.23e+08,3.169e+09,4.5e+07,8.67e+08,5.31e+08,4.389e+09,5.7e+07,5.7e+07,5.7e+07,1.361e+09,3.4075e+10,0.2926,0.20525,0.02003,0.00259,6.73834,0.11516,1.45627,1.44802,7.09506,66.62548,0.42395,0.00334,0.29112,21.97869,27.39286
"10","2012_Q3",46.3034920634921,"Up",3.623e+09,2.526e+09,2.796e+09,-2.7e+08,1.097e+09,4.22e+08,6.47e+08,-2.56e+08,3.367e+09,-2.648e+09,-2.648e+09,7.19e+08,7.19e+08,7.19e+08,-1.73e+08,5.46e+08,5.46e+08,5e+06,5.51e+08,-2.5e+07,5.26e+08,4.136e+09,5.641e+09,3.995e+09,7.4675e+10,6.1937e+10,1.0617e+10,1.76269e+11,-4.156e+09,1.80425e+11,9.158e+09,2.7892e+10,2.99575e+11,2.06923e+11,1.42447e+11,6.4476e+10,2.8218e+10,2.8218e+10,2.0054e+10,2.59361e+11,1.7905e+10,2.687e+09,1.5218e+10,-4.51e+08,1.9149e+10,4.02e+08,3.7005e+10,3.209e+09,4.0214e+10,2.99575e+11,5.46e+08,2.85e+08,2.56e+08,4.35e+08,-4.84e+08,1.038e+09,2.568e+09,-6.666e+09,-7e+07,-4.133e+09,-2.36e+08,-8.76e+08,1.498e+09,-1.217e+09,3.9e+09,3.069e+09,-2.6e+07,-2.6e+07,-2.6e+07,1.004e+09,3.2384e+10,0.19845,0.14518,0.01308,0.00176,6.44952,0.1081,0.9981,0.99245,6.87476,70.21822,0.44782,0.00254,0.44867,28.13546,39.2879
